SPK_SPKC09a,SPK_SPKC10a,SPK_SPKC11a,SPK_SPKC12a,SPK_SPKC15a
1.4234,0.349375,0.998225,0.10665,0.074075
2.704175,0.376675,1.390625,0.638275,0.1366
3.12525,0.755375,1.50245,1.39055,0.151575
3.427925,1.031975,1.83925,1.954825,0.16975
4.1829,1.042475,3.244625,2.073275,0.251075
5.6038,1.0568,3.514775,2.15845,0.271175
5.735375,1.068425,3.645425,2.75545,0.31175
8.18705,1.1941,3.730675,3.209925,0.329075
11.449525,1.217325,5.011825,4.67075,0.361975
13.580275,1.3601,6.1525,6.488025,0.406275
14.922375,1.381025,6.26495,6.83265,0.408475
15.88035,1.423425,6.508075,7.478725,0.453175
17.121225,1.80995,7.68455,7.505975,0.470375
17.708525,1.978575,7.69195,8.0015,0.5091
18.790525,2.3613,8.0669,8.452975,0.5658
18.92355,2.401225,8.6468,8.560625,0.576925
20.159675,2.6945,8.795775,8.795775,0.588425
20.180975,2.842425,9.176425,9.70885,0.5952
21.273175,2.91035,9.23275,10.331875,0.611125
22.35575,3.427975,9.685525,10.348775,0.618875
22.90515,3.851475,9.751725,13.191625,0.62525
24.5489,3.968575,10.11675,14.6197,0.64865
24.732125,4.315375,11.0471,14.969775,0.72805
25.3347,4.387675,11.0718,15.5179,0.775725
26.186475,4.584325,11.566775,15.69715,0.787025
27.0526,4.596575,11.96155,15.982175,0.822725
28.176625,4.7571,12.1892,16.44715,0.845325
28.261325,4.900975,13.087175,17.678175,0.86265
28.303125,5.01185,14.25345,17.71485,0.8789
28.8336,5.171025,14.28515,17.8627,0.895025
29.209425,5.32195,14.96975,18.2921,0.9159
29.55855,5.470025,15.040275,18.3343,0.937225
29.921875,5.948675,15.425075,18.8018,0.955675
30.24735,7.444325,15.5179,19.5488,0.98055
30.288125,8.195925,15.59705,19.755375,0.998025
30.312575,8.63555,15.89495,20.726375,1.016975
30.416825,8.82265,16.34875,20.772675,1.048475
31.22495,8.83715,16.631525,21.18595,1.0565
31.3586,9.315425,16.9843,22.02355,1.07205
32.059275,10.086425,17.15175,22.48185,1.12385
32.692025,10.306875,17.2054,22.5789,1.174825
32.980475,10.6573,17.799125,22.916025,1.205375
33.7911,10.6857,17.804975,23.85335,1.22885
35.0424,10.7928,17.9398,24.02955,1.24515
35.83105,11.053525,18.154925,24.216625,1.309025
36.0827,11.562825,18.33425,24.4909,1.413225
36.1378,12.272225,18.359575,25.663875,1.42375
36.156,12.456425,18.75845,26.543875,1.4642
36.3236,12.5168,19.13365,26.649625,1.487125
36.640425,13.329925,19.5488,27.155975,1.497175
37.169725,13.4525,19.669875,27.49045,1.5104
37.7696,13.6209,22.00855,27.506175,1.5899
38.145525,14.24615,22.019175,27.5347,1.6036
38.688625,14.39285,22.03085,28.69535,1.62395
38.7372,14.531325,22.189825,28.793725,1.63685
38.9393,14.576675,22.70575,29.280175,1.651925
40.377925,14.795075,22.8476,29.665475,1.680475
40.45355,14.811075,22.99695,30.3054,1.68345
41.0556,15.44335,23.7379,31.18635,1.69965
41.447,15.473675,23.834525,31.800675,1.736575
41.657775,15.488075,25.4924,32.06865,1.75605
42.2439,15.7779,25.91505,32.13065,1.77495
42.315425,15.88035,26.015425,32.1356,1.78245
42.603525,16.3755,27.096575,32.979,1.8063
42.699075,17.264825,27.521525,32.99455,1.81295
43.735375,17.3732,27.690675,33.013775,1.844825
44.151675,17.625075,27.6928,33.026275,1.846725
44.1733,17.821675,28.062075,34.650025,2.010175
44.6504,17.83665,28.477025,35.70835,2.0661
44.7402,17.8589,28.793725,35.7421,2.079425
46.64505,17.9398,29.065975,36.13235,2.113075
46.809975,18.088375,29.23485,37.71135,2.149675
47.086175,18.256,29.43065,38.7016,2.16205
47.948225,18.832825,29.51525,39.436925,2.215125
48.0413,18.878575,29.970975,39.942675,2.230725
48.419525,19.305525,30.86305,41.6467,2.263575
48.50865,19.3872,31.15055,41.7192,2.366975
49.538075,19.4424,31.65115,42.290225,2.400125
49.59965,20.60475,32.1739,43.336525,2.4473
49.862575,20.668325,32.69945,44.896725,2.4649
50.203125,20.732425,33.0138,45.2285,2.4997
50.2621,21.046925,33.73925,45.253075,2.502375
50.69565,21.27865,33.950175,45.2609,2.53495
51.489225,21.89085,34.702275,45.37455,2.56735
52.145525,22.0086,34.87145,45.9013,2.577925
52.553875,22.044125,35.0534,46.087875,2.600525
53.519525,22.424775,35.515075,46.16755,2.609925
53.523175,22.468125,35.70835,46.386425,2.65485
54.1173,22.589175,35.8511,47.69485,2.67695
55.41805,22.973625,36.694275,47.779225,2.751375
55.4435,23.40705,36.7649,48.51375,2.760275
55.63995,23.45615,36.76685,48.5888,2.796175
55.744025,24.071,36.783275,48.968525,2.809225
55.86695,24.25915,37.892925,49.8182,2.8464
56.4336,24.5489,38.197875,50.4185,2.87205
56.809625,25.040825,38.70395,50.9416,2.893175
57.047325,25.16215,38.732175,52.8517,2.9037
57.267725,25.184075,39.16405,53.41595,2.916125
57.327225,25.58115,39.5714,53.806775,2.941125
57.3563,25.723275,39.99195,54.637875,2.967525
57.72945,25.77985,40.3095,55.2047,3.019125
