SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC08a,SPK_SPKC10a,SPK_SPKC14a
0.054775,0.007475,3.809275,0.002925,0.016375
0.50705,0.0198,5.294875,0.00725,0.440875
0.67345,0.1248,7.2762,0.01115,0.638425
0.89215,0.1555,10.1034,0.015,0.7597
0.960075,0.16565,13.92035,0.022775,0.820725
0.9641,0.21915,19.20705,0.033125,0.940025
0.98955,0.368125,26.077175,0.0399,0.957625
1.096875,0.4877,27.87115,0.059575,0.9872
1.26465,0.549725,28.785525,0.0662,1.04775
1.303,0.71445,32.867975,0.09135,1.071275
1.344275,0.76185,33.0433,0.1857,1.082725
1.5038,0.77685,34.113425,0.212025,1.10105
1.53465,0.829375,34.2991,0.275125,1.152175
1.590825,0.8618,34.732875,0.31855,1.16535
1.726175,0.876875,36.2449,0.3742,1.176125
1.949725,0.92335,36.5273,0.419025,1.26005
2.152225,0.9339,37.51875,0.452875,1.4614
2.218425,0.9512,38.46005,0.4635,1.487725
2.326775,0.983125,39.280475,0.4733,1.5168
2.579875,0.999875,39.444075,0.476975,1.53125
2.684925,1.03265,39.460075,0.486275,1.579375
2.72755,1.0506,39.83475,0.490125,1.594325
2.839825,1.096075,40.2388,0.4987,1.706
2.924725,1.164475,40.562325,0.51735,1.731525
2.95785,1.183775,41.355425,0.52435,1.8888
3.0019,1.260325,42.417225,0.52875,2.142325
3.207575,1.278475,43.260175,0.544825,2.1851
3.2229,1.353525,43.335125,0.5541,2.2027
3.2683,1.403875,43.3492,0.563075,2.2411
3.2799,1.412475,43.364475,0.58085,2.27185
3.544075,1.52205,45.231725,0.5967,2.37115
3.603875,1.564575,46.0352,0.6273,2.621425
3.827,1.575025,46.077725,0.656425,2.9803
3.880675,1.595325,46.7217,0.6719,3.01495
4.0004,1.6282,46.97455,0.70425,3.0541
4.092875,1.638875,48.5859,0.729375,3.090575
4.15145,1.775375,49.6264,0.75725,3.22515
4.20285,1.900375,49.77735,0.780775,3.241425
4.225375,1.949225,50.112125,0.8087,3.251225
4.2818,1.9617,50.38155,0.834775,3.26775
4.406825,1.991275,50.9286,0.859,3.291425
4.41255,2.2209,50.988375,0.87995,3.51405
4.421125,2.262675,51.276375,0.899775,3.5271
4.481375,2.27795,51.4847,0.921225,3.5462
4.5909,2.294225,51.527925,0.94085,3.5667
4.6881,2.321425,51.54275,0.961425,3.575725
4.70765,2.414275,51.9006,0.98575,3.5879
4.7844,2.49075,51.9428,1.00075,3.595975
4.99235,2.535275,51.977275,1.004725,3.6118
5.159725,2.5663,52.019575,1.008475,3.633775
5.2064,2.607775,52.062825,1.0116,3.796625
5.219775,2.63675,52.363925,1.015,3.8384
5.278725,2.700725,52.52465,1.018425,3.860175
5.35135,2.760775,52.55185,1.021725,3.904375
5.3573,2.774625,52.568925,1.026675,4.057975
5.378175,2.819125,52.8191,1.02945,4.080525
5.525075,2.861125,53.5322,1.032925,4.1121
5.55845,2.88065,53.610475,1.041275,4.17145
5.648925,2.899425,54.214825,1.04505,4.1875
5.7911,3.004325,54.231025,1.059375,4.23685
5.9445,3.045,54.37125,1.065075,4.70315
6.061525,3.08875,54.9092,1.068475,4.715725
6.1045,3.103025,55.021725,1.08255,4.747675
6.2108,3.156675,55.52925,1.112825,4.768125
6.260025,3.213025,55.762875,1.12175,4.786775
6.359575,3.26995,56.481125,1.136475,4.79945
6.373975,3.297425,56.577775,1.173125,4.821575
6.406475,3.33,56.9401,1.18435,4.931325
6.48645,3.349925,57.31605,1.1861,5.23515
6.6417,3.378225,58.1639,1.2139,5.264025
6.652,3.39345,58.5305,1.286125,5.2968
6.6736,3.511625,58.776725,1.30055,5.308175
6.6935,3.551875,58.840425,1.32105,5.328175
6.7092,3.5719,59.04995,1.364325,5.7593
6.79985,3.63485,59.5862,1.4077,5.791225
6.922125,3.670925,59.741575,1.448225,5.80735
6.9341,3.699925,59.972775,1.471475,5.827025
7.012425,3.726925,60.2937,1.4999,5.8474
7.132,3.7699,60.56965,1.53805,5.87005
7.2452,3.805325,60.74885,1.599125,6.15025
7.289975,3.81325,60.94735,1.6039,6.20335
7.303875,3.849525,61.177175,1.610225,6.61855
7.376175,3.8563,62.0753,1.632125,6.633475
7.403925,3.862025,63.125225,1.637575,6.65205
7.43325,3.881375,63.70805,1.65395,6.71195
7.45195,3.99115,63.939725,1.65915,6.7531
7.5174,4.033925,64.188075,1.666525,6.8158
7.57535,4.12685,64.2674,1.6843,6.8417
7.783325,4.170225,64.34165,1.6918,7.3505
7.868125,4.230175,64.354575,1.700525,7.36945
7.945875,4.274275,65.041325,1.710425,7.3917
8.020475,4.350725,65.3264,1.735675,7.40815
8.044925,4.396875,65.605925,1.746825,7.433525
8.09855,4.4339,65.90765,1.760925,7.47165
8.1218,4.4762,66.5993,1.78365,8.350425
8.389925,4.483525,67.13015,1.83015,8.361675
8.42215,4.5857,67.1636,1.857825,8.399125
8.433575,4.6147,67.305925,1.878175,8.42235
8.511375,4.633,67.384225,1.90255,8.44665
8.537725,4.6399,67.405375,1.919275,8.45755
8.615775,4.6522,68.066025,1.939375,8.47045
8.643875,4.66255,68.2639,1.96825,8.48375
8.6872,4.7198,68.38625,2.046975,8.4982
8.72385,4.728425,68.609625,2.073775,8.511975
8.823825,4.7501,68.7683,2.100825,8.537525
8.977725,4.79665,68.9557,2.121625,8.5629
8.978725,4.8284,69.532025,2.158725,8.575625
9.0798,4.8377,69.807625,2.1969,8.596725
9.091425,4.84735,70.063875,2.2206,8.64805
9.136625,5.068125,70.2671,2.234475,8.954225
9.15485,5.145075,70.3926,2.248175,8.965525
9.2374,5.1674,70.437125,2.256175,8.981
9.3432,5.1841,70.56605,2.266725,8.997625
9.510575,5.212325,70.7281,2.27005,9.02215
9.5979,5.260175,71.51625,2.274575,9.0394
9.804875,5.269425,71.667825,2.2774,9.062525
9.9825,5.28615,71.767925,2.2811,9.1021
10.109825,5.298225,71.798175,2.29755,9.122425
10.193825,5.331675,72.035325,2.30115,9.484975
10.32015,5.35445,72.07365,2.322775,9.49975
10.409725,5.376575,72.5463,2.3831,9.5145
10.46445,5.386625,72.570175,2.39795,9.751425
10.480275,5.416825,72.6623,2.4252,10.0463
10.565275,5.502775,73.11975,2.459375,10.063725
10.58145,5.52985,73.769875,2.479675,10.075375
10.721325,5.59385,74.006225,2.504575,10.08385
10.72485,5.669275,74.388475,2.5515,10.0965
10.8943,5.748125,74.928425,2.588225,10.1042
10.94615,5.9445,75.380875,2.6289,10.112125
10.960375,6.0059,75.724825,2.66255,10.131525
10.993475,6.0904,75.899925,2.690225,10.14175
11.047525,6.143475,76.211525,2.71805,10.150625
11.0919,6.223475,76.285375,2.73655,10.16095
11.17395,6.2314,76.3469,2.758675,10.1674
11.2833,6.2773,76.4518,2.761825,10.176975
11.346175,6.294475,76.671225,2.778925,10.183025
11.35945,6.3091,77.08235,2.801325,10.19055
11.3665,6.324275,77.12775,2.82585,10.2044
11.421975,6.33035,77.32575,2.85905,10.211275
11.76025,6.3349,77.47805,2.87655,10.222075
11.778275,6.34175,77.758525,2.895725,10.234425
11.785975,6.576375,78.1907,2.914875,10.24295
11.858775,6.61835,78.754825,2.93805,10.25055
12.17325,6.6374,78.913675,2.952125,10.258125
12.332325,6.649575,78.993575,2.974375,10.264875
12.3549,6.6585,79.42195,2.9927,10.27375
12.5177,6.669025,79.43135,3.003875,10.27865
12.6382,6.694975,79.70865,3.015275,10.28675
12.647075,6.719675,80.0495,3.035125,10.29855
12.80185,6.8007,80.264375,3.0482,10.315825
12.845775,6.810375,80.495775,3.094375,10.334375
12.893475,6.8347,80.561625,3.109525,10.34635
12.974325,6.85875,80.85235,3.144525,10.364975
13.022125,6.966725,80.896325,3.1905,10.3752
13.034625,7.026575,80.93615,3.231,10.437175
13.134675,7.120975,80.999825,3.271975,10.4796
13.53425,7.140075,81.0564,3.30155,10.4935
13.5869,7.2132,81.077725,3.329125,10.5054
13.665925,7.278725,81.10255,3.3604,10.531925
13.7713,7.289025,81.126,3.38315,10.55325
13.9577,7.3004,81.14235,3.408,10.5682
13.995825,7.306225,81.164175,3.42025,10.58265
14.051525,7.31195,81.18335,3.4306,10.6138
14.3006,7.31825,81.4,3.442575,10.632
14.414775,7.3371,81.4581,3.44905,10.641725
14.4232,7.359325,81.470775,3.4688,10.702075
14.529025,7.367525,81.5116,3.48255,10.82115
14.587525,7.4289,81.5448,3.51185,10.850625
14.743425,7.507525,81.596475,3.51845,10.862375
14.809375,7.529975,81.62665,3.53515,10.871075
14.892575,7.562,81.6938,3.53985,10.87485
14.974925,7.575325,81.726725,3.58285,10.88455
15.176725,7.5918,81.7593,3.623,10.888925
15.189075,7.618625,81.8324,3.6522,10.907
15.29885,7.668175,81.87185,3.706425,10.938925
15.327325,7.75375,81.938475,3.745225,10.97435
15.415125,7.82705,81.98585,3.7749,10.992475
15.870675,7.840825,82.0037,3.8028,11.00455
15.906275,7.851575,82.0386,3.8266,11.01765
15.960625,7.868725,82.09745,3.853325,11.026025
15.970875,7.903975,82.141875,3.8733,11.042725
15.996675,7.9185,82.176675,3.90605,11.051125
16.021575,7.926725,82.206975,3.97655,11.0661
16.215775,7.955025,82.2553,4.030475,11.282025
16.334325,8.109175,82.344275,4.046,11.3097
16.355475,8.16645,82.3523,4.059725,11.33005
16.421975,8.37075,82.360775,4.0902,11.35185
16.446525,8.399,82.3693,4.0986,11.37275
16.447875,8.438375,82.3779,4.126475,11.381325
16.492375,8.4474,82.3882,4.143175,11.3898
16.54805,8.455525,82.40775,4.171575,11.402925
16.594525,8.464675,82.48615,4.192475,11.422375
16.768975,8.472875,82.5073,4.247275,11.66125
16.8969,8.482275,82.53425,4.2774,11.690425
16.990725,8.513575,82.555875,4.3319,11.70275
17.014325,8.531375,82.5836,4.355675,11.71125
17.06565,8.572375,82.612475,4.414725,11.717975
17.112125,8.612225,82.64535,4.453225,11.727325
17.1518,8.74485,82.660175,4.524525,11.735
17.15395,8.80725,82.680025,4.553225,11.7393
17.222275,8.905325,82.7518,4.61,11.761575
17.2508,8.95635,82.773825,4.63935,12.300775
17.273125,8.97505,82.840025,4.65975,12.315475
17.290125,9.0089,82.877275,4.683225,12.3232
17.320975,9.0254,82.90055,4.706825,12.334
17.500925,9.17905,82.926375,4.735975,12.340425
17.6679,9.210525,82.975925,4.7548,12.344725
17.7713,9.231975,83.02585,4.763725,12.35005
17.795875,9.256875,83.045025,4.7878,12.3561
18.007225,9.27805,83.057475,4.79355,12.362725
18.03785,9.321675,83.068275,4.820375,12.374125
18.04975,9.3432,83.097925,4.834925,12.390375
18.071875,9.3636,83.1191,4.84965,12.40845
18.13085,9.392,83.13565,4.935375,12.42155
18.13625,9.415975,83.151675,4.956675,12.44215
18.149225,9.433625,83.16735,4.9799,12.772025
18.25395,9.469975,83.188375,5.088775,12.80755
18.500525,9.509825,83.214225,5.118675,12.8331
18.641125,9.59785,83.235875,5.140675,12.890025
18.6982,9.610625,83.25905,5.171475,12.8987
18.84655,9.664575,83.288725,5.199225,12.9076
18.87355,9.6742,83.318225,5.2213,12.915425
18.921475,9.7205,83.3648,5.251175,12.9239
18.9279,9.7442,83.395525,5.27085,12.931875
18.93325,9.806125,83.456225,5.27935,12.94025
19.090375,9.902825,83.48275,5.286575,12.947725
19.107075,9.941925,83.5352,5.293025,12.953525
19.39995,9.9561,83.567875,5.302075,12.9604
19.647525,9.968825,83.5926,5.305525,12.967525
19.679675,10.001275,83.6564,5.309675,12.97935
19.6864,10.08105,83.672975,5.3137,13.00495
19.6968,10.2114,83.6821,5.35105,13.022725
19.9038,10.22405,83.69005,5.406075,13.041025
20.1159,10.279975,83.701725,5.452025,13.3648
20.127775,10.297225,83.71115,5.4892,13.37295
20.1402,10.3413,83.71555,5.5072,13.377925
20.20595,10.4876,83.71735,5.5326,13.383025
20.3705,10.5092,83.726425,5.5909,13.389575
20.79635,10.54035,83.739775,5.626975,13.395
20.889475,10.551825,83.745925,5.662175,13.401725
20.93595,10.5598,83.772475,5.729375,13.4058
21.177825,10.61415,83.7818,5.805025,13.410075
21.316175,10.648925,83.79855,5.82865,13.4162
21.356825,10.7723,83.81435,5.837775,13.42475
21.380475,10.783325,83.8266,5.843375,13.43075
21.4618,10.844975,83.8328,5.849525,13.452325
21.59465,10.87505,83.8426,5.854425,13.46735
21.835525,10.9158,83.86775,5.859375,13.49085
22.00805,10.987275,83.906325,5.86385,13.507425
22.03555,11.002275,83.925625,5.868,13.530025
22.28425,11.034975,83.955525,5.876425,13.61225
22.597025,11.08635,83.9761,5.890175,13.872175
22.615925,11.242525,83.9959,5.8966,13.88445
22.678725,11.299975,84.0053,5.914375,13.895275
22.7216,11.356875,84.04465,5.959175,13.90125
22.849325,11.378475,84.11355,5.9978,13.906275
22.892025,11.386725,84.14745,6.0185,13.910775
22.93365,11.392975,84.161575,6.139725,13.923675
23.109275,11.4027,84.1794,6.164,13.938625
23.1541,11.43835,84.18715,6.17365,13.94755
23.45115,11.4659,84.194125,6.1884,13.9574
23.55965,11.48275,84.2027,6.189775,13.968025
23.5826,11.511975,84.2263,6.197525,14.0104
23.6013,11.530675,84.232425,6.2048,14.0473
23.755225,11.543725,84.24405,6.224575,14.07935
23.847425,11.56005,84.2708,6.23225,14.351175
23.9657,11.610325,84.3088,6.241025,14.3653
24.00935,11.858775,84.323475,6.294675,14.372025
24.19885,11.898575,84.3346,6.328325,14.379125
24.622925,11.923325,84.35535,6.3415,14.388
24.818825,11.934075,84.369625,6.424225,14.3926
24.892425,11.95795,84.392175,6.44345,14.4131
24.911075,11.99145,84.40265,6.493,14.426725
