SPK_SPKC01a,SPK_SPKC09a,SPK_SPKC10b,SPK_SPKC12a
0.17285,0.059675,0.0572,6.012475
0.224525,0.082375,0.065525,6.565125
0.4025,0.1821,0.073075,7.033225
0.5302,0.27505,0.07415,7.7408
0.58845,0.2812,0.152675,9.9727
0.88245,0.61125,0.209725,14.9308
0.950725,0.72475,0.3784,14.95485
1.229825,0.86085,0.429475,15.36795
1.28685,1.092975,0.44155,15.3724
1.582875,1.117275,0.449475,15.375775
1.645525,1.1826,0.49025,15.760275
1.70945,1.48175,0.7203,15.765675
2.009925,1.785125,0.724825,15.768925
2.07195,1.849,0.764675,16.145775
2.353525,1.871225,0.76645,16.456575
2.42205,2.0026,0.816675,16.4675
2.642825,2.031275,0.821175,16.46975
2.717275,2.054625,0.9211,16.49245
2.96135,2.087925,1.046575,17.03775
3.01535,2.12755,1.093,17.409575
3.27125,2.195125,1.1046,17.5387
3.319375,2.41155,1.1072,17.898775
3.4762,2.512025,1.13655,18.3077
3.69355,2.526675,1.177575,18.3123
3.790775,2.541525,1.48185,18.317675
3.8885,2.8651,1.506075,18.579725
4.20465,2.902125,1.857875,19.09465
4.320175,3.0383,1.8603,19.7697
4.42935,3.234325,1.975,20.1267
4.716125,3.251325,1.993125,21.7189
4.854925,3.459925,2.0432,21.7368
5.099075,3.520175,2.069175,24.114375
5.3355,3.66665,2.156675,24.89995
5.521175,3.73425,2.179675,24.91145
5.9263,3.844925,2.195225,26.553975
6.12955,4.037825,2.220725,26.573075
6.190975,4.040675,2.26275,26.588225
6.395675,4.091325,2.6265,29.968325
6.748175,4.186475,2.679675,31.22875
6.805125,4.273125,2.82575,35.03325
7.017075,4.425125,2.841775,35.4636
7.253475,4.46505,2.851425,35.479475
7.37035,4.504875,2.9861,40.821125
7.4638,4.528925,3.000825,40.82905
7.788975,4.54165,3.1203,41.291675
8.08475,4.582375,3.234325,44.21645
8.12195,4.6132,3.28485,44.328425
8.175275,4.641975,3.314275,44.6971
8.31245,5.062075,3.370125,44.71355
8.444625,5.0758,3.5202,45.218025
8.51405,5.12785,3.6116,46.74185
8.7513,5.1608,3.732225,46.79605
8.86625,5.6348,3.7343,48.131625
8.893725,5.793975,3.7992,48.14465
9.108375,6.038075,3.844975,48.166625
9.16515,6.1026,4.03095,48.1959
9.408575,6.1349,4.037875,48.240575
9.479675,6.15165,4.064575,48.28475
9.5287,6.441,4.07725,48.31645
9.723525,6.548425,4.0972,48.3934
9.7249,6.55355,4.290075,48.447525
9.9216,6.5926,4.350775,49.25435
10.0187,7.0345,4.422825,49.309375
10.1716,7.039775,4.44335,49.73575
10.2427,7.224975,4.532225,49.7485
10.65265,7.293,4.726475,49.76235
10.683725,7.4491,4.7763,49.781
11.027425,7.49135,4.785975,49.80485
11.200675,7.688,4.821825,50.603175
11.299975,7.7602,4.847175,50.6181
11.331625,7.807375,4.9662,50.9871
11.584025,8.027975,4.9977,51.059125
11.782575,8.095,5.05765,51.41475
11.99205,8.183675,5.062175,51.7872
12.05455,8.247375,5.1007,51.80085
12.0829,8.251,5.1057,52.091325
12.5524,8.4237,5.179325,52.1428
12.6418,8.608475,5.2545,52.518225
12.938125,8.63605,5.2767,53.366575
13.084575,8.6545,5.3177,53.39195
13.15845,9.023975,5.460875,54.478675
13.3467,9.101875,5.519025,54.92825
13.664975,9.1742,5.546625,56.7052
13.7719,9.1959,5.60425,56.7148
13.949075,9.572175,5.62345,57.177425
14.62025,9.750625,5.658125,57.560325
14.742425,9.7889,5.70445,57.982475
14.839175,9.988975,5.7304,57.990325
15.1387,10.391025,5.7597,58.036025
15.228925,10.40065,5.916725,58.44975
15.536475,10.51435,6.023125,58.461325
15.653625,10.833075,6.055575,58.4728
15.765825,11.0208,6.13135,58.87305
15.907675,11.145725,6.163925,58.88315
15.9884,11.36435,6.267625,58.8899
16.273125,11.3722,6.565575,58.898325
16.79005,11.455725,6.568475,58.905325
16.849,11.5175,6.601425,59.331675
17.1115,11.592875,6.6185,59.354075
17.1801,11.666575,6.69605,60.1877
17.379625,11.799075,6.75025,60.4226
17.671725,11.844125,6.7794,60.43905
17.739125,11.91545,6.87085,60.47785
17.985325,12.080175,7.023325,60.52805
18.135425,12.1092,7.031475,60.557525
18.415875,12.13575,7.03455,60.610775
18.712625,12.1854,7.0626,60.636625
18.81425,12.2155,7.089275,60.660175
19.0159,12.3129,7.14855,60.67375
19.06065,12.68825,7.29315,60.69765
19.349425,12.737075,7.3087,60.71085
19.4157,12.746975,7.367125,60.719
19.603325,12.947,7.39665,61.064
