SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC09a,SPK_SPKC12b,SPK_SPKC13c,SPK_SPKC14a,SPK_SPKC16a
1.1621,2.25125,0.007675,0.0346,0.004725,0.20235,0.10885
1.169325,2.364275,0.021575,0.043725,0.033425,0.30165,0.121375
1.30005,3.467875,0.0579,0.069425,0.12715,0.3337,0.158675
1.314325,6.085675,0.08505,0.085175,0.155775,0.354075,0.174025
1.5622,6.86505,0.100625,0.122975,0.252475,0.4037,0.19755
2.180675,7.9439,0.119225,0.14695,0.559875,0.411475,0.2218
2.682375,7.987125,0.1305,0.17745,0.9061,0.431975,0.25415
2.709475,8.908825,0.14565,0.244775,0.9493,0.439725,0.26715
2.884375,10.95705,0.1622,0.315875,1.050325,0.44145,0.367775
3.600725,12.186025,0.195675,0.357175,1.0864,0.45795,0.407525
4.4526,12.5499,0.207225,0.425775,1.244575,0.47065,0.43105
4.494425,14.2855,0.223175,0.465175,1.32915,0.477725,0.4384
4.566275,14.827,0.27915,0.531225,2.06775,0.507275,0.4513
4.592125,15.289775,0.50155,0.629825,2.156425,0.519075,0.454675
4.59795,16.04645,0.573125,0.6484,2.20795,0.525525,0.4678
4.9017,16.5393,0.61425,0.732725,2.235025,0.532325,0.484525
5.0703,18.36825,0.6964,0.882975,2.305225,0.549175,0.489225
5.84855,19.20045,0.724075,0.930325,2.3329,0.5754,0.499125
6.719875,20.081775,0.776375,1.0127,2.507725,0.586425,0.5147
7.641225,20.436625,0.841375,1.03985,2.589175,0.599275,0.521225
8.068525,21.24055,0.8883,1.5082,2.922,0.627425,0.5303
9.08165,21.44205,0.904425,1.561975,3.0153,0.637075,0.5365
9.09345,25.5473,0.957025,1.794925,3.11825,0.645175,0.542775
9.791525,25.642875,0.9801,2.511325,3.185625,0.650175,0.558475
9.7965,25.676025,0.993625,2.54485,3.244275,0.677975,0.58765
9.9515,26.1335,1.025675,2.5721,3.34,0.68305,0.602775
9.9664,27.24625,1.12745,2.91705,3.37515,0.68985,0.61465
11.305925,28.149575,1.240025,2.94395,3.394675,0.7049,0.629025
11.861025,28.294825,1.3049,3.04415,3.4248,0.759125,0.63485
12.814825,29.76735,1.3389,3.469675,3.45715,0.805425,0.642975
13.160275,31.7443,1.54005,5.06445,3.4971,0.82665,0.653225
13.233125,32.341075,1.8915,6.0764,3.6783,0.83545,0.66175
13.7161,33.31175,2.0044,6.823175,3.749375,0.84805,0.6744
14.274575,33.72675,2.0637,6.91265,3.784025,0.852425,0.7114
14.449575,33.7448,2.082425,6.921325,3.85135,0.872825,0.7525
14.457825,34.026975,2.217075,6.9393,3.993325,0.904025,0.772525
15.3515,34.301925,2.526425,6.95135,4.1172,0.9461,0.810675
16.03875,34.32925,2.955325,6.957,4.22375,1.02975,0.819275
17.226025,35.353975,2.959725,6.963475,4.2643,1.04145,0.8871
17.243925,35.732425,2.987875,6.97445,4.522075,1.0858,1.057375
18.9921,36.959825,3.04035,6.9829,4.5524,1.098425,1.0698
19.3374,38.438625,3.1253,7.001825,5.0097,1.135075,1.08215
19.741025,39.107375,3.24125,7.305725,5.09915,1.1589,1.092525
20.32705,39.550525,3.3156,7.32725,5.442925,1.192875,1.0997
20.33925,39.735675,3.373375,7.728,5.5435,1.2213,1.1294
20.4254,39.9098,3.390575,7.7909,5.596925,1.244175,1.154
20.64615,40.6142,3.442675,7.808375,5.638275,1.2494,1.1636
20.73435,41.4161,3.46435,8.059,5.99215,1.2949,1.169
21.127475,41.563375,3.503775,8.090775,6.0826,1.308625,1.197775
21.1729,42.133025,3.577875,8.559325,6.2331,1.32125,1.20835
21.184425,42.149175,3.758725,8.6179,6.494375,1.3526,1.22195
21.189025,42.8613,3.831,8.906575,6.5437,1.37125,1.236425
21.47285,43.3073,4.0178,8.917475,6.820625,1.401475,1.2633
21.5215,43.432025,4.207375,8.950525,6.834425,1.4226,1.2879
21.5441,43.87605,4.54475,8.963,6.8616,1.445675,1.31265
21.5628,43.8911,4.56895,8.98715,6.911825,1.452175,1.34445
21.56555,44.002075,5.073175,9.36005,6.99025,1.462325,1.3629
22.2081,45.947275,5.10775,9.3888,7.525175,1.538325,1.377925
22.21095,46.2921,5.537625,9.40385,7.638075,1.53995,1.39865
22.2187,46.294275,5.645,9.41995,7.740675,1.5605,1.41735
22.39235,46.339825,6.07005,9.461725,8.1111,1.585825,1.424875
22.455425,46.82535,6.84365,9.834025,8.1303,1.59215,1.44695
22.689775,48.472675,6.88365,9.851125,8.609875,1.64575,1.4601
22.718925,49.927675,8.13185,9.87595,8.98425,1.672275,1.47875
23.757125,49.935675,8.800875,9.92585,9.047,1.6876,1.486975
23.775725,50.3911,9.44165,10.24095,9.391,1.71125,1.5214
24.151925,50.4122,9.836725,10.256375,9.4106,1.75485,1.52695
24.4042,50.9802,10.277925,10.282525,9.445575,1.769125,1.543025
25.012125,51.74645,10.816575,10.296875,9.473425,1.78365,1.55665
25.027625,53.1847,11.281225,10.32625,9.8058,1.7897,1.565825
25.2093,54.216025,11.6379,10.34155,9.86875,1.833125,1.57275
25.749625,55.531225,11.708475,10.377875,10.273775,1.84375,1.638925
26.071975,55.610575,12.0103,10.38705,10.301425,1.847275,1.650725
26.214125,55.64425,12.033925,10.397675,10.331875,1.8825,1.670775
26.82835,58.11115,12.0739,10.41855,10.778575,1.902525,1.6867
26.977375,58.25295,12.1256,10.4394,10.796775,1.919175,1.70885
28.4829,59.48435,12.577075,10.758175,10.8243,1.932075,1.732625
29.006025,59.54505,12.79595,10.77105,10.89325,1.965325,1.74725
29.0336,62.6634,12.829025,10.7852,11.217725,1.983375,1.763575
29.109125,63.583825,13.983175,10.818575,11.29,2.025725,1.8126
29.88565,69.3062,14.0129,10.840525,11.620925,2.048925,1.8302
31.1032,69.782325,14.02815,10.86315,11.632125,2.06065,1.841625
31.1145,69.787625,14.036925,10.877,11.652875,2.0839,1.8486
31.5356,70.378325,14.051275,10.89705,11.6986,2.1058,1.8611
32.2219,70.677475,14.1095,10.92515,11.744525,2.1698,1.876525
32.244625,70.7075,14.129725,10.93555,11.775825,2.173875,1.884875
32.249825,71.006575,14.143075,10.945975,12.01295,2.20985,1.904625
32.2715,73.2929,14.15815,10.96915,12.0248,2.250925,1.929825
32.720275,74.484225,14.171025,11.19635,12.030975,2.272,2.007975
32.8017,74.736575,14.175025,11.218425,12.033125,2.27955,2.034375
33.220975,74.73985,14.1868,11.240575,12.107275,2.28535,2.047575
33.22795,74.7509,14.211325,11.262275,12.17045,2.290675,2.068075
33.2552,74.812625,14.70025,11.271225,12.342775,2.3003,2.0855
33.499825,74.9861,14.858275,11.294175,12.551875,2.301775,2.097375
34.664225,75.30695,15.198425,11.321725,12.567525,2.332425,2.127975
35.2771,75.807025,15.22865,11.345725,12.603825,2.34485,2.169775
35.28,76.83515,15.249825,11.370775,12.81915,2.424075,2.206
35.3067,77.8618,15.611525,11.605125,13.087475,2.4437,2.2311
35.615625,79.565,15.616375,11.61775,13.453375,2.462175,2.252675
35.805925,79.73355,15.637575,11.628875,13.77785,2.498925,2.286625
35.818475,80.037925,15.64195,11.6346,13.826125,2.502925,2.294925
36.19245,80.5952,15.6681,11.6476,13.98435,2.533525,2.303075
36.481275,80.727325,15.860925,11.655275,14.13265,2.56055,2.3085
37.1015,82.2528,16.156025,11.666275,14.212775,2.57445,2.326025
38.070775,82.28905,16.5131,11.6861,14.509575,2.6024,2.348175
38.11795,82.306075,16.7685,11.7018,14.692925,2.62695,2.367175
38.539775,82.67065,16.7998,11.718875,14.893475,2.640675,2.381775
40.420575,83.27625,16.815425,11.725425,14.966725,2.651625,2.395325
40.6771,83.279975,20.353075,11.738425,15.397025,2.66395,2.422425
40.7413,83.285575,20.683475,11.77325,15.66105,2.682725,2.4326
41.240675,83.8001,20.7428,11.964725,15.801825,2.714875,2.452075
41.5191,83.8698,20.80635,11.9961,16.1624,2.727625,2.4784
42.10085,84.200475,20.821875,12.002775,16.425225,2.7378,2.5224
42.1162,84.418425,22.514775,12.0148,16.4738,2.78665,2.537925
42.3939,84.95235,23.243075,12.02615,16.513575,2.8399,2.54925
42.59015,84.960075,25.0295,12.037325,16.746175,2.865125,2.56535
42.71835,85.32475,25.11645,12.058175,16.758825,2.8839,2.586475
42.7699,85.7333,25.650025,12.073375,16.7941,2.936225,2.6784
43.3815,85.7663,25.656625,12.087725,16.83815,2.938725,2.688675
44.267625,86.128625,25.678575,12.099825,17.25685,2.94695,2.7053
44.2828,86.134875,25.708,12.114875,18.328825,2.95145,2.7179
45.435375,86.157425,25.7638,12.12185,18.37325,3.046075,2.7399
45.44645,86.57515,26.129025,12.135525,18.804725,3.06495,2.747975
46.128875,86.68705,26.1742,12.150725,18.856125,3.091825,2.763075
46.2149,87.542875,26.220625,12.156775,18.896725,3.1914,2.7944
46.233675,87.924675,26.2614,12.170525,19.468175,3.216075,2.80075
46.2372,88.423225,26.665675,12.1939,19.916225,3.243425,2.8271
46.244675,88.7051,26.6924,12.214375,20.308575,3.2534,2.83855
46.253025,88.7104,26.731275,12.228825,20.422275,3.280825,2.8516
46.60275,89.0384,26.79615,12.25035,20.423775,3.29695,2.8608
46.6296,89.05345,26.879675,12.265975,20.822125,3.356425,2.878925
48.0871,89.748375,27.199575,12.283225,21.3089,3.42845,2.888075
48.800025,90.42455,27.250075,12.352975,22.043825,3.433425,2.896075
49.5027,90.498475,27.273075,12.495025,23.23925,3.4623,2.931725
49.854975,90.525375,27.6274,12.5191,23.858725,3.470625,2.9613
50.9395,90.52825,28.143125,12.545675,24.1183,3.493525,2.969225
51.290425,90.533075,28.1837,12.5589,24.3285,3.5418,3.009625
51.524175,90.549525,28.22885,12.563775,24.427775,3.5882,3.027725
51.816975,92.691675,28.24355,12.5703,24.470675,3.6052,3.080825
52.32175,96.28485,28.336275,12.580075,24.64205,3.620875,3.1436
53.01555,97.25855,28.585875,12.589,24.67045,3.6477,3.15025
53.164875,97.697875,28.65865,12.61105,24.8258,3.665225,3.224025
53.176,98.230775,28.9845,12.627425,25.025675,3.675975,3.254475
53.181525,98.26225,29.2826,12.637425,25.06785,3.692375,3.264925
53.615675,98.69325,29.8798,12.650275,25.0754,3.696775,3.290975
53.7082,99.689625,29.941475,12.655025,25.107875,3.699725,3.319475
54.059225,100.154625,29.965425,12.664125,25.130975,3.726325,3.3704
54.224575,100.1918,29.977375,12.683775,25.2511,3.78175,3.37815
54.408225,103.38595,29.986125,12.6903,25.551225,3.828425,3.421025
54.454025,103.763575,29.996225,12.72075,25.5628,3.87565,3.45105
