SPK_SPKC01a,SPK_SPKC01b,SPK_SPKC02a,SPK_SPKC05a,SPK_SPKC07b,SPK_SPKC09a,SPK_SPKC09b,SPK_SPKC12a,SPK_SPKC14a
250.0664,250.075475,250.29565,250.334375,250.620825,250.02595,252.209025,250.052275,250.148775
250.0884,250.104875,250.664525,250.35875,250.630325,250.0741,252.407925,250.1605,250.17695
250.095825,250.1175,250.730075,250.85275,250.73675,250.089475,254.90735,250.287025,250.197325
250.184575,250.180375,250.75305,250.9166,250.778075,250.163675,255.883,250.528725,250.212525
250.202775,250.196825,250.927825,251.072825,250.85335,250.315,277.309025,250.6724,250.2401
250.23725,250.231625,251.20205,251.414425,251.215775,250.379625,278.18165,250.814025,250.26285
250.28195,250.343275,251.207125,251.4307,251.346825,250.398575,278.635025,250.869375,250.278625
250.301975,250.396325,251.417825,251.52175,251.9101,250.51185,278.660225,251.021075,250.294475
250.3148,250.5065,251.57895,251.5382,252.001325,250.541375,279.05065,251.10385,250.311125
250.334025,250.53795,251.674525,251.79775,252.016,250.5632,279.450225,251.15815,250.3297
250.4066,250.55545,251.72075,251.9344,252.084625,250.620925,279.888775,251.59595,250.34515
250.413625,250.5899,252.09215,252.436025,252.2774,250.639225,286.580225,251.622225,250.360025
250.45045,250.61785,252.341925,252.66015,252.43785,250.702125,287.458475,251.806775,250.371475
250.4934,250.69905,252.626825,252.704075,252.53835,250.736825,299.560325,252.01825,250.383175
250.5226,250.8895,252.66,252.794875,252.666725,250.813675,299.63695,252.1054,250.4141
250.570425,250.903525,253.401975,253.0973,252.93755,250.8235,299.752,252.281975,250.5312
250.611325,250.92835,253.419925,253.151875,252.973575,250.8599,299.7796,252.382475,250.59305
250.627325,250.9789,254.247125,253.4566,252.99685,250.91995,301.081625,252.455875,250.608775
250.704375,251.05575,254.405025,253.517975,253.108525,250.95775,312.623625,252.572475,250.630125
250.7097,251.0712,254.42925,253.9554,253.234075,251.016725,312.798575,252.71245,250.6541
250.7204,251.13395,254.46705,254.102575,253.249025,251.0339,313.18005,252.774975,250.687925
250.727525,251.23705,254.889725,254.193575,253.300675,251.048975,313.201275,252.7795,250.72185
250.7304,251.2468,254.90175,254.360225,253.407275,251.067425,313.4633,252.915475,250.854825
250.76495,251.2759,255.06895,254.4502,253.6509,251.0736,313.474125,253.077425,250.9371
250.80435,251.289775,255.185375,254.7237,253.685,251.0999,313.4841,253.24525,251.006875
250.81715,251.29735,255.47845,254.7526,253.711025,251.1411,313.486025,253.6339,251.0297
250.8323,251.3501,255.545775,254.7893,254.017375,251.15085,313.5091,253.650325,251.0944
250.845025,251.376675,255.60935,255.11405,254.14825,251.164075,313.522725,254.20095,251.163275
250.882775,251.412125,255.77915,255.189175,254.2089,251.304825,313.52465,254.290725,251.189525
250.92,251.499275,255.85815,255.291925,254.273875,251.3591,313.551925,254.365525,251.217625
250.9493,251.55905,255.927625,255.400975,254.4753,251.39445,313.57625,254.516075,251.4669
250.964275,251.616575,255.9329,255.520425,254.4794,251.395475,313.642375,254.6014,251.49695
250.973025,251.638675,256.219175,256.07985,254.6744,251.457275,313.86225,254.6952,251.533225
251.096225,251.6749,256.2528,256.1791,254.699575,251.5532,313.868725,255.104025,251.55555
