SPK_SPKC02a,SPK_SPKC06a,SPK_SPKC09a
0.013025,0.0268,0.121525
0.02985,0.16665,0.147125
0.0517,0.255725,0.163675
0.085375,0.299775,0.179775
0.10845,0.325575,0.191625
0.157975,0.37345,0.204975
0.182925,0.5122,0.26815
0.2129,0.75115,0.2756
0.230225,0.814325,0.340675
0.249,0.822575,0.3773
0.261825,1.00875,0.39625
0.275025,1.0524,0.4237
0.29485,1.094475,0.435725
0.3038,1.31285,0.47065
0.3259,1.33795,0.4936
0.3495,1.494125,0.583875
0.377725,1.51575,0.636775
0.398175,1.54075,0.65715
0.412475,1.66005,0.684575
0.4408,1.836725,0.7619
0.45265,1.90825,0.776
0.477825,1.945675,0.8042
0.513575,1.984375,0.8511
0.537075,2.009975,0.88585
0.557775,2.1464,0.939325
0.586025,2.158375,0.9971
0.60765,2.219425,1.020075
0.636425,2.2397,1.050675
0.668025,2.33085,1.052475
0.691575,2.399525,1.114875
0.727325,2.438075,1.142625
0.79245,2.4856,1.199075
0.808125,2.515125,1.3192
0.83235,2.592725,1.33315
0.851275,2.654575,1.375325
0.866375,2.6965,1.397625
0.905425,2.7517,1.442175
0.9321,2.815125,1.48135
0.945675,2.863925,1.52485
0.976125,2.943825,1.57365
1.0544,3.003825,1.6599
1.070925,3.039975,1.6878
1.108725,3.102425,1.7639
1.1265,3.232625,1.923075
1.146725,3.276025,1.971525
1.16255,3.450825,2.0421
1.20275,3.4879,2.073875
1.224125,3.549325,2.0971
1.24895,3.596675,2.158925
1.268975,3.615425,2.17765
1.283875,3.67205,2.217575
1.295775,3.69715,2.2264
1.314075,3.710125,2.369
1.338725,3.77865,2.395825
1.351825,3.86365,2.619975
1.38365,3.885175,2.68605
1.448425,3.99135,2.7738
1.46795,4.09175,2.872
1.48715,4.166725,2.90335
1.497925,4.2497,3.034225
1.5153,4.2834,3.1063
1.529,4.292,3.21045
1.548,4.325325,3.41565
1.602275,4.3318,3.4767
1.617025,4.5623,3.570425
1.638925,4.5779,3.62615
1.6569,4.594475,3.638125
1.707425,4.627325,3.6626
1.7257,4.726725,3.688625
1.747125,4.750575,3.74665
1.7824,4.8066,3.889375
1.79335,4.830575,4.070175
1.80815,4.85845,4.141675
1.831875,5.13255,4.22285
1.859475,5.241475,4.25005
1.893025,5.29885,4.295575
1.917775,5.33225,4.31615
1.943675,5.34895,4.330725
1.969475,5.421175,4.369975
1.986975,5.433225,4.387925
2.0113,5.4424,4.399375
2.02725,5.48755,4.46145
2.057825,5.496725,4.484175
2.0866,5.54675,4.51175
2.11915,5.595525,4.567625
2.140625,5.63895,4.591075
2.165225,5.6854,4.720775
2.1915,5.71205,4.73695
2.2034,5.8276,4.74845
2.2258,5.848425,4.8766
2.24325,5.876925,4.90565
2.2592,5.992225,4.9799
2.28055,6.00105,4.9912
2.296125,6.0696,5.01985
2.309125,6.1095,5.077525
