SPK_SPKC02a,SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC10a
0.149925,0.022325,0.086775,0.008275
0.194425,0.055425,0.0955,0.01685
0.25465,0.106375,0.2091,0.0229
0.2806,0.158125,0.885325,0.030375
0.3054,0.190825,0.902625,0.0365
0.336,0.22135,1.1046,0.0453
0.353725,0.25245,1.3598,0.05145
0.35505,0.303275,1.77255,0.06055
0.4215,0.331675,2.4924,0.068225
0.603025,0.3519,3.09495,0.0735
0.651425,0.368975,3.152475,0.0802
0.662475,0.389625,3.85175,0.086975
0.70295,0.41315,3.96615,0.093675
0.704475,0.438675,4.1913,0.0988
0.827225,0.4701,4.221275,0.105
0.838525,0.511275,4.3359,0.11285
0.8812,0.544825,4.373175,0.1186
0.905,0.781375,4.665625,0.13175
0.9497,0.7995,4.909075,0.144175
0.973,0.818975,5.334575,0.152775
1.0386,0.838525,5.6609,0.161075
1.084625,0.8442,6.025175,0.167825
1.1082,0.869625,6.41925,0.181725
1.12035,0.901125,7.117425,0.191975
1.33855,0.918625,7.83055,0.20575
1.37145,0.947125,8.446975,0.214525
1.4435,0.9739,8.63045,0.2296
1.624375,1.029425,8.95705,0.240825
1.6572,1.089075,9.1766,0.2486
1.659675,1.172225,10.265875,0.257225
1.6967,1.193275,10.844975,0.269025
1.715675,1.2214,11.266575,0.282925
1.73195,1.246825,11.887575,0.290925
1.876675,1.286,11.93155,0.304775
1.941325,1.307275,11.976825,0.317175
1.99885,1.38025,12.401375,0.329625
2.030175,1.44715,12.6474,0.34075
2.0895,1.5018,13.17125,0.3506
2.1473,1.538275,13.205725,0.361
2.2325,1.562575,13.8067,0.367775
2.328725,1.57785,13.90545,0.373525
2.41305,1.59805,13.97605,0.382375
2.487725,1.616,14.48555,0.39215
2.504525,1.662675,14.646825,0.396975
2.574725,1.8452,15.952025,0.403475
2.610225,1.86745,16.2286,0.40895
2.662875,1.8885,16.48305,0.4148
2.6924,1.911175,17.09805,0.423075
2.761375,1.93845,17.191525,0.429725
2.868875,1.9714,18.541675,0.434575
3.081675,2.005,18.881575,0.4421
3.19585,2.0073,19.46185,0.446725
3.275575,2.062775,19.713775,0.4544
3.402975,2.141475,19.733075,0.4596
3.5031,2.1691,19.7717,0.465425
3.545425,2.198075,20.03975,0.477075
3.65215,2.213925,20.150775,0.48195
3.692375,2.237225,21.028725,0.491025
3.7417,2.2878,21.70235,0.495325
3.791325,2.4878,21.73365,0.5039
3.827975,2.512675,22.153375,0.509075
3.868,2.525825,22.27805,0.518175
