SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC06a,SPK_SPKC06b
0.0856,0.006475,0.0232,0.021825
0.090775,0.021425,0.040725,0.057
0.193625,0.037225,0.048625,0.098975
0.2385,0.05695,0.060875,0.112075
0.347325,0.073975,0.0728,0.132025
0.3862,0.086475,0.08715,0.143075
0.436,0.09805,0.1018,0.3313
0.46895,0.113725,0.116875,0.4208
0.49635,0.1279,0.1305,0.47325
0.498975,0.147075,0.14095,0.533425
0.534375,0.16015,0.15255,0.56875
0.666475,0.17285,0.16725,0.573575
0.714075,0.193775,0.193975,0.589575
0.744175,0.20885,0.230925,0.63025
0.80945,0.225025,0.2593,0.650175
0.873325,0.240525,0.279875,0.676825
0.919375,0.2852,0.301775,0.685225
0.973975,0.307025,0.325975,0.810025
1.00365,0.322475,0.3436,0.87265
1.08375,0.34155,0.36085,0.886675
1.130275,0.374525,0.367,0.97545
1.175275,0.389075,0.375275,1.00175
1.203925,0.405175,0.3791,1.032825
1.31705,0.41545,0.3861,1.07975
1.337825,0.434525,0.390875,1.12735
1.365775,0.451925,0.399175,1.1466
1.413875,0.4539,0.41,1.194575
1.4496,0.467925,0.41795,1.219925
1.473625,0.480025,0.42415,1.257375
1.499725,0.496425,0.4436,1.273675
1.509025,0.5179,0.456675,1.304175
1.5303,0.5266,0.46995,1.33415
1.563075,0.54795,0.4807,1.361575
1.6859,0.5604,0.488275,1.385825
1.722825,0.582675,0.5009,1.411775
1.724875,0.594425,0.5092,1.418375
1.74685,0.613825,0.5235,1.4884
1.821875,0.6315,0.535125,1.509425
1.947275,0.646025,0.55035,1.5492
1.982025,0.667575,0.585825,1.694025
2.017375,0.698675,0.595875,1.802925
2.051875,0.7189,0.608425,1.836125
2.116175,0.740125,0.634725,1.867775
2.137825,0.748725,0.6739,1.8774
2.1392,0.759275,0.70245,1.9261
2.1759,0.7851,0.727625,1.988775
2.18235,0.80495,0.7536,2.049775
2.24785,0.821525,0.7807,2.2372
2.2714,0.835875,0.7918,2.261875
2.29335,0.854625,0.82835,2.313725
2.34085,0.87415,0.843225,2.33315
2.37095,0.88575,0.849,2.3773
2.423275,0.90115,0.857025,2.4566
2.463775,0.912325,0.867175,2.47585
2.47845,0.932625,0.881225,2.527
2.539025,0.949825,0.89325,2.532525
2.623425,0.961725,0.90525,2.592175
2.66775,0.9825,0.9206,2.6172
2.709975,0.9983,0.926475,2.686125
2.7449,1.010825,0.934825,2.7502
2.76295,1.028775,0.9512,2.8654
2.80495,1.04285,0.96395,2.886775
2.829725,1.065325,0.96825,2.9425
2.866175,1.098175,0.980225,2.963925
2.923525,1.1185,0.996925,2.998575
2.9649,1.155325,1.0301,3.0407
3.069875,1.175975,1.04855,3.063475
3.165025,1.1972,1.087925,3.219525
3.176825,1.209175,1.101525,3.24705
3.1934,1.23345,1.14095,3.2896
3.2023,1.253975,1.154025,3.3068
3.21535,1.273175,1.181625,3.3148
3.2238,1.29585,1.190775,3.335175
3.240825,1.313975,1.20515,3.374575
3.24415,1.328,1.242575,3.404575
3.31695,1.345775,1.259125,3.414225
3.362725,1.36725,1.27815,3.502675
3.3738,1.401375,1.301125,3.543825
3.38605,1.41665,1.3183,3.6043
3.43465,1.440275,1.341825,3.663875
3.44825,1.4656,1.3649,3.6826
3.45805,1.492575,1.396575,3.733325
3.51295,1.511575,1.42415,3.765425
3.54785,1.530175,1.4316,3.851125
3.56295,1.545425,1.54665,3.8614
3.588225,1.570175,1.568275,3.8783
3.63335,1.606425,1.574725,3.90515
3.67715,1.615375,1.5863,3.9302
3.6976,1.619975,1.618125,3.965875
3.716775,1.6331,1.640075,3.987225
3.725575,1.65635,1.647475,4.0427
3.763025,1.6773,1.660925,4.171075
3.77805,1.6915,1.67215,4.18375
3.798625,1.710825,1.690425,4.287225
3.822325,1.723675,1.717975,4.320475
3.8751,1.74065,1.73005,4.336175
3.927975,1.755875,1.73635,4.37355
3.966675,1.773,1.740125,4.55215
4.0447,1.793525,1.78005,4.57565
4.0641,1.809025,1.798825,4.595475
4.085925,1.818475,1.81125,4.63315
4.09555,1.84455,1.832475,4.6629
4.12425,1.87685,1.843225,4.66815
4.193075,1.9004,1.8541,4.68275
4.200725,1.9241,1.871475,4.7091
4.205225,1.95605,1.886875,4.749125
4.27325,1.98525,1.9451,4.8073
4.309025,1.99885,1.978625,4.824175
4.36895,2.008625,1.98565,4.9362
4.459325,2.02375,2.0352,4.955525
4.465425,2.0456,2.04145,4.97835
4.485725,2.05865,2.05695,5.00085
4.526925,2.084575,2.064975,5.061775
4.5558,2.10745,2.0858,5.1535
4.558,2.12705,2.118725,5.2047
4.6603,2.15465,2.137975,5.23215
4.713925,2.16835,2.157,5.346125
4.7847,2.170125,2.1863,5.3752
4.848125,2.182375,2.2041,5.462775
4.85885,2.2161,2.2395,5.541375
4.906225,2.2397,2.288875,5.577525
4.932375,2.264275,2.314775,5.60785
4.9524,2.2955,2.343525,5.641625
4.964675,2.298325,2.371525,5.67815
4.987225,2.320675,2.3992,5.6875
4.9987,2.346525,2.411575,5.774425
5.0674,2.382725,2.439125,5.797325
5.100175,2.4012,2.45455,5.943125
5.1033,2.461975,2.46675,5.949525
5.134825,2.4855,2.4933,5.97225
5.156775,2.512275,2.544875,5.993575
5.182125,2.524675,2.562375,6.004
5.2123,2.55195,2.5956,6.039475
5.285225,2.56965,2.626075,6.0667
5.33635,2.59345,2.63405,6.09725
5.40205,2.610925,2.65095,6.235325
5.425425,2.64035,2.696,6.27335
5.435575,2.65975,2.70825,6.29735
5.476475,2.691225,2.728025,6.3455
5.578775,2.7142,2.73735,6.3679
5.609925,2.717725,2.75145,6.393375
5.6116,2.737,2.78405,6.40475
5.6528,2.783475,2.801325,6.442025
5.668175,2.8133,2.80745,6.451
5.72125,2.83835,2.81395,6.5415
5.753175,2.861275,2.823425,6.5936
5.7941,2.87795,2.84485,6.60305
5.8308,2.899275,2.86775,6.64815
5.8451,2.920525,2.876625,6.899925
5.8598,2.940525,2.9025,6.911675
5.93685,2.963975,2.92065,6.9678
5.940275,2.976575,2.938025,7.00555
6.027075,3.002,2.944,7.042775
6.030125,3.024275,2.971325,7.05615
6.050775,3.05185,3.00335,7.060725
6.146325,3.06645,3.01695,7.15415
6.158275,3.0831,3.024875,7.219275
6.173975,3.11185,3.075975,7.286475
6.247725,3.12555,3.0855,7.30605
6.259625,3.163975,3.094575,7.328025
6.303275,3.184925,3.121425,7.345225
6.328525,3.221825,3.1261,7.388325
6.346775,3.242675,3.145,7.39255
6.38015,3.255775,3.1529,7.447925
6.455975,3.2718,3.16355,7.511775
6.4985,3.29715,3.188425,7.54165
6.5311,3.319075,3.207325,7.637475
6.56045,3.322275,3.2156,7.687275
6.586525,3.341825,3.237875,7.7986
6.655275,3.36335,3.2538,7.8328
6.689875,3.395625,3.278375,7.8832
6.756575,3.412375,3.287075,7.965175
6.767725,3.43465,3.305325,8.0196
6.76985,3.455225,3.337075,8.12435
6.81215,3.4742,3.358525,8.133475
6.858925,3.48485,3.371525,8.173825
6.884075,3.4924,3.384775,8.222525
6.93495,3.5217,3.3901,8.283425
6.99465,3.53605,3.4082,8.3364
7.045425,3.56765,3.4408,8.41425
7.130325,3.592825,3.46165,8.43585
7.189925,3.617425,3.554825,8.44475
7.26025,3.64275,3.569175,8.557
7.3293,3.6524,3.6099,8.598825
7.376625,3.683675,3.623675,8.607075
7.3954,3.72055,3.63445,8.64545
7.490075,3.73095,3.639975,8.716025
7.507575,3.74675,3.669075,8.80455
7.5617,3.76845,3.683875,8.840875
7.6154,3.7874,3.695275,8.88195
7.67375,3.8132,3.70685,8.97835
7.750125,3.831225,3.722125,9.003
7.8025,3.846925,3.7254,9.072925
7.951475,3.869875,3.74405,9.13275
7.955125,3.896525,3.750625,9.1484
7.9884,3.919575,3.7708,9.18785
8.01755,3.944125,3.7842,9.208525
8.02055,3.964275,3.80775,9.218525
8.064675,3.9834,3.84795,9.307125
8.119675,3.9943,3.909775,9.319875
8.141825,4.000325,3.939625,9.352425
8.305925,4.02215,3.98605,9.42375
8.365575,4.0503,4.00075,9.52455
8.3765,4.066275,4.0348,9.5442
8.400825,4.09635,4.058675,9.57015
8.43365,4.097625,4.082625,9.605325
8.447675,4.122425,4.104275,9.845475
8.5131,4.152525,4.128375,9.88935
8.5359,4.190175,4.140625,9.91995
8.549475,4.19755,4.15275,9.9482
8.607075,4.199575,4.166375,9.975075
8.671325,4.22395,4.1876,10.0029
8.71045,4.242975,4.1971,10.009
8.75195,4.25665,4.2072,10.0599
8.89755,4.278925,4.225275,10.08865
8.909275,4.311675,4.236325,10.14295
8.9196,4.333725,4.247425,10.176125
8.97405,4.37555,4.254025,10.218175
9.023475,4.39405,4.2686,10.25155
9.102375,4.405675,4.300225,10.290275
9.131725,4.428575,4.341925,10.314275
9.1952,4.4618,4.365775,10.357575
9.229075,4.494575,4.37725,10.44335
9.2593,4.5107,4.4313,10.484125
9.29975,4.533975,4.4658,10.56015
9.334625,4.551225,4.4758,10.689975
9.407025,4.56855,4.48765,10.717025
9.442025,4.584875,4.504625,10.723775
9.5241,4.60855,4.5223,10.833575
9.563825,4.634625,4.540825,10.882075
9.605125,4.66045,4.55335,10.920425
9.64365,4.67855,4.5586,10.932425
9.6662,4.702625,4.5597,10.956375
9.7171,4.723875,4.568025,10.977425
9.720475,4.739975,4.577425,11.00335
9.798325,4.749675,4.586475,11.10145
9.834,4.761775,4.590575,11.1478
9.859975,4.78115,4.6057,11.168975
9.8834,4.782525,4.631375,11.17355
9.9005,4.794225,4.651025,11.189525
10.11465,4.8243,4.6773,11.26655
10.146625,4.851,4.6953,11.3195
10.152,4.860775,4.72075,11.3365
10.193525,4.880875,4.726675,11.381775
10.261775,4.900025,4.743375,11.5072
10.378525,4.918,4.769775,11.58275
10.446325,4.934875,4.786775,11.62225
10.4776,5.0077,4.81595,11.6755
10.560725,5.03355,4.831,11.7402
10.585375,5.060975,4.84805,11.772575
10.610475,5.086125,4.87565,11.7877
10.651475,5.10165,4.88395,11.8324
10.6612,5.12835,4.895275,12.0513
10.712275,5.154825,4.9077,12.0663
10.7416,5.179775,4.944,12.185575
10.747025,5.2052,4.964025,12.253425
10.7782,5.231225,4.988325,12.3178
10.804575,5.257725,5.00825,12.359475
10.8468,5.278075,5.01805,12.385025
10.852325,5.3017,5.031375,12.4078
10.883825,5.338375,5.0337,12.45595
10.905325,5.367925,5.043275,12.531925
10.935425,5.404,5.066175,12.577475
11.0209,5.426125,5.081075,12.671825
11.06615,5.4638,5.096075,12.7091
11.156075,5.481575,5.105375,12.74865
11.2282,5.519325,5.12085,12.938025
11.3843,5.535025,5.135,13.0375
11.385875,5.55845,5.166825,13.192525
11.4396,5.591775,5.179675,13.249925
11.50335,5.6251,5.19135,13.308075
11.55235,5.6426,5.1988,13.368675
11.6012,5.678025,5.210775,13.4042
11.624675,5.701175,5.26035,13.410275
11.675725,5.7396,5.2858,13.488475
11.844075,5.79165,5.309475,13.546225
11.867825,5.81525,5.33025,13.63375
11.980225,5.84015,5.347825,13.70225
12.12055,5.851875,5.350375,13.775575
12.141575,5.885825,5.37835,13.839575
12.17425,5.89585,5.3968,13.8749
12.241025,5.9109,5.39945,13.895925
12.252175,5.921875,5.41975,13.945125
12.3204,5.948575,5.43055,13.9697
12.36565,5.97405,5.44515,14.020275
12.41275,5.999975,5.461025,14.183575
12.457475,6.02055,5.469875,14.349
12.473275,6.027675,5.4839,14.420825
12.47515,6.05005,5.5068,14.44225
12.530075,6.07015,5.52155,14.4927
12.59225,6.1034,5.54965,14.5288
12.59995,6.1348,5.5651,14.589225
12.79445,6.153025,5.582925,14.894075
12.8638,6.19525,5.60375,14.9021
13.038275,6.234375,5.610525,14.9344
13.0704,6.25975,5.614975,14.962175
13.123725,6.313375,5.62015,14.99105
13.137225,6.332725,5.63805,14.99785
13.232825,6.368625,5.66395,15.03915
13.265625,6.398725,5.675125,15.05765
13.30955,6.43295,5.705675,15.081775
13.4018,6.4602,5.757825,15.136175
13.49285,6.47855,5.79595,15.183925
13.5391,6.50245,5.810225,15.20355
13.591725,6.51915,5.836325,15.23175
13.632075,6.56215,5.8662,15.2677
13.69885,6.574475,5.87175,15.3005
13.723875,6.614875,5.8876,15.500025
13.768375,6.659475,5.8942,15.646375
13.91735,6.684075,5.90545,15.7314
13.9301,6.709975,5.9087,15.794
13.96835,6.738125,5.935425,15.796125
14.0042,6.7678,5.95385,15.8123
14.016425,6.79795,5.95995,15.8558
14.0709,6.850875,5.9704,15.904725
14.129025,6.873975,5.98785,15.963175
14.2398,6.907175,6.0009,16.062775
14.259675,6.92205,6.018325,16.07785
14.345175,6.9493,6.0446,16.115075
14.42025,6.966375,6.069075,16.177925
14.5256,6.97935,6.08345,16.209625
14.5817,6.986875,6.101925,16.270575
14.632725,6.9936,6.125675,16.298575
14.714,7.020825,6.149475,16.30985
14.746025,7.045525,6.1785,16.347475
14.77335,7.068275,6.2125,16.3989
14.794375,7.089925,6.22025,16.55525
14.819025,7.116225,6.237325,16.60345
14.855525,7.138475,6.26315,16.698225
14.865,7.163825,6.279075,16.7141
14.9055,7.199025,6.2926,16.7597
14.957175,7.2239,6.327425,16.82185
14.970325,7.241375,6.3873,16.89035
15.014275,7.276975,6.419675,16.966625
15.018725,7.29685,6.461425,17.123425
15.0505,7.31985,6.521125,17.128475
15.085175,7.33285,6.55165,17.251725
15.098725,7.3369,6.5712,17.256425
15.120125,7.354625,6.61225,17.4582
15.143725,7.357025,6.62875,17.50395
15.2059,7.37915,6.6584,17.559925
15.24685,7.401825,6.673075,17.583875
15.268975,7.4185,6.677125,17.5918
15.3263,7.43665,6.715875,17.628525
15.34045,7.4605,6.777775,17.79235
15.358,7.477975,6.8097,17.952025
15.406475,7.511625,6.8491,18.00905
15.41075,7.5242,6.8729,18.03115
15.44085,7.555775,6.887475,18.06555
15.4634,7.5823,6.90665,18.141375
15.467125,7.5975,6.920775,18.17545
15.54215,7.616225,6.925475,18.218575
15.599925,7.643775,6.935575,18.266575
15.635275,7.66395,6.94685,18.32985
15.692825,7.6787,6.95815,18.4533
15.772125,7.692475,6.9775,18.474525
15.817675,7.7102,6.98865,18.507525
15.832925,7.717225,6.99745,18.544775
15.8643,7.73145,7.02835,18.59985
15.923775,7.74035,7.029875,18.6435
16.0004,7.75745,7.075875,18.660325
16.031025,7.77405,7.098475,18.729125
16.081275,7.789375,7.12755,18.80195
16.0888,7.805575,7.17165,18.917275
16.13175,7.8236,7.195975,18.9367
16.1498,7.844375,7.201425,18.98365
16.166675,7.867825,7.210925,19.064275
16.26175,7.884425,7.22185,19.077625
