SPK_SPKC09a,SPK_SPKC10c,SPK_SPKC11a,SPK_SPKC13a
0.451025,1.104175,0.022375,0.1754
2.26605,1.61925,0.3813,0.197075
3.0509,1.64575,0.6935,0.221475
3.062225,1.66855,0.90345,0.24375
4.12475,3.39855,0.9953,0.318225
4.60045,3.78475,1.29705,0.361675
5.194225,7.40365,1.33145,0.367425
5.419125,8.053925,1.619375,0.381175
5.492925,8.1214,1.77535,0.397475
10.109125,8.75665,2.086375,0.40885
11.275025,9.51715,2.136375,0.4164
11.400925,9.682625,2.175,0.42445
12.89035,10.993025,2.278025,0.4394
13.90625,10.9945,2.33885,0.446875
13.937,11.8112,2.602975,0.460075
14.04745,12.020625,2.71025,0.466575
14.4226,12.188675,2.754875,0.472075
14.43975,12.9108,3.212625,0.47775
15.05005,13.461325,3.3459,0.49055
15.17795,13.937,3.5805,0.50625
15.326775,14.0044,3.630725,0.514
15.997625,14.061,3.90985,0.52285
17.063975,14.12775,4.687725,0.5336
17.274375,14.7108,4.727,0.558825
18.908025,15.028925,4.852525,0.5847
20.23135,15.6993,5.081975,0.6045
20.96445,15.767125,5.1921,0.631375
21.00175,16.121025,5.571275,0.851375
21.551075,16.85275,5.617575,0.86475
22.021275,17.529675,5.917175,0.877025
22.641525,17.758125,5.9405,0.8831
23.4602,18.8847,6.352875,0.893375
23.950625,19.051675,6.844375,0.905225
24.6445,19.95565,7.08585,0.936125
25.1257,20.429675,7.153,0.94565
26.5677,20.450575,7.3197,0.951425
27.499125,20.76635,7.4966,0.953225
27.97815,20.95465,7.60925,0.9671
28.266875,21.287975,7.834,0.9762
28.327125,22.55265,7.91675,0.983625
28.37315,22.702375,7.992225,0.9954
28.378775,23.61785,8.5096,1.0058
28.5557,24.918775,8.520975,1.02465
28.5635,25.645775,8.612475,1.042125
29.11225,26.021875,8.768125,1.059325
29.6879,26.115525,8.8537,1.0738
29.73965,26.660475,9.12975,1.0962
30.5155,26.781125,9.18795,1.106825
30.561725,26.923625,9.2287,1.1218
32.221275,26.999475,9.26145,1.14385
32.2521,27.32345,9.350975,1.154275
32.42545,27.3577,9.4702,1.16655
32.5431,27.60355,9.510375,1.1811
35.9616,27.6135,9.532475,1.2003
36.262875,28.146875,9.55545,1.32705
36.440275,28.44695,9.586475,1.38045
36.5519,28.648575,9.781875,1.43905
36.95175,28.8293,9.899225,1.475025
37.1527,28.930675,10.12395,1.521275
37.891175,30.34735,10.705775,1.546225
38.284525,32.0185,11.0613,1.573175
38.361975,32.369425,11.216775,1.6098
38.404,33.3802,11.238275,1.616575
38.678575,33.7251,11.26845,1.637
38.7678,33.935325,11.308625,1.6523
39.2193,34.221575,11.64885,1.663425
39.37395,34.423475,11.68015,1.675575
40.140575,34.9043,11.7913,1.686025
40.1932,35.023925,11.81135,1.693125
40.22575,36.179875,11.830625,1.7007
40.711475,37.18835,11.9192,1.706525
40.98735,37.39615,11.93395,1.7127
41.631325,37.494,11.95425,1.7154
43.303675,38.030275,12.024875,1.7182
44.008,38.64915,12.062725,1.733425
44.519175,39.2071,12.156575,1.74575
45.476,39.681775,12.231775,1.7576
45.600075,40.658975,12.399025,1.7622
45.609475,42.76925,12.60185,1.781125
47.310475,43.7085,12.899225,1.785275
48.130325,43.713725,13.0552,1.804175
48.229725,44.7181,13.15,1.81035
48.306575,45.527275,13.19155,1.818875
48.591025,45.6328,13.225525,1.8316
49.4754,46.163925,13.241675,1.8618
49.9775,46.365925,13.349025,1.98555
50.91995,46.37465,13.450075,1.996925
51.86825,46.637,13.50925,2.009375
52.043925,46.722975,13.54445,2.0204
52.6251,47.0106,13.6252,2.029025
53.05975,47.617325,13.704225,2.04435
53.608475,47.633025,13.7134,2.053225
53.938025,49.1741,13.722675,2.059525
54.033225,49.8107,13.73325,2.067575
54.172175,50.7326,13.7651,2.075675
54.279,51.383875,13.845275,2.0829
54.712975,51.411675,13.861675,2.092775
54.763075,51.8279,13.97575,2.101325
54.958325,51.9076,14.0847,2.1177
55.493775,52.58665,14.23285,2.12325
55.52835,52.608375,14.292525,2.130275
55.69355,53.40535,14.454925,2.139775
56.213575,53.681175,14.470175,2.15445
56.660075,54.78415,14.5515,2.15935
57.578525,55.03285,14.5689,2.175775
57.6247,55.232025,14.6916,2.4797
58.17995,55.33095,14.795775,2.50865
58.29605,55.4093,14.857825,2.5194
59.158725,55.7871,15.0079,2.5351
59.695925,56.065075,15.06305,2.547825
59.772825,56.436875,15.105975,2.565425
60.002925,56.774125,15.1428,2.590975
60.0183,56.94815,15.1504,2.6229
60.3912,58.21125,15.15695,2.657075
60.501075,58.67985,15.170525,2.696775
60.978175,59.489025,15.458675,2.72085
61.07395,59.603225,15.526375,2.746475
61.19405,60.03,15.55415,3.0786
61.28485,60.096925,15.65175,3.091825
61.5214,60.166825,15.679625,3.1005
61.565375,60.253225,15.707675,3.107075
61.919,60.7061,15.88145,3.122775
62.171625,60.71165,15.895275,3.128875
62.618975,60.71695,15.908775,3.137425
63.62245,60.80745,15.960175,3.14565
63.899325,61.03545,16.058925,3.1519
64.16025,61.6823,16.18115,3.159125
64.173625,61.82525,16.31495,3.18225
64.258025,62.145625,16.32375,3.190375
64.412975,62.742,16.33325,3.20085
64.47375,63.300375,16.388875,3.22
64.77365,63.34825,16.48055,3.2306
65.209225,63.801975,16.545075,3.23905
65.490075,64.01315,16.855275,3.24415
65.7924,65.4545,16.87865,3.264325
66.52075,65.667025,16.925425,3.274575
66.745025,65.944675,16.9676,3.2892
69.30335,66.3702,16.9984,3.299225
69.47085,66.599275,17.06615,3.310175
69.772025,67.694275,17.215025,3.318625
70.77335,68.23085,17.254875,3.32425
70.982775,68.846725,17.318575,3.3351
71.01315,68.8664,17.454525,3.3421
71.44345,68.960425,17.503725,3.347325
71.9419,68.99415,17.52335,3.359325
72.37165,69.1038,17.59205,3.3743
73.1339,69.163925,17.73315,3.3824
73.921425,69.52,17.80325,3.385225
74.884325,69.98815,17.82605,3.397975
74.920375,70.35805,17.8646,3.41025
74.97855,70.678525,17.91545,3.417375
75.353675,71.08865,18.21105,3.4376
75.80405,71.509225,18.254725,3.453325
75.823425,72.205775,18.374075,3.468725
76.513325,72.619875,18.644025,3.4764
76.5856,72.9999,18.8012,3.489325
76.848375,73.285625,18.814175,3.49565
77.01205,73.7464,18.864175,3.502375
77.08195,73.838375,18.884675,3.517375
77.6678,74.074325,19.232625,3.543225
77.987775,74.64845,19.258825,3.82995
78.262025,76.653525,19.318675,3.8418
78.372025,76.709175,19.5872,3.861525
78.46145,77.1653,19.7547,3.8703
78.50685,78.17285,20.092575,3.87885
79.37305,78.860175,20.38515,3.890475
79.57745,79.5207,20.4244,3.90195
80.541175,79.5609,20.5134,3.9112
80.57255,79.717825,20.61685,3.9183
80.78705,80.521175,20.6567,3.924425
80.82785,81.071775,20.678525,3.9313
80.9766,81.0893,20.98015,3.9381
81.12885,81.753025,20.989225,3.94575
83.423125,82.223325,21.0424,3.9518
83.434725,84.105775,21.07015,3.96685
84.066,84.793775,21.356325,3.980475
84.07595,85.30775,21.397525,3.98795
84.36725,85.6031,21.4789,4.002375
84.507625,85.77,21.52075,4.00835
85.0133,86.613325,21.576,4.020225
85.1047,86.641875,21.72305,4.035025
85.736525,86.64325,22.361,4.06575
85.834275,87.249175,23.021825,4.0728
86.922275,87.6688,23.160625,4.0799
87.817575,87.965,23.177825,4.09265
88.20105,89.8723,23.452475,4.1059
88.23225,89.973475,23.583225,4.126025
88.2406,89.994425,23.61785,4.14125
88.34285,90.39715,23.659675,4.155875
88.8063,90.697525,23.75075,4.161525
89.862975,90.960625,23.7727,4.171325
90.149475,91.020875,24.00795,4.2212
90.67885,91.33845,24.10635,4.508275
91.1693,91.4868,24.33185,4.53315
91.645975,91.619875,24.34355,4.577575
91.6525,92.344275,24.37005,4.589875
91.7843,92.563875,24.40545,4.6079
92.0881,92.7648,24.51515,4.6164
92.216875,93.01775,24.683475,4.62715
92.576875,93.17715,24.695475,4.63585
92.584975,93.492075,24.739125,4.6519
93.03465,94.702575,25.099625,4.667275
93.306375,94.795275,25.1276,4.6749
93.463275,95.005525,25.143925,4.68405
93.781275,95.073,25.1669,4.694225
93.98335,95.457575,25.18085,4.70625
94.5978,95.7607,25.277175,4.7112
94.605125,95.991975,25.343325,4.728225
94.890975,96.4719,25.599675,4.74455
95.397125,96.816225,25.73055,4.752975
95.420575,96.857825,25.773125,4.75855
95.599575,97.05795,25.870925,4.764575
95.98835,97.1584,25.942725,4.79785
96.06595,97.41,26.1725,4.809675
96.395475,97.8595,26.242725,4.83785
96.489725,98.335525,26.251525,4.8474
96.55355,98.4924,26.343925,4.859525
96.964725,98.538725,26.437125,4.874025
97.0643,98.860975,26.661475,4.892875
97.32565,99.1119,26.709675,4.9077
97.554925,99.318225,26.7929,4.919025
97.90195,99.8683,26.976575,4.92585
97.915725,100.09885,26.987675,4.945275
97.96355,100.113475,27.026875,4.95085
98.2647,100.456825,27.14895,4.9563
98.6358,100.52995,27.182275,4.9668
99.116425,100.815225,27.237125,4.973625
99.270625,101.375475,27.261125,4.986
99.47985,101.514625,27.375525,4.99475
99.608725,101.800425,27.413975,5.027225
99.976675,102.5388,27.434625,5.048075
99.990525,103.1363,27.49485,5.078975
100.169025,103.28965,27.49925,5.375825
100.285575,103.708775,27.569775,5.38625
100.41875,103.802575,27.654175,5.3986
100.59455,104.06515,27.7096,5.41015
101.29035,104.41885,27.7529,5.419325
101.73765,104.681125,27.85425,5.4289
102.144275,104.832525,28.009725,5.4366
102.1548,105.115125,28.0648,5.446475
102.728175,105.698925,28.165025,5.4543
102.929025,105.725075,28.198925,5.46155
103.06915,105.9772,28.22415,5.4691
103.2299,106.658375,28.26175,5.47585
103.895975,106.717925,28.506475,5.48205
104.356375,107.061775,28.5131,5.4986
104.497475,107.3704,28.522225,5.52535
104.63085,107.462125,28.588725,5.5604
105.359225,107.4969,28.713,5.571275
105.971275,107.65535,28.766025,5.588575
106.359575,107.71515,28.784,5.5974
106.39075,108.363975,28.97535,5.608475
106.455,108.481825,29.036925,5.6173
106.491775,108.564775,29.0601,5.626125
106.74685,109.12065,29.106275,5.637275
106.768625,109.3937,29.18315,5.6393
106.809875,109.53405,29.5122,5.6459
107.19405,109.59285,29.693075,5.6634
107.269275,109.76495,29.70855,5.893575
107.29205,110.304775,29.730375,5.907625
107.335025,110.72765,29.7575,5.932275
107.787175,111.08335,29.815275,5.943
108.0423,111.349,29.95695,5.949575
108.26875,111.3645,30.070675,5.963
108.396625,111.403075,30.1939,5.97305
109.12065,111.516025,30.22255,5.982975
109.355875,112.11945,30.2742,5.990325
109.4233,112.16775,30.416775,6.0084
109.6229,112.3691,30.46095,6.021
111.01005,112.670475,30.602725,6.03265
112.283025,113.8025,30.64955,6.041675
112.3121,113.85035,30.790325,6.052375
112.65765,114.30565,30.8465,6.061175
113.841875,114.34095,30.87105,6.079875
113.930525,114.86455,30.90705,6.17195
114.256725,115.00285,30.95885,6.258225
114.9406,115.047175,30.984825,6.36965
115.02595,115.301175,31.057025,6.39725
115.234375,115.637925,31.068375,6.412525
115.8351,116.01775,31.08075,6.424125
115.8618,116.143975,31.113125,6.441775
115.8764,116.5594,31.16445,6.46435
116.27755,116.672825,31.388725,6.476025
116.4938,116.85245,31.41235,6.512875
116.60765,117.12795,31.44155,6.69925
117.197575,117.2429,31.463775,6.749925
117.51545,117.282825,31.5565,6.813475
117.71105,117.4711,31.5746,6.8364
117.986025,117.626225,31.655,6.855125
118.5793,117.67045,31.676575,6.86755
119.17415,117.8232,31.705175,6.87895
119.569475,117.843625,31.732,6.887175
120.154625,117.9977,31.755375,6.90735
120.351425,118.0776,31.789375,6.952275
120.436875,118.1543,31.854925,6.9656
120.8083,118.236775,31.903175,7.041975
120.903525,119.188975,31.9527,7.10905
121.43335,119.232175,31.977,7.1873
121.669625,119.2976,32.007175,7.215375
121.8676,120.038075,32.022175,7.235725
121.886175,120.996375,32.089425,7.26065
121.999,121.47155,32.1307,7.269325
