SPK_SPKC01a,SPK_SPKC04a,SPK_SPKC09a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC10c,SPK_SPKC15a
200.123725,200.118725,200.028375,200.004775,200.428875,200.022425,200.028375,200.031275
200.169225,200.14515,200.070475,200.0453,201.151675,200.049725,200.0448,200.236525
200.204025,200.257625,200.3105,200.0745,201.242075,200.0719,200.0572,200.25075
200.277075,200.29945,200.31955,200.125475,201.328525,200.2289,200.07045,200.261575
200.70355,200.31095,200.331075,200.16705,201.545025,200.284675,200.081025,200.274725
200.803475,200.424325,200.459975,200.187425,201.623725,200.30665,200.1288,200.294275
200.833975,200.502125,200.533725,200.226925,201.63575,200.340625,200.17175,200.299375
200.93125,200.5543,200.592675,200.25005,201.68695,200.367425,200.18745,200.370975
201.0205,200.580475,200.6797,200.275875,201.688625,200.4855,200.202225,200.397175
201.021775,200.5935,200.728825,200.307,201.7564,200.6903,200.224125,200.44375
201.0276,200.61565,200.73965,200.33375,201.8223,200.722475,200.241925,200.46995
201.09705,200.66015,200.754475,200.34805,201.9186,200.959025,200.2544,200.57435
201.4528,200.682,201.091175,200.3603,201.982225,201.039225,200.295175,200.6001
201.50835,200.717075,201.37215,200.37255,202.75035,201.26485,200.310475,200.727425
201.547325,200.902,201.42535,200.381575,202.9851,201.298575,200.319525,200.731675
201.701325,200.966425,201.44915,200.39145,203.09205,201.7587,200.331075,200.761275
201.866775,201.01205,201.5685,200.4201,203.414825,201.766625,200.334975,200.7964
201.981925,201.030025,201.630325,200.440575,203.421,202.172925,200.353675,200.818175
202.099825,201.06905,201.679775,200.468325,203.834025,202.199325,200.37065,200.92285
202.162025,201.1289,201.703825,200.48285,203.83685,202.2615,200.3859,200.97985
202.39265,201.307575,201.716725,200.4975,203.850325,202.3085,200.4082,200.992525
202.44895,201.348075,201.869975,200.515825,203.87585,202.35735,200.421525,201.12315
202.49105,201.420175,202.106575,200.542325,203.8868,202.63305,200.44685,201.147
202.8316,201.554725,202.121,200.569475,203.916875,202.674275,200.45995,201.24325
202.87165,201.6154,202.1999,200.59825,203.99155,202.6761,200.51805,201.305425
202.885575,201.87265,202.35735,200.639225,204.148275,202.826225,200.533675,201.312475
202.894825,201.926175,202.5454,200.681475,204.2,203.05085,200.543775,201.322025
202.928175,201.985,202.737475,200.707,204.49945,203.065975,200.574875,201.3948
202.964225,202.03525,202.77575,200.7225,204.9502,203.113725,200.59265,201.4816
203.006325,202.04485,202.886775,200.73315,205.02485,203.12545,200.6095,201.7279
203.087325,202.055825,202.94765,200.74225,205.054175,203.132675,200.62005,201.738575
203.090175,202.06625,202.9646,200.75345,205.3849,203.2222,200.6282,201.764025
203.1308,202.204225,202.97905,200.7636,205.38915,203.284425,200.63065,201.82865
203.241975,202.345425,203.0118,200.783725,205.520525,203.377275,200.643925,201.851675
203.27555,202.377675,203.0488,200.794125,205.65645,203.387825,200.656675,202.156675
203.3737,202.40785,203.062725,200.8045,205.726375,203.391525,200.6921,202.16805
203.6055,202.521575,203.065975,200.820375,205.813875,203.495625,200.699825,202.1766
203.659075,202.5314,203.07505,200.830675,206.11145,203.503725,200.706275,202.23785
203.671525,202.558575,203.0827,200.871475,206.11835,203.540625,200.728825,202.388875
203.696275,202.583775,203.1072,200.893,206.163025,203.681175,200.7396,202.41445
203.746725,202.593275,203.37415,200.909675,206.187175,203.7665,200.754475,202.451275
203.84555,202.707725,203.38005,200.9329,206.30285,203.778175,200.768575,202.729425
203.9012,202.773525,203.415375,200.9673,206.667775,203.84695,200.7793,202.79915
203.979725,202.85255,203.443075,200.9912,207.0188,203.881975,200.793225,202.81075
204.259775,202.9099,203.44485,201.00915,207.2552,203.9059,200.8072,203.089825
204.378925,202.98265,203.4847,201.038375,207.31515,203.90855,200.81305,203.1012
204.625975,202.991725,203.5406,201.0709,207.395625,203.9457,200.8455,203.144575
204.6706,203.0098,203.67885,201.095625,207.47155,203.955025,200.8538,203.1511
204.698275,203.0162,203.764975,201.125925,207.50075,203.97945,200.88075,203.1757
204.730525,203.169575,203.798025,201.146175,207.50665,204.011275,200.916575,203.2107
204.75175,203.205875,203.815925,201.1781,207.5563,204.036275,200.928725,203.2539
204.7695,203.28055,203.82205,201.205225,207.57395,204.054325,200.97645,203.41055
204.798275,203.335125,203.849175,201.223325,207.592575,204.15435,200.98875,203.595525
204.84695,203.342925,203.86035,201.2601,207.644825,204.3785,201.007625,203.67895
