SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC10a
200.0971,200.011425,200.1133
200.36575,200.019825,200.21305
200.429225,200.1625,200.4118
200.49235,200.230675,200.49495
200.53425,200.31205,200.864025
200.60695,200.318725,201.001525
200.68565,200.3223,201.29285
200.73245,200.33335,201.3254
201.0133,200.342875,201.613375
201.046175,200.349175,201.7217
201.063625,200.3586,201.9066
201.081225,200.365575,201.956975
201.0975,200.373675,202.085025
201.10925,200.397275,202.10205
201.12165,200.40945,202.3012
201.16975,200.42065,202.6891
201.20275,200.436775,202.7841
201.3833,200.4492,203.084575
201.413975,200.4546,203.194275
201.44785,200.459775,203.77585
201.48805,200.486375,203.90655
201.525075,200.495525,203.986725
201.549375,200.504575,204.177125
201.567025,200.5155,204.42245
201.5965,200.51855,204.4622
201.650275,200.521225,204.686425
201.67425,200.5335,204.921075
201.720725,200.536025,205.1192
201.788125,200.544675,205.529675
201.88305,200.549875,205.608375
201.916775,200.55425,205.813275
201.959,200.56685,205.9338
202.036125,200.582875,206.0579
202.0722,200.590125,206.191775
202.099625,200.596875,206.346775
202.125625,200.613675,206.3688
202.162125,200.831125,206.44125
202.1782,200.854025,206.48135
202.268175,200.8938,206.523275
202.42075,200.9003,206.61925
202.510225,200.909225,206.67565
202.818075,200.917175,206.73625
202.85705,200.92395,206.913525
202.8757,200.931775,207.111225
202.8905,200.93845,207.192825
202.937875,200.950125,207.31105
202.980825,200.958525,207.40545
203.010625,200.966325,207.47135
203.09605,200.978125,207.530875
203.29405,200.98385,207.562775
203.338025,200.99825,207.590225
203.40745,201.009325,207.62595
203.43625,201.015625,207.705425
203.45315,201.057825,207.89735
203.515025,201.088975,208.14435
203.555275,201.099575,208.23645
203.6398,201.120075,208.269925
203.7771,201.130575,208.479275
203.80245,201.1332,208.57515
203.871775,201.139875,208.6306
203.943025,201.142575,208.9912
203.972625,201.1519,209.134925
204.01575,201.16,209.1969
204.057,201.171875,209.276975
204.11545,201.20305,209.35185
204.158875,201.2119,209.501675
204.18695,201.223475,209.581425
204.205225,201.267975,209.694675
204.232025,201.2975,209.758475
204.24325,201.30895,209.87035
204.345625,201.31365,210.016775
204.449725,201.316575,210.215025
204.696325,201.32795,210.289075
206.174725,201.3377,210.499225
206.668275,201.34215,210.57955
206.7198,201.38585,210.67195
206.7415,201.600025,210.708175
206.762525,201.609,210.80465
206.79135,201.63635,210.917375
206.818075,201.6428,211.053275
206.85215,201.6661,211.14155
206.8808,201.671075,211.206575
206.94075,201.676625,211.37405
206.962375,201.683075,211.4788
206.989425,201.719175,211.53155
207.025225,201.7273,211.550175
207.064325,201.73995,211.658575
207.079075,201.74495,211.730975
207.10745,201.7833,211.889925
207.163125,201.862225,211.93605
207.25525,201.9286,212.216575
207.28125,201.9642,212.33195
207.30475,201.9713,212.3923
207.3173,201.997875,212.53605
207.36965,202.01325,212.5597
207.3893,202.020225,212.70705
207.4062,202.02425,212.7628
207.43525,202.027625,212.91385
207.459275,202.030375,212.98875
207.47215,202.0358,213.0853
207.533375,202.0383,213.1841
207.582325,202.04105,213.2135
207.6007,202.048825,213.302925
207.6836,202.056125,213.512425
207.7098,202.0627,213.65845
207.733,202.070825,213.749825
207.75435,202.074475,213.8529
207.805025,202.09025,213.984
207.831725,202.09665,214.0617
207.864225,202.108775,214.277775
207.882725,202.122,214.392725
207.91465,202.1371,214.470275
207.94335,202.159875,214.585175
207.96745,202.280125,214.70365
207.990425,202.317525,214.928075
208.064425,202.325625,214.989925
208.181175,202.33125,215.033425
208.213125,202.337875,215.10815
208.238125,202.34635,215.35005
208.287675,202.35135,215.380525
208.313,202.38135,215.715775
208.3406,202.400975,215.7334
208.3781,202.439425,215.85535
208.453425,202.460875,216.094375
208.5408,202.468675,216.136275
208.56175,202.5526,216.185425
208.582425,202.607,216.3918
208.713,202.63655,216.5002
208.76865,202.650625,216.995925
208.7933,202.67535,217.1235
208.816625,202.8483,217.29855
208.86945,202.858825,217.5744
208.90355,202.863575,217.608525
208.9379,202.867125,217.75865
208.98855,202.875,217.8397
209.015275,202.8986,218.053925
209.030775,202.950575,218.195375
209.105775,202.974075,218.365
209.1247,202.990925,218.487875
209.13945,203.0016,218.623375
209.1658,203.10585,218.91105
209.186175,203.1133,219.0574
209.226375,203.1432,219.2215
209.25085,203.150825,219.302225
209.278075,203.15785,219.371175
209.2943,203.16965,219.570275
209.3089,203.221175,219.704775
209.32185,203.309975,219.819225
209.3584,203.38275,220.007325
209.3876,203.397375,220.0814
209.415025,203.405025,220.168775
209.445875,203.418375,220.2005
209.481425,203.430325,220.30805
209.494425,203.439775,220.3713
209.5301,203.4559,220.536
209.550825,203.528625,220.63325
209.576225,203.559475,220.912725
209.605575,203.6249,220.987775
209.61975,203.682925,221.068
209.644175,203.755475,221.20665
209.66195,203.7844,221.28995
209.684975,203.859475,221.347275
209.712075,203.9603,221.394075
209.75135,204.147625,221.462825
209.77635,204.167575,221.519875
209.87435,204.183025,221.57925
209.9687,204.2004,221.9297
210.035775,204.209125,221.9701
210.116075,204.23585,222.0805
210.154925,204.300675,222.124175
210.19355,204.4619,222.30915
210.220625,204.568525,222.363775
210.236575,204.627,222.51295
210.268025,204.639975,222.575675
210.2854,204.694225,222.62205
210.302675,204.715875,222.842225
210.3217,204.766925,222.863325
210.352125,204.83105,222.914775
210.370975,204.84165,222.967525
210.454875,204.853825,223.0761
210.483675,204.871925,223.143425
210.5003,204.879625,223.36785
210.5135,204.886975,223.4759
210.5417,204.9132,223.6693
210.60555,204.962625,223.784525
210.64525,204.97905,223.980375
210.66945,204.984325,224.0473
210.688025,204.98755,224.13555
210.7062,205.002125,224.287725
210.73325,205.013575,224.378125
210.753525,205.018675,224.455525
210.7904,205.02255,224.489475
210.816875,205.028025,224.627475
210.855675,205.032625,224.777025
210.8968,205.036075,224.87285
210.92815,205.04465,224.946175
210.939825,205.047525,224.99085
210.956525,205.052125,225.024125
210.978225,205.05705,225.10215
211.003025,205.067375,225.20615
211.033475,205.071275,225.41945
211.051025,205.074425,225.5856
211.0652,205.07735,225.61795
211.078875,205.080775,225.68825
211.089775,205.083875,225.83095
211.1039,205.087275,226.147025
211.135275,205.091925,226.201175
211.154325,205.094475,226.394975
211.17755,205.10065,226.4385
211.200725,205.107875,226.570825
211.229375,205.11575,226.655525
211.241875,205.12135,226.73065
211.25215,205.126275,226.7823
211.268,205.130175,226.975725
211.2856,205.1345,227.086675
211.306475,205.140025,227.153725
211.3277,205.147625,227.512925
211.351225,205.150325,227.604375
211.361975,205.1593,228.0071
211.380975,205.169875,228.039475
211.400825,205.172875,228.08615
211.42345,205.179025,228.179875
211.442375,205.18195,228.27375
211.487825,205.1937,228.335675
211.518175,205.202725,228.391625
211.54685,205.208275,228.74885
211.583625,205.21265,228.841725
211.594425,205.2286,228.9721
211.612175,205.25,229.07435
211.632,205.2624,229.3316
211.6445,205.277,229.56415
211.671225,205.292625,229.856475
211.72755,205.298575,229.899575
211.78795,205.312775,230.213325
211.813775,205.32125,230.539075
211.8465,205.326525,230.612125
211.86925,205.332575,230.6769
211.897925,205.3391,230.8422
211.933975,205.350775,230.91135
211.95255,205.3569,230.961125
211.982275,205.363875,231.042175
212.001725,205.377125,231.08005
212.01405,205.382825,231.25055
212.032525,205.39175,231.3143
212.05665,205.395975,231.359225
212.114975,205.40545,231.6458
212.127125,205.41555,231.75495
212.151225,205.421625,231.909475
212.165625,205.426375,231.922175
212.178725,205.4332,232.13025
212.1928,205.443875,232.192775
212.206375,205.448425,232.32445
212.222825,205.4523,232.365025
212.254675,205.4653,232.495225
212.300725,205.473125,232.5815
212.3266,205.49845,232.818775
212.3495,205.517425,232.918225
212.362675,205.53035,233.008575
212.3809,205.5387,233.1471
212.3968,205.564075,233.2098
212.42125,205.572725,233.43685
212.4578,205.5773,233.574775
212.471725,205.58575,233.63015
212.49135,205.593375,233.7264
212.50245,205.6016,233.8071
212.53295,205.60825,233.909475
212.580575,205.613,233.975025
212.6004,205.61665,234.03255
212.630475,205.62475,234.1368
212.65855,205.62965,234.2515
212.732975,205.63275,234.363525
212.780025,205.635975,234.49495
212.823475,205.6383,234.5523
212.8409,205.6431,234.726475
212.9358,205.645975,234.76705
214.039975,205.651625,234.823175
214.157025,205.656325,234.85185
214.202225,205.660825,234.936375
214.271575,205.663025,235.040425
214.29445,205.668375,235.118
214.336725,205.685925,235.28415
214.457375,205.709025,235.41345
214.546275,205.715325,235.4705
214.56835,205.740025,235.5433
214.596525,205.74575,235.725
214.794725,205.754675,235.800175
214.853,205.771925,235.911225
214.89855,205.780075,236.022275
214.9254,205.785425,236.15585
214.95245,205.79155,236.181275
215.0133,205.799725,236.292525
215.0578,205.808875,236.341125
215.093525,205.828625,236.427625
215.131425,205.83445,236.507975
215.20095,205.844675,236.637075
215.306225,205.84865,236.87175
215.329875,205.8555,236.924675
215.35185,205.866625,236.99165
215.37655,205.870525,237.184725
215.39295,205.883075,237.31865
215.426525,205.895775,237.353925
215.446,205.90685,237.43885
215.49735,205.927825,237.5485
215.517675,205.93475,237.5962
215.5368,205.9415,237.72955
215.560575,205.961,237.912525
215.58345,205.9639,238.04675
215.60765,205.9698,238.163575
215.62985,205.97335,238.260125
215.6525,205.976225,238.3117
215.6728,205.981975,238.434325
215.71305,205.985825,238.444775
