SPK_SPKC09a,SPK_SPKC11a,SPK_SPKC15a
0.014375,0.0098,0.0076
0.0401,0.054,0.02595
0.075525,0.2577,0.035525
0.1148,0.300975,0.054225
0.1539,0.345275,0.08365
0.235225,0.3771,0.1022
0.38095,0.412725,0.112175
0.44525,0.440175,0.1283
0.460875,0.4534,0.12935
0.504925,0.540975,0.140525
0.5346,0.64855,0.1527
0.573975,0.6992,0.223375
0.5984,0.81385,0.250675
0.6006,0.838375,0.26075
0.6921,0.865125,0.278475
0.759825,1.145425,0.293475
0.8741,1.20565,0.317975
0.910025,1.356625,0.33095
0.930025,1.493125,0.347275
0.947875,1.519775,0.351075
0.962725,1.65865,0.37665
0.97455,1.794,0.38695
1.0054,1.8089,0.4145
1.022675,1.828575,0.420875
1.050575,1.9022,0.4371
1.102025,2.086625,0.44445
1.1882,2.1822,0.475125
1.2114,2.2369,0.481525
1.22885,2.465225,0.510825
1.2424,2.503375,0.5194
1.256225,2.568925,0.5283
1.26385,2.599125,0.5758
1.277775,2.6645,0.63675
1.28805,2.69765,0.655925
1.32925,2.72785,0.67005
1.359775,2.96805,0.68615
1.407625,3.282475,0.75295
1.482975,3.29795,0.7851
1.553925,3.312625,0.874525
1.619275,3.35195,0.931
1.642675,3.4714,0.96615
1.713875,3.54475,0.9852
1.754825,3.62185,0.994625
1.772175,3.6626,1.0538
1.78855,3.7492,1.123025
1.842525,3.834075,1.173775
1.870325,4.08255,1.186975
1.8843,4.1051,1.203075
1.899375,4.11825,1.219925
1.9195,4.1369,1.248975
1.93485,4.186025,1.27355
1.960825,4.196525,1.2828
1.974475,4.3525,1.3161
1.998975,4.390175,1.340975
2.073725,4.41875,1.35475
2.160375,4.4848,1.37405
2.238075,4.53115,1.388
2.275625,4.54685,1.419525
2.298975,4.586225,1.431025
2.3123,4.595375,1.443675
2.3209,4.7249,1.454325
2.332625,4.7574,1.48525
2.345375,4.77605,1.494425
2.37055,4.84475,1.504175
2.407975,5.05635,1.511175
2.45575,5.0922,1.51715
2.52255,5.1022,1.5247
2.5694,5.114725,1.530725
2.631475,5.16365,1.550575
2.69005,5.205825,1.568
2.7096,5.242075,1.57375
2.75705,5.25645,1.578825
2.793825,5.289175,1.58615
2.808625,5.30235,1.607175
2.89405,5.338125,1.749575
2.9246,5.37105,1.7742
2.9385,5.524575,1.79185
2.952575,5.582675,1.794275
2.9967,5.658675,1.80835
3.039625,5.68755,1.81965
3.073375,5.758025,1.8346
3.148625,5.832175,1.8427
3.187075,6.103775,1.8512
3.306325,6.120075,1.866175
3.341925,6.158025,1.8934
3.38315,6.5094,1.92
3.397075,6.577675,1.933275
3.426175,6.6693,1.9382
3.441275,6.680475,1.945125
3.454575,6.704225,1.95725
3.4775,6.7276,1.967
3.4985,6.778175,1.972675
3.514125,6.82745,1.9919
3.54055,6.90005,1.996975
3.555,7.0373,2.008625
3.5827,7.186725,2.014975
3.73185,7.285725,2.02835
3.7642,7.333875,2.03545
3.81005,7.7099,2.043425
3.87585,7.85045,2.05195
3.882825,7.8823,2.0723
3.95435,7.935075,2.087225
4.061175,7.995675,2.09565
4.100075,8.0157,2.105125
4.111,8.028525,2.1156
4.124375,8.36135,2.152075
4.133325,8.41235,2.178925
4.160075,8.473225,2.1968
4.2115,8.503325,2.20585
4.22715,8.5574,2.217875
4.26435,8.5834,2.2303
4.518375,8.7391,2.241125
4.555075,8.75345,2.260575
4.598925,8.90635,2.278525
4.610125,8.953875,2.290175
4.6202,9.056275,2.302425
4.6352,9.08065,2.32455
4.67665,9.091925,2.3509
4.7209,9.160975,2.374475
4.7465,9.20865,2.4077
4.7634,9.224125,2.5025
4.775225,9.274325,2.53305
4.791025,9.36965,2.577725
4.806425,9.405075,2.59615
4.854975,9.44715,2.655175
4.9526,9.500425,2.685875
5.017125,9.7972,2.722
5.0538,9.9946,2.73635
5.11855,10.171825,2.74445
5.136,10.198175,2.756575
5.147025,10.28315,2.764875
5.1829,10.3119,2.771825
5.215225,10.36155,2.781425
5.28055,10.377725,2.805575
5.305325,10.50915,2.8138
5.33795,10.790775,2.822175
5.3915,10.86605,2.84045
5.4313,10.874725,2.851625
5.46575,10.894825,2.86605
5.60575,10.9279,2.87765
5.6796,10.95005,2.891525
5.779575,10.97275,2.9048
5.80325,10.9837,2.917775
5.831,11.15995,2.929025
5.845875,11.1961,2.93985
5.889225,11.336075,2.9608
5.908575,11.351675,2.978875
5.934025,11.524375,3.181925
5.9625,11.7542,3.20525
5.97765,11.836675,3.21885
5.988875,12.012725,3.230875
6.009425,12.105725,3.241125
6.01995,12.1176,3.254225
6.06375,12.475375,3.2625
6.102125,12.5059,3.27165
6.152225,12.5154,3.286825
