SPK_SPKC01a,SPK_SPKC05a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC12a,SPK_SPKC14a,SPK_SPKC16a
0.116075,0.046925,0.4503,0.895625,0.204425,0.0271,0.036125
0.297775,0.088725,0.895675,3.98355,2.396675,0.07975,0.043275
0.383825,0.15315,2.42545,4.586825,2.5749,0.0918,0.167625
0.542125,0.37955,2.53955,10.968375,2.63955,0.100075,0.357525
0.703625,0.431775,3.3211,14.200075,3.75125,0.115575,0.4506
1.008675,0.463575,3.38845,14.530275,4.104975,0.495425,0.5746
1.372775,0.66535,3.651275,16.202275,8.1801,0.81275,0.715875
1.5547,1.12825,3.983575,17.6484,9.5687,0.906725,1.092925
2.1822,1.2585,4.977125,23.873825,9.74215,1.29255,1.2563
2.50965,1.490575,5.09,28.389375,10.212125,1.3156,1.273
2.652775,1.63575,5.279625,29.13965,10.8148,1.349975,1.314425
3.061025,1.666125,5.414675,31.0302,10.997225,1.3616,1.38575
3.17015,1.818475,5.832625,31.943525,15.32515,1.969025,1.48835
3.2663,1.950025,5.993475,31.982575,15.5625,2.057725,1.673475
3.37435,2.016325,6.6404,34.715475,16.040375,2.378975,1.7693
3.952375,2.037825,7.167925,35.5022,17.959725,2.386375,1.96355
4.50225,2.128825,7.2699,35.67645,19.325,2.41935,2.203975
4.83595,2.332475,8.05155,36.4155,22.920375,2.432975,2.507025
5.0427,2.556525,8.39,38.27275,25.243775,2.54585,2.55125
5.13955,2.894025,8.42905,38.4044,27.770875,2.567725,2.56255
5.243175,2.98825,8.45325,38.98925,28.46625,2.7352,2.631675
5.32985,3.041425,9.0611,39.4465,28.556175,2.831575,2.858225
5.672625,3.105075,9.3206,39.734525,29.054525,3.333375,2.931575
5.789,3.160675,9.413175,43.13605,29.83985,3.763775,3.602625
6.01365,3.370625,9.707275,51.3739,30.68105,3.840725,3.689675
6.430375,3.3967,10.05555,55.495225,30.709625,4.37895,4.2638
6.50535,3.466775,11.375675,64.160275,31.23545,4.47775,4.73365
6.583425,3.5923,11.558525,74.012275,33.66865,4.7534,4.76805
6.85725,3.71525,11.857325,74.3183,33.77335,4.951925,4.944825
7.2935,3.868725,11.926,74.858775,35.2907,4.994325,5.091775
7.719975,4.215825,12.1363,77.499875,37.909575,5.3933,5.400025
7.847075,4.4133,12.2647,78.910425,39.17775,5.70705,5.4409
7.8903,4.5884,12.751125,79.0012,39.298375,5.8602,5.494575
8.045425,5.01335,13.065225,79.3137,42.09265,5.901175,5.524275
8.337175,5.210825,14.170825,80.126,42.142075,6.06925,5.72965
8.4045,5.24345,14.530275,80.734375,42.66485,6.2306,5.7806
8.47035,5.279625,14.565825,82.970775,42.73195,6.3904,5.903625
8.627025,5.413825,15.606875,83.3721,43.0195,6.494325,5.986125
8.70245,5.436725,16.140575,84.25275,44.684825,6.523125,6.2884
8.83505,5.50435,17.1528,85.821175,45.38335,6.5663,6.31735
9.038725,5.712325,17.48035,86.98265,46.0084,6.72175,6.4719
9.4249,5.832625,18.326925,87.3057,46.03635,6.78485,6.536625
9.5717,5.992625,18.41275,87.978,46.914825,6.8804,6.601075
9.626475,6.036325,18.603375,89.367075,47.219225,6.91195,6.6913
9.7893,6.11965,19.74945,89.3784,48.777175,6.93225,6.721775
10.017975,6.268575,20.59055,89.5609,50.849,6.948375,6.78025
10.206575,6.318275,22.030125,89.974175,51.36925,7.33905,6.78485
10.284775,6.384875,24.203275,91.501475,53.93505,7.375075,6.8162
10.440325,6.640375,24.720825,91.606825,53.9721,7.4113,6.8456
10.525475,6.697625,25.09045,91.734175,53.99195,7.43,7.199125
10.839075,6.72645,26.497875,92.052325,56.184375,7.4472,7.355825
10.930125,6.92005,27.07515,92.131625,56.8843,7.5471,7.38065
11.0688,7.0738,27.7113,97.321225,56.941675,7.56295,7.42145
11.116875,7.167925,28.413225,97.913975,57.219225,7.590925,7.54575
11.320725,7.269875,29.139625,98.103775,57.632175,7.8461,7.573925
11.547425,7.3196,29.504075,98.53885,59.727675,7.8721,7.620225
11.63205,7.3544,29.7341,98.5711,59.843975,7.899625,7.7721
11.83725,7.434325,30.653125,98.664075,60.15835,7.980725,7.846175
12.055225,7.519325,32.15605,99.083575,61.443375,8.0183,7.9132
12.1743,7.553125,32.975575,99.141375,62.292925,8.04865,7.9189
12.411175,7.597775,33.3469,99.45295,62.59085,8.071825,8.0719
12.66955,7.6675,33.891075,99.790525,62.769225,8.0962,8.07865
12.863125,7.726075,34.04585,100.50645,62.84685,8.1599,8.12385
13.14955,8.078125,34.692875,100.838875,63.138575,8.18965,8.1412
13.242525,8.1061,35.668225,100.8658,63.178925,8.32985,8.1599
13.440275,8.1521,35.672,101.6824,63.52795,8.583875,8.4957
13.7157,8.17945,37.1061,102.013825,65.515425,8.928525,8.642975
13.911875,8.20955,37.231025,102.08905,66.170875,9.167125,8.98675
13.973075,8.28675,37.307575,102.344275,67.651725,9.5687,9.1271
14.12585,8.337325,37.74695,103.831025,67.9592,9.671675,9.5704
14.701925,8.433775,39.0801,104.61015,68.456625,9.704375,9.73825
14.885,8.45325,40.648025,106.46105,68.748875,9.743125,9.748025
15.068125,8.52955,42.738475,106.8579,68.76855,10.199125,9.76965
15.20545,8.551275,43.5082,106.91005,68.945475,10.289525,10.046925
15.285625,8.595025,44.574875,107.108425,71.59605,10.381975,10.083075
15.36525,8.671275,45.07105,107.1771,72.2127,10.42035,10.386875
15.400525,8.81035,45.739525,107.306,72.64005,10.57485,10.512925
15.585575,8.8503,45.857775,107.4208,72.808275,10.655175,10.5809
15.684575,8.89265,46.12195,107.5486,74.759025,10.7597,10.61675
15.925275,9.0141,48.52655,107.6015,78.0014,10.791275,10.830075
16.30205,9.253775,49.587825,108.043675,78.72715,10.80935,11.451225
16.422725,9.3158,50.0987,108.43445,78.906725,10.8222,11.64405
16.683125,9.413175,51.254025,109.15315,79.34215,10.88355,11.689625
16.722725,9.44115,51.69545,109.286475,79.60395,11.023875,11.752425
17.037625,9.6909,52.079425,109.3152,79.800325,11.380925,11.8371
17.248,9.707325,54.98535,110.1633,80.0274,11.461975,12.042
17.4292,9.759225,60.4635,111.158075,80.2693,11.53375,12.131975
17.597475,9.906125,61.187025,111.298025,81.0889,11.572625,12.261
17.648975,9.9384,61.3586,111.623,82.11635,11.743625,12.4999
17.796625,10.09355,61.589075,111.9159,82.432125,11.809625,12.6694
