SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC04a
0.009875,0.01225,0.01575
0.1461,0.058175,0.040825
0.15985,0.271975,0.069925
0.169525,0.407375,0.10325
0.228275,0.4387,0.12875
0.293275,0.50045,0.14015
0.34155,0.6054,0.14915
0.480775,0.6683,0.15925
0.56865,0.7072,0.17205
0.602475,0.774675,0.189025
0.60825,0.860775,0.218325
0.6372,0.925425,0.25345
0.6677,0.992675,0.272025
0.737425,1.0222,0.280375
0.778775,1.057225,0.302025
0.797325,1.186175,0.355175
0.84295,1.199725,0.39465
0.852025,1.362925,0.46055
0.882625,1.403675,0.509175
0.920775,1.45115,0.51645
0.94285,1.48255,0.5191
0.96405,1.51105,0.529125
0.9717,1.5383,0.535425
0.9927,1.553175,0.548475
1.0015,1.567775,0.564725
1.04685,1.6208,0.575275
1.086825,1.6604,0.615525
1.116875,1.69995,0.630875
1.173,1.786825,0.6424
1.19625,1.825,0.65515
1.243025,1.8811,0.6664
1.2629,1.945525,0.6798
1.277625,1.9795,0.6935
1.36755,2.04515,0.7058
1.42005,2.072725,0.7197
1.456375,2.1261,0.746225
1.478425,2.212875,0.7706
1.484225,2.251475,0.786875
1.535925,2.361075,0.80015
1.566375,2.4062,0.814125
1.6043,2.42245,0.84435
1.658975,2.623825,0.8531
1.672125,2.76,0.870575
1.748125,2.81905,0.881675
1.76475,2.82325,0.9559
1.780675,2.85935,0.9945
1.815875,2.930275,1.01175
1.882425,3.021625,1.03125
1.92685,3.067625,1.051875
1.951575,3.099375,1.100575
1.958325,3.16265,1.162675
1.989075,3.184175,1.19075
2.03295,3.245475,1.239775
2.0629,3.28335,1.261225
2.1031,3.3193,1.27355
2.225,3.378375,1.284825
2.244,3.46615,1.295725
2.371875,3.556375,1.3046
2.3734,3.602425,1.328925
2.4003,3.66175,1.341525
2.463825,3.783375,1.36475
2.4871,3.852475,1.3799
2.489075,3.895025,1.39805
2.5273,3.9956,1.417225
2.569775,4.070975,1.434925
2.575025,4.0964,1.592875
2.5963,4.12255,1.601975
2.632175,4.155,1.6098
2.6357,4.188875,1.615975
2.646775,4.21095,1.620925
2.68775,4.288825,1.6296
2.71035,4.340475,1.64445
2.738825,4.402525,1.652
2.75485,4.44075,1.666275
2.8191,4.559075,1.68825
2.8678,4.6003,1.69995
2.92175,4.615825,1.722
2.962125,4.629075,1.7302
3.0393,4.677875,1.769325
3.0621,4.77665,1.812175
3.106925,4.841275,1.855475
3.1434,4.942225,1.94555
3.17805,4.96995,1.977725
3.179025,5.004425,1.987675
3.258675,5.0276,1.995775
3.309775,5.07885,2.0108
3.33055,5.199025,2.0373
3.404,5.2521,2.09985
3.435275,5.366725,2.11025
3.459375,5.398625,2.13015
3.50495,5.46425,2.151725
3.639475,5.5255,2.1799
3.68405,5.6013,2.19305
3.716575,5.622575,2.20935
3.73325,5.6408,2.223175
3.77375,5.723325,2.23615
3.82725,5.762725,2.251675
3.893325,5.827725,2.28635
3.935025,5.91675,2.296875
3.960725,6.082825,2.3081
4.02655,6.134875,2.318575
4.059875,6.168625,2.340775
4.1151,6.239875,2.352175
4.146375,6.285375,2.353575
4.167275,6.301875,2.406275
4.215675,6.325525,2.419875
4.2334,6.344875,2.42905
4.243125,6.370475,2.4424
4.2864,6.4017,2.458825
4.308025,6.502475,2.478525
4.366,6.5433,2.517525
4.384675,6.57265,2.53365
4.453975,6.625625,2.54505
4.467875,6.69945,2.562825
4.50995,6.763775,2.5762
4.54255,6.77255,2.593175
4.60135,6.8042,2.60805
4.61655,6.81145,2.626125
4.633925,6.830525,2.636275
4.687025,6.87435,2.661
4.7048,7.04485,2.67065
4.716275,7.0692,2.680225
4.724025,7.11075,2.690575
4.73495,7.1852,2.70075
4.7511,7.221875,2.71245
4.7729,7.29525,2.727975
4.79725,7.368375,2.743975
4.861875,7.42015,2.7774
4.91415,7.458975,2.799
4.9423,7.5026,2.849475
5.0536,7.63395,2.87395
5.090375,7.69725,2.930225
5.1098,7.721525,2.94595
5.1428,7.746925,2.967725
5.161375,7.7866,2.988525
5.2165,7.837975,3.02085
5.2688,7.878875,3.0445
5.30175,7.9419,3.103425
5.34405,7.986175,3.178075
5.377125,8.11875,3.1972
5.388575,8.168025,3.235425
5.409425,8.218525,3.245475
5.42505,8.228,3.25365
5.5125,8.323875,3.26605
5.590175,8.342575,3.286725
5.6202,8.3638,3.296225
5.64345,8.4238,3.307
5.7084,8.448225,3.32045
5.744425,8.49465,3.367975
5.77615,8.656725,3.3963
5.805575,8.8161,3.411
5.8208,8.90015,3.4235
5.83635,8.981575,3.4691
5.847975,9.030775,3.483375
5.89465,9.096925,3.5564
5.92955,9.1461,3.596125
6.0146,9.2611,3.701975
6.02925,9.3321,3.74465
6.135075,9.40825,3.76295
6.1432,9.5028,3.7775
6.208925,9.656175,3.795425
6.219675,9.69365,3.8134
6.230975,9.761225,3.827375
6.305575,9.788225,3.83795
6.31755,9.869175,3.852525
6.3394,9.886575,3.85975
6.438525,9.9062,3.884775
6.4577,9.97205,3.895125
6.4611,10.084725,3.908125
6.495675,10.15345,3.919475
6.535025,10.21775,3.945375
6.563975,10.284475,3.956325
6.69435,10.317,3.98245
6.720975,10.394325,4.0069
6.754175,10.508275,4.039575
6.8087,10.55755,4.0538
6.866125,10.6081,4.1509
6.924575,10.640525,4.18945
6.954775,10.786,4.229975
6.974725,10.78795,4.2391
7.062025,10.8772,4.24875
7.097875,10.959525,4.25985
7.126275,11.01035,4.2731
7.147225,11.033625,4.287175
7.17685,11.1375,4.30755
7.1786,11.184625,4.3319
7.201675,11.2422,4.37245
7.228525,11.3439,4.425425
7.26205,11.40005,4.461925
7.3112,11.4329,4.4964
7.320475,11.45185,4.510525
7.330525,11.489775,4.52225
7.40935,11.562325,4.532775
7.429875,11.598675,4.543825
7.4541,11.676675,4.551575
7.515125,11.73335,4.571
7.5784,11.800225,4.5798
7.58385,11.83025,4.5914
7.62795,11.895425,4.6139
7.64655,12.043075,4.646825
7.699075,12.094525,4.66505
7.754875,12.126,4.676425
7.774175,12.185675,4.68785
7.793125,12.256525,4.719
7.8215,12.413875,4.72815
7.870475,12.488675,4.756275
7.877175,12.5986,4.784225
7.8972,12.654525,4.8313
7.9163,12.7123,4.851525
7.940825,12.774625,4.875225
8.0476,12.883675,4.914075
8.0893,12.970875,4.9317
8.123275,12.974875,4.94235
8.158525,13.024975,4.9699
8.25255,13.081475,4.986275
8.28655,13.2053,4.9969
8.313075,13.243825,5.007525
8.342625,13.273075,5.023675
8.40395,13.334,5.0329
8.427075,13.378525,5.0431
8.4396,13.42805,5.07745
8.46465,13.504775,5.0923
8.497825,13.538675,5.1487
8.562375,13.575975,5.19335
8.5866,13.630975,5.217625
8.6007,13.7664,5.240975
8.696825,13.8172,5.26235
8.7251,13.8872,5.29555
8.73865,13.930775,5.34665
8.788,13.967525,5.42355
8.8124,14.0036,5.442725
8.849975,14.0463,5.46305
8.867425,14.098,5.479725
8.88305,14.1999,5.5003
8.90025,14.23985,5.558825
8.92905,14.26115,5.648725
8.94765,14.321075,5.6785
8.99435,14.372725,5.73265
9.010025,14.408225,5.753275
9.04395,14.44,5.77425
9.058475,14.522025,5.783925
9.07405,14.5696,5.80495
9.12375,14.597775,5.8175
9.153725,14.64625,5.86305
9.1567,14.6951,5.88085
9.16655,14.7527,5.9101
9.190975,14.870025,5.930775
9.2317,14.958675,5.986125
9.2546,14.996025,6.018775
9.279125,15.116575,6.037125
9.30615,15.14545,6.059025
9.324075,15.192875,6.0728
9.3458,15.260275,6.0856
9.38405,15.3005,6.122825
9.396375,15.3409,6.144775
9.518375,15.3493,6.30855
9.522025,15.366325,6.318675
9.55115,15.3949,6.336725
9.567475,15.417775,6.34485
9.5896,15.4437,6.355625
9.610325,15.531475,6.363225
9.629825,15.572775,6.3778
9.656275,15.6194,6.391425
9.67845,15.686725,6.39895
9.692575,15.7204,6.40515
9.715775,15.7729,6.420375
9.73385,15.8472,6.4367
9.746075,15.914075,6.465625
9.76815,16.05715,6.476675
9.796025,16.11345,6.501
9.83635,16.194825,6.518075
9.8554,16.2412,6.551
9.8919,16.323775,6.6017
9.922075,16.3253,6.66495
9.941525,16.46325,6.7369
9.94575,16.4944,6.7991
9.96745,16.593125,6.807
9.982525,16.6221,6.814
10.01195,16.68045,6.821375
10.0389,16.73045,6.830625
10.07705,16.77545,6.837875
10.079525,16.83165,6.85265
10.128025,16.8664,6.8622
10.15885,16.904575,6.87305
10.162225,16.9232,6.89
10.187275,16.947225,6.920875
10.28155,16.96045,7.044825
10.285475,17.042675,7.092625
10.3348,17.10535,7.114775
10.347775,17.160475,7.17305
10.368975,17.197825,7.25075
10.385325,17.233775,7.30835
10.408475,17.256575,7.334975
10.43225,17.28555,7.357575
10.4636,17.325525,7.3864
10.5094,17.34135,7.41835
10.529425,17.495,7.43725
10.546725,17.5263,7.45755
10.652625,17.569975,7.45895
10.678525,17.599625,7.475775
10.693825,17.622275,7.489975
10.697975,17.62655,7.502725
10.72225,17.637275,7.5151
10.814275,17.7024,7.5287
10.835625,17.725075,7.559325
10.859175,17.777375,7.573925
10.86985,17.8248,7.589075
10.97065,17.8637,7.62305
11.025325,17.89055,7.637225
11.062475,17.92165,7.706925
11.079875,17.95005,7.76145
11.095625,18.002075,7.770775
11.126,18.0524,7.809125
11.151925,18.14895,7.855975
