SPK_SPKC02a,SPK_SPKC06a,SPK_SPKC11a
400.001625,400.021925,400.014025
400.05075,400.034125,400.0282
400.112575,400.0391,400.0422
400.1218,400.05725,400.049875
400.131675,400.068525,400.052775
400.1435,400.0799,400.060725
400.171525,400.098175,400.0778
400.26625,400.11055,400.084125
400.3133,400.122525,400.1119
400.329525,400.13595,400.138025
400.342375,400.148175,400.14995
400.391775,400.16025,400.162125
400.4192,400.190075,400.17485
400.52085,400.214375,400.192875
400.530675,400.23555,400.2094
400.54295,400.261825,400.219875
400.6112,400.28145,400.235125
400.6609,400.30425,400.248925
400.683,400.41645,400.2655
400.691575,400.447975,400.279425
400.71605,400.4573,400.316875
400.783075,400.474425,400.348525
400.8397,400.521525,400.367925
400.8505,400.54425,400.394025
400.8808,400.5715,400.406825
400.915125,400.599275,400.424075
400.969,400.629025,400.4512
401.00335,400.65555,400.46545
401.01805,400.664025,400.487525
401.0376,400.69955,400.5069
401.12055,400.824575,400.527475
401.133125,400.835725,400.5439
401.1739,400.850775,400.56605
401.2082,400.8608,400.60155
401.226875,400.869075,400.6184
401.239975,400.87655,400.6355
401.26565,400.895,400.655925
401.29145,400.904775,400.69625
401.410225,400.9303,400.708375
401.42305,400.940375,400.721725
401.436475,400.9539,400.733775
401.448425,400.96885,400.739275
401.476725,400.993675,400.75705
401.55185,401.011275,400.767025
401.6272,401.024025,400.7741
401.64645,401.031875,400.780525
401.65725,401.065325,400.791
401.66845,401.080425,400.801825
401.6927,401.097925,400.8125
401.70245,401.1132,400.821975
401.7174,401.1277,400.84115
401.76995,401.188925,400.848425
401.781875,401.23525,400.85475
401.806,401.245875,400.86375
401.872075,401.254675,400.887825
401.92375,401.2683,400.912475
401.93605,401.278175,400.9201
401.97655,401.28525,400.929125
401.9899,401.3046,400.93515
402.041725,401.308775,400.942875
402.2065,401.33295,400.9515
402.216925,401.363675,400.958725
402.243125,401.378225,400.968125
402.32395,401.410925,400.97635
402.33505,401.4597,400.991125
402.3639,401.509675,401.001875
402.400475,401.5215,401.014175
402.417825,401.54275,401.02825
402.448775,401.566375,401.0398
402.461425,401.5838,401.10595
402.5155,401.59885,401.13655
402.527575,401.61885,401.14935
402.5534,401.6432,401.1602
402.56355,401.655125,401.172125
402.625775,401.666175,401.1776
402.6433,401.68515,401.215375
402.6931,401.69415,401.235725
402.716975,401.723475,401.246725
402.727925,401.733075,401.264925
402.783425,401.75845,401.276975
402.864775,401.7727,401.28965
402.89615,401.792625,401.3056
402.9133,401.81035,401.32055
402.9318,401.8252,401.33395
402.994125,401.8446,401.35025
403.0041,401.86345,401.36555
403.107525,401.9243,401.4046
403.1292,401.9413,401.43735
403.172725,401.973475,401.482175
403.223975,401.997725,401.494125
403.235925,402.012625,401.50605
403.32335,402.0287,401.518375
403.336875,402.04295,401.543475
403.408975,402.0654,401.557225
403.421225,402.071525,401.5737
403.4308,402.0964,401.620375
403.4783,402.1093,401.661
403.529825,402.12045,401.670725
403.563425,402.161575,401.682775
403.659575,402.193375,401.702075
403.6729,402.205475,401.71575
403.694875,402.237425,401.727825
403.7896,402.240975,401.74685
403.7987,402.25885,401.765575
403.824775,402.287475,401.781875
403.84775,402.30635,401.8029
403.92035,402.367225,401.8165
403.99655,402.3763,401.8458
404.037625,402.383775,401.862225
404.082775,402.395625,401.878625
404.1039,402.398225,401.8973
404.11285,402.402525,401.9081
404.11815,402.409625,401.925175
404.138125,402.4254,401.940125
404.1478,402.429525,401.954325
404.156275,402.43335,401.969275
404.177475,402.443175,401.98375
404.20055,402.494175,401.999525
404.339875,402.507775,402.00875
404.351475,402.54795,402.023125
404.4006,402.5614,402.036625
404.417725,402.578175,402.04915
404.430375,402.58965,402.075575
404.459025,402.600925,402.077025
404.46385,402.62385,402.0838
404.48175,402.631475,402.10005
404.4933,402.641925,402.10665
404.5342,402.6581,402.11815
404.5574,402.671,402.12945
404.599675,402.69145,402.137875
404.609575,402.7101,402.1516
404.635725,402.757575,402.1659
404.6439,402.7813,402.195675
404.674125,402.802275,402.2092
404.773575,402.82115,402.225625
