SPK_SPKC09a,SPK_SPKC11a,SPK_SPKC13b,SPK_SPKC14a,SPK_SPKC16a
0.03575,0.150475,3.270625,1.95785,0.03815
0.131425,1.223425,3.392575,2.778175,0.127
0.478775,1.244925,3.3941,4.01685,0.2857
0.6813,1.572475,3.476725,5.28095,0.5237
0.903525,1.934675,4.4207,5.679125,0.63705
0.97425,1.982825,5.712025,7.136875,0.8255
1.199925,1.99035,7.882175,9.95855,0.846525
2.2438,2.086275,7.98985,9.98725,0.9269
2.492825,2.704025,8.962825,10.61515,1.018925
2.592675,3.5511,12.07055,11.74975,1.042575
2.745975,3.731275,12.5253,11.79445,1.29465
2.89075,4.09745,16.01435,12.016475,1.327625
3.1288,5.016575,17.0681,12.028175,1.32985
3.377325,5.661475,26.078875,13.41395,1.428925
3.446375,6.355425,26.678125,13.4385,1.644075
3.4772,6.46255,27.0221,13.467925,1.991625
3.573975,6.676625,28.970575,14.2231,2.35795
3.866225,6.865225,30.502225,14.93905,2.5306
4.53955,7.1443,30.830225,15.00105,2.79745
4.6928,7.652225,35.390675,15.104225,3.116275
4.727825,8.3732,35.430125,15.606825,3.159425
4.78925,9.45565,38.447825,16.567325,3.205775
4.833125,9.490875,39.020325,16.883575,3.231325
4.861275,9.984175,39.28875,17.3633,3.56005
4.996475,10.263525,41.072,17.502225,3.655275
5.0838,10.4093,41.660475,17.705875,3.715325
5.427525,10.762225,42.634775,17.86815,4.067175
5.598275,10.7864,44.2305,18.025275,4.078625
5.67535,11.209075,47.43375,18.247775,4.157425
5.763125,11.694525,48.610875,18.6866,4.362375
5.9656,12.0243,49.662675,18.723,5.315975
6.039525,12.03825,50.3901,18.730875,5.538775
6.1928,12.4444,51.817475,18.76545,5.55605
6.25235,13.057275,55.499175,18.780925,5.6233
6.62535,13.272775,55.847725,18.81695,5.64895
6.825675,14.413225,56.663375,18.849025,5.69335
6.834425,14.914525,56.76795,18.96175,5.89095
7.109325,14.98455,58.75355,18.973225,6.00195
7.178525,15.544575,59.58865,18.983325,6.945075
7.390075,15.56995,61.380925,19.151125,7.08145
7.637025,16.18205,65.675425,19.39255,7.155425
7.833675,16.25525,67.893775,19.4384,7.2481
7.892575,16.668325,70.16635,19.44945,7.727375
7.968975,16.8749,70.461,19.4588,8.0037
8.2743,16.951925,70.60545,19.4785,8.04875
9.05185,17.44545,71.60295,19.5019,8.064175
9.1581,17.5429,71.905175,19.5181,8.51585
9.381325,17.67745,76.11795,19.726725,8.57575
9.66465,18.2619,77.570825,19.750825,9.069625
9.706125,18.73835,77.619825,19.796175,9.0901
9.72145,18.88745,77.85925,19.87505,9.162
9.856025,18.925375,79.214875,19.89815,9.51095
9.8903,18.972825,81.9016,19.92175,9.57985
9.89565,18.986,85.610675,19.969475,9.78695
10.00285,19.261875,87.1049,20.101975,10.02005
10.232375,19.4937,87.7546,20.1779,10.12595
11.108975,19.54135,87.8841,20.2162,10.36135
11.3954,20.181875,90.76935,20.474825,10.4645
11.4976,20.419325,93.29745,20.535075,10.607675
11.5398,20.572275,95.082625,20.5633,11.06095
11.628675,20.64655,95.829675,20.5812,11.1955
11.757375,21.0585,96.0455,20.603825,11.285725
11.862275,21.411325,98.231325,20.6173,11.290325
11.907225,21.732125,99.36385,20.640675,11.32655
12.31625,21.79145,99.59655,20.6544,11.3808
12.41185,23.172425,100.743575,20.96475,11.4111
12.50335,23.75735,105.37495,20.98735,11.414375
12.576925,24.173675,105.454275,21.019825,11.779375
12.66035,24.71525,105.687375,21.063225,11.9962
12.8902,24.763425,108.666975,21.0949,12.0105
13.062825,24.784375,108.8346,21.250225,12.01655
13.272725,25.062675,109.379125,21.3207,12.027775
13.31345,25.57785,109.52695,21.391225,12.031075
13.796275,25.822125,113.284425,21.402675,12.0713
13.836675,26.04985,113.4824,21.42005,12.08455
13.91335,26.217075,114.76345,21.439475,12.77815
13.98845,26.3447,115.41495,21.56525,13.390425
14.88615,26.59965,115.596675,21.802575,13.4552
15.0711,27.0765,118.939975,21.864575,13.6717
15.647625,27.394975,119.397075,21.9167,13.7517
15.742175,27.93235,120.83085,21.9305,13.7891
15.98375,28.533975,123.022175,21.95685,14.186775
16.18815,29.0747,129.457275,21.977975,14.225475
16.411275,29.2631,131.1169,21.993125,14.23015
16.49785,30.16695,131.129875,22.0241,14.310975
16.6191,30.374675,131.69975,22.108675,14.64175
16.938825,30.5451,134.22605,22.32965,15.010475
17.002675,30.9242,135.6931,22.354725,15.055475
17.1086,30.996675,138.080725,22.380775,16.03805
17.244875,31.3863,138.243925,22.399825,16.09505
17.358825,32.126675,138.66745,22.450325,16.30695
17.456225,32.5466,138.799225,22.477375,16.59105
17.823175,33.732825,139.080975,22.7246,16.67575
18.049575,34.26425,140.213925,22.838,16.6995
18.18785,35.12855,141.160425,22.850075,16.706375
18.210275,35.243775,144.6857,22.918175,16.71835
18.501325,35.266375,147.911,22.94385,17.1191
18.650125,35.463475,149.3673,23.262975,17.19635
19.727125,35.822225,,23.45365,17.259225
19.745375,35.924875,,23.7367,17.272075
19.805425,35.9393,,23.767875,17.422325
19.98345,36.39845,,23.93465,17.444275
20.236275,36.8503,,24.0413,17.477375
20.56985,37.16375,,24.066375,17.500775
20.617,37.609875,,24.178125,17.5678
20.69965,38.5443,,24.3581,17.6214
20.847625,38.691275,,24.418475,17.628
21.3991,39.186175,,24.6747,17.733625
22.170475,39.24595,,24.777075,17.7542
22.2305,39.248375,,24.9281,17.853475
22.50765,39.321925,,25.0436,17.948125
22.6717,40.46215,,25.118025,17.9642
22.71695,41.195,,25.17135,18.2301
23.322475,41.42235,,25.2344,18.360775
23.384375,41.480175,,25.263275,18.39105
23.5018,41.76405,,25.277525,18.4732
23.555675,42.208925,,25.369475,18.7272
23.709225,42.4752,,25.63155,18.736775
23.840375,42.6561,,25.993975,18.7515
23.916325,42.677125,,26.006275,18.806625
24.0719,43.464075,,26.020425,18.81695
24.578325,43.5187,,26.0617,18.86445
24.8954,44.4134,,26.075925,18.99205
24.9505,44.665375,,26.15055,19.00145
25.25585,45.259375,,26.17145,19.072925
25.3862,45.331325,,26.34975,19.07865
25.4444,45.335375,,26.91315,19.117175
25.51205,45.5312,,26.941925,19.444325
25.77195,46.38395,,27.38355,19.450575
25.861625,47.04135,,27.628225,19.461375
25.917975,48.11175,,27.934875,19.502675
26.180375,48.136925,,27.9535,19.67445
26.48495,48.51335,,29.079575,19.738925
26.893425,49.2489,,29.449075,19.777125
26.961575,49.400775,,30.075725,19.824875
27.00625,50.5523,,30.0917,19.919125
27.117275,51.4498,,30.3358,20.02205
27.348875,51.846325,,30.699075,20.02605
27.48105,52.466525,,30.71665,20.0744
27.6307,52.86495,,30.758275,20.1812
27.767225,53.334425,,31.757,20.18315
27.827375,53.4841,,32.09015,20.2123
27.85405,53.833725,,32.3642,20.249475
28.01895,54.05355,,32.5993,20.323025
28.074825,54.093025,,33.200575,20.590825
28.129425,54.218875,,33.360375,20.6139
28.305825,54.26145,,33.36865,20.624825
28.429125,54.281025,,33.7185,20.680875
28.5645,54.49205,,33.7283,20.68625
28.81375,55.342575,,34.263475,20.701475
29.538625,56.1798,,34.68935,20.84735
29.619575,56.8216,,36.4519,20.9843
30.0081,57.179725,,36.5057,21.0315
30.19095,57.375575,,36.654325,21.033275
30.400125,57.540475,,36.823925,21.041775
30.40675,59.473975,,37.3545,21.0567
30.446125,59.632525,,37.661075,21.156875
30.67275,59.9767,,37.8257,21.16605
30.707275,60.0181,,38.23845,21.1992
31.331275,60.18225,,38.2821,21.24305
31.41835,60.599625,,38.373325,21.468725
31.912425,60.723275,,38.920975,21.5707
32.02165,61.00625,,39.09335,21.65395
32.4653,61.91655,,39.514725,21.750175
32.5498,62.963,,39.72385,21.96875
32.755275,63.407925,,40.031625,21.985625
32.83515,63.5511,,40.11315,21.995225
32.9596,63.67615,,40.9179,22.007875
33.131175,63.858175,,40.9279,22.089975
33.344375,64.246475,,41.320975,22.155575
33.383575,64.72765,,41.636325,22.3688
