SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC09a
0.4867,5.0154,0.128625,0.181225
0.66035,5.4655,1.704225,0.19665
0.6706,6.69545,3.78495,0.2029
0.6953,8.920375,4.99025,0.210175
0.7489,10.395175,5.002275,0.232025
6.8363,11.188325,7.27025,0.3057
6.85705,11.19795,7.435525,0.509675
6.91125,11.4751,7.5559,0.715025
7.247925,12.60835,8.385875,0.723025
7.27615,12.668575,8.3986,0.7335
7.434075,13.240675,8.41735,0.74315
7.4413,13.623225,9.0023,0.752575
7.47145,14.541875,9.91065,0.757525
7.487525,16.338125,9.936575,0.826975
7.779925,16.43895,10.4757,0.833825
7.804475,16.864175,11.202675,0.8915
8.08835,17.5501,11.21925,1.0385
8.41525,18.2112,11.50865,1.048975
8.744225,18.647575,11.52395,1.056525
9.002175,18.734,11.883675,1.11605
9.3659,18.777825,12.02455,1.2013
9.7468,19.545375,12.384225,1.36225
9.75405,19.590325,12.78025,1.388875
9.82335,19.92005,12.878175,1.655425
9.853125,20.570975,13.19915,1.6598
10.1305,20.783675,13.209625,1.67175
10.95195,20.815025,13.3101,1.706475
11.2306,20.94905,13.6716,1.757725
12.778775,21.01455,14.21435,2.064775
12.7893,21.05245,14.25185,2.068875
12.8074,21.11825,14.68785,2.087575
13.944625,21.144225,16.5459,2.69835
15.32845,21.260375,17.304525,3.025925
15.3413,21.296125,17.326025,3.06455
15.597625,21.320825,17.985975,3.42325
15.655575,21.903225,18.97875,3.44355
15.671175,22.110275,19.6278,3.810075
15.73975,22.503075,19.75165,5.011675
16.053225,22.591925,19.914875,5.013875
16.06735,23.080625,20.26195,5.027075
16.340675,23.575,20.56155,6.9373
16.580025,23.91505,20.886575,7.007725
16.590525,24.093925,21.1992,7.0316
16.914425,24.151325,21.40945,7.039
16.93155,24.5675,21.753925,7.074825
17.14985,24.6033,21.76385,7.288575
17.1668,24.70265,22.045575,7.465675
17.180025,24.990125,22.396225,7.605425
17.188675,25.025525,23.0063,7.864275
17.198425,25.064325,23.74175,7.876675
17.210025,25.268375,25.584725,8.1323
17.580975,25.365375,26.11265,8.384775
17.592525,25.902625,27.29565,8.396825
17.645675,25.978475,28.3639,8.4269
17.70515,26.014175,28.3804,8.7249
18.005275,26.17515,29.39185,8.729775
18.371525,26.28235,29.57685,9.016275
18.378075,26.34015,30.146725,9.096125
18.722925,26.43955,30.436575,9.38735
18.737675,26.8743,31.01935,9.4098
18.931,27.10335,31.0315,9.544725
18.939025,27.1481,31.253775,9.5539
18.9586,27.390675,31.502325,9.565775
19.22555,27.840075,31.51125,9.92465
19.232375,27.925975,32.064875,9.945475
19.24365,28.05945,32.071475,10.7641
19.5534,28.2556,32.624325,10.815275
19.9092,28.267375,33.052175,10.946275
19.9255,28.999425,33.316525,11.2327
19.937025,29.135725,35.5538,11.5781
19.944175,29.162775,35.959675,11.5876
19.95925,29.3617,36.1437,12.01475
19.96795,29.487225,38.13705,12.0205
19.973925,29.679275,39.360075,12.38425
19.9839,29.78225,39.741175,12.401625
20.00075,30.0505,40.05785,12.78105
20.01115,30.09785,40.06465,12.802975
20.017175,30.292025,40.4325,12.905175
20.317525,30.359875,40.4514,13.217725
20.334,30.95095,40.9114,13.34895
20.6289,31.0633,41.037025,13.671625
20.950525,31.130625,41.392125,13.7006
21.25815,31.42205,42.13215,13.736675
21.2885,31.53455,42.4149,13.91555
21.553675,32.270325,42.58585,13.92315
21.56165,32.4835,42.6006,14.261575
21.573325,32.852175,42.625725,14.280125
21.9935,32.87705,42.9955,14.712875
21.997725,32.99945,43.3444,14.743075
22.01605,33.058475,43.358675,14.96945
22.41055,33.499875,43.745075,14.97515
22.768325,33.9336,43.76145,14.97975
22.7776,33.9541,43.877525,14.983925
22.79465,33.9814,44.350825,14.991075
23.034125,34.01455,44.51405,15.010725
23.463275,34.457875,44.8229,15.059025
23.4724,34.577525,44.8351,15.07875
23.491775,34.74765,45.904325,15.130325
23.743825,34.89275,46.158975,15.37205
23.840975,35.22225,46.474575,15.377275
24.096975,35.2479,46.489075,15.404425
24.2116,35.5103,46.5133,15.513875
24.23565,35.54845,46.842525,15.56795
24.446075,35.764225,47.162325,16.679075
24.455925,35.7872,47.405975,16.69935
24.4712,36.091525,47.4825,17.0608
24.746175,36.33365,47.72805,17.3333
24.769925,36.38035,48.8158,17.348525
24.78155,36.591675,49.138075,17.68435
24.78525,36.652925,49.457925,17.707025
24.9814,36.70785,50.00675,18.384325
24.995625,36.730975,50.2644,18.447725
25.001325,36.9412,50.2883,18.986175
25.027725,37.055675,50.659575,19.000575
25.68395,37.5984,50.690575,19.27455
25.716175,37.655625,51.058875,19.6491
25.736625,37.94545,51.1071,19.790375
25.760475,38.016775,51.124,20.109275
25.785975,38.379125,51.422575,20.572
25.812075,38.39545,51.435325,20.5768
26.148425,38.669675,51.755075,20.9084
26.6104,38.849575,51.782125,21.214575
26.89515,38.953975,52.059475,21.7146
27.306875,39.1975,52.10685,21.720225
27.308175,39.60725,52.154075,21.7473
27.68495,39.6639,52.179425,22.061625
28.063725,39.685325,52.4563,22.4041
28.1694,40.033275,52.6872,22.4104
28.376325,40.200875,52.704375,22.812025
28.6004,40.89255,53.779425,22.82615
28.695575,41.204125,53.80285,23.2438
29.1503,41.351525,54.23235,24.7789
29.252325,42.06805,54.240925,25.525225
29.496275,42.077825,54.247575,25.530125
29.5089,42.0876,54.281425,25.555475
29.535125,42.239825,54.359275,25.575275
29.55575,42.291,54.930925,26.1113
29.578075,42.782925,54.9766,26.625225
30.18085,42.9418,55.162025,27.3065
30.421025,43.199325,55.1843,27.310875
30.445,43.57585,55.2061,27.75815
30.4899,43.6518,55.30335,28.40615
30.6451,43.699925,55.4344,28.413025
30.7083,43.764925,55.63585,29.46145
30.7166,44.091625,55.982125,29.504275
31.003575,44.178375,55.99275,29.575575
31.0137,44.2178,56.01715,30.1725
31.269825,44.286175,56.203325,30.4479
31.48855,44.705025,56.21185,30.46065
31.543075,44.7221,56.297325,30.744675
31.5584,45.443225,56.526075,30.752925
31.5752,45.7637,56.608625,31.065175
32.005925,45.79705,56.6314,31.288075
32.359925,45.949975,56.867,31.56335
32.43015,45.99325,56.9505,32.0715
32.55145,46.101,57.198725,33.085425
32.6581,46.108475,57.20825,33.337925
32.66775,46.11885,57.58535,33.344
32.71355,46.391375,58.005925,33.3513
33.5749,46.4399,58.019425,33.370325
33.62005,46.708325,58.096775,33.6942
33.7948,46.74475,58.4473,34.287825
34.017725,46.76205,59.497175,34.302525
34.164225,46.783425,59.702475,35.5411
34.185125,46.9718,60.0569,36.018325
34.216075,46.988625,60.0655,36.559025
34.228475,47.01525,60.07555,37.1657
34.2851,47.026025,60.476075,37.1797
34.44095,47.08265,60.540225,37.1861
34.5815,47.14295,61.228,37.5492
34.599525,47.2931,61.24345,37.555675
34.61385,47.3092,61.249075,37.875075
34.918225,47.332425,61.759625,38.460975
35.083875,47.374475,62.152525,38.471375
35.430825,47.394775,62.199975,38.509525
35.4912,47.440425,62.2665,38.5233
35.5249,47.455875,62.315775,38.56215
35.615775,47.55885,62.6687,38.9043
35.6543,47.672275,62.703125,38.91305
35.717125,47.7535,63.1151,38.91755
35.76565,47.799625,63.211,38.922825
36.021875,47.837125,63.277275,38.9396
36.079775,47.9192,63.609925,39.776575
36.12725,47.966375,63.884625,41.4005
36.2199,47.9918,63.926775,42.14225
36.266725,48.06515,64.300775,43.33785
36.4381,48.199325,64.30775,43.344775
36.48245,48.21835,64.31265,43.362
36.708075,48.2425,64.32505,43.767275
37.3433,48.268225,64.33085,46.5618
37.364,48.3517,64.4523,46.576675
37.47515,48.384275,64.49705,46.901525
37.80945,48.43045,64.556375,47.42065
37.8936,48.52525,64.632775,47.426975
38.01115,48.6579,64.89135,48.0517
38.152475,48.69625,64.904325,48.057275
38.345925,48.98345,65.070825,48.0744
38.366875,48.992425,65.340525,48.442575
38.443025,49.015925,65.3795,48.446725
38.46975,49.23115,65.795875,48.453125
38.4836,49.290625,66.14015,48.855025
38.497725,49.3012,66.177975,49.15645
38.570625,49.328275,66.23875,49.839
38.8407,49.34475,66.320825,50.01025
38.882025,49.39135,66.4001,50.29195
38.898975,49.40925,66.70025,50.3141
39.0083,49.5334,66.806525,50.6683
39.0391,49.59515,67.14075,51.0626
39.2622,49.6099,67.157875,51.096325
39.302975,49.624275,67.559975,51.44395
39.39985,49.65665,67.569,51.7965
39.422775,49.669025,67.58585,53.8474
39.751875,49.89935,67.9434,55.661875
39.8028,50.06095,67.952175,55.6686
40.038925,50.0841,68.248125,55.99275
40.058475,50.131925,68.26735,56.15805
40.093125,50.182125,68.6836,56.20145
40.117075,50.21415,69.21905,56.207625
40.1321,50.2969,69.23515,56.216775
40.154875,50.30445,69.255425,56.57755
40.4564,50.3572,69.49845,57.206775
40.497975,50.46625,70.044825,57.998625
40.530375,50.481175,70.4536,58.021575
40.603475,50.493875,70.464,58.0766
40.887525,50.5677,70.47735,58.09255
40.90965,50.578725,70.884225,58.440375
40.9228,50.5995,70.985675,58.731725
40.98895,50.784875,71.36785,58.7393
41.051875,50.804075,71.39875,59.09495
41.061625,50.8361,71.492775,62.188875
41.08685,50.88995,71.75895,62.68075
41.10265,50.9277,71.931825,62.691625
41.29645,50.95205,71.952675,63.6183
41.390375,50.97665,72.2064,63.62225
41.401675,50.997225,72.214075,63.647175
41.410475,51.06105,72.220925,64.51145
41.431425,51.108225,72.2304,64.549425
41.4935,51.190425,72.241625,64.601
41.7853,51.229675,72.488775,64.909
41.8665,51.23945,72.506425,65.849375
41.878525,51.370725,72.512175,65.8721
41.8907,51.38315,72.9838,66.873225
41.905125,51.3924,73.003275,67.1897
41.940425,51.585,73.32705,67.20975
42.005425,51.60165,73.3387,67.6022
42.08725,51.65175,73.49885,67.965725
42.105625,51.68055,73.82425,68.2683
42.115225,51.71265,73.836725,68.27575
42.12105,51.72675,73.95215,68.279275
42.1261,51.780225,74.227975,69.262275
42.131575,51.90875,74.3133,70.073225
42.4065,51.9312,74.673325,70.4752
42.4428,51.9413,75.5414,70.48165
42.48555,51.9615,75.587725,70.4987
42.498375,51.992475,75.834325,70.88995
42.502525,52.048525,75.8469,70.954675
42.515075,52.117975,75.85855,71.146475
42.524725,52.24065,76.371425,71.153775
42.5374,52.253975,76.379425,71.36875
42.561825,52.265775,76.62075,71.375275
42.63185,52.306925,76.657125,71.4011
42.870925,52.339925,76.664175,71.40635
42.915,52.393425,76.9253,71.4104
43.019175,52.41545,77.356375,71.416775
43.316675,52.433875,77.443775,71.4481
43.37055,52.585175,77.49845,71.510425
43.39765,52.6312,77.70155,71.5565
43.411725,52.775075,77.791125,72.209925
43.44745,52.784125,77.8112,72.22405
43.57555,52.813475,77.822075,72.2327
43.7416,52.84085,77.83125,72.528925
43.979225,52.861275,78.17985,72.537575
44.03015,52.887875,78.239,72.9631
44.379525,52.8994,78.4818,72.9985
44.422125,52.913275,78.532875,73.026175
44.467475,52.922475,78.616675,73.859025
44.483875,52.975475,78.624075,74.28795
44.5052,52.986975,78.871625,75.8766
44.522575,53.00025,78.911525,76.267825
44.576325,53.029925,78.92855,76.384725
44.8125,53.0473,78.934775,76.6941
44.835,53.145325,79.285975,77.379525
44.845575,53.25885,79.53245,77.385
44.85675,53.3449,79.91695,77.3916
45.0581,53.365925,79.9242,77.414175
45.0842,53.411375,80.011875,77.46645
45.102625,53.43965,80.340825,77.50535
45.112475,53.468375,80.3594,77.53145
45.120575,53.528575,80.7041,77.716225
45.1442,53.583325,80.740225,77.789525
45.1667,53.618825,80.7737,77.853825
45.188,53.6591,80.987975,78.217375
45.223125,53.700475,80.99915,78.2654
45.384025,53.7148,81.00765,78.571375
45.473975,53.7377,81.0885,78.627
45.537625,53.7696,81.314575,78.63995
45.5607,53.9332,81.32735,79.265525
45.778375,53.984175,81.335975,79.27625
45.829975,53.999975,81.342675,79.914825
45.880175,54.01275,81.77185,79.92
45.8933,54.06815,81.801925,79.9269
46.190175,54.086425,82.131225,79.9418
46.218675,54.1323,82.568825,80.334525
46.24395,54.159025,82.58355,80.3639
46.36585,54.168275,83.051825,80.7481
46.41485,54.17875,83.343275,81.023875
46.5881,54.1894,83.372475,81.352
46.860425,54.199475,83.390625,81.801925
46.975375,54.26045,83.431575,81.83605
47.1231,54.500225,83.5395,82.203375
47.1519,54.51425,83.556525,82.2527
47.2311,54.5361,83.912175,82.608875
47.259675,54.5496,83.95955,82.614425
47.2793,54.5839,84.052,83.06235
47.3073,54.61675,84.1067,83.53205
47.3426,54.631225,84.358975,84.00085
47.38775,54.70945,84.530525,84.386175
47.645575,54.8137,84.619775,84.582975
47.65935,54.827925,84.762475,84.632325
47.6725,54.869975,84.801475,85.069975
47.6986,54.881825,84.988475,85.426625
47.72185,54.88905,84.995375,85.43205
47.871925,54.90045,85.00655,85.437425
47.97685,54.91525,85.0212,85.4583
48.0466,54.941875,85.390475,85.9711
48.10075,54.994925,85.434025,85.98305
48.227925,55.0042,85.4565,85.98925
48.295075,55.065275,85.624575,86.913375
48.3166,55.10155,85.6358,87.264575
48.733075,55.13555,85.6662,87.282125
48.802225,55.177975,85.961825,88.484975
48.845725,55.3465,85.992775,88.49045
48.909425,55.3883,86.53085,88.655925
49.04605,55.500225,86.831175,88.737225
49.2483,55.548675,87.2498,89.41525
49.271125,55.5639,87.2629,89.422825
49.4133,55.576725,87.282725,89.64675
49.44855,55.663575,87.3102,89.650775
49.665725,55.68445,87.426675,90.270575
49.815925,55.776275,87.6763,90.600825
49.847475,55.785125,87.71015,90.608675
49.973025,55.801625,87.969225,91.673875
50.21385,55.825425,88.16835,92.2657
50.281925,55.847075,88.1782,93.27465
50.32735,55.867825,88.1853,93.70425
50.49865,55.8964,88.442975,94.098175
50.667325,55.90575,88.606625,94.83145
50.9173,55.92705,88.6477,94.83705
