SPK_SPKC01a,SPK_SPKC06a,SPK_SPKC07a,SPK_SPKC07b
0.0064,0.00525,0.040275,0.01365
0.016525,0.0389,0.056275,0.021975
0.029375,0.063825,0.0693,0.030075
0.041075,0.087975,0.0753,0.039
0.0597,0.109925,0.091225,0.045775
0.071525,0.116475,0.120875,0.052025
0.10645,0.12485,0.154475,0.05745
0.1292,0.130525,0.17525,0.07135
0.154175,0.137275,0.22,0.090075
0.17655,0.144225,0.233775,0.103325
0.207675,0.166275,0.251025,0.128375
0.23245,0.18315,0.306625,0.1632
0.250775,0.22905,0.330525,0.308575
0.267225,0.237675,0.349125,0.317225
0.295975,0.244775,0.358975,0.343725
0.317375,0.252125,0.37045,0.37175
0.34475,0.26205,0.4028,0.3966
0.368325,0.28465,0.4158,0.40875
0.406875,0.290425,0.440525,0.41775
0.423325,0.3287,0.448575,0.42425
0.436425,0.3514,0.4597,0.429725
0.449875,0.363425,0.4652,0.438175
0.463575,0.375275,0.4731,0.44745
0.480575,0.387125,0.478475,0.4612
0.5039,0.4025,0.480975,0.46935
0.5232,0.42135,0.490775,0.492025
0.548125,0.4267,0.495375,0.50845
0.5617,0.44005,0.505575,0.521075
0.57815,0.474925,0.5225,0.52915
0.60135,0.495375,0.534375,0.5397
0.630675,0.510025,0.5472,0.57375
0.6552,0.519925,0.5535,0.597075
0.68445,0.54545,0.55925,0.632325
0.713125,0.557125,0.57215,0.786775
0.7348,0.5769,0.6087,0.8323
0.756375,0.5982,0.65475,0.85195
0.773725,0.60635,0.668475,0.863775
0.79355,0.619925,0.6801,0.87665
0.820525,0.6303,0.69365,0.90325
0.8365,0.651025,0.712425,0.9171
0.84935,0.664025,0.7582,0.9308
0.861925,0.679,0.79635,0.939775
0.8733,0.6913,0.799025,0.94755
0.890625,0.70305,0.81895,0.9559
0.9115,0.739025,0.86495,0.9642
0.9312,0.748575,0.879025,0.9937
0.953775,0.758025,0.885575,1.01675
0.965725,0.8075,0.89275,1.0343
0.98345,0.8265,0.925075,1.045
1.001,0.859675,0.934525,1.057825
1.023575,0.8976,0.95465,1.0842
1.04445,0.939275,0.97225,1.222925
1.076925,0.972225,0.976875,1.3057
1.1101,0.989525,0.983825,1.320375
1.13605,1.0049,1.003325,1.3252
1.161275,1.025675,1.006325,1.332175
1.176975,1.038225,1.048375,1.360375
1.19805,1.0599,1.095575,1.369125
1.22585,1.084125,1.12295,1.381725
1.250475,1.1226,1.164675,1.396325
1.278175,1.136525,1.2035,1.41075
1.308475,1.149375,1.229225,1.426225
1.3356,1.1585,1.25635,1.4508
1.3482,1.171725,1.275425,1.46755
1.355975,1.221375,1.299025,1.478075
1.369025,1.23025,1.3285,1.5043
1.388725,1.2392,1.34105,1.525875
1.40335,1.2489,1.34915,1.740575
1.416925,1.259375,1.374475,1.765375
1.435125,1.266925,1.41575,1.77765
1.457975,1.274975,1.4308,1.806825
1.472225,1.294875,1.473225,1.8456
1.495225,1.301575,1.486375,1.91535
1.532275,1.3135,1.540875,1.94235
1.556675,1.343275,1.5654,1.950525
1.58905,1.3477,1.595125,1.95955
1.6066,1.35215,1.60675,1.964725
1.632325,1.367575,1.659775,1.9749
1.655225,1.3959,1.68735,1.99975
1.676775,1.41135,1.7512,2.055425
1.702525,1.491275,1.76645,2.086275
1.73445,1.523575,1.7969,2.243325
1.74455,1.553875,1.809175,2.260575
1.75555,1.573725,1.846625,2.272075
1.788425,1.605875,1.855225,2.286725
1.800625,1.628625,1.866975,2.299425
1.819775,1.639325,1.884125,2.338375
1.8374,1.651825,1.898825,2.3409
1.8666,1.660875,1.909425,2.34745
1.88885,1.672275,1.92025,2.35455
1.9043,1.680825,1.9318,2.367325
1.921425,1.69405,1.94475,2.375475
1.94745,1.714725,1.9701,2.3856
1.961375,1.727275,1.982575,2.4052
1.9715,1.7664,1.9846,2.416225
1.986725,1.77095,1.9918,2.427025
2.003825,1.811675,1.997525,2.455325
2.0246,1.82825,2.0157,2.46905
2.047025,1.8507,2.026925,2.4962
2.070475,1.86165,2.046875,2.5509
2.09685,1.874725,2.062575,2.67135
2.119225,1.8873,2.090775,2.721125
2.1466,1.901475,2.1156,2.827
2.1694,1.9456,2.1406,2.8553
2.188,1.98745,2.158275,2.87145
2.218825,2.0463,2.182725,2.88055
2.235925,2.06095,2.206775,2.8904
2.263475,2.07455,2.22055,2.900675
2.291075,2.087375,2.245675,2.908875
2.317525,2.1039,2.279425,2.91795
2.32565,2.13555,2.309575,2.928575
2.341275,2.149675,2.32535,2.946125
2.36055,2.166075,2.331925,2.9527
2.376075,2.177025,2.352125,2.959325
2.398675,2.190625,2.365125,2.985075
2.424075,2.208025,2.37185,2.99365
2.44055,2.21685,2.382375,3.0027
2.462775,2.2957,2.391475,3.011325
2.504,2.369,2.39555,3.019675
2.523875,2.497425,2.403175,3.03395
2.54555,2.50725,2.420275,3.043925
2.576,2.517675,2.42985,3.06935
2.6075,2.528525,2.445,3.091925
2.6282,2.54465,2.4508,3.111875
2.650775,2.557,2.458725,3.29235
2.67075,2.569825,2.46465,3.30635
2.69645,2.5945,2.47285,3.314425
2.71625,2.62145,2.4805,3.33325
2.74535,2.631325,2.486675,3.342875
2.760875,2.64035,2.504175,3.354425
2.81215,2.653725,2.5149,3.3672
2.834025,2.665075,2.5219,3.382775
2.854625,2.679575,2.5381,3.39715
2.87495,2.70785,2.5447,3.40465
2.899375,2.726425,2.577625,3.421075
2.917425,2.738025,2.5965,3.4254
2.9299,2.749425,2.618775,3.431875
2.947275,2.758875,2.638325,3.44615
2.96045,2.7667,2.658725,3.454425
2.9822,2.95165,2.668225,3.46195
3.00585,2.996875,2.699975,3.4727
3.039175,3.045875,2.7462,3.4823
3.065775,3.072325,2.755275,3.493175
