SPK_SPKC09a,SPK_SPKC12a,SPK_SPKC12b,SPK_SPKC12c,SPK_SPKC14a
100.013675,100.592075,100.17205,100.0241,100.034475
100.027175,101.1151,100.2278,100.04305,100.337
100.053925,101.346825,100.24055,100.0525,100.389125
100.084825,101.4785,100.274075,100.0701,100.512
100.092175,101.558825,100.3142,100.09015,100.5899
100.1108,101.803825,100.32125,100.126825,100.699475
100.1308,101.870475,100.352325,100.13945,100.912875
100.2532,101.928,100.389975,100.157975,101.023475
100.29155,102.5733,100.409075,100.19025,101.0448
100.31265,102.786575,100.5142,100.21815,101.055425
100.34975,102.998225,100.52505,100.257875,101.168725
100.354925,103.562775,100.554275,100.277525,101.192125
100.4331,103.610375,100.627175,100.322625,101.2398
100.46715,103.7164,100.65975,100.3637,101.316175
100.48035,103.77825,100.6777,100.3826,101.393125
100.508575,103.887475,100.687175,100.425075,101.4419
100.520675,104.047875,100.716275,100.450775,101.451475
100.537875,104.129225,100.724725,100.4724,101.5259
100.55695,104.6354,100.74555,100.486125,101.586625
100.583325,104.65545,100.757275,100.504725,101.685025
100.632225,104.67905,100.78255,100.5157,101.8328
100.67825,104.804075,100.856025,100.532525,101.921075
100.691425,104.936,100.864625,100.543125,102.13615
100.76335,105.2124,100.886475,100.555975,102.195625
100.922625,106.522575,100.9313,100.567875,102.240925
100.9536,106.553825,100.954875,100.60085,102.258475
100.971925,106.6425,100.962175,100.613,102.35425
101.01475,106.672625,100.99035,100.6409,102.422725
101.03785,106.929975,101.003075,100.654025,102.453025
101.06115,107.0187,101.035125,100.6675,102.549125
101.072425,107.3526,101.037625,100.68395,102.60635
101.087675,107.5195,101.0489,100.6967,102.636775
101.116675,107.782375,101.05615,100.711875,102.767275
101.221625,107.81335,101.13655,100.760075,102.88665
101.263925,107.84065,101.15615,100.78505,102.9047
101.283175,107.8723,101.176575,100.80515,102.955
101.35425,108.384825,101.19835,100.82165,103.0834
101.391975,108.40505,101.2093,100.83825,103.219125
101.401875,108.717275,101.221975,100.85285,103.238275
101.454725,108.9127,101.256125,100.86145,103.4632
101.47105,109.4768,101.263975,100.8811,103.514525
101.5367,109.72505,101.277875,100.92085,103.74745
101.55745,109.972,101.289275,100.95355,103.7552
101.5716,110.5328,101.350975,100.96405,103.7802
101.578475,110.9243,101.36275,100.97305,103.804
101.6073,111.420925,101.371175,100.99805,103.826525
101.63435,111.687775,101.3846,101.0125,103.8385
101.653725,111.825275,101.4134,101.022175,103.863325
101.689075,111.969175,101.423325,101.032675,103.9275
101.762175,112.2033,101.449625,101.0447,103.981875
101.854375,112.87065,101.506025,101.0462,104.0671
101.88025,113.061775,101.5319,101.08155,104.1498
101.908375,113.288825,101.54795,101.097125,104.163925
101.956525,113.620125,101.58805,101.1337,104.1988
101.9809,113.7777,101.59655,101.1518,104.241925
102.0082,114.2782,101.606025,101.173825,104.352675
102.053175,114.886775,101.6167,101.19305,104.3808
102.0648,115.033375,101.63975,101.2126,104.44935
102.076175,115.1532,101.69605,101.248375,104.4924
102.09995,115.2988,101.726025,101.268,104.50265
102.142425,115.677575,101.7502,101.287575,104.532775
102.155675,115.734925,101.761375,101.30535,104.678775
102.184725,116.045775,101.837225,101.32395,104.746275
102.1903,116.341025,101.856825,101.3956,104.824225
102.20535,116.357675,101.901625,101.4056,104.854225
102.26285,117.468625,101.995275,101.42035,105.1071
102.271175,117.5806,102.0176,101.447325,105.1276
102.282275,117.6031,102.03165,101.49395,105.193775
102.3544,117.696675,102.053275,101.514225,105.225375
102.360925,118.0122,102.0873,101.542,105.240825
102.372225,118.058275,102.1066,101.5933,105.254875
102.383025,118.190675,102.116575,101.60935,105.478275
102.3999,118.393825,102.153375,101.627,105.63745
102.42475,118.49935,102.2522,101.64115,105.739325
102.436225,118.552425,102.271775,101.652175,105.778725
102.55485,118.733225,102.2802,101.667675,105.90395
102.5729,119.309025,102.298875,101.6813,105.923775
102.630425,119.323875,102.34205,101.704125,105.968425
102.652125,119.403875,102.412025,101.72085,106.3126
102.70005,119.5764,102.42865,101.73775,106.413325
102.74545,119.872475,102.43835,101.75635,106.49155
102.75405,120.0421,102.4605,101.7684,106.603925
102.8097,120.057225,102.481475,101.794575,106.680825
102.8599,120.14525,102.49165,101.8393,106.769725
102.872475,120.301575,102.512175,101.855175,106.998125
102.884075,120.323825,102.544925,101.883075,107.0112
102.89445,120.43605,102.55715,101.9055,107.045075
102.93875,120.44735,102.596125,101.957475,107.0902
102.965975,120.609425,102.648875,102.013025,107.103625
102.971875,120.665675,102.70965,102.0548,107.1142
103.0532,120.72435,102.713,102.07645,107.232475
103.07795,121.031825,102.7321,102.094425,107.302975
103.112675,121.170825,102.793175,102.10225,107.36295
103.13595,121.297575,102.835325,102.113,107.519225
103.1472,121.67105,102.90805,102.1359,107.5629
103.2059,121.721775,102.951525,102.150125,107.579475
103.231275,121.7439,102.966175,102.162025,107.602675
103.282225,122.05865,103.020025,102.169025,107.608875
103.2932,122.08465,103.032375,102.194175,107.61585
103.4357,122.116975,103.041,102.209475,107.6338
103.44715,122.20735,103.085175,102.238075,107.659225
103.4596,122.497375,103.099925,102.2611,107.688225
103.48175,122.538575,103.127325,102.273775,107.885525
103.49295,122.905275,103.1509,102.28515,108.113825
103.506075,123.185325,103.182175,102.306675,108.1417
103.51475,123.19525,103.19005,102.331325,108.2222
103.5259,123.548925,103.196825,102.385225,108.270025
103.5314,123.7881,103.23155,102.4097,108.318775
103.552875,123.861125,103.324325,102.437225,108.378975
103.56125,124.0583,103.348175,102.4642,108.41965
103.5991,124.08,103.383725,102.485925,108.435325
103.75925,124.095975,103.394975,102.509225,108.45255
103.847925,124.10155,103.434125,102.53285,108.4687
103.86935,124.571875,103.453125,102.546775,108.5768
103.98125,124.768775,103.49585,102.56165,108.64045
104.0003,124.827525,103.50345,102.583175,108.714375
104.0329,124.940525,103.51825,102.5876,108.772025
104.140875,125.324225,103.52485,102.592875,108.849375
104.1491,125.5877,103.53805,102.6108,108.902675
104.161375,125.6308,103.574175,102.6269,108.939525
104.179025,125.9785,103.625075,102.63115,109.066475
104.194675,126.120325,103.65205,102.642175,109.11615
104.240075,126.177625,103.6598,102.658525,109.129275
104.252325,126.5568,103.66655,102.680775,109.20215
104.281,126.654475,103.7076,102.70105,109.2203
104.321425,127.004125,103.72195,102.72195,109.2282
104.410625,127.316025,103.738675,102.77265,109.2708
104.4214,127.324475,103.751725,102.854275,109.344075
104.449525,127.328625,103.792825,102.872575,109.36825
104.5108,127.73985,103.80195,102.888875,109.4673
104.51925,127.87705,103.9196,102.8963,109.49135
104.580225,128.60385,103.94475,102.90695,109.525175
104.632925,128.65165,104.005825,102.922575,109.67145
104.6511,128.66495,104.03345,102.943975,109.75835
104.675875,128.76125,104.085525,102.977175,109.7809
104.67985,129.15795,104.10155,103.002025,110.008325
104.711725,129.381425,104.13925,103.02205,110.038925
104.7184,129.532625,104.155625,103.023875,110.0908
104.74105,129.858475,104.16065,103.05475,110.154125
104.794525,129.87485,104.1694,103.079325,110.18515
104.83345,129.90495,104.1827,103.1349,110.324275
104.873025,129.95535,104.27175,103.136125,110.38975
104.8818,130.066825,104.315375,103.158775,110.591925
104.9256,130.151525,104.3431,103.204225,110.710825
104.99615,130.3179,104.371425,103.2158,110.84325
105.018925,130.9879,104.457375,103.2357,110.935575
105.0258,131.12475,104.468425,103.2467,111.148675
105.066725,131.135475,104.500325,103.2533,111.167525
105.089825,131.463625,104.570025,103.35045,111.2454
105.139025,131.61335,104.579825,103.3649,111.295575
105.2001,131.66105,104.589175,103.374425,111.428925
105.2248,131.758675,104.59825,103.387225,111.43515
105.2705,131.9675,104.62595,103.4078,111.509
105.29785,132.327625,104.687025,103.41675,111.524925
105.309975,132.490875,104.717925,103.426375,111.6688
105.325575,132.652575,104.763625,103.44665,111.70955
105.475725,132.7943,104.782375,103.468925,111.9413
105.484225,133.14425,104.81525,103.4899,111.980175
105.49015,133.6564,104.82585,103.51465,112.041175
105.4973,133.6819,104.8825,103.5413,112.1469
105.5031,133.723925,104.91845,103.5486,112.2655
105.517275,133.74095,104.96585,103.5557,112.315
105.536025,133.771425,104.9769,103.5695,112.333
105.54565,134.006825,104.989175,103.579625,112.430225
105.614325,134.1602,105.00005,103.59505,112.473
105.6676,134.199875,105.03385,103.5989,112.5097
105.705075,134.4011,105.1013,103.600825,112.602825
105.74895,134.4388,105.165425,103.634275,112.637125
105.7617,134.64565,105.185575,103.6438,112.680825
105.774575,134.988075,105.22785,103.6553,112.818675
105.8469,135.159225,105.26395,103.66895,112.902725
105.8622,135.20785,105.29085,103.70155,113.225875
105.8665,135.3152,105.401975,103.7266,113.2497
105.8703,135.343675,105.4277,103.791575,113.3056
105.8834,136.201675,105.441675,103.80545,113.350725
105.9087,136.463,105.46995,103.8295,113.44395
105.984725,136.7805,105.490775,103.84815,113.4598
105.99675,136.7888,105.50775,103.8688,113.478825
106.0376,137.1217,105.529275,103.902775,113.53155
106.06695,137.2473,105.537525,103.941025,113.566025
106.106625,137.266,105.546275,103.971925,113.6175
106.1167,137.415375,105.55645,103.989025,113.689375
106.12545,137.7509,105.590175,104.001875,113.705975
106.162275,138.0464,105.598725,104.0169,113.7688
106.195725,138.05275,105.607925,104.0285,113.775375
106.20965,138.1037,105.678575,104.058975,113.817075
106.228375,138.112375,105.71605,104.0761,113.86885
106.24985,138.131275,105.728825,104.09365,113.983275
106.32455,138.3847,105.76345,104.116425,114.006825
106.3526,138.44805,105.773625,104.143125,114.0249
106.4377,138.566325,105.79835,104.1541,114.040175
106.4721,139.173225,105.811475,104.18715,114.11655
106.49975,140.298225,105.821125,104.1995,114.19715
106.5352,140.621375,105.8426,104.209875,114.2107
