SPK_SPKC05a,SPK_SPKC09a
150.38675,150.419175
150.437725,150.42845
150.6094,150.4641
150.64735,150.548025
150.799825,150.638125
150.905475,150.674225
150.967525,150.68905
151.1151,150.7014
151.158325,150.72535
151.241225,150.76535
151.537575,151.026575
151.6683,151.0708
151.676775,151.53045
151.827,152.081675
151.889,152.2034
152.04895,152.490875
152.057875,153.53165
152.0948,154.30575
152.21805,157.279275
152.23545,157.2899
152.489775,157.309375
152.62235,158.08205
152.677075,158.527275
152.7978,158.54855
152.82265,158.57035
152.974975,158.578425
153.01085,158.62845
153.314425,158.659825
153.38145,158.682375
153.4425,158.71275
153.538725,159.098875
153.550275,159.1075
153.628425,159.14755
153.655475,159.784
153.787875,159.825975
153.804775,161.424675
153.9943,161.4362
154.041425,161.47445
154.1162,161.937575
154.3349,162.2587
154.4193,162.71925
154.487925,163.072675
154.574325,164.9932
154.657975,165.037925
154.7103,165.511625
154.8124,165.98415
154.816825,169.8301
154.9392,170.5823
154.998075,170.60125
155.0895,170.6389
155.228125,170.675775
155.26825,170.69165
155.409975,171.0587
155.42905,171.0702
155.483075,171.091675
155.988625,171.491475
156.00585,173.102575
156.050575,174.289575
156.08975,174.72975
156.12695,174.763225
156.2302,174.79835
156.253225,174.83485
156.797125,174.88305
157.094875,174.90125
157.1523,175.283
157.477625,175.4709
157.484425,175.484975
157.4915,175.9766
157.51745,176.973825
157.700175,178.38995
157.8538,178.438175
157.934725,179.9241
158.086425,181.209275
158.336325,181.226325
158.359925,183.3437
158.435625,186.7413
158.561825,186.767
158.753275,186.803475
158.9405,186.839375
158.9603,186.8804
159.0945,186.895925
159.19775,187.169675
159.5187,187.44715
159.6696,187.4797
159.68505,187.523375
159.77005,187.546425
159.935,187.867725
159.9768,187.91015
159.983925,187.962275
160.15275,187.987725
160.40295,188.310175
160.44355,188.57685
160.504675,188.604875
160.631125,188.622325
160.639775,188.723825
160.749925,188.76175
160.9139,189.27805
161.4633,189.2991
161.49635,189.37195
161.54895,189.70515
161.741275,189.717875
161.90875,189.8688
161.9644,189.887975
162.255275,189.895925
162.383625,189.92255
162.435925,189.9475
162.508625,190.357525
162.5314,190.3738
162.69255,190.4318
162.7063,190.452775
162.7903,190.47285
162.81995,190.5294
163.07245,190.77035
163.201725,190.78585
163.308625,190.8118
163.3521,191.00875
163.458875,191.0244
163.5894,191.04035
163.69195,191.35705
163.738225,191.404825
163.896475,191.67485
163.923325,191.68925
163.9492,192.463925
163.9613,192.482025
164.1261,192.6426
164.209275,192.6812
164.4328,192.974925
164.44255,192.9944
164.51305,193.371575
164.80275,193.3928
165.065,193.40945
165.178,194.505775
165.2666,194.52275
165.409125,195.4324
165.6889,196.548375
165.7152,196.879375
165.833025,197.336675
165.89855,197.3706
166.142575,197.974375
166.207425,197.993675
166.22415,198.0388
166.306975,198.6482
166.371125,199.008875
166.386825,199.036375
166.462,199.10555
166.512,199.529
166.75185,199.537025
166.82795,199.546025
166.845575,199.5624
166.9134,199.58295
167.416175,199.69095
167.528225,199.951325
167.666425,200.1324
167.749275,200.483525
167.8538,200.528975
168.041225,201.040425
168.20805,201.05875
168.258975,201.0697
168.34905,201.084325
168.37665,201.108825
168.513575,201.182125
168.5491,201.25565
168.566,201.271425
168.605525,201.300325
168.85525,201.574725
169.001625,201.597425
169.092225,201.613225
169.1514,202.111325
169.74165,202.12635
169.75525,204.3929
169.78535,204.8872
169.891825,204.919225
169.96445,205.0954
170.03915,205.96375
170.20405,207.311275
170.548375,208.549825
170.59,208.9747
170.635575,209.019975
170.64825,209.538875
170.750825,209.5993
170.9877,209.674
171.0052,209.713425
171.011675,209.967175
171.03075,210.846925
171.179075,210.868225
171.1967,210.892675
171.46235,210.927825
171.50305,211.0294
171.579225,211.321325
171.962775,211.3694
171.9929,212.207925
172.185925,212.66245
172.24915,212.738775
172.463975,213.6586
172.47565,213.7873
172.511125,213.805225
172.609025,213.833325
172.69635,213.845625
173.17275,213.856175
173.26385,214.39375
173.3681,214.4185
173.63235,214.763075
173.736125,214.77975
173.9287,214.8942
173.95205,215.044075
174.000475,215.46355
174.032875,216.0401
174.074,216.535175
174.194375,216.566575
174.2464,216.9573
174.502875,216.982175
174.893425,220.9407
174.954875,222.56695
175.390925,222.62825
175.401825,222.649025
175.431175,222.67905
175.534025,222.72195
175.57945,222.73835
175.7475,222.75145
175.7973,222.769775
175.9502,222.78715
176.006025,222.80485
176.419125,222.8862
176.466775,223.07695
176.878775,223.168525
176.926825,223.61715
177.158125,223.694475
177.20765,223.723125
177.266975,223.973475
177.2732,223.992075
177.38535,224.0161
177.8606,224.09455
178.098075,224.4549
178.18015,224.469775
178.20515,224.487625
178.26055,224.989525
178.383825,225.011475
178.582525,225.064225
178.684025,225.213825
178.708675,225.274325
179.129825,225.8234
179.152825,225.851225
179.23665,225.936375
179.56975,225.961275
179.61155,226.272625
179.65915,226.2832
179.74675,226.295775
179.8793,226.383275
179.94685,227.737875
180.011625,227.789825
180.1752,227.823625
180.409275,228.292775
180.642975,228.3661
180.7998,228.628175
180.856925,228.70555
181.121,229.2019
181.243775,229.235075
181.35005,229.657175
181.4134,229.678125
181.51065,229.776525
181.552975,229.80985
181.58875,229.833525
181.8738,230.2785
181.932675,230.2947
181.948225,230.43155
182.0587,230.83055
182.306625,231.5004
182.5841,231.519575
182.9488,231.5434
182.98755,232.476825
183.063625,232.69095
183.1236,233.33775
183.32605,233.46125
183.3282,233.53665
183.5267,233.6196
183.657475,233.662575
183.672925,233.979725
183.846275,234.050675
183.965725,234.484175
184.063775,234.508575
184.083875,234.536925
184.272825,235.132925
184.302,235.777275
184.3479,235.803125
184.48815,235.88405
184.5644,236.38765
184.744125,236.687825
184.813675,236.6994
184.9239,236.707625
184.9885,236.71945
185.1022,236.74325
185.184975,236.7637
185.210825,236.776875
185.2631,236.802925
185.279975,236.851325
185.4232,236.9533
185.45175,236.97175
185.64295,237.021
185.73025,237.3178
185.807725,237.33875
186.1386,237.3553
186.422575,237.36555
186.424875,237.38345
186.445875,238.288375
186.515025,238.6343
186.574,239.130425
186.6664,239.181975
186.818675,239.6859
186.9,239.781575
187.110775,240.235425
187.3344,240.538475
187.534575,240.565675
187.678025,240.6057
187.8484,241.55845
188.3719,241.5819
188.4457,241.634325
188.5109,241.9596
188.538975,242.50835
188.619925,242.719275
188.691075,242.742775
188.75795,242.76925
188.9892,242.790825
189.21895,242.8221
189.23505,242.90785
189.256675,242.9274
189.2995,242.962225
189.33625,243.279725
189.484875,243.2954
189.704325,243.4231
189.876325,243.4622
189.9369,243.486775
189.965325,243.59475
189.9968,243.610175
190.012575,243.7158
190.319575,243.85625
190.5,243.89015
190.681875,244.662325
190.801375,244.68315
190.9043,244.722775
190.971525,244.7352
190.993175,244.745025
191.03165,244.770225
191.089975,244.782
191.13035,244.8098
191.29865,244.8312
191.389275,244.8502
191.3909,244.8702
191.461925,244.90545
191.475075,245.4163
191.545825,245.439825
191.547575,245.493825
191.63885,245.525025
191.66275,245.71395
191.6752,246.1213
191.773425,246.15805
191.85135,246.20775
191.98225,246.2241
192.052175,246.3544
192.294575,246.461875
192.464275,246.4765
192.474325,246.527125
192.54605,246.555375
192.6105,247.0569
192.658275,247.16505
192.946625,247.190775
192.9695,247.292925
192.971425,247.30395
193.177925,247.342525
193.1984,247.35175
193.294925,247.442525
193.37275,247.5182
193.3992,247.647375
193.419775,247.850775
193.44695,247.9101
193.84095,247.93845
194.009925,247.971875
194.285575,248.24195
194.332175,248.286875
194.3743,248.31715
194.451825,248.362475
194.544525,248.3694
194.62575,248.381125
195.115525,248.41405
195.359125,248.460725
195.41405,248.480175
195.533775,248.644625
195.79355,248.6585
195.81745,248.685625
195.991125,248.7244
196.05165,248.782825
196.188675,248.84005
196.261725,249.132075
196.28835,249.150075
196.5026,249.288275
196.601175,249.325425
196.648425,249.3865
196.833375,250.0666
196.837375,250.110225
197.0853,250.12075
197.233075,250.126675
197.353075,250.1471
197.428325,250.148975
197.568675,250.68655
197.58685,251.198925
197.726275,251.23915
197.808375,251.3966
198.21765,251.431225
198.34095,251.74
198.387525,252.2889
198.521575,252.7109
198.5546,253.124225
198.89735,253.170375
198.99525,253.2137
199.0663,253.38395
199.084075,253.39555
199.134825,253.409675
199.2075,253.42605
199.29925,253.4555
199.301425,253.996375
199.4808,254.31085
199.4964,254.707775
199.549425,255.178725
199.707075,255.253175
199.93135,255.28885
199.98215,255.3335
200.059875,255.437275
200.1117,255.461475
200.37235,255.4932
200.4733,255.54145
200.483425,255.7029
200.4889,255.9395
200.985425,255.979
201.154925,256.01285
201.20555,256.055725
201.2665,256.108975
201.333075,256.120225
201.380275,256.14075
201.430475,256.178575
201.5066,256.203025
201.5395,256.224525
201.7324,256.26525
201.77125,256.4312
201.809,256.541
201.9546,256.623975
202.06885,256.63545
202.08265,256.6801
202.12715,256.7288
202.287125,257.0033
202.320975,257.024675
202.473575,257.52285
202.5448,257.54085
202.7378,257.5504
202.918575,257.59
203.041675,257.9663
203.258475,258.427625
203.295925,258.44165
203.3597,259.029925
203.4331,259.3983
203.486375,263.13015
203.554925,263.160225
203.621325,264.2728
204.088825,266.53445
204.1825,267.15845
204.195425,267.1646
204.21,267.601575
204.32965,267.9845
204.36315,267.986
204.4271,267.993275
204.473675,267.997825
204.490125,268.459425
204.5032,268.534025
204.76025,268.87335
204.8073,270.292375
204.8767,270.79305
204.8777,271.17735
204.905475,272.250925
204.9611,272.6419
204.974575,273.573775
204.998825,274.6183
205.082525,275.21065
205.671425,275.230525
205.6926,275.23765
205.8807,275.724825
206.424175,276.11995
206.443025,276.569875
206.5095,276.583675
206.6997,276.685125
206.846325,277.01235
206.88965,277.397
207.824725,277.417575
207.9333,277.42735
207.95775,277.752775
208.24405,277.87505
208.41375,278.96075
208.490125,279.82465
208.6167,280.7833
208.67315,280.8067
208.7095,280.98315
208.75955,281.414775
208.871675,281.425025
208.9121,281.748975
209.0254,281.89305
209.073975,282.685075
209.117,283.522175
209.17435,284.849625
209.18355,284.97255
209.205125,285.3713
209.330025,286.061225
209.621025,286.55015
209.6974,286.563025
209.731125,286.9344
209.8077,287.251425
209.825225,287.4114
210.05965,287.421975
210.33225,287.440625
210.4603,287.580425
210.57255,287.94365
210.616425,288.349175
210.692075,289.356075
210.714975,289.650525
210.849425,290.6563
211.1422,290.6755
211.144675,291.0701
211.15295,291.11985
211.17195,291.219975
211.214025,291.256575
211.35325,291.58455
211.40235,291.610625
211.431925,291.629625
211.538425,292.136025
211.754675,292.175525
211.774175,292.195825
211.803725,292.441825
211.83385,292.6959
211.9426,292.697225
212.2463,292.7075
212.309825,292.723
212.476,292.725225
212.56585,293.320125
212.681225,294.06055
212.7334,294.478425
212.856125,294.5245
213.190675,294.8972
213.692475,294.919075
213.9751,295.523375
214.08115,295.937425
214.193575,296.05715
214.226075,296.398475
214.594875,296.465525
214.639575,296.572275
214.659225,296.7043
214.839025,296.743525
215.205475,296.829425
215.349875,297.154825
215.4388,297.231925
215.69795,297.406575
215.98795,297.487525
215.9977,297.969125
216.094075,298.09045
216.328425,298.55315
216.464025,300.636325
216.62235,300.685775
216.96815,301.085925
217.176725,301.120875
217.194425,301.94365
217.240375,302.1039
217.31835,302.4058
217.3352,302.755875
217.4041,302.7632
217.476375,302.7681
217.5991,302.7705
217.631825,302.8325
217.6614,303.3251
217.847025,303.375525
217.977725,303.5236
217.99105,303.8851
218.049675,303.9404
218.104625,303.94885
218.19875,304.01955
218.316175,304.0844
218.40455,304.4923
218.428875,304.51415
218.45415,304.553725
218.5313,304.7082
218.602025,304.72385
218.6722,305.096475
218.862925,305.1074
218.88425,305.1265
218.986075,305.1493
218.9964,305.2362
219.0286,305.283325
219.144575,
219.22055,
219.565325,
219.653975,
219.8583,
220.06635,
220.096375,
220.134875,
220.2204,
220.393975,
220.881625,
221.031975,
221.0792,
221.11155,
221.186075,
221.312375,
221.42725,
221.44795,
221.462675,
221.618075,
221.78535,
221.803925,
221.97825,
222.011375,
222.133125,
222.20875,
222.693875,
222.831525,
222.89295,
222.91215,
223.1326,
223.354525,
223.575775,
223.63285,
223.776475,
223.7837,
223.9878,
224.08735,
224.10665,
224.2698,
224.30125,
224.39795,
224.4203,
224.47585,
224.52375,
224.712,
224.75685,
224.959875,
225.0509,
225.130625,
225.15315,
225.18425,
225.188325,
225.609425,
225.6816,
225.9494,
225.979075,
226.2276,
226.2654,
226.402625,
226.49245,
226.537825,
226.663,
226.70215,
226.8096,
226.8278,
226.97735,
227.008825,
227.03975,
227.0449,
227.147625,
227.18995,
227.2281,
227.455525,
227.58965,
227.692925,
227.751175,
227.8848,
228.2066,
228.271175,
228.309975,
228.315325,
228.420825,
228.5026,
228.5906,
228.609675,
228.61075,
229.164875,
229.220075,
229.39715,
229.532275,
229.720025,
229.8504,
229.877975,
229.994075,
230.040375,
230.13245,
230.1546,
230.196375,
230.378825,
230.38585,
230.459875,
230.47595,
230.495675,
230.524825,
230.542175,
230.685,
230.7582,
230.77855,
230.7831,
230.892525,
230.96215,
231.12815,
231.607725,
231.6546,
231.80435,
231.985875,
232.193475,
232.5337,
232.681775,
232.72985,
232.769425,
232.927125,
232.97455,
233.091925,
233.118475,
233.2703,
233.283525,
233.3401,
233.3941,
233.3989,
233.58125,
233.6034,
233.617575,
233.636825,
233.70565,
233.87275,
233.94155,
233.944225,
234.0522,
234.225,
234.423825,
234.58375,
234.590625,
234.6214,
234.735825,
234.769525,
234.945375,
234.9594,
235.0064,
235.058225,
235.1358,
235.34325,
235.383525,
235.408,
235.48705,
235.53945,
235.5542,
235.579675,
235.61295,
235.68705,
235.730575,
235.7807,
235.85735,
235.8909,
235.991775,
236.00485,
236.05,
236.08535,
236.126775,
236.176925,
236.328325,
236.37705,
236.50035,
236.5141,
236.707475,
237.07215,
237.17215,
237.202025,
237.21215,
237.2167,
237.3688,
237.455625,
237.548075,
237.80145,
237.8147,
237.839575,
237.90915,
238.157175,
238.2502,
238.4381,
238.5521,
238.739575,
238.823025,
238.959,
238.982625,
239.109575,
239.1386,
239.16,
239.26755,
239.295,
239.31685,
239.334025,
239.426675,
239.62035,
239.702275,
239.8476,
239.86225,
240.01575,
240.1839,
240.324225,
240.51175,
240.591475,
240.626375,
240.65965,
240.6952,
240.750725,
240.795275,
240.838575,
240.88815,
240.9936,
241.024875,
241.090225,
241.14845,
241.1736,
241.27635,
241.30205,
241.565775,
241.8965,
241.9698,
241.972725,
242.07195,
242.15605,
242.190275,
242.310775,
242.50345,
242.765575,
242.783575,
242.8141,
242.818525,
243.108475,
243.1841,
243.29015,
243.3164,
243.336825,
243.428025,
243.71865,
243.830675,
244.0688,
244.1573,
244.230475,
244.2471,
244.344025,
244.61395,
244.67335,
244.697075,
244.711375,
244.751375,
244.7646,
244.8355,
245.075425,
245.123625,
245.215125,
245.233525,
245.2519,
245.307075,
245.3437,
245.35595,
245.387475,
245.519175,
245.591575,
245.647025,
245.75965,
246.06435,
246.137475,
246.342825,
246.421175,
246.5764,
246.627775,
246.71185,
246.7838,
246.908475,
247.0351,
247.15815,
247.2344,
247.335975,
247.36235,
247.55655,
247.691375,
247.72055,
247.778175,
247.7906,
247.901675,
247.9447,
248.1049,
248.140225,
248.228225,
248.285275,
248.314875,
248.335525,
248.405675,
248.479075,
248.648025,
248.677025,
248.760775,
249.15975,
249.233725,
249.267225,
249.307375,
249.3928,
249.4491,
249.470575,
249.538675,
249.63415,
249.73415,
249.875375,
250.042125,
250.06725,
250.0748,
250.21375,
250.4291,
250.45755,
250.474825,
250.488325,
250.7766,
250.924075,
251.016475,
251.231975,
251.27145,
251.349875,
251.5421,
251.560925,
251.62305,
251.6425,
251.6715,
251.754925,
251.871225,
252.062,
252.0978,
252.347425,
252.35115,
252.578025,
252.6478,
252.830625,
252.86475,
252.88335,
252.952275,
253.033875,
253.047425,
253.166075,
253.2349,
253.341225,
253.4873,
253.646125,
253.70295,
253.761975,
253.836975,
253.9185,
253.970075,
254.052475,
254.34005,
254.38665,
254.429625,
254.518075,
254.625025,
254.630625,
254.70335,
254.763775,
254.84435,
254.863,
255.00445,
255.1318,
255.2787,
255.394275,
255.689475,
255.7488,
255.8572,
255.897175,
255.9041,
255.95635,
256.1343,
256.168075,
256.43135,
256.47115,
256.537075,
256.588475,
256.72185,
256.854625,
256.87195,
257.0126,
257.25415,
257.354425,
257.439425,
257.459625,
257.5201,
257.765275,
257.78805,
258.526775,
258.550975,
258.68125,
258.85175,
259.200425,
259.215525,
259.424875,
259.439075,
259.522525,
259.611225,
259.75035,
259.783775,
259.8629,
259.991175,
260.23245,
260.337125,
260.41295,
260.450175,
260.4705,
260.4966,
260.57065,
260.59705,
261.012875,
261.15755,
261.922875,
261.992075,
262.27405,
262.4118,
262.82155,
262.886025,
263.1526,
263.169975,
263.207325,
263.265875,
263.364825,
263.42645,
263.5111,
263.878875,
263.96395,
264.24705,
264.26015,
264.288925,
264.3963,
264.4298,
264.521425,
264.612675,
264.71005,
264.729175,
264.900375,
264.991375,
265.06835,
265.1304,
265.3514,
265.385425,
265.40035,
265.55885,
265.5954,
265.65535,
265.7027,
266.01885,
266.2557,
266.4085,
266.42715,
266.500825,
266.567125,
