SPK_SPKC13a,SPK_SPKC15a
100.0198,100.008625
100.32865,100.024325
100.395925,100.041725
100.890775,100.07385
100.93095,100.152625
100.963175,100.2009
101.8882,100.2406
102.046475,100.2711
102.088525,100.316775
102.813075,100.338925
103.10495,100.3656
103.200325,100.38495
103.2517,100.4167
103.42685,100.443375
104.34965,100.470625
104.7918,100.502075
105.051175,100.5128
105.108375,100.532575
105.20545,100.558775
105.222225,100.570175
105.294525,100.5925
105.4632,100.6163
105.600175,100.645975
105.961175,100.66215
106.039975,100.69235
106.172825,100.715025
106.5018,100.811825
106.50945,100.834325
106.7257,100.885725
107.0437,100.9019
108.101975,100.927825
108.543375,100.946775
109.077225,100.963025
109.5407,100.977
109.635975,101.004175
110.127,101.055575
110.54855,101.0957
110.609275,101.14045
111.3176,101.254875
111.42485,101.27475
111.70145,101.3096
111.805275,101.33575
111.848775,101.358525
112.0482,101.377325
112.59565,101.388375
112.65175,101.399125
113.1735,101.418525
113.40375,101.441875
113.7711,101.453675
113.838125,101.470225
114.0471,101.486175
114.936975,101.553425
115.190375,101.578325
115.32695,101.6033
115.35645,101.6205
115.579525,101.651425
115.608075,101.67845
115.796575,101.6949
115.815925,101.7148
115.9293,101.732775
116.24695,101.751425
116.28875,101.765575
116.38395,101.78405
116.407475,101.80135
116.4165,101.8226
116.42885,101.843325
116.4606,101.859825
117.16425,101.87785
117.386775,101.904
117.699975,101.921475
117.79425,101.93865
117.816975,101.9618
118.281625,101.97485
118.38495,101.991225
118.72345,102.01265
119.332175,102.05025
119.4877,102.0732
119.6585,102.090125
120.300375,102.123975
120.3113,102.141275
120.34215,102.159975
120.483325,102.195175
120.740325,102.234075
121.335225,102.2528
121.384575,102.26465
121.452675,102.29285
121.490675,102.319475
121.6446,102.344875
121.8237,102.379175
121.8513,102.388675
121.9639,102.413475
122.032225,102.43505
122.117525,102.466575
122.89865,102.48165
123.032175,102.519075
123.197275,102.558475
123.6318,102.584925
123.764275,102.59725
124.174525,102.615625
124.25425,102.656825
124.3346,102.685
124.409025,102.701425
124.455475,102.7284
124.66375,102.7444
124.966825,102.766475
124.990875,102.779925
125.141625,102.7915
125.3832,102.808575
125.545075,102.825825
125.59525,102.85555
125.65845,102.884775
125.74645,102.923825
125.842225,102.965375
125.93065,102.992
126.26505,103.0191
126.5202,103.03525
126.6721,103.05905
126.9256,103.0842
127.298375,103.11165
127.347625,103.1397
127.6564,103.162575
127.7318,103.195175
128.333475,103.212
128.527925,103.230225
129.181775,103.250025
129.31755,103.27325
129.729725,103.287375
130.331325,103.29745
130.7889,103.3233
130.919375,103.4278
131.18475,103.46975
131.824175,103.49465
132.830775,103.513
132.937725,103.514825
133.18175,103.542025
133.542225,103.55965
133.6651,103.605675
133.742475,103.625475
133.843275,103.768775
134.049725,103.799375
134.1877,103.819875
134.4745,103.8474
134.625775,103.87455
134.747975,103.8929
135.24275,103.90885
135.5993,103.92225
135.656525,103.941975
135.700875,103.9549
136.001525,103.9732
136.784275,103.983375
137.11415,103.995575
137.2627,104.0818
137.3445,104.12915
137.598925,104.15
137.698275,104.1871
138.009325,104.19685
138.0945,104.213475
138.248175,104.238725
138.338525,104.2519
138.944225,104.270075
139.246775,104.28265
139.4406,104.300175
139.629975,104.314175
139.738375,104.33415
139.844325,104.36265
139.9931,104.389925
140.33555,104.41605
140.45635,104.429575
141.025725,104.44705
141.4073,104.464925
141.4286,104.5132
141.785475,104.54575
142.244725,104.55965
142.348525,104.573475
142.5205,104.59375
142.872475,104.601625
143.549225,104.621275
143.740625,104.634675
144.032425,104.6696
144.151475,104.69015
144.20045,104.71655
144.276925,104.735275
144.374675,104.757825
144.447,104.7746
144.656025,104.788125
145.248525,104.8055
145.939575,104.818175
147.14045,104.84475
147.5612,104.86495
147.936,104.887725
148.7354,104.91285
149.1047,104.919225
149.501025,104.94235
149.996025,104.960975
150.177025,104.98155
150.644825,105.035175
150.769,105.058625
151.8152,105.087925
152.2544,105.18405
152.4536,105.22845
152.74715,105.252825
153.402775,105.265225
153.541275,105.282
153.59325,105.298675
154.24155,105.315875
154.376225,105.338125
154.41275,105.36295
155.375125,105.3935
156.12835,105.414125
157.3936,105.45705
158.327325,105.49775
158.459775,105.5582
158.5741,105.59395
158.8725,105.638325
159.1012,105.686125
159.8677,105.715975
159.972275,105.739375
160.602775,105.780525
161.25735,105.796825
162.46445,105.822325
162.709275,105.84705
163.002375,105.86465
163.433525,105.887875
163.485975,105.91325
163.560225,105.93465
164.37855,105.952825
164.749325,105.97345
165.02945,106.014575
165.0481,106.0399
165.1984,106.100325
165.35585,106.119825
165.57815,106.1529
166.5294,106.1771
166.974175,106.2552
167.15685,106.312975
167.3205,106.324475
167.780225,106.3583
167.919925,106.378725
168.505625,106.4133
169.691425,106.43895
169.852025,106.460825
170.017325,106.473975
170.523025,106.49105
170.705775,106.5079
170.814575,106.529475
170.99095,106.55115
171.189925,106.571625
171.3962,106.5901
171.499975,106.6068
171.521425,106.623525
171.57085,106.644625
171.5926,106.66965
171.78745,106.707325
172.0397,106.735175
172.573925,106.7512
172.705725,106.762225
172.950625,106.80565
173.1308,106.8635
173.352125,107.00205
173.39215,107.020625
173.71055,107.04795
173.9102,107.081975
174.076125,107.1152
174.353625,107.1319
174.381875,107.149875
174.391175,107.177325
175.299075,107.2021
175.9347,107.2206
