SPK_SPKC02a,SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC11a
0.017175,0.008725,0.027675,0.10215
0.070975,0.068225,0.044175,0.360275
0.12925,0.08225,0.055225,0.408125
0.210875,0.0976,0.354825,0.646925
0.27475,0.1125,0.4114,0.911325
0.35135,0.14915,0.483825,1.11945
0.3791,0.201175,0.783225,1.14675
0.401225,0.21945,0.82175,1.183375
0.4266,0.2385,0.898675,1.1954
0.451325,0.28925,1.05125,1.260125
0.48155,0.324875,1.08345,1.455475
0.5311,0.37575,1.343475,1.459725
0.574275,0.389525,1.442925,1.483
0.62965,0.471275,1.48855,1.56245
0.799075,0.504875,1.599625,1.77635
0.8346,0.5225,1.6461,1.910825
0.856775,0.54055,2.04545,2.1015
0.8924,0.5531,2.179275,2.204475
1.00405,0.620175,2.307125,2.7819
1.063975,0.637175,2.427075,2.83765
1.139075,0.65735,2.467875,2.88505
1.2121,0.70685,2.66745,2.9157
1.23315,0.718625,2.73035,3.218725
1.33215,0.737025,3.01085,3.613225
1.365275,0.7723,3.249725,3.895775
1.42885,0.796975,3.295975,4.16825
1.517925,0.8338,3.384725,4.22945
1.612625,0.870575,3.43645,4.569125
1.71055,0.886875,3.59595,4.6777
1.774675,0.910225,3.667625,4.689475
1.82485,0.9256,3.777475,4.725025
1.86975,0.93625,3.850775,4.732825
1.898525,0.962575,3.899,4.78105
1.933975,0.977175,4.136625,5.29345
1.942925,0.991025,4.167975,5.4755
1.95945,1.019925,4.19715,5.677375
2.017275,1.069425,4.293475,6.08275
2.07885,1.101525,4.332975,6.398475
2.2071,1.21005,4.365025,7.0015
2.28635,1.264925,4.39725,7.2295
2.317025,1.276975,4.48005,7.32385
2.3537,1.29525,4.5289,7.332725
2.379125,1.31,4.727875,7.5617
2.4318,1.363875,4.7806,7.7376
2.4666,1.4523,4.866825,7.75895
2.516475,1.45945,4.98685,7.811275
2.6521,1.473525,5.014425,7.95235
2.7156,1.50145,5.096525,8.2483
2.74,1.540025,5.1982,8.294475
2.77225,1.665125,5.419225,8.5424
2.808975,1.6838,5.74695,8.686275
2.8223,1.699875,5.8862,8.701275
2.916875,1.71975,6.20135,8.7902
2.96085,1.7355,6.34425,9.115875
2.982175,1.748675,6.428675,9.28955
3.06825,1.76885,6.4669,9.3726
3.2364,1.7894,6.5234,9.5607
3.252175,1.806875,6.633225,9.59555
3.28055,1.813875,6.660425,9.724775
3.316725,1.827825,6.946625,10.065825
3.34385,1.836925,6.967475,10.240275
3.3699,1.8752,7.122575,10.51525
3.40685,1.9088,7.276325,10.61
3.4321,1.99355,7.3158,10.629975
3.47525,2.028625,7.346275,10.718675
3.661675,2.134275,7.407975,10.743
3.7642,2.15055,7.42445,11.1599
3.796625,2.1669,7.691475,11.4123
3.8084,2.19775,7.793075,11.6162
3.819925,2.21015,7.864975,11.6354
3.8445,2.23985,8.091225,11.644325
3.883975,2.251725,8.26055,11.645575
3.9206,2.26575,8.27045,11.655025
3.943075,2.3283,8.278475,11.97845
4.01785,2.357525,8.33195,11.9947
4.093775,2.3669,8.574225,12.009625
4.150325,2.378225,8.6063,12.36325
4.175075,2.43795,8.775025,12.89095
4.2157,2.4529,8.793325,13.029425
4.234025,2.5123,8.83115,13.04165
4.518125,2.544175,8.9108,13.2259
4.572125,2.5812,8.9896,13.434125
4.633175,2.65345,9.007075,13.44595
4.674475,2.7242,9.0945,13.5152
4.7252,2.770625,9.2712,13.5664
4.76285,2.7979,9.466975,13.592225
4.812525,2.9091,9.51865,13.812925
5.035225,2.946725,9.67925,13.8405
5.190325,2.9568,9.741875,14.098125
5.23645,2.96675,9.784075,14.137225
5.268875,2.977375,9.8515,14.16425
5.319625,2.9971,9.93285,14.308025
5.4481,3.030825,10.05315,14.429
5.514225,3.05035,10.065225,14.618075
5.54995,3.0873,10.189275,14.698825
5.578975,3.121375,10.38445,14.752775
5.82725,3.21275,10.431575,14.870325
5.848975,3.2285,10.459575,14.890775
5.892125,3.24155,10.507725,14.901125
5.929475,3.3155,10.53105,14.925325
6.120575,3.323625,10.561975,14.944175
6.16175,3.333675,10.705825,15.119925
6.25725,3.371725,10.801175,15.124125
6.42275,3.3992,11.191675,15.232225
6.46355,3.47775,11.2663,15.3189
6.568675,3.539975,11.283225,16.0605
6.5962,3.6372,11.4247,16.2994
6.647975,3.6546,11.51985,16.5818
6.739475,3.68615,11.59155,16.6415
6.888825,3.739475,11.628325,16.702575
6.952875,3.76235,11.65955,16.99205
7.0362,3.785275,11.66835,17.0949
7.293225,3.809525,11.805875,17.1529
7.318875,3.81835,11.894325,17.444725
7.381725,3.827075,11.909175,17.50955
