SPK_SPKC03a,SPK_SPKC03b,SPK_SPKC08a,SPK_SPKC10b,SPK_SPKC11a
150.0913,150.1259,150.036575,150.6573,150.036825
150.108425,150.232025,150.058225,151.2137,150.066275
150.1278,150.68725,150.121075,151.22965,150.136275
150.1394,151.20135,150.136425,151.239275,150.21455
150.168225,151.2492,150.14825,151.246425,150.25255
150.187425,151.27575,150.181375,151.281125,150.38385
150.199925,152.2715,150.207575,151.491875,150.458175
150.21565,152.298875,150.22035,151.510175,150.475475
150.22245,152.323575,150.23655,151.851625,150.55285
150.23545,152.6857,150.250575,151.862775,150.566475
150.23675,152.96005,150.3018,152.302525,150.577625
150.25275,153.38255,150.3237,152.344325,150.624275
150.261475,153.389725,150.340875,152.6241,150.633375
150.27645,153.445625,150.40975,152.644375,150.641575
150.288775,153.770025,150.447275,152.972675,150.649375
150.308625,154.12635,150.477825,154.5252,150.713925
150.321,154.175,150.511825,154.860675,150.799225
150.325975,154.1981,150.54425,155.07445,150.8637
150.335775,154.449375,150.626125,155.0991,150.87905
150.354775,154.459725,150.6382,155.11395,151.0166
150.379475,154.479475,150.64745,155.145275,151.08335
150.4631,154.71365,150.65655,155.55695,151.10365
150.4874,154.951825,150.666175,155.6002,151.13575
150.50525,155.109775,150.672875,157.9067,151.180825
150.5415,155.8787,150.687075,157.92885,151.1899
150.566175,156.1847,150.700225,158.192125,151.197175
150.5888,156.665975,150.7104,158.259925,151.210225
150.614875,156.702625,150.723525,159.040925,151.2594
150.628975,157.4643,150.733175,159.0986,151.271925
150.646775,157.466825,150.74375,160.56155,151.3017
150.655725,157.49185,150.75435,160.994175,151.387125
150.670075,157.49855,150.79275,161.524575,151.40165
150.6759,157.578,150.811675,162.784875,151.4786
150.67945,157.63625,150.8971,167.264225,151.52355
150.7164,157.87235,150.906025,167.295475,151.579175
150.7302,157.8881,150.933,168.785225,151.594375
150.747975,158.199525,150.941925,169.2981,151.618825
150.765275,158.22785,150.95625,173.27685,151.78815
150.795475,158.263225,150.99385,173.317875,151.8131
150.826975,158.491325,151.0085,173.72365,151.820275
150.8526,158.766125,151.023575,174.0299,151.8337
150.877,159.040725,151.045175,174.04375,151.8434
150.8968,159.115375,151.08665,174.070625,151.851125
150.909625,159.64715,151.109525,174.110875,151.95155
150.9209,159.6682,151.157375,175.4424,152.084775
150.938925,159.682975,151.18155,175.587275,152.114575
150.953375,159.72485,151.22055,175.70245,152.25695
150.9689,159.7609,151.2312,175.74815,152.29485
150.985975,159.968075,151.26135,176.44395,152.308175
150.994175,160.0137,151.275175,176.7819,152.378025
151.006025,160.07135,151.290425,176.82095,152.396075
151.03885,160.2397,151.3048,176.84715,152.439675
151.04145,160.28545,151.32405,176.8625,152.7889
151.0715,160.33105,151.334375,176.914525,152.802125
151.102075,160.43285,151.3474,176.924925,152.889325
151.132175,160.486225,151.361675,177.320575,152.99145
151.159075,160.511525,151.384825,177.334775,153.0939
151.1898,160.95865,151.40945,177.347825,153.1089
151.19585,160.988975,151.418525,177.361325,153.18345
151.20965,161.089875,151.4317,177.369675,153.2366
151.24195,161.521575,151.4445,177.397125,153.303075
151.257825,161.582425,151.4679,177.666775,153.33885
151.271625,161.8273,151.486525,177.685125,153.3818
151.283775,161.844725,151.49295,177.702425,153.4202
151.3093,162.065725,151.544825,177.71745,153.438625
151.33395,162.113475,151.578825,177.994825,153.4774
151.359275,162.12365,151.603,178.025525,153.493225
151.38755,162.13855,151.62255,178.10235,153.6381
151.416075,162.27805,151.62815,178.11545,153.6764
151.432425,162.410475,151.645275,178.130975,153.883425
151.4514,162.4925,151.674,178.181,154.49665
151.464875,162.625975,151.705325,178.49255,154.510325
151.473875,162.7811,151.728175,178.732625,154.52665
151.480775,162.816425,151.750525,179.0236,154.542175
151.482425,162.84455,151.837025,179.041425,154.5622
151.49435,162.935975,151.843925,179.29905,154.634175
151.50195,163.307725,151.865525,179.326925,154.70265
151.503325,163.6947,151.87705,179.359075,154.7519
151.507875,163.776475,151.8926,179.3954,154.8573
151.513875,163.833225,151.9135,179.622525,154.9052
151.5468,164.220975,151.92725,179.641925,154.9334
