SPK_SPKC01a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC10b,SPK_SPKC15a
0.09285,0.135925,0.01395,0.21955,0.035
0.1269,0.234025,0.0428,0.339325,0.08155
0.240825,0.305925,0.07715,0.853575,0.092425
0.265525,0.835125,0.11765,0.912875,0.114025
0.288975,1.036425,0.14375,1.106575,0.164075
0.3061,1.1135,0.17325,1.149325,0.18365
0.32145,1.784875,0.210625,1.157925,0.226975
0.4138,1.873475,0.24565,1.596925,0.239225
0.42985,1.8973,0.275525,1.782025,0.253975
0.48765,2.1795,0.29805,2.039225,0.281025
0.755225,2.28995,0.33435,2.486125,0.461125
0.858425,2.515925,0.376725,2.55485,0.54085
0.8979,2.649425,0.409625,2.64405,0.56625
0.926525,2.795325,0.4472,3.12315,0.59375
0.95025,2.838175,0.491075,3.344025,0.618575
0.957625,2.994675,0.517275,4.471675,0.701875
0.96005,3.236875,0.535125,4.5479,0.7161
1.00705,3.36385,0.55265,4.572375,0.726275
1.221575,3.38665,0.574325,4.832025,0.740425
1.58325,3.5919,0.59025,4.89735,0.7648
2.007925,3.67345,0.612575,4.91995,0.8184
2.032025,3.77605,0.6399,5.174575,0.8644
2.123575,4.0789,0.662625,5.2179,0.98995
2.338475,4.093825,0.67575,5.26925,0.999725
2.399,4.1306,0.68875,5.31755,1.0026
2.466,4.361125,0.697275,6.0859,1.017925
2.515775,4.45975,0.7125,6.3753,1.045925
2.5469,4.48485,0.727575,6.64865,1.065775
2.602125,4.5105,0.74545,6.67485,1.09325
2.67225,4.527525,0.763025,7.470175,1.111
2.75975,4.548325,0.789375,7.54965,1.18095
2.88925,4.585975,0.81785,7.606575,1.2203
2.9271,4.709975,0.842875,7.622075,1.2837
2.942925,4.892,0.86415,7.68085,1.363725
2.977,5.023725,0.918,9.245125,1.39455
3.043725,5.22055,0.9668,9.49165,1.428425
3.06825,5.36025,0.9868,9.562775,1.447825
3.234025,5.389725,0.999125,9.5884,1.467975
3.2579,5.4763,1.01035,9.67725,1.48825
3.291575,5.535325,1.022775,9.75735,1.50545
3.343675,5.5841,1.036875,10.13255,1.555725
3.354925,5.77195,1.05745,10.319125,1.585975
3.376425,5.809425,1.10505,11.445075,1.607275
3.4402,5.909275,1.126825,11.73435,1.6409
3.45295,6.277225,1.1505,11.979575,1.66
3.4557,6.29845,1.1767,12.120675,1.7088
3.478425,6.32985,1.198525,12.319475,1.73255
3.591775,6.44235,1.235275,12.33845,1.794725
3.63575,6.568,1.26875,12.949225,1.840625
3.649225,6.596175,1.3171,12.994025,1.938125
3.743175,6.72705,1.3663,13.34975,1.943275
3.9191,7.076525,1.391275,13.381725,1.968325
3.949875,7.226125,1.411225,13.578225,1.97875
3.9534,7.302275,1.439675,14.155375,1.989075
4.058075,7.31255,1.473025,14.39125,2.00025
4.0854,7.31665,1.52305,14.647975,2.008
4.124975,7.50895,1.5367,14.68475,2.01805
4.137525,7.54765,1.552225,14.72475,2.036275
4.156375,7.699675,1.565325,14.969,2.0481
4.3975,7.70525,1.579775,15.669925,2.069975
4.422825,7.8371,1.5903,15.68945,2.0766
4.4449,7.922325,1.602275,15.7092,2.104875
4.473425,8.0543,1.621575,16.4343,2.12005
4.536525,8.0833,1.63585,16.9674,2.13065
4.624925,8.123025,1.65255,17.23175,2.1539
5.25575,8.165,1.6653,17.3362,2.166075
5.422275,8.23655,1.712675,17.532425,2.185825
5.485475,8.269075,1.7347,17.745125,2.202425
5.50205,8.5557,1.76075,18.04495,2.215475
5.541525,8.558125,1.82065,18.097875,2.2521
5.564275,8.785975,1.857475,18.720325,2.289575
5.583975,8.79235,1.897125,19.200675,2.30355
5.966575,9.2136,1.928125,19.3909,2.31375
5.97265,9.3834,1.958625,19.581975,2.33865
6.06615,9.475375,1.973125,19.595375,2.34805
6.351575,9.6585,1.994875,19.6173,2.357375
6.41025,9.7329,2.015675,19.726775,2.38455
6.57065,9.801,2.033075,19.773725,2.412525
6.5961,9.8233,2.050825,19.900325,2.423625
6.6529,9.945775,2.067725,19.99675,2.4308
6.664025,9.95155,2.08515,20.000875,2.46125
6.717825,10.0461,2.101625,20.01985,2.466125
6.75125,10.083675,2.1142,20.043725,2.486475
6.816775,10.160375,2.127875,20.113275,2.5209
7.5379,10.277775,2.149175,20.334175,2.545575
7.5556,10.5034,2.16985,20.4051,2.563925
7.6311,10.51025,2.195675,20.430325,2.576625
7.635825,10.521825,2.219875,20.510075,2.608075
7.653775,10.5505,2.238225,20.725425,2.623075
7.7804,10.614325,2.2611,20.73985,2.639275
7.93815,11.0564,2.27675,20.895875,2.6693
7.9683,11.1093,2.29065,20.964725,2.707475
7.982725,11.1338,2.3125,21.00725,2.784875
8.061925,11.22785,2.33315,21.026575,2.803975
8.1289,11.304575,2.34845,21.0474,2.81295
8.14865,11.37385,2.365325,21.0986,2.8322
8.16605,11.5494,2.38295,21.301925,2.8696
8.183225,11.7375,2.401175,21.411225,2.8991
8.2145,12.086075,2.417325,21.480475,2.98825
8.3111,12.3934,2.44355,21.56695,3.00815
8.33335,12.6135,2.463375,21.614175,3.028325
