SPK_SPKC07a (inh/exc),SPK_SPKC09b (no resonse),SPK_SPKC10a (exc),SPK_SPKC13a (inh)
0.0147,0.019425,0.0108,0.012925
0.04305,0.0564,0.036325,0.024125
0.1026,0.09015,0.041275,0.0349
0.193125,0.1052,0.0473,0.043925
0.223925,0.12385,0.069375,0.04785
0.414475,0.13835,0.08235,0.052575
0.569825,0.144825,0.08985,0.057175
0.759525,0.165375,0.09935,0.0744
0.8469,0.19695,0.123875,0.082825
1.01665,0.20995,0.1326,0.09245
1.0178,0.22095,0.14385,0.09985
1.1076,0.242875,0.1533,0.10575
1.17755,0.249575,0.166,0.14255
1.24325,0.343675,0.17805,0.14825
1.278375,0.372325,0.186425,0.164875
1.39785,0.410225,0.19835,0.175425
1.4504,0.420175,0.22,0.18905
1.50365,0.4466,0.226675,0.2073
1.5914,0.487125,0.23935,0.21435
1.63545,0.513575,0.279825,0.2207
1.683725,0.533725,0.29025,0.242075
1.722275,0.55245,0.29805,0.288975
1.75415,0.572525,0.310775,0.3049
1.84145,0.61775,0.326275,0.312625
1.851425,0.748675,0.3385,0.34515
1.895275,0.793025,0.352975,0.361525
1.92075,0.866725,0.368275,0.42475
1.921825,0.90615,0.386325,0.4474
1.95245,1.027225,0.418425,0.463075
1.9929,1.058975,0.427975,0.52015
2.028925,1.094525,0.461075,0.53445
2.1539,1.1178,0.510875,0.55345
2.325675,1.1668,0.527875,0.56985
2.35935,1.2016,0.556375,0.5838
2.4355,1.216875,0.570375,0.606375
2.4731,1.23105,0.587875,0.62865
2.562175,1.25235,0.618825,0.66225
2.60265,1.2687,0.6523,0.689775
2.63795,1.283275,0.68015,0.724525
2.6809,1.308675,0.706425,0.756475
2.72285,1.325925,0.749175,0.83045
2.811675,1.341475,0.786675,0.857825
2.8673,1.365375,0.8224,0.89065
2.95185,1.3894,0.851625,0.9344
2.98685,1.45155,0.88405,0.9582
3.1128,1.485775,0.90545,1.00325
3.206725,1.51555,0.932725,1.041725
3.389975,1.59095,0.964425,1.077575
3.46785,1.683325,0.99635,1.1238
3.48355,1.72015,1.017225,1.1587
3.549775,1.723725,1.052225,1.170225
3.595125,1.781875,1.0986,1.188425
3.64205,1.851125,1.1443,1.195625
3.681125,1.87015,1.16075,1.205275
3.718575,1.88645,1.172575,1.21465
3.950975,1.91075,1.184925,1.234925
3.9841,1.932775,1.2016,1.246025
4.02045,1.9393,1.21425,1.27165
4.0728,1.944975,1.225475,1.283525
4.2051,1.96495,1.252775,1.296375
4.241875,1.973475,1.27715,1.33395
4.312025,1.991925,1.305475,1.35145
4.38635,2.000725,1.3791,1.371675
4.43855,2.02,1.4164,1.38925
4.563125,2.029625,1.442825,1.411825
4.5938,2.091925,1.4684,1.4456
4.61785,2.110075,1.4918,1.476375
4.6307,2.15345,1.534175,1.538
4.647275,2.1881,1.56,1.606575
4.718175,2.219025,1.59225,1.6388
4.7458,2.24885,1.6219,1.6969
4.7758,2.278075,1.6462,1.731925
4.878025,2.294825,1.6726,1.7682
5.04925,2.340425,1.6984,1.8074
5.078,2.434025,1.7214,1.852725
5.241325,2.456675,1.746775,1.8745
5.32145,2.525,1.777825,1.9081
5.3899,2.599575,1.80085,1.91675
5.424875,2.6377,1.850175,1.924325
5.478975,2.72415,1.8824,1.9354
5.558175,2.778275,1.8997,1.94945
5.563525,2.833875,1.94025,1.955325
5.608825,2.892075,1.968975,1.96125
5.6257,2.92505,1.9806,1.96475
