SPK_SPKC02a (no response),SPK_SPKC07a (exc/inh)
200.10815,200.326325
200.259875,201.930225
200.36715,203.008775
200.4378,203.1399
200.565075,204.259875
200.74715,204.492825
200.9217,205.924975
201.007625,205.995025
201.09845,206.110575
201.23175,206.16045
201.36575,206.618775
201.51875,206.809825
201.621625,207.58025
201.834675,208.529825
202.05635,208.8907
202.14345,209.0218
202.25725,209.2131
202.410025,209.28255
202.5581,209.340975
202.627475,209.477325
202.71305,209.5389
202.845325,209.551025
203.0747,209.567325
203.185925,209.630075
203.2859,209.646925
203.396525,209.70475
203.5083,209.78015
203.699675,209.93315
203.859275,209.956575
203.967425,209.99135
204.0722,210.0454
204.12775,210.37245
204.21065,210.39975
204.3267,210.5423
204.4311,210.54685
204.5451,210.697325
204.652225,210.71685
204.921375,210.882525
205.038825,211.050975
205.099,211.133175
205.29545,211.280125
205.4231,211.4338
205.580525,211.5826
205.718325,212.4051
205.8195,212.438875
205.919575,212.551875
206.10345,212.581725
206.2603,212.887625
206.3823,212.91325
206.50705,212.977725
206.6582,213.398875
206.750875,213.430375
206.926825,213.69535
207.15515,213.725925
207.32065,213.86285
207.5129,213.985675
207.5723,214.063225
207.682525,214.16875
207.8221,214.24675
207.94125,214.361025
208.06335,214.46715
208.173175,214.4963
208.281275,214.672375
208.442275,214.875
208.516025,214.92195
208.626775,215.040875
208.683,215.047625
208.778875,215.0982
208.91235,215.26665
209.00465,215.2912
209.15755,215.3951
209.295825,215.445125
209.35595,215.514975
209.480275,215.540925
209.627225,215.747
209.782425,215.844825
209.878175,215.85675
209.941625,215.965975
210.15745,215.979625
210.24445,216.1276
210.350225,216.474125
210.457525,216.519525
210.57765,216.553025
210.694975,216.6
210.818075,216.71685
210.88335,216.8497
210.979625,216.888525
211.093325,216.92405
211.2356,217.0729
211.387425,217.48
211.519675,217.62685
211.630075,217.6915
211.76165,217.73595
211.83725,217.784175
211.98495,217.8301
212.078175,217.86045
212.182575,217.9269
212.284375,217.97985
212.403175,218.224325
212.475625,218.5072
212.558125,218.522
212.6743,218.631725
212.839125,218.740875
213.005175,218.76965
213.094125,219.127375
213.248425,219.14055
213.36185,219.175025
213.48125,219.188575
213.548775,219.26655
213.681975,219.49715
213.75345,219.53875
213.8335,219.70115
214.017075,219.723575
214.173825,219.736375
214.349375,219.829875
214.45755,219.978325
214.57755,220.0037
214.742125,220.08325
214.790975,220.139125
214.90205,220.1743
215.001075,220.192775
215.1071,220.423875
215.1842,220.496275
215.3398,220.513425
215.41955,220.5619
215.6019,220.653425
215.730325,220.7053
215.787225,220.844425
215.91075,220.895725
216.05785,221.064675
216.131825,221.076175
216.194575,221.112625
216.231625,221.120675
216.2965,221.20195
216.41165,221.49695
216.5003,221.557875
216.620425,221.569475
216.7317,221.58725
216.897875,221.671825
216.948725,221.734
217.031175,221.931175
217.101575,221.956625
217.206875,221.9877
217.323225,222.137475
217.399375,222.171725
217.55955,222.256175
217.681825,222.264075
217.766525,222.31205
217.8908,222.337275
217.9441,222.381325
218.114875,222.5055
218.244275,222.59365
218.3069,222.6223
218.3793,222.945625
218.469725,222.99395
218.5806,223.162175
218.716675,223.282025
218.82045,223.313625
218.973425,223.449475
219.0539,223.6243
219.196075,223.8101
219.28245,223.855375
219.4232,223.9092
219.542175,224.0126
219.772125,224.0886
219.926375,224.4431
219.9869,224.475675
220.079525,224.6199
220.169775,224.744625
220.356875,224.817325
220.474725,224.8889
220.618175,224.918675
220.748725,224.970725
220.911825,224.984675
221.03285,225.00605
221.11425,225.0155
221.213375,225.05845
221.37325,225.0761
221.45225,225.090625
221.559175,225.339425
221.717225,225.576725
221.8399,225.5946
221.916025,225.6245
221.964425,225.78675
222.0979,225.83695
222.175425,225.94795
222.311325,226.1925
222.380125,226.37425
222.45425,226.516125
222.52325,226.5584
222.627125,226.625125
222.74845,226.706825
222.840025,226.785325
222.966925,226.8614
223.094475,226.938625
223.205225,226.967925
223.3415,227.0547
223.629125,227.123925
223.8173,227.146375
223.913875,227.221
224.045975,227.3
224.116375,227.405975
224.23845,227.61785
224.3326,228.050525
224.418125,228.5377
224.583825,228.791925
224.68045,229.066675
224.749125,229.2704
224.87515,229.31315
224.958225,229.378
225.055125,229.425075
225.159675,229.472275
225.286525,229.5011
225.39855,229.6563
225.486125,229.751825
225.5663,229.84945
225.70235,229.8767
225.7991,229.88765
225.916525,230.007825
226.04,230.0231
226.14545,230.27475
226.33825,230.29025
226.395525,230.871425
226.5107,230.915625
226.572825,230.945725
226.723425,231.0088
226.8117,231.076575
226.98715,231.13485
227.067075,231.249175
227.200575,231.258275
227.27795,231.346025
227.439625,231.3603
227.48975,231.397875
227.567425,231.50005
227.646175,231.615625
227.746175,231.78035
227.8291,231.804025
227.879175,231.94845
227.981025,232.011225
228.098275,232.454675
228.221375,232.527875
228.363025,232.582125
228.507275,232.7878
228.6456,232.8393
228.778225,232.86695
228.882875,232.896775
228.9788,232.947725
229.054675,233.084325
229.270225,233.095725
229.357275,233.2263
229.5264,233.25385
229.610025,233.279775
229.72035,233.31665
229.8606,233.394125
229.977175,233.483475
230.127775,233.6148
230.29275,233.668675
230.377975,234.20825
230.4796,234.478975
230.5889,234.62185
230.66955,234.8261
230.759775,234.865075
230.908725,234.955325
231.025725,234.994075
231.090675,235.114625
231.233175,235.445325
231.323125,235.508
231.3983,235.5924
231.459725,235.628425
231.527275,235.780625
231.660325,235.794425
231.792525,235.81105
231.8873,235.827675
231.9474,235.863225
231.998425,236.2325
232.05855,236.250375
232.1855,236.25805
232.30535,236.278025
232.401875,236.330225
232.5385,236.33645
232.679525,236.5284
232.78955,237.0324
232.912875,237.10435
233.0172,237.220725
