SPK_SPKC04a (artef),SPK_SPKC12b (exc)
400.066975,400.028025
400.0967,400.27865
400.150425,400.395
400.176825,400.494575
400.2039,400.5512
400.2385,400.607175
400.2757,400.684725
400.327975,401.071475
400.3847,401.200175
400.434075,401.2511
400.493275,401.445125
400.5433,402.171875
400.587925,402.243275
400.615225,402.5168
400.68275,402.532425
400.7234,402.57275
400.7644,402.6476
400.794825,402.794075
400.8525,402.8766
400.8954,403.172325
400.962425,403.32155
401.01245,403.513725
401.06045,403.839975
401.08735,403.89125
401.12895,403.93105
401.17025,404.085175
401.2249,404.15285
401.269175,404.6975
401.315775,404.9543
401.352075,404.9841
401.38465,405.0964
401.449675,405.340075
401.50095,405.45865
401.562725,405.485525
401.619875,405.7227
401.68965,405.9367
401.7187,405.998375
401.7629,406.04425
401.8066,406.1776
401.86105,406.496675
401.9103,406.56235
401.970025,406.891525
402.0205,406.98215
402.05025,407.102325
402.09235,407.339975
402.1328,407.5491
402.258725,407.66295
402.314325,407.723325
402.380125,407.866775
402.42665,408.259525
402.4647,408.322475
402.505575,408.4376
402.555275,408.719775
402.60135,408.7382
402.676025,408.8013
402.7121,408.8416
402.788625,409.073625
402.815725,409.1663
402.865575,409.27585
402.99635,409.509425
403.04565,409.674575
403.10005,409.743925
403.1438,409.82205
403.19765,410.4196
403.23435,410.5639
403.294325,410.88485
403.332625,411.000775
403.383475,411.16835
403.420025,411.482925
403.4783,411.6437
403.532,412.21485
403.611875,412.3316
403.67215,412.467075
403.7074,412.6558
403.749875,412.8091
403.798075,413.03595
403.823175,413.28585
403.895175,413.62165
403.92,413.950325
403.9559,414.00505
404.010325,414.0493
404.05835,414.1366
404.112825,414.414725
404.1786,414.441
404.231925,414.598775
404.28155,414.63135
404.346375,414.6931
404.392825,414.927225
404.433675,415.132975
404.497325,415.431275
404.546975,415.545125
404.609325,416.100725
404.6398,416.726675
404.691725,416.9464
404.742875,417.227725
404.8001,417.30755
404.8553,418.004675
404.912525,418.6093
404.987,418.7963
405.0168,418.993125
405.08415,419.055625
405.147675,419.48185
405.1487,419.814625
405.203275,419.9543
405.2375,420.23155
405.2746,420.373625
405.329,420.792525
405.3851,420.939
405.434275,421.223575
405.5124,421.26295
405.56895,421.35215
405.59755,421.432275
405.642525,421.823725
405.7161,421.877175
405.780775,422.20095
405.85325,422.361725
405.907825,422.62915
405.980525,422.736075
406.068375,422.89915
406.49335,422.9451
406.585025,423.07435
406.69105,423.5154
406.790625,423.95655
406.865575,424.602775
406.93015,425.37735
407.04895,426.026625
407.0799,427.26045
407.145925,431.72955
407.189425,432.188575
407.2669,432.291675
407.3067,432.516325
407.38955,433.11295
407.444625,433.58365
407.500625,433.63835
407.56335,434.010475
407.612875,434.04255
407.6989,434.739025
407.739475,435.207725
407.790275,435.5816
407.82,436.033275
407.87835,436.732125
407.912625,437.09115
407.9556,437.1724
408.060575,437.2218
408.113425,437.402775
408.21515,437.42165
408.297175,437.818575
408.348775,437.873625
408.408425,438.116675
408.524375,438.428025
408.56055,439.0178
408.663225,439.08725
408.78185,439.7467
408.93785,440.03365
408.989575,441.275125
409.171975,441.346275
409.2581,441.5581
409.332075,441.58665
409.38425,441.9293
409.466875,442.058725
410.261425,442.53495
410.402575,442.791925
410.8811,443.044075
411.0452,443.05935
411.2198,443.07665
