SPK_SPKC05a (exc),SPK_SPKC15a (no response)
600.089025,600.126775
600.2743,602.368775
600.337625,602.4587
600.430675,602.7107
600.52915,602.931575
600.8141,603.249975
600.88045,609.2085
600.977225,609.6916
601.3304,612.67155
601.414025,612.800825
601.546025,612.881225
601.62965,612.994975
601.717675,613.26505
601.7237,613.7809
601.79065,614.023175
601.8712,614.25165
601.94945,614.34435
602.0128,614.440625
602.054225,614.50365
602.091025,614.5831
602.220625,614.616025
602.301975,614.69415
602.589725,614.85575
602.71475,614.906825
602.8735,615.016875
602.888875,615.201625
602.9705,615.31
603.4157,615.4391
603.534325,615.5913
603.615025,615.781775
603.699375,615.87565
603.702075,616.506775
603.7791,618.35895
603.79045,619.2293
603.872025,622.439125
603.9441,623.841775
603.9989,625.2386
604.072225,628.84015
604.13195,629.06155
604.185025,629.222
604.271525,630.36445
604.46255,632.64975
604.5413,632.681325
604.61175,632.8025
604.719575,632.83605
604.833825,632.92035
604.925075,633.88195
605.035,633.917475
605.18505,633.947275
605.2574,634.1603
605.315075,636.4704
605.386225,636.695925
605.435625,637.08305
605.48375,637.336975
605.617225,637.56175
605.6649,637.73975
605.687575,637.869375
605.7789,638.01125
605.856,638.1495
605.91505,638.3783
605.993975,638.6525
606.078825,638.72355
606.1657,638.822125
606.388475,639.01845
606.411425,639.097775
606.4592,639.202575
606.675325,639.400875
606.7696,639.520575
606.870025,639.5964
606.946875,639.83635
606.984975,639.97865
607.05135,640.036375
607.108525,640.095225
607.12725,640.104975
607.19035,640.16825
607.35595,640.2786
607.435575,640.37635
607.521625,640.437475
607.629825,640.55855
607.70045,640.594975
607.768825,640.597975
607.87995,640.7027
607.9801,640.72325
608.043025,640.77325
608.10945,640.878675
608.180075,640.930875
608.187975,640.9837
608.227475,641.0204
608.265575,641.140325
608.451275,641.176475
608.5454,641.244425
608.726925,641.418575
608.9371,641.47705
609.007125,641.5103
609.072775,641.53965
609.1238,641.561475
609.186425,641.6186
609.244575,641.711675
609.309025,641.84745
609.343725,641.9022
609.44715,641.967675
609.536,641.977375
609.599,641.998075
609.655025,642.03555
609.660225,642.102725
609.738075,642.18115
609.82495,642.204775
609.890675,642.235675
609.968725,642.25625
610.11415,642.365625
610.252675,642.38325
610.32165,642.42315
610.461775,642.456475
610.5123,642.49325
610.616675,642.50785
610.667475,642.556725
610.709425,642.697975
610.77395,642.72775
610.84685,642.772575
611.28815,642.808125
611.426175,642.82375
611.492975,642.915625
611.552075,643.002375
611.6414,643.03025
611.71315,643.060275
611.76845,643.0882
611.85695,643.12945
611.9718,643.18205
612.053475,643.231075
612.060525,643.295425
612.14325,643.3479
612.214425,643.605425
612.2556,643.66055
612.4381,643.8461
612.560625,644.0059
612.620775,644.723875
612.780125,644.769625
612.814575,644.947125
612.928875,645.0662
613.15535,645.183175
613.24795,645.2398
613.33595,645.3654
613.4622,645.465525
613.5059,645.55345
613.531125,645.570775
613.642125,645.66555
613.729325,645.759225
613.889975,646.308025
613.945175,646.768375
614.046525,646.990175
614.144075,647.387525
614.189675,647.58045
614.32905,647.7983
614.38865,647.853225
614.4277,647.915825
614.522575,647.953275
614.5405,648.13925
614.770875,648.155625
614.829775,648.63005
615.1034,649.187975
615.199075,649.56905
615.276675,649.7313
615.3843,649.821025
615.73605,649.893425
615.782375,650.5591
616.057775,650.680675
616.09135,650.894875
616.3537,651.377375
616.551625,651.483225
616.5943,651.9242
616.660375,652.030575
616.751025,652.52585
616.7588,652.67585
616.9542,652.843025
616.968575,652.96655
616.98385,653.01285
616.99585,653.821175
617.09195,654.043025
617.372225,654.149625
617.4685,654.7668
617.48325,654.81115
