SPK_SPKC04a,SPK_SPKC05a,SPK_SPKC07a,SPK_SPKC07c,SPK_SPKC13b,SPK_SPKC13c
0.427025,3600.61185,3600.752525,3611.232475,3649.167225,3600.3021
0.547,3601.551525,3600.977075,3612.950475,3667.792725,3600.665375
0.83005,3602.879225,3600.998875,3639.211,3684.63835,3600.85025
0.854125,3603.169575,3608.8298,3674.070125,3733.112675,3601.1752
1.246625,3604.073375,3611.95975,3675.513575,3796.644925,3601.24265
1.566,3604.331525,3612.32745,3675.575525,,3602.174425
1.9153,3606.628575,3612.3393,3686.64645,,3602.6575
3.203025,3607.217575,3616.5413,3687.667325,,3602.815225
3.79355,3608.0528,3616.5556,3689.438825,,3603.259775
4.3929,3608.953375,3616.5692,3689.73265,,3603.58185
4.729575,3609.2855,3616.59175,3693.164225,,3603.7504
5.038725,3609.685425,3616.657325,3695.72755,,3604.086
6.041625,3610.500725,3616.68385,3697.056375,,3604.253175
6.1405,3610.98235,3616.703625,3699.75465,,3604.413425
7.161525,3612.28855,3616.720875,3700.476475,,3604.9544
7.284875,3613.049925,3616.7356,3708.79185,,3605.26045
7.38715,3613.65715,3616.760925,3712.705525,,3605.3372
7.40845,3614.01795,3624.8035,3727.01945,,3605.647175
8.3939,3614.188925,3625.2659,3729.035225,,3606.732975
9.574775,3614.5518,3625.526375,3746.5294,,3607.104025
10.56235,3614.793575,3625.541375,3749.8977,,3607.655025
11.40715,3614.9988,3625.563875,3788.2922,,3608.218425
12.03085,3615.622425,3630.3623,3798.7248,,3608.291225
12.611975,3616.022975,3632.227175,3799.63925,,3608.3797
12.9928,3616.714075,3635.89725,,,3608.455625
13.033725,3619.548425,3641.843025,,,3608.485525
13.3768,3620.463875,3641.91705,,,3608.674
13.657975,3621.1296,3641.97465,,,3609.73145
13.92945,3623.16245,3641.9942,,,3610.9295
13.9705,3623.416025,3642.01865,,,3611.14815
14.93325,3624.239175,3642.048125,,,3611.502125
14.936825,3624.412125,3642.0833,,,3611.643475
14.9878,3624.729075,3642.127925,,,3611.95155
15.535675,3625.950925,3646.4743,,,3612.12025
16.28325,3626.2167,3647.55075,,,3612.14045
16.39065,3627.121425,3648.282575,,,3612.92235
16.437725,3628.294775,3655.825125,,,3613.069325
17.18895,3628.618975,3658.93455,,,3613.2358
17.224275,3630.413375,3663.963075,,,3613.438075
17.564725,3630.689825,3663.993925,,,3613.61605
18.06825,3630.85705,3664.005775,,,3613.767475
18.280075,3631.279475,3664.085975,,,3614.403525
18.698675,3632.34805,3664.115275,,,3614.54135
18.710275,3634.0488,3664.138675,,,3614.8324
18.937675,3634.919,3664.16245,,,3615.246925
19.24585,3635.41525,3664.753475,,,3615.396175
19.3026,3636.8068,3668.380575,,,3615.54925
19.908425,3637.2215,3668.389725,,,3615.75235
19.9874,3637.98515,3669.5921,,,3616.48185
20.53635,3638.345475,3669.64,,,3616.5756
20.57385,3638.661375,3669.726925,,,3616.607725
21.385875,3639.26755,3669.73765,,,3616.6965
21.42545,3639.99325,3669.795825,,,3616.8673
21.7228,3641.84675,3669.8344,,,3617.362625
22.001175,3641.93175,3669.8998,,,3617.4661
22.035975,3642.38775,3672.3496,,,3617.90185
22.096,3643.87725,3674.705575,,,3619.061625
22.252025,3645.047975,3676.96975,,,3619.7507
22.385375,3646.766825,3677.2801,,,3620.2554
22.480475,3647.541525,3677.467225,,,3620.58455
23.02655,3648.5414,3679.616775,,,3620.70445
23.0795,3649.455075,3682.691725,,,3620.72365
23.442475,3652.498425,3682.735275,,,3621.180375
23.4783,3652.78395,3682.7671,,,3621.3324
23.966575,3653.141325,3682.781725,,,3622.44955
24.0324,3653.394575,3682.870725,,,3622.88845
24.752375,3653.767425,3684.171625,,,3623.05665
24.900025,3655.190875,3685.5389,,,3623.2137
25.30835,3655.393725,3688.92925,,,3623.477125
25.379425,3656.052175,3690.06255,,,3623.504575
25.536725,3656.3068,3691.4233,,,3624.0497
