SPK_SPKC04a,SPK_SPKC07a,SPK_SPKC10a,SPK_SPKC12b,SPK_SPKC13a,SPK_SPKC13b
0.427025,0.621425,0.229875,0.5815,0.5769,11.09775
0.547,5.283475,0.91585,2.354025,0.66265,11.696575
0.83005,6.321675,1.359275,4.73575,1.031925,11.8981
0.854125,6.375075,1.6365,5.1226,1.1556,11.96825
1.246625,9.123475,1.807725,5.434675,1.3491,12.061725
1.566,12.226475,1.9854,5.4999,1.71675,12.07995
1.9153,12.8282,2.075925,5.5459,1.835525,12.102675
3.203025,13.8078,2.478225,5.55445,3.042275,12.11955
3.79355,13.824325,2.715575,5.964225,3.2187,12.61195
4.3929,15.1958,2.9485,7.3553,3.516025,13.658
4.729575,15.959725,3.523075,8.75665,3.568125,13.92945
5.038725,16.46495,3.81705,8.80455,4.283825,14.0776
6.041625,19.1909,3.970925,8.88005,4.514925,14.185975
6.1405,21.675575,4.591075,8.903,4.9195,14.188925
7.161525,23.917775,5.08615,9.285475,4.9728,14.272575
7.284875,27.0728,5.268325,9.32035,5.003925,14.3362
7.38715,27.6974,5.64385,9.3668,5.018725,14.548625
7.40845,30.439475,5.813525,9.42295,5.057025,14.742625
8.3939,31.683825,6.2709,9.441875,5.07715,14.835225
9.574775,37.402625,6.4674,9.4588,5.1204,14.9368
10.56235,44.436275,7.17635,9.492425,5.2306,14.9878
11.40715,49.459825,7.30965,9.539225,5.245475,15.0846
12.03085,51.7436,7.6551,9.576575,5.270325,15.27855
12.611975,60.802675,7.754875,9.5907,5.282925,15.36745
12.9928,70.44735,7.994425,9.64655,5.356425,15.457975
13.033725,74.30885,8.11685,9.6999,5.3985,15.626075
13.3768,74.565325,8.385375,9.72895,5.451275,15.665425
13.657975,79.19135,9.380325,9.772975,5.46775,15.76625
13.92945,82.58575,9.5642,9.78855,5.59205,16.034575
13.9705,88.312375,10.0453,9.84545,5.776525,16.073375
14.93325,91.337475,10.2224,9.934625,5.808825,16.237125
14.936825,96.57495,10.455325,9.946625,5.8744,16.283225
14.9878,103.79725,10.521075,9.968075,5.9177,16.3729
15.535675,105.88125,10.8238,10.0528,5.954,16.5311
16.28325,107.9083,10.91525,10.075175,5.991675,16.643575
16.39065,113.222575,11.1537,10.17055,6.08415,16.695875
16.437725,114.986375,11.5364,10.212775,6.123725,16.829825
17.18895,115.71905,11.54705,10.253175,6.139575,17.141625
17.224275,117.327725,11.711475,10.338825,6.185575,17.188925
17.564725,126.737475,11.727175,10.474875,6.2005,17.22425
18.06825,128.508725,11.829,10.547375,6.294375,17.377225
18.280075,131.2295,11.932025,10.607975,6.371725,17.484225
18.698675,137.833875,12.0292,10.697675,6.45635,17.5647
18.710275,138.567375,12.170325,10.753875,6.49595,17.70515
18.937675,139.507175,12.368875,10.84665,6.5167,17.7371
19.24585,139.508725,12.47515,10.9535,6.6246,18.023775
19.3026,139.92285,12.51395,11.009125,6.650525,18.120775
19.908425,140.081875,12.5189,11.112,6.7295,18.205825
19.9874,141.10875,12.615775,11.176225,6.778075,18.25995
20.53635,141.182575,12.6878,11.288925,6.81965,18.412275
20.57385,141.237325,12.77745,11.4344,6.9281,18.42925
21.385875,141.553625,12.80265,11.806975,7.016,18.54845
21.42545,141.963275,12.8839,11.8287,7.033875,18.653975
21.7228,142.02205,13.127575,11.9543,7.0693,18.69865
22.001175,143.0488,13.201575,12.0171,7.1024,18.848125
22.035975,144.476275,13.376175,12.137625,7.164775,18.9377
22.096,144.52895,13.4663,12.226425,7.203825,19.11345
22.252025,144.68345,13.577275,12.32755,7.25415,19.15275
22.385375,145.1939,13.769925,12.375725,7.269175,19.222675
22.480475,145.998575,13.86375,12.51475,7.403125,19.302575
23.02655,146.0011,14.01065,12.55715,7.435825,19.382425
23.0795,146.23365,14.112625,12.619575,7.49675,19.52825
23.442475,146.7497,14.207925,12.729725,7.535125,19.589725
23.4783,147.010125,14.2187,12.8001,7.556475,20.0062
23.966575,147.647975,14.400525,12.828175,7.607625,20.071525
24.0324,148.027425,14.567175,12.887375,7.68425,20.1892
24.752375,148.11345,14.7314,12.928675,7.751,20.2853
24.900025,148.23325,14.9079,13.008,7.7762,20.311425
25.30835,148.684325,14.9993,13.0627,7.811575,20.46605
25.379425,148.736925,15.1558,13.145525,7.86125,20.66575
25.536725,150.21225,15.3592,13.172925,7.887275,20.72635
25.581575,150.3926,15.572925,13.1867,7.904175,20.78075
25.6581,153.0756,15.739825,13.2701,7.92095,20.83455
25.830275,154.656925,15.87,13.31475,7.93125,21.12765
25.95095,156.1573,15.955875,13.3644,7.97475,21.1629
25.9954,163.0284,16.12115,13.398525,7.99335,21.290825
26.070525,166.615425,16.2501,13.477775,8.29505,21.385875
26.249,170.390425,16.37165,13.52495,8.4511,21.425425
26.81405,170.5109,16.37605,13.607375,8.629775,21.58505
26.886475,171.248975,16.4713,13.649875,8.691775,21.761825
26.9493,171.282025,16.6748,13.706375,8.755825,21.806525
27.23265,171.463975,16.801375,13.773425,9.1294,21.8708
27.591525,172.6964,16.881825,13.824325,9.17815,21.903575
27.831125,174.919825,16.98695,13.8861,9.252,21.95075
28.49485,175.958775,17.073175,14.08755,9.2665,22.008325
28.645075,176.301625,17.152125,14.188875,9.311625,22.095975
28.682875,177.323375,17.21495,14.3481,9.3708,22.252025
28.71155,177.665225,17.49015,14.522825,9.422975,22.274825
29.651825,177.679425,17.634875,14.610375,9.45155,22.385375
29.99955,178.14255,17.72575,14.7379,9.620425,22.40795
30.3961,179.571325,17.805625,14.859125,9.646525,22.509025
30.755725,180.12865,17.939725,15.107275,9.67105,22.650775
31.2617,180.464725,18.22225,15.2606,9.71005,22.695825
31.555525,180.691225,18.2306,15.814825,9.7515,22.73925
31.650825,181.135225,18.346925,15.959725,9.8295,23.165125
31.7868,182.396375,18.476125,16.1744,9.856775,23.194825
33.00985,185.321625,18.5083,17.117675,9.930225,23.400325
33.06005,188.003375,18.652025,18.226125,9.946575,23.442475
33.1167,188.11185,18.7952,19.190875,9.96035,23.545325
33.163325,188.282225,19.057375,20.2265,9.968075,23.66295
33.46795,188.69145,19.175775,32.710575,9.9962,23.716025
33.503475,188.74645,19.598475,34.505125,10.05285,23.758
34.055425,188.913975,19.7492,42.038175,10.054825,23.931975
34.8456,189.146975,19.92565,46.517025,10.062925,23.9854
35.566675,190.316875,20.49425,54.251325,10.079125,24.0324
36.16145,191.379575,20.62945,60.802725,10.1372,24.388025
36.545925,191.6001,20.78805,61.1105,10.190525,24.428425
36.822025,191.657,20.988625,61.732575,10.241675,24.5307
38.15225,191.847575,21.204325,64.674925,10.309125,24.5535
38.378975,198.416325,21.349975,65.815275,10.336025,24.757175
38.452275,,21.378875,66.3214,10.33885,24.856775
38.516725,,21.467975,68.7659,10.352925,24.92835
38.670425,,21.5846,69.72295,10.3688,24.971775
39.213325,,21.609325,73.0898,10.40815,25.009975
39.710025,,21.8724,73.796675,10.432375,25.054075
40.011275,,21.99505,74.0387,10.4882,25.143175
40.1533,,22.169775,74.17925,10.538875,25.2579
41.018775,,22.593675,74.5654,10.600825,25.2961
41.253425,,22.64845,75.880625,10.63305,25.327575
41.48695,,22.746525,76.820375,10.6557,25.421325
41.574275,,22.899575,79.430525,10.7263,25.462975
42.12585,,23.0726,82.2081,10.798225,25.486
42.3503,,23.121575,82.58585,10.896375,25.5367
43.0842,,23.28795,83.5562,10.9789,25.56825
43.873675,,23.475075,84.5648,11.038,25.630825
43.94435,,23.698,85.504,11.122625,25.658075
44.0984,,23.8168,85.572325,11.2084,25.72905
44.2166,,24.255775,86.3995,11.32045,25.750275
44.274925,,24.353125,87.86625,11.383125,25.76945
44.3008,,24.4877,88.312425,11.43305,25.813025
44.3569,,24.72605,91.912525,11.4575,25.8642
44.577625,,25.2436,93.327,11.4738,25.97555
45.249875,,25.427025,95.953125,11.589875,26.022975
45.475725,,25.622475,96.278575,11.7094,26.039575
45.521325,,25.970575,98.908475,11.76465,26.073125
45.906475,,26.10545,98.985725,11.806775,26.096625
47.06115,,26.2417,99.452325,11.843775,26.1826
47.11345,,26.333225,99.704225,11.8908,26.239725
47.2592,,26.44355,100.13095,11.908325,26.287325
47.5086,,26.5753,100.4731,11.9649,26.48065
47.733575,,26.658825,101.20425,12.0003,26.6097
47.7788,,26.77285,101.604425,12.0933,26.8104
47.86995,,26.939675,102.9897,12.12095,26.859875
