SPK_SPKC01a (inhi),SPK_SPKC02a (maybe inhi),SPK_SPKC02b (inhi),SPK_SPKC06a (inhi),SPK_SPKC13a (inhi),SPK_SPKC13b (exc),SPK_SPKC16a (no opto-tagging)
200.128375,200.014025,200.025625,200.02305,200.07235,200.095125,200.05325
200.137175,200.029875,200.0484,200.036575,200.10285,200.1089,200.075125
200.159625,200.0398,200.06505,200.048575,200.1187,200.1217,200.107225
200.18615,200.107775,200.0786,200.0595,200.127325,200.215125,200.110425
200.718275,200.14295,200.0913,200.0716,200.138125,200.92005,200.11375
200.7387,200.192525,200.104025,200.10435,200.14845,201.119225,200.117075
200.77005,200.2033,200.128425,200.1159,200.171125,201.312475,200.120625
200.81245,200.322325,200.138,200.1293,200.192525,201.3664,200.127575
200.815125,200.3969,200.152325,200.150225,200.21125,201.40385,200.139125
200.91715,200.4292,200.165825,200.16155,200.242325,201.597125,200.20345
200.92345,200.45405,200.182725,200.18015,200.3003,201.6192,200.23695
200.9304,200.4872,200.2248,200.224075,200.34185,201.717225,200.253975
200.9521,200.520875,200.26005,200.239225,200.379925,201.72355,200.353075
200.985525,200.535275,200.288475,200.253125,200.411975,201.782575,200.4168
201.023075,200.60395,200.383675,200.265575,200.4293,201.7929,200.46585
201.06785,200.73075,200.427525,200.2785,200.449725,201.8399,200.50525
201.16065,200.75755,200.447825,200.29535,200.455825,201.878775,200.527125
201.4726,200.788125,200.46525,200.3087,200.46165,201.925,200.5427
201.564025,200.796925,200.48,200.332775,200.46345,201.952525,200.7077
201.7108,200.82515,200.48945,200.34845,200.4673,202.088725,200.758325
201.808025,200.902125,200.50505,200.357125,200.478275,202.22205,200.831825
201.933375,200.9205,200.5275,200.38715,200.48245,202.353425,200.855975
201.995,201.007025,200.563575,200.404325,200.4902,202.41995,200.89145
202.001575,201.070775,200.6088,200.423575,200.4937,202.45505,200.9001
202.111975,201.093625,200.659825,200.4515,200.497625,202.621775,201.07485
202.135175,201.1046,200.69645,200.464525,200.5049,202.82635,201.168625
202.1713,201.11165,200.697725,200.48055,200.51565,202.836325,201.190825
202.22995,201.15105,200.710975,200.5143,200.526875,202.91475,201.27475
202.27165,201.160225,200.72445,200.531025,200.5613,202.989625,201.311275
202.35545,201.20335,200.731875,200.5448,200.625625,203.024875,201.47785
202.414475,201.278375,200.738025,200.56115,200.678925,203.05655,201.58595
202.49565,201.2886,200.745625,200.58405,200.705525,203.085775,201.6073
202.541075,201.313025,200.76165,200.60115,200.7159,203.121475,201.61635
202.5446,201.3299,200.766675,200.6223,200.722075,203.2132,201.780025
202.589575,201.367825,200.77215,200.64125,200.72585,203.36035,201.8314
202.699275,201.3919,200.784125,200.65745,200.730075,203.53715,201.91435
202.907725,201.39535,200.7949,200.6721,200.7356,203.568875,201.925925
203.147525,201.434225,200.801675,200.6814,200.741475,203.600175,201.957775
203.165875,201.458475,200.80785,200.6937,200.7726,203.751125,201.97475
203.283,201.465,200.8262,200.7037,200.7784,203.77515,202.006375
203.363775,201.497475,200.834225,200.716775,200.78705,203.812375,202.0329
203.4241,201.5317,200.852625,200.756475,200.792375,203.83565,202.103975
203.50095,201.53875,200.862975,200.7644,200.79885,203.876925,202.11985
203.52935,201.567925,200.871975,200.7967,200.8065,203.92505,202.13545
203.532675,201.622675,200.884575,200.82135,200.81635,204.051925,202.22125
203.668175,201.705,200.8983,200.8369,200.82215,204.095125,202.237075
203.873675,201.77955,200.92215,200.84805,200.827625,204.143275,202.241375
203.9302,201.7861,200.93475,200.889475,200.834925,204.17085,202.245025
204.298075,201.799775,200.947525,200.901,200.840425,204.178925,202.29375
204.3666,201.80635,200.973225,200.913,200.84615,204.265925,202.60045
204.370375,201.868,201.0009,200.933675,200.857625,204.283375,202.622
204.448125,201.883175,201.015575,200.94395,200.862025,204.3406,202.712325
204.492175,201.917675,201.026525,200.953075,200.868325,204.409325,202.72315
204.5239,201.9405,201.043325,200.969075,200.87415,204.412275,202.769575
204.539525,201.9725,201.0665,201.018375,200.882525,204.50175,202.8461
204.557975,201.9798,201.11795,201.036675,200.9013,204.59515,202.9082
204.575275,202.009475,201.1637,201.04855,200.9083,204.69695,202.959475
204.60675,202.0548,201.241325,201.059475,200.91345,204.74945,202.973825
204.67535,202.06205,201.268125,201.0754,200.92435,204.77575,203.1772
204.68265,202.07095,201.286825,201.0993,200.9325,204.82135,203.25715
204.737725,202.0894,201.305625,201.132025,200.93845,204.9715,203.2647
204.824775,202.111425,201.310475,201.16515,200.953225,205.127075,203.347675
204.834075,202.11635,201.31545,201.1767,200.965675,205.16255,203.37525
204.881075,202.1286,201.3197,201.1936,200.978075,205.21275,203.439675
204.886125,202.143575,201.3243,201.214625,200.985975,205.279875,203.56715
204.932375,202.151075,201.328625,201.243275,200.994725,205.448475,203.603525
204.9662,202.182675,201.331775,201.292525,201.00945,205.64325,203.66185
205.107825,202.1892,201.33545,201.30545,201.021625,205.809175,203.721125
205.1517,202.19155,201.343,201.3136,201.036825,205.865875,203.934825
205.17525,202.196875,201.3481,201.322925,201.04995,205.958525,203.967475
205.265775,202.20355,201.3567,201.3461,201.071775,206.099525,203.999525
205.464225,202.20455,201.366525,201.3586,201.10505,206.1177,204.034425
205.502925,202.266125,201.371975,201.376675,201.124475,206.15135,204.1026
205.7201,202.282775,201.380375,201.38585,201.160075,206.28435,204.124
205.794375,202.38575,201.3862,201.393175,201.2336,206.349675,204.151725
205.798225,202.40775,201.393875,201.411275,201.285425,206.750975,204.190325
205.8107,202.46585,201.40395,201.432375,201.302725,206.779775,204.289525
205.846575,202.5012,201.423,201.44535,201.3153,206.92595,204.3398
205.8776,202.5074,201.436875,201.45225,201.32775,206.9671,204.41645
206.016625,202.52255,201.457475,201.459425,201.33555,207.01255,204.47875
206.140275,202.5361,201.4798,201.470975,201.341425,207.35065,204.5108
206.382775,202.58245,201.488975,201.477075,201.349725,207.719325,204.5784
206.40335,202.637925,201.495825,201.50825,201.35905,207.74205,204.60445
206.5862,202.64465,201.502175,201.5216,201.36965,207.9519,204.62955
206.603875,202.6875,201.5232,201.537125,201.383275,207.966775,204.684325
206.615025,202.69675,201.54205,201.546825,201.38845,208.03145,204.715975
206.664175,202.760075,201.549325,201.55635,201.39475,208.087325,204.77875
206.667975,202.7812,201.56345,201.587575,201.4011,208.37215,204.81655
206.709575,202.816,201.570025,201.604425,201.4085,208.4758,204.852675
206.7902,202.823325,201.581225,201.6218,201.414375,208.5219,204.904725
206.99665,202.8372,201.59555,201.634325,201.425025,208.573275,204.943
207.102825,202.84535,201.602375,201.64595,201.433775,208.6225,204.9801
207.341975,202.8805,201.624475,201.659375,201.4443,208.662075,205.018825
207.347125,202.9196,201.633375,201.66685,201.45835,208.70085,205.0983
207.4117,202.94125,201.642075,201.678175,201.4705,208.809225,205.125475
207.55265,202.99715,201.65295,201.69345,201.4906,208.997475,205.151075
207.67835,203.017225,201.664575,201.699475,201.49835,209.046325,205.21165
207.7,203.029075,201.674475,201.718125,201.505575,209.27725,205.215225
207.762,203.06465,201.685625,201.749875,201.513075,209.61065,205.28515
207.891775,203.0932,201.7031,201.765725,201.5248,209.6541,205.28655
207.908675,203.161875,201.709175,201.77875,201.533125,209.66345,205.3001
208.089325,203.18675,201.719725,201.78835,201.53955,210.055425,205.302825
208.1832,203.193775,201.7414,201.808325,201.546525,210.4527,205.36905
208.2051,203.208025,201.75865,201.8169,201.5548,210.474925,205.42155
