SPK_SPKC10a (exc),SPK_SPKC10b (exc),SPK_SPKC11a (inhi),SPK_SPKC13a (exc),SPK_SPKC14b (inhi)
250.2046,250.0252,250.005575,250.004525,250.009225
250.282875,250.045825,250.01155,250.03445,250.024625
250.4158,250.090775,250.0222,250.099225,250.048275
250.525,250.1035,250.029225,250.11855,250.05575
250.5655,250.122225,250.03575,250.204325,250.065525
250.865425,250.1537,250.041625,250.25245,250.076925
250.933,250.179325,250.04755,250.3053,250.08545
251.0134,250.19665,250.052675,250.38615,250.0945
251.06335,250.217,250.06075,250.4237,250.103075
251.18885,250.241525,250.068975,250.447825,250.1145
251.26785,250.27185,250.0781,250.467825,250.1286
251.306975,250.31305,250.08695,250.50415,250.140175
251.421775,250.434425,250.095875,250.5388,250.157075
251.5404,250.45715,250.1038,250.591375,250.171425
251.8336,250.47935,250.11475,250.63005,250.19835
251.89925,250.52135,250.124625,250.694675,250.213575
252.009,250.578575,250.1343,250.7832,250.2431
252.033725,250.64415,250.1484,250.877575,250.283725
252.113175,250.698325,250.17125,250.94905,250.30825
252.243125,250.741275,250.18615,250.994075,250.33455
252.38785,250.77955,250.2003,251.026925,250.34955
252.555275,250.82475,250.212575,251.044025,250.362775
252.816775,250.900875,250.228,251.060725,250.37315
252.8548,250.9429,250.24775,251.073925,250.3818
252.9281,250.9785,250.27715,251.09845,250.38965
253.070575,250.986325,250.292225,251.114125,250.397775
253.21365,251.003375,250.309075,251.1439,250.406375
253.270325,251.034075,250.333925,251.168575,250.4268
253.3032,251.054175,250.349375,251.183225,250.430025
253.348075,251.0895,250.357025,251.204125,250.440425
253.390475,251.1274,250.3674,251.2318,250.44865
253.47425,251.17355,250.37365,251.254925,250.457575
253.536025,251.21685,250.38025,251.276525,250.467675
253.577,251.24865,250.387875,251.318025,250.4802
253.615275,251.2702,250.393775,251.373525,250.492475
253.76005,251.297025,250.398225,251.490675,250.505325
253.793125,251.3349,250.404075,251.532675,250.517175
253.8514,251.357725,250.411575,251.577025,250.53275
253.96115,251.37825,250.416325,251.6289,250.55085
254.037,251.398025,250.42625,251.645025,250.571425
254.158275,251.428425,250.431975,251.6603,250.5924
254.3261,251.510625,250.43945,251.691225,250.606425
254.6605,251.555225,250.44455,251.724775,250.62355
254.7056,251.570975,250.453525,251.761425,250.637475
254.7491,251.5841,250.464375,251.7904,250.651425
254.881475,251.7158,250.4735,251.840925,250.6666
254.9379,251.7431,250.482525,251.933125,250.6898
254.986875,251.7751,250.508775,252.0141,250.724725
255.050375,251.809875,250.5223,252.024825,250.74695
255.351375,251.9233,250.53945,252.058275,250.76145
255.471525,251.960375,250.55125,252.082175,250.784575
255.51625,251.987875,250.56825,252.10205,250.82705
255.565425,252.02115,250.5866,252.1209,250.857775
255.629575,252.031225,250.60185,252.140975,250.88695
255.68585,252.069375,250.627675,252.206575,250.9522
255.7759,252.100375,250.6366,252.3024,250.97415
255.81515,252.147575,250.647925,252.3664,250.996425
255.929625,252.342575,250.662125,252.429975,251.0101
256.1483,252.35895,250.685225,252.447675,251.023225
256.20005,252.368125,250.701175,252.46285,251.0367
256.243575,252.383275,250.717075,252.4805,251.048075
256.2837,252.4179,250.750025,252.4912,251.059625
256.32925,252.43365,250.76245,252.505075,251.07115
256.40125,252.451025,250.78475,252.51965,251.09265
256.5772,252.517325,250.805525,252.564025,251.10975
256.621075,252.574825,250.814575,252.589675,251.16015
256.704925,252.689775,250.836025,252.624725,251.176175
256.75995,252.7585,250.85465,252.68915,251.189
256.9404,252.76025,250.886,252.752775,251.19865
257.06,252.7777,250.9434,252.7833,251.2133
257.10915,252.805575,250.959825,252.81585,251.22465
257.159875,252.83745,250.982175,252.83995,251.235325
257.2346,252.8689,250.992175,252.8584,251.24275
257.363,252.9243,251.000375,252.87685,251.25915
257.495075,252.979725,251.01125,252.895775,251.26925
257.56435,253.025225,251.019525,252.911875,251.279775
257.610775,253.065425,251.027975,252.92695,251.29085
257.7421,253.15115,251.0347,252.952525,251.327575
257.785625,253.187175,251.041525,252.9874,251.34535
257.937225,253.256825,251.049175,253.0175,251.3621
258.002425,253.32505,251.056125,253.054925,251.37515
258.0487,253.345175,251.0677,253.066525,251.3942
258.172375,253.373775,251.077875,253.073475,251.409875
258.293,253.4199,251.086475,253.09045,251.4203
258.34875,253.526275,251.105375,253.1049,251.441925
258.411775,253.589725,251.123375,253.142725,251.4629
258.4347,253.6502,251.1394,253.16955,251.4814
258.45775,253.6885,251.1629,253.189175,251.4975
258.6079,253.780775,251.18435,253.2205,251.522825
258.7122,253.83765,251.1965,253.23625,251.541675
258.780125,253.867175,251.2053,253.253525,251.552975
258.8034,253.91835,251.217525,253.287825,251.5694
258.8685,253.949225,251.22695,253.30715,251.5809
258.952425,253.9917,251.2404,253.394,251.594175
259.151075,254.03275,251.2485,253.43435,251.603225
259.251725,254.0686,251.261025,253.4674,251.618225
259.3011,254.0939,251.273225,253.5053,251.634475
259.5016,254.18825,251.289125,253.53095,251.645125
259.54865,254.232775,251.3038,253.553525,251.657375
259.60905,254.29315,251.32455,253.5715,251.679625
259.772175,254.33025,251.3435,253.5935,251.705625
259.79945,254.3477,251.36575,253.622925,251.727575
259.8199,254.35055,251.381025,253.6812,251.7508
259.867225,254.376325,251.3975,253.716775,251.799175
259.96685,254.4135,251.41185,253.751925,251.876775
260.044825,254.478925,251.452425,253.77865,251.95755
260.08405,254.511075,251.475925,253.811,251.97715
260.41955,254.526075,251.5215,253.833475,251.9846
260.456475,254.54025,251.552525,253.851175,251.989075
260.480925,254.55915,251.5761,253.882975,251.999975
260.536175,254.575175,251.5926,253.9173,252.00395
260.61285,254.5909,251.60875,253.9506,252.009975
260.856825,254.6098,251.626975,253.986525,252.0157
260.8888,254.625425,251.656925,254.01015,252.0252
260.90345,254.6683,251.6745,254.07645,252.044775
261.090675,254.689125,251.6964,254.1776,252.056225
261.167025,254.730775,251.718425,254.25015,252.066575
261.2819,254.81275,251.741275,254.28015,252.0767
261.3668,254.8904,251.759825,254.326125,252.08745
261.5232,254.945225,251.79905,254.36135,252.095
261.58005,255.01455,251.983175,254.410825,252.106275
