SPK_SPKC06a (inhi),SPK_SPKC10a (exc),SPK_SPKC11a (short inhi)
0.00525,0.009475,0.0115
0.041225,0.0289,0.012675
0.0675,0.03575,0.017725
0.075,0.048575,0.02875
0.091575,0.0564,0.048275
0.1087,0.069875,0.056675
0.1168,0.078,0.081575
0.176575,0.10255,0.109425
0.24595,0.109775,0.120575
0.25375,0.11865,0.15715
0.27785,0.128125,0.163625
0.334175,0.140075,0.27335
0.368125,0.1488,0.28775
0.395225,0.156625,0.294325
0.42095,0.1635,0.301275
0.458,0.168775,0.3076
0.488125,0.1759,0.337325
0.50745,0.191525,0.355475
0.525725,0.2096,0.397
0.590975,0.228675,0.4048
0.6232,0.23985,0.41385
0.6301,0.250625,0.4301
0.716325,0.26525,0.449675
0.743075,0.280875,0.4568
0.7902,0.289325,0.465725
0.798225,0.301375,0.482575
0.8218,0.309825,0.49115
0.831375,0.32275,0.500575
0.8386,0.3359,0.514425
0.8471,0.34395,0.5241
0.86325,0.38435,0.534975
0.92845,0.394825,0.5629
0.95685,0.407325,0.5697
0.9812,0.417925,0.57855
0.99805,0.4328,0.586425
1.0141,0.45435,0.59435
1.0318,0.480825,0.601575
1.09165,0.5303,0.609725
1.1322,0.55105,0.6246
1.154675,0.566925,0.640225
1.161325,0.578125,0.66985
1.2169,0.5851,0.685275
1.218675,0.59105,0.692775
1.24825,0.603925,0.721
1.258125,0.6082,0.727575
1.30535,0.613175,0.7353
1.32235,0.6204,0.752425
1.349175,0.6257,0.79855
1.357025,0.63705,0.806075
1.3956,0.642825,0.8279
1.460875,0.66965,0.86575
1.521775,0.6936,0.875275
1.553325,0.712125,0.917975
1.5713,0.7256,0.92625
1.584975,0.7351,0.9283
1.6082,0.751025,0.934175
1.6718,0.765625,0.9671
1.693625,0.77575,0.9693
1.71405,0.787525,0.977375
1.742825,0.8017,0.997125
1.783725,0.815975,1.013375
1.80505,0.82595,1.0217
1.82435,0.8561,1.029025
1.8336,0.868925,1.059825
1.853175,0.88695,1.070875
1.86085,0.920325,1.079375
1.89015,0.9318,1.088525
1.90125,0.946175,1.09785
1.92165,0.959975,1.1229
1.971075,0.98775,1.1327
1.993925,1.001875,1.151325
2.040325,1.0252,1.157175
2.07245,1.038075,1.17285
2.107725,1.04645,1.181375
2.138025,1.050575,1.212975
2.15855,1.0693,1.2197
2.1694,1.100925,1.240125
2.191025,1.136225,1.2475
2.221275,1.146,1.25315
2.24515,1.15275,1.2653
2.253975,1.1649,1.28885
2.2768,1.184025,1.294875
2.30705,1.1937,1.3029
2.31705,1.200225,1.3528
2.49365,1.206325,1.3606
2.5239,1.22855,1.373
2.5695,1.2336,1.397675
2.643275,1.2395,1.4038
2.6564,1.276775,1.430275
2.7059,1.290325,1.440725
2.718725,1.3019,1.459375
2.731275,1.337225,1.4656
2.7644,1.350825,1.4865
2.805675,1.3614,1.495475
2.825225,1.3998,1.518775
2.8393,1.4077,1.526275
2.855125,1.414075,1.5291
2.8705,1.415125,1.550125
2.889225,1.420825,1.5565
2.9023,1.42635,1.56485
2.923125,1.45355,1.58965
2.988525,1.462625,1.606375
3.00845,1.474375,1.62
3.0542,1.493075,1.62805
3.111675,1.53035,1.6418
3.1366,1.5543,1.6538
3.1682,1.565675,1.672075
3.1973,1.581025,1.685075
3.2275,1.582725,1.698375
3.2646,1.591925,1.707975
3.380675,1.601,1.728
3.388425,1.612525,1.7522
3.4399,1.625025,1.7598
3.469775,1.634725,1.76865
3.48235,1.645875,1.796075
3.509775,1.655325,1.803375
3.5154,1.6627,1.811975
3.53295,1.67145,1.829975
3.54525,1.68255,1.83615
3.5595,1.689875,1.841925
3.562575,1.69845,1.8479
3.58765,1.703975,1.869925
3.61325,1.7137,1.87845
3.654575,1.723125,1.88645
3.671775,1.73695,1.89515
3.678175,1.76425,1.951425
3.712625,1.7788,1.9581
3.74795,1.794725,1.965525
3.760075,1.80825,1.990175
3.7736,1.82345,2.001525
3.815325,1.830125,2.030825
3.82825,1.840775,2.037025
3.85685,1.84895,2.048475
3.89385,1.853375,2.05415
3.922875,1.859325,2.060325
3.94075,1.8754,2.064025
3.94695,1.88555,2.074025
3.95295,1.913425,2.1313
3.959625,1.926525,2.138975
3.97335,1.954475,2.149475
3.980975,2.0293,2.155975
3.987825,2.047525,2.172925
4.01605,2.053125,2.1833
4.041475,2.064425,2.1934
4.0493,2.068475,2.20295
4.077725,2.104925,2.220175
4.092975,2.117725,2.2485
4.100825,2.145,2.26685
4.122925,2.16545,2.27325
4.130325,2.189,2.2898
4.1447,2.2062,2.298025
4.15205,2.220875,2.305325
4.15965,2.23365,2.31435
4.171725,2.242425,2.3234
4.227225,2.252375,2.331425
4.24285,2.266725,2.34915
4.2928,2.27535,2.359375
4.306425,2.28315,2.364925
4.31365,2.293575,2.36965
4.318875,2.30445,2.389125
4.33975,2.3216,2.41075
4.361075,2.33205,2.4237
4.368325,2.351875,2.47715
4.374375,2.370025,2.4886
4.380625,2.386975,2.509325
4.447625,2.402825,2.5104
4.44995,2.430325,2.521925
4.471175,2.450675,2.531575
4.4779,2.46365,2.550575
4.5118,2.47895,2.56135
4.51745,2.490025,2.57045
4.522775,2.501175,2.5824
4.5351,2.5138,2.593275
4.54195,2.52375,2.603675
4.553875,2.573,2.61125
4.5618,2.5813,2.619925
4.57955,2.591225,2.64565
4.6006,2.59785,2.654075
4.6327,2.604075,2.6673
4.63855,2.6207,2.6738
4.659425,2.626975,2.68635
4.66545,2.631525,2.697325
4.6728,2.647,2.703575
4.702025,2.651475,2.739
4.70845,2.652575,2.74775
4.723075,2.65725,2.793775
4.73555,2.662875,2.799475
4.741025,2.664575,2.839875
4.767725,2.688425,2.86305
4.795025,2.69785,2.908775
4.823925,2.7124,2.9353
4.858975,2.7195,2.958275
4.875225,2.729125,2.993
4.916975,2.74145,2.9994
4.9455,2.750075,3.02635
4.95235,2.757625,3.061325
4.972675,2.76375,3.074625
4.978625,2.77,3.085575
4.999125,2.789725,3.11095
5.006425,2.81225,3.120475
5.019675,2.825425,3.1617
5.033475,2.83365,3.167825
5.095175,2.845175,3.17365
5.109825,2.8631,3.17835
5.130425,2.8686,3.185625
5.1544,2.8755,3.19175
5.196825,2.904475,3.203925
5.21055,2.919025,3.221725
5.219325,2.923625,3.2335
5.236825,2.9354,3.25545
5.25095,2.94015,3.261125
5.266425,2.947075,3.275975
5.296675,2.961725,3.286775
5.30555,2.96955,3.3022
5.32635,2.99045,3.324525
5.34685,3.0028,3.363525
5.353575,3.009025,3.381225
5.37925,3.0196,3.385975
5.386125,3.0645,3.404775
5.394075,3.0872,3.441625
5.402375,3.09735,3.475475
5.40975,3.107625,3.498025
5.416475,3.1237,3.5034
5.429675,3.13575,3.543
5.439125,3.145675,3.54865
5.453925,3.176925,3.563975
5.483875,3.1838,3.5692
5.49665,3.1929,3.631725
5.543125,3.201475,3.6377
5.5509,3.2088,3.664
5.62475,3.21845,3.6895
5.669,3.2412,3.7499
5.67715,3.24525,3.802375
5.686475,3.263825,3.809675
5.7164,3.28425,3.83325
5.775725,3.290925,3.8395
5.783175,3.297925,3.84645
5.83345,3.31065,3.855575
5.84035,3.317125,3.860325
5.8933,3.3276,3.897525
5.907425,3.333525,3.904225
5.917425,3.36215,3.935325
5.92765,3.372,3.949175
5.936575,3.38,3.955425
5.9539,3.39355,3.9678
5.97545,3.4046,3.988775
5.984925,3.41315,4.023675
5.996,3.4294,4.055375
6.0128,3.4357,4.08075
6.036425,3.444425,4.088425
6.054375,3.465325,4.09335
6.089125,3.4783,4.10465
6.104675,3.495625,4.12705
6.1194,3.500875,4.15935
6.13835,3.506125,4.16495
6.156075,3.5113,4.17085
6.1937,3.536925,4.17845
6.208175,3.54195,4.189925
6.2328,3.54795,4.21695
6.2438,3.5549,4.24225
6.263575,3.565725,4.280175
6.265325,3.5799,4.288975
6.2775,3.587725,4.309525
6.2905,3.593625,4.315175
6.302075,3.6006,4.330375
6.313725,3.60585,4.34655
6.333075,3.6188,4.353
6.342775,3.62455,4.35405
6.37215,3.6321,4.3645
6.391775,3.650325,4.39295
6.40235,3.67925,4.3979
6.4128,3.687825,4.4463
6.51765,3.693375,4.4574
6.5575,3.706475,4.463675
6.56865,3.71515,4.4689
6.57645,3.72025,4.4842
6.58505,3.726725,4.5087
6.594325,3.74045,4.511225
6.60505,3.7626,4.513075
6.6152,3.77,4.516625
6.626875,3.7839,4.530675
6.6462,3.798675,4.535025
6.67945,3.831775,4.561
6.70585,3.8485,4.602025
6.7485,3.87115,4.656375
6.764975,3.879125,4.6617
6.779175,3.886425,4.66305
6.79925,3.896275,4.67965
6.83435,3.9033,4.6973
6.844775,3.91515,4.72275
6.8764,3.925575,4.7489
6.9058,3.9346,4.789825
6.909675,3.958,4.80315
6.9221,3.97745,4.809775
6.941775,3.984575,4.823075
6.95335,4.0302,4.91295
6.964625,4.040575,4.920125
6.976025,4.04575,4.941075
7.006225,4.063825,4.953925
7.07255,4.084725,4.9886
7.100225,4.109125,5.0254
7.109125,4.117,5.0389
7.1265,4.1235,5.07035
7.15235,4.133275,5.075
7.16555,4.14015,5.113025
7.176425,4.145075,5.117675
7.186325,4.155575,5.167225
7.238975,4.161875,5.1732
7.266875,4.1715,5.17875
7.354125,4.179925,5.221875
7.377675,4.186275,5.2358
7.389475,4.228275,5.247
7.401125,4.23795,5.248425
7.405575,4.2391,5.25445
7.422,4.24575,5.259725
7.4345,4.2528,5.2615
7.486375,4.2596,5.2706
7.511425,4.268475,5.331425
7.52735,4.275075,5.3442
7.5928,4.28165,5.3652
7.61245,4.3083,5.372925
7.62815,4.314325,5.400925
7.663025,4.320075,5.408875
7.675275,4.330975,5.4244
7.686775,4.3357,5.478225
7.697075,4.3411,5.48255
7.70875,4.34585,5.5025
7.72925,4.353125,5.517625
7.73875,4.35945,5.5549
7.76395,4.3773,5.5571
7.78695,4.38555,5.572125
7.8068,4.4184,5.596775
7.8353,4.43395,5.6342
7.86255,4.4441,5.757975
7.881175,4.477625,5.7989
7.90845,4.52955,5.806525
7.9318,4.55375,5.8909
7.941575,4.5652,5.931375
7.96225,4.57405,5.952325
7.97205,4.586075,5.962125
8.0027,4.608875,5.98255
8.012225,4.618325,6.0456
8.034875,4.6247,6.071125
8.046,4.635275,6.07895
8.065025,4.650775,6.1065
8.0962,4.6573,6.1322
8.107675,4.675125,6.15005
8.116275,4.692075,6.205925
8.126375,4.7025,6.22245
8.137725,4.74075,6.2343
8.15875,4.753175,6.2718
8.1989,4.760125,6.28935
8.21535,4.771125,6.306275
8.2288,4.776375,6.3217
8.2417,4.7814,6.3374
8.27335,4.797525,6.343175
8.2852,4.827025,6.350775
8.3122,4.83215,6.43435
8.323575,4.8412,6.456475
8.335125,4.84935,6.501175
8.348875,4.856675,6.543475
8.36095,4.868925,6.571
8.371725,4.876275,6.582925
8.381825,4.8969,6.59585
8.39285,4.915825,6.59885
8.4076,4.925575,6.606025
8.42615,4.944475,6.617125
8.42845,4.9545,6.630175
8.438075,4.96145,6.6577
8.448425,4.970725,6.6678
8.4568,5.002675,6.678375
8.507875,5.0236,6.695675
8.5176,5.048,6.72775
8.52875,5.057425,6.742625
8.5458,5.074825,6.758925
8.575125,5.123675,6.80845
8.58665,5.141525,6.82385
8.6164,5.148,6.836025
8.627,5.16935,6.8447
8.638175,5.17395,6.869275
8.649625,5.188875,6.879675
8.671875,5.193725,6.8901
8.689725,5.2012,6.899625
8.713975,5.20795,6.9162
8.72655,5.250625,6.925425
8.73845,5.2592,6.936675
8.791575,5.27095,6.94715
8.861075,5.2873,6.97135
8.87425,5.300025,6.9733
8.888175,5.31395,7.089775
8.94615,5.320375,7.0968
8.9593,5.329975,7.106325
8.970675,5.34825,7.1136
8.983825,5.363775,7.1279
9.017575,5.3959,7.140375
9.0383,5.422025,7.15015
9.058725,5.438925,7.163925
9.094825,5.446525,7.173
9.107925,5.457075,7.184975
9.136075,5.463,7.19545
9.1444,5.4747,7.207125
9.151725,5.48445,7.217025
9.1613,5.49325,7.2304
9.170025,5.5124,7.250825
9.17915,5.517425,7.290125
9.188,5.536725,7.4143
9.19965,5.542025,7.4432
9.209475,5.5614,7.4543
9.218675,5.567575,7.4663
9.2285,5.575925,7.47685
9.24855,5.58215,7.489
9.25965,5.599175,7.5001
9.28585,5.605175,7.51615
9.339275,5.620975,7.564225
9.35845,5.6291,7.6125
9.37875,5.634375,7.618325
9.40555,5.6448,7.62265
9.418625,5.651025,7.6335
9.428825,5.674825,7.6415
9.4397,5.68965,7.646675
9.45055,5.727175,7.65315
9.462175,5.7445,7.6581
9.47185,5.75405,7.67035
9.495275,5.766025,7.680075
9.505075,5.7751,7.688575
9.5141,5.788525,7.715125
9.523575,5.800375,7.722475
9.564175,5.8332,7.731575
9.572425,5.84595,7.74045
9.582725,5.87525,7.763525
9.602475,5.9153,7.77895
9.612175,5.927025,7.78755
9.634025,5.950025,7.79845
9.641925,5.969225,7.80705
9.656725,6.0025,7.81305
9.6657,6.02025,7.8358
9.682425,6.0541,7.858125
9.72515,6.0676,7.869125
9.7334,6.0767,7.882725
9.750175,6.094625,7.895175
9.759575,6.10175,7.915475
9.7851,6.11255,7.9243
9.801525,6.123775,7.9278
9.836825,6.14085,7.93965
9.863325,6.14725,7.948575
9.870825,6.16215,7.956925
9.897875,6.17715,7.965375
9.924175,6.1947,7.973125
9.9329,6.20455,7.98055
9.950825,6.215725,7.998775
9.958,6.232175,8.0089
9.983725,6.2444,8.019225
10.000625,6.28645,8.031325
10.0028,6.310975,8.0579
10.035825,6.3367,8.068925
10.04535,6.353825,8.082625
10.0537,6.371,8.09345
10.088275,6.423675,8.10645
10.1151,6.4444,8.1132
10.124475,6.4923,8.124925
10.134975,6.5267,8.141675
10.14375,6.553025,8.1489
10.1719,6.578225,8.169525
10.189275,6.587375,8.19755
10.2195,6.601,8.199775
10.2277,6.61745,8.208
10.24375,6.624375,8.216075
10.26115,6.6309,8.22955
10.26825,6.644325,8.2372
10.2862,6.6483,8.24315
10.293425,6.65345,8.25385
10.301275,6.6595,8.269225
10.310625,6.6902,8.28295
10.3483,6.69985,8.29245
10.35765,6.719925,8.31745
10.36755,6.75515,8.327625
10.41055,6.783425,8.337925
10.4283,6.822375,8.3607
10.447525,6.8248,8.373925
10.45735,6.863175,8.3882
10.4759,6.874725,8.402
10.49515,6.879825,8.426075
10.520325,6.89145,8.438775
10.5286,6.89885,8.449675
10.553875,6.906975,8.46205
10.5629,6.9291,8.48245
10.57025,6.952375,8.4909
10.62055,6.970975,8.5012
10.64285,7.0004,8.513725
10.652525,7.01475,8.523775
10.6732,7.052275,8.535475
10.6848,7.110425,8.54555
10.7041,7.116625,8.554925
10.7535,7.128675,8.562525
10.77925,7.147325,8.5747
10.792825,7.17675,8.58695
10.80385,7.21845,8.6039
10.812825,7.2626,8.616725
10.832875,7.288075,8.6285
10.84295,7.304825,8.638475
10.8649,7.361225,8.65055
10.8848,7.36565,8.659825
10.922525,7.38755,8.680425
10.933625,7.4005,8.69165
10.942275,7.45645,8.705525
10.952925,7.48545,8.72115
10.993075,7.51385,8.743225
11.01,7.541725,8.7692
11.028225,7.57195,8.805875
11.03705,7.593575,8.846525
11.0451,7.64195,8.85875
11.056475,7.64315,8.8675
11.06695,7.6495,8.878925
11.074425,7.655825,8.8875
11.082675,7.663775,8.89455
11.101925,7.70855,8.90665
11.111425,7.761425,8.9195
11.1194,7.793725,8.93075
11.13865,7.82045,8.94175
11.148525,7.855025,8.951575
11.157825,7.8726,8.9602
11.16775,7.89315,8.97625
11.1776,7.906025,8.981975
11.187025,7.9126,8.99075
11.20645,7.9251,9.00705
11.217225,7.929525,9.013875
11.226675,7.9334,9.02075
11.244375,7.939475,9.03475
11.253025,7.943925,9.04585
11.26265,7.959125,9.0536
11.27375,7.970975,9.05915
11.282,7.984225,9.065125
11.29205,7.9932,9.074275
11.3672,8.001425,9.08305
11.377125,8.011,9.0967
11.3867,8.02795,9.104125
11.399525,8.044575,9.112475
11.4448,8.06845,9.128775
11.454475,8.0976,9.14585
11.48265,8.123525,9.153925
11.49175,8.138525,9.16205
11.52565,8.15445,9.180425
11.532625,8.164475,9.18965
11.545025,8.194175,9.198575
11.563325,8.2003,9.205525
11.5806,8.209225,9.225275
11.59005,8.218975,9.2339
11.60745,8.2212,9.243075
11.618025,8.232925,9.2539
11.646825,8.245075,9.271625
11.655725,8.261125,9.281575
11.723875,8.27975,9.292125
11.7366,8.306275,9.295475
11.78265,8.334075,9.300825
11.824125,8.366025,9.317725
11.85675,8.386075,9.330325
11.88855,8.409425,9.348875
11.92325,8.432,9.3733
11.94405,8.47295,9.402875
11.9744,8.491275,9.4147
11.988275,8.5212,9.425875
12.00495,8.54275,9.440375
12.01835,8.577225,9.459925
12.030125,8.6109,9.476875
12.0739,8.62385,9.485625
12.0857,8.640575,9.497925
12.120675,8.65245,9.5093
12.144175,8.69685,9.523475
12.153975,8.7146,9.533375
12.226875,8.7383,9.54135
12.237525,8.746375,9.55055
12.257675,8.75685,9.561225
12.269,8.772725,9.57355
12.27895,8.781475,9.5828
12.301,8.8089,9.592825
12.321975,8.82855,9.6029
12.352775,8.862625,9.60495
12.372725,8.883875,9.620625
12.38495,8.9009,9.629475
12.394525,8.952425,9.646575
12.408725,8.96875,9.653375
12.480825,8.9866,9.66015
12.499425,8.9988,9.666725
12.530475,9.0263,9.69145
12.54555,9.062225,9.7057
12.5606,9.067925,9.724775
12.5724,9.075525,9.72965
12.604975,9.088375,9.7424
12.620125,9.0981,9.7487
12.639575,9.1071,9.761225
12.657175,9.12795,9.774125
12.673275,9.140625,9.786175
12.680675,9.151525,9.81305
12.686875,9.166775,9.818775
12.702175,9.18345,9.82485
12.710325,9.1969,9.8308
12.727525,9.212775,9.843575
12.7631,9.228975,9.884375
12.779375,9.272075,9.893075
12.786075,9.305625,9.9
12.8037,9.3348,9.9075
12.847725,9.359775,9.91245
12.89525,9.39105,9.9218
12.9046,9.416,9.94205
12.92305,9.44055,9.948875
12.948825,9.47585,9.956325
12.9712,9.50335,9.9809
13.0219,9.528375,9.990375
13.034725,9.560825,10.00595
13.0772,9.584625,10.01635
13.095975,9.603825,10.024225
13.10945,9.617175,10.03315
13.14755,9.631525,10.04135
13.157775,9.635925,10.050375
13.1909,9.64155,10.061225
13.199225,9.645725,10.080425
13.22245,9.654325,10.088175
13.232,9.67315,10.104725
13.24205,9.682875,10.15375
13.269725,9.7017,10.1629
13.276825,9.709,10.17155
13.28325,9.723825,10.1804
13.313475,9.732075,10.190325
13.32955,9.741,10.210525
13.346375,9.74685,10.218925
13.354725,9.75685,10.2298
13.36065,9.77205,10.236625
13.3634,9.78775,10.246
13.385675,9.800325,10.26745
13.4095,9.804725,10.274025
13.418075,9.815025,10.28165
13.427275,9.82265,10.2886
13.436825,9.837275,10.3022
13.452475,9.8535,10.31075
13.4739,9.87945,10.32495
13.492375,9.9,10.33105
13.50095,9.912,10.345975
13.52105,9.9258,10.360975
13.532475,9.941775,10.3672
13.55335,9.95455,10.374275
13.573725,9.97595,10.383675
13.584,10.02295,10.3933
13.594725,10.063,10.4026
13.61705,10.114775,10.411625
13.64575,10.1408,10.41865
13.67565,10.18,10.427075
