SPK_SPKC08a (no opto-tagging),SPK_SPKC10a (inhi),SPK_SPKC11a (exc),SPK_SPKC12a (no response),SPK_SPKC12b (exc),SPK_SPKC14a (short inhi)
0.040675,0.005925,0.02605,0.587275,0.039175,0.005525
0.093625,0.038525,0.03075,1.052625,0.080075,0.018825
0.37905,0.0561,0.0448,1.434775,0.123625,0.033
0.6542,0.09345,0.0701,1.613025,0.185,0.063775
0.87035,0.11825,0.08695,2.9299,0.2225,0.08025
1.258,0.132675,0.10475,3.975075,0.23635,0.09445
1.309425,0.1481,0.117525,4.045625,0.25265,0.11325
1.331675,0.1538,0.13735,4.077175,0.2664,0.124525
1.670925,0.19195,0.15515,4.37485,0.285325,0.139
1.689225,0.212825,0.1612,4.558,0.308825,0.152075
3.036825,0.217825,0.17765,5.9039,0.3352,0.16635
3.08945,0.22525,0.190825,5.95065,0.3478,0.182375
3.094525,0.229725,0.2006,6.33505,0.3611,0.2016
3.43525,0.24645,0.2087,6.969875,0.37875,0.209625
4.0835,0.255925,0.2259,7.068875,0.39075,0.216025
4.176825,0.26205,0.24255,8.027975,0.40275,0.22175
4.35365,0.277075,0.26915,8.03795,0.41355,0.243025
4.69725,0.284925,0.28015,8.04945,0.42425,0.254325
4.717925,0.294,0.2893,8.1291,0.433925,0.263725
5.5574,0.30175,0.2991,8.18305,0.465875,0.28935
5.81505,0.313275,0.325725,9.245675,0.4901,0.30165
6.214925,0.33015,0.3527,9.3377,0.517775,0.316825
6.3954,0.354075,0.37065,9.575725,0.559625,0.332775
6.574325,0.365725,0.385125,9.593375,0.61475,0.345225
6.655725,0.375375,0.4005,9.605075,0.642075,0.3599
6.90615,0.384175,0.42335,9.612925,0.671625,0.363025
7.24365,0.3896,0.441025,9.93695,0.70145,0.369975
7.646125,0.40005,0.4511,10.114425,0.7194,0.38505
8.005,0.4057,0.460175,10.2544,0.743475,0.394
8.183975,0.40885,0.51845,10.45605,0.7587,0.41875
8.424575,0.413225,0.55395,11.556625,0.7695,0.44615
9.021525,0.416625,0.559825,11.606925,0.788225,0.461125
9.443975,0.42095,0.58045,11.7762,0.8069,0.47865
9.931475,0.4276,0.596525,12.169525,0.834175,0.487725
10.537075,0.428775,0.60875,12.617875,0.853175,0.4978
11.48565,0.43205,0.664625,12.8677,0.889425,0.523725
11.804875,0.436925,0.68165,13.241925,0.926925,0.555675
11.910775,0.46735,0.697925,14.4775,0.98815,0.564625
12.106425,0.468375,0.71055,14.703625,1.035725,0.5878
12.2761,0.495775,0.730725,14.766675,1.066725,0.59915
12.344575,0.508375,0.761875,15.347625,1.07475,0.621925
13.368125,0.51975,0.773875,15.364525,1.088225,0.6487
13.537625,0.525675,0.789325,15.4434,1.100725,0.676825
13.606775,0.53205,0.79785,15.46565,1.113275,0.6928
14.10405,0.536075,0.816675,16.042075,1.14555,0.70635
14.266975,0.541925,0.828675,16.68085,1.16625,0.72765
14.424675,0.54785,0.84665,17.7562,1.1878,0.747425
14.4494,0.55755,0.86175,18.0899,1.264175,0.767275
15.308425,0.572475,0.874325,18.26885,1.305775,0.7867
15.529575,0.587475,0.88895,18.588325,1.31625,0.8082
15.558375,0.595775,0.901775,19.695875,1.325925,0.835275
16.310775,0.6074,0.923625,19.77385,1.336275,0.853425
16.3893,0.632275,0.942775,19.791625,1.3636,0.8675
16.473075,0.654,0.963275,20.386425,1.394475,0.878775
16.850125,0.676225,0.98085,20.4364,1.420075,0.889425
17.0179,0.71165,1.000675,21.059875,1.532175,0.936025
17.137475,0.7416,1.0392,21.68755,1.56215,0.966175
17.185375,0.757525,1.0611,21.76505,1.574425,0.9986
17.92335,0.76005,1.06625,21.97775,1.584875,1.06335
18.029225,0.77335,1.06875,22.476,1.596575,1.087725
18.265675,0.783675,1.106375,22.488025,1.603725,1.097225
18.512375,0.816375,1.113975,22.505025,1.63035,1.103275
18.642325,0.838725,1.119025,22.517075,1.689075,1.107275
19.903275,0.849025,1.133425,22.541725,1.73945,1.1121
20.185025,0.857975,1.16345,23.3931,1.83445,1.12075
20.30215,0.8695,1.1912,23.518425,1.85135,1.125075
20.590975,0.887325,1.211925,23.57735,1.8642,1.13645
20.64825,0.908025,1.236975,23.652675,1.877175,1.141625
22.09195,0.913775,1.293525,23.84425,1.904325,1.1482
22.7412,0.92975,1.306125,24.002825,1.93965,1.157225
23.043375,0.95535,1.31475,24.59755,1.987525,1.165475
23.638425,1.0586,1.331225,24.934525,2.03205,1.167375
23.874825,1.0649,1.36305,25.240925,2.07735,1.1839
23.9001,1.0817,1.390025,25.292725,2.09625,1.200225
23.96655,1.089725,1.399975,25.30675,2.117675,1.220025
24.2414,1.0999,1.423475,25.6073,2.134125,1.244075
24.29245,1.117,1.442075,26.254325,2.154375,1.258575
25.559625,1.138475,1.4792,27.443175,2.1874,1.2896
25.974175,1.154625,1.5078,27.778675,2.221075,1.327825
26.533825,1.174025,1.5245,27.9123,2.241325,1.3348
26.961375,1.189,1.545125,28.10755,2.2521,1.351525
27.241875,1.2242,1.5599,28.151975,2.2652,1.360775
27.257,1.256375,1.593225,28.4301,2.2795,1.37205
27.635625,1.328675,1.619375,28.55145,2.290725,1.379425
27.87975,1.33255,1.644525,28.962375,2.3144,1.386575
28.0184,1.3341,1.6574,29.324625,2.328275,1.4073
28.3647,1.335675,1.6706,29.374975,2.3533,1.416775
28.6029,1.340575,1.67905,29.7717,2.374225,1.43365
28.883475,1.366975,1.688975,30.8591,2.4075,1.4711
29.08955,1.37585,1.723125,30.92085,2.439975,1.478375
29.210325,1.37715,1.74175,30.9705,2.4512,1.498775
29.271175,1.400125,1.764825,31.0244,2.4719,1.550475
30.095625,1.415475,1.793,31.02995,2.49475,1.558975
30.199125,1.4261,1.81315,31.241475,2.513275,1.580475
