SPK_SPKC08a,SPK_SPKC13a,SPK_SPKC13b,SPK_SPKC14a
2200.001375,2200.0329,2200.175325,2200.054675
2200.011775,2200.092775,2200.197525,2200.083825
2200.048525,2200.11205,2200.324325,2200.1763
2200.064325,2200.122425,2200.356375,2200.243275
2200.069275,2200.134775,2200.434925,2200.282675
2200.1022,2200.164775,2200.7243,2200.313375
2200.11815,2200.214025,2200.847275,2200.393625
2200.14265,2200.241125,2201.05615,2200.46905
2200.171675,2200.262575,2201.354725,2200.5114
2200.1813,2200.277425,2201.39695,2200.549225
2200.184925,2200.291625,2201.662075,2200.592575
2200.193225,2200.299225,2201.67035,2200.617775
2200.227325,2200.318625,2201.804325,2200.670375
2200.2605,2200.3644,2201.90765,2200.72365
2200.266925,2200.37955,2202.12545,2200.8043
2200.2728,2200.41835,2202.358825,2200.860725
2200.281125,2200.42645,2202.373925,2200.880175
2200.29575,2200.44345,2202.5068,2200.897825
2200.326125,2200.451525,2202.645725,2200.924375
2200.343875,2200.458325,2202.6841,2200.943375
2200.354125,2200.4762,2202.90435,2200.96925
2200.359775,2200.486925,2203.081575,2200.985425
2200.378425,2200.4931,2203.1326,2201.01835
2200.4156,2200.509875,2203.141325,2201.064075
2200.510625,2200.5168,2203.55705,2201.0925
2200.599475,2200.54275,2203.723375,2201.162325
2200.69655,2200.6121,2203.87815,2201.203375
2200.751375,2200.63115,2203.97005,2201.229325
2200.795425,2200.669675,2204.34855,2201.2682
2200.8196,2200.68485,2204.454975,2201.302625
2200.849825,2200.734725,2204.477975,2201.37325
2200.9943,2200.76525,2204.50225,2201.4091
2201.0349,2200.776025,2204.514775,2201.4214
2201.078175,2200.79155,2204.567625,2201.558575
2201.091675,2200.813925,2204.577775,2201.59735
2201.120625,2200.8332,2204.6084,2201.6239
2201.366475,2200.860575,2204.798275,2201.642425
2201.389275,2200.86975,2205.048025,2201.6811
2201.393075,2200.879725,2205.08125,2201.69865
2201.40535,2200.89425,2205.151575,2201.716625
2201.423,2200.901375,2205.2619,2201.7508
2201.550725,2200.9093,2205.35325,2201.770725
2201.5652,2200.915325,2205.4387,2201.792375
2201.57195,2200.9322,2205.632975,2201.7984
2201.604225,2200.940325,2205.7522,2201.81845
2201.606725,2200.95595,2206.00165,2201.8452
2201.6219,2200.97505,2206.068925,2201.8721
2201.66425,2200.980475,2206.257475,2201.91855
2201.70635,2200.99175,2206.30895,2201.95795
2201.7586,2201.023025,2206.624025,2201.996425
2201.789775,2201.0658,2206.906625,2202.02005
2201.798625,2201.075925,2206.9421,2202.060625
2201.83495,2201.092725,2207.05655,2202.126925
2201.86115,2201.1109,2207.322575,2202.13935
2201.880875,2201.12045,2207.331125,2202.15825
2202.092425,2201.1317,2207.80895,2202.2498
2202.11145,2201.184375,2207.83785,2202.254125
2202.118575,2201.2078,2207.851075,2202.2948
2202.139525,2201.22495,2207.857275,2202.35335
2202.34065,2201.24915,2207.8724,2202.504425
2202.3683,2201.264075,2207.9763,2202.606925
2202.373425,2201.2786,2208.02885,2202.653975
2202.387325,2201.310425,2208.298325,2202.729975
2202.398275,2201.32985,2208.428875,2202.788625
2202.413525,2201.3767,2208.722725,2202.82785
2202.434075,2201.408875,2208.7784,2202.86865
2202.443725,2201.418025,2208.908975,2202.96385
2202.45945,2201.435475,2208.91805,2203.01405
2202.464925,2201.445425,2208.9822,2203.06805
2202.4943,2201.46115,2209.06935,2203.118625
2202.50645,2201.474925,2209.08025,2203.1658
2202.52035,2201.495475,2209.186275,2203.213425
2202.531875,2201.52525,2209.298075,2203.260425
2202.55125,2201.5604,2209.380475,2203.36775
2202.5771,2201.571625,2209.5929,2203.42465
2202.7682,2201.581075,2209.825225,2203.47755
2202.815775,2201.5947,2209.857625,2203.620575
2202.845975,2201.60765,2209.87905,2203.6617
2202.863225,2201.625775,2209.903775,2203.713425
2202.95775,2201.63655,2210.157725,2203.761925
2203.008125,2201.679625,2210.41045,2203.8214
2203.125875,2201.690075,2210.59335,2203.88435
2203.19945,2201.7397,2210.606425,2203.936425
2203.20585,2201.7516,2210.7173,2203.994125
2203.22585,2201.764,2210.72685,2204.0236
2203.23765,2201.784525,2210.8999,2204.059675
2203.266625,2201.83195,2211.142975,2204.1135
2203.34355,2201.842575,2211.244475,2204.3483
2203.510175,2201.931975,2211.2564,2204.45815
2203.57315,2201.97755,2211.3435,2204.496775
2203.575275,2202.00505,2211.418125,2204.55635
2203.588925,2202.033575,2211.495775,2204.59015
2203.597375,2202.056575,2211.642475,2204.68835
2203.602,2202.060875,2211.8708,2204.75255
2203.6118,2202.07225,2212.218625,2204.77165
2203.615575,2202.07365,2212.3594,2204.9426
2203.6327,2202.08695,2212.449075,2205.01755
2203.6767,2202.09665,2212.9529,2205.06095
2203.836425,2202.109275,2213.2189,2205.088225
2203.934475,2202.1363,2213.2342,2205.140625
2203.949225,2202.1455,2213.339425,2205.169375
2203.95265,2202.163275,2213.4083,2205.226575
2203.965475,2202.176775,2213.427925,2205.287175
2203.973225,2202.19795,2213.486425,2205.355675
2203.9786,2202.20715,2213.707975,2205.389975
2204.0332,2202.21945,2214.22105,2205.5375
2204.0538,2202.2324,2214.26175,2205.541775
2204.1478,2202.248325,2214.599125,2205.59195
2204.18675,2202.2638,2214.6807,2205.770325
2204.261175,2202.2756,2214.762975,2205.82735
2204.47495,2202.311075,2214.822775,2205.8523
2204.495925,2202.37505,2214.864375,2205.8815
2204.512425,2202.390875,2214.904375,2205.9277
2204.522175,2202.423125,2214.92615,2206.018925
2204.569825,2202.43135,2214.97405,2206.06665
2204.5882,2202.46265,2215.023975,2206.119525
2204.611525,2202.47375,2215.0592,2206.178625
2204.6161,2202.499775,2215.073725,2206.182175
2204.6401,2202.514375,2215.183125,2206.2159
2204.651525,2202.5227,2215.4136,2206.26735
2204.68645,2202.53145,2215.51935,2206.397225
2204.7086,2202.5425,2215.633125,2206.483675
2204.810825,2202.551925,2215.8127,2206.515925
2204.869475,2202.607125,2215.924325,2206.5542
2204.93225,2202.616,2216.243,2206.6341
2204.947375,2202.63445,2216.493875,2206.65255
2204.970575,2202.657175,2217.125175,2206.882125
2204.98905,2202.670925,2217.228625,2206.908075
2205.010775,2202.7157,2217.255675,2206.9335
2205.069125,2202.724625,2217.294225,2206.980275
2205.1191,2202.736575,2217.41355,2207.021425
2205.140025,2202.776875,2217.555975,2207.0577
2205.154725,2202.819,2217.6967,2207.09115
2205.16615,2202.821875,2217.952,2207.1871
2205.193225,2202.84215,2218.222125,2207.271475
2205.255725,2202.85455,2218.3587,2207.32345
2205.334825,2202.863675,2218.4508,2207.370625
2205.375125,2202.918075,2218.63925,2207.4011
2205.4039,2202.935375,2218.981425,2207.4449
2205.44605,2202.951975,2219.002275,2207.53095
2205.6066,2202.9693,2219.147775,2207.58295
2205.704225,2202.98265,2219.2901,2207.636775
2205.7567,2202.99465,2219.3674,2207.6598
2205.79045,2203.00835,2219.379125,2207.746875
2205.8878,2203.024375,2219.3969,2207.783225
2205.922175,2203.047925,2219.4235,2207.838275
2205.96025,2203.061025,2219.59715,2207.861775
2205.964075,2203.0902,2219.767,2207.8802
2205.98245,2203.100225,2219.8956,2207.939875
2205.989025,2203.12125,2219.907,2207.975525
2206.004625,2203.179175,2219.963875,2208.006425
2206.01175,2203.211275,2220.1457,2208.036975
2206.04465,2203.21985,2220.1744,2208.09745
2206.0629,2203.23575,2220.214225,2208.150025
2206.085575,2203.25395,2220.249225,2208.1948
2206.12945,2203.283175,2220.28665,2208.225775
2206.130675,2203.2995,2220.517475,2208.25495
2206.164525,2203.316975,2220.7163,2208.288075
2206.217575,2203.3364,2220.859,2208.311025
2206.322725,2203.363525,2221.083325,2208.385725
2206.36175,2203.377525,2221.1641,2208.413425
2206.40925,2203.391075,2221.286375,2208.457625
2206.45225,2203.4031,2221.4812,2208.51535
2206.504025,2203.430525,2221.584475,2208.591425
2206.53815,2203.4571,2221.800575,2208.62315
2206.579275,2203.473375,2221.8131,2208.6644
2206.6254,2203.483925,2222.00455,2208.720175
2206.6778,2203.489825,2222.1045,2208.7407
2206.715475,2203.504025,2222.12595,2208.790925
2206.80885,2203.53375,2222.25705,2208.830425
2206.834,2203.567125,2222.45245,2208.899725
2206.890575,2203.5844,2222.4749,2208.928525
2206.90845,2203.5994,2222.532475,2208.95515
2206.950225,2203.621975,2222.547525,2208.991825
2206.9566,2203.632925,2222.582125,2209.14055
2207.00715,2203.643325,2222.62745,2209.188175
2207.133475,2203.651625,2222.7172,2209.237325
2207.187625,2203.653625,2222.8162,2209.27675
2207.219675,2203.6625,2222.997925,2209.31505
2207.249525,2203.693375,2223.563225,2209.3516
2207.297625,2203.694875,2223.657,2209.372825
2207.354925,2203.7147,2224.07325,2209.40495
2207.38115,2203.71835,2224.213825,2209.456875
2207.475025,2203.733425,2224.2458,2209.494625
2207.5109,2203.744375,2224.282475,2209.52005
2207.688875,2203.75145,2224.3669,2209.5885
2207.727375,2203.75745,2224.458625,2209.62665
2207.790125,2203.780175,2224.484275,2209.656775
2207.83125,2203.79065,2224.576225,2209.700775
2207.94195,2203.838325,2224.978325,2209.774725
2207.9942,2203.8478,2225.2556,2209.80695
2208.1854,2203.901125,2225.499825,2209.8467
2208.21115,2203.911975,2225.5843,2209.879575
2208.2672,2204.01435,2225.623625,2210.01695
2208.307175,2204.029425,2225.814275,2210.079975
2208.636475,2204.04255,2226.147575,2210.104075
2208.65445,2204.05275,2226.36685,2210.135
2208.658575,2204.0682,2226.410025,2210.207025
2208.6979,2204.0769,2226.452075,2210.244725
2208.72145,2204.085525,2226.46295,2210.273375
2208.9026,2204.107075,2226.46885,2210.311
2208.914375,2204.140075,2226.51175,2210.35145
2208.942775,2204.1521,2226.539675,2210.37115
2209.081225,2204.195175,2226.587225,2210.386925
2209.113525,2204.225975,2226.600775,2210.4049
2209.134625,2204.24715,2227.01255,2210.502575
2209.184,2204.26565,2227.017325,2210.525175
2209.2011,2204.311,2227.226025,2210.545425
2209.228225,2204.328475,2227.2886,2210.5628
2209.2599,2204.353425,2227.333775,2210.5898
2209.287375,2204.38025,2227.349175,2210.64485
2209.34065,2204.47015,2227.6012,2210.673475
2209.39505,2204.484875,2227.7434,2210.70505
2209.4229,2204.489975,2227.93155,2210.7685
2209.482025,2204.49475,2228.012875,2210.80115
2209.504125,2204.508525,2228.09455,2210.823325
2209.549775,2204.524875,2228.155325,2210.8688
2209.6041,2204.543525,2228.173625,2210.902525
2209.6305,2204.55775,2228.3186,2210.92165
2209.712775,2204.593525,2228.589675,2210.95035
2209.799125,2204.601725,2228.651375,2210.9805
2209.845325,2204.627025,2228.908475,2211.015975
2209.9129,2204.635325,2228.9542,2211.05505
2210.0114,2204.6969,2229.20465,2211.0869
2210.03515,2204.71785,2229.539225,2211.133275
2210.049625,2204.744725,2229.885625,2211.165825
2210.108125,2204.755675,2229.89745,2211.192675
2210.1151,2204.767925,2229.9793,2211.22165
2210.148475,2204.78265,2230.12955,2211.3152
2210.357675,2204.874075,2230.1972,2211.34815
2210.3678,2204.905875,2230.53305,2211.44375
2210.4247,2204.942875,2230.856575,2211.512725
2210.49485,2204.971375,2230.88615,2211.5507
2210.57995,2204.996025,2230.978525,2211.635725
2210.619875,2205.010525,2231.17575,2211.66825
2210.632125,2205.069,2231.250075,2211.695625
2210.707675,2205.097,2231.37915,2211.72015
2210.7971,2205.113025,2231.4254,2211.76085
2210.8064,2205.130725,2231.52675,2211.790675
2210.82355,2205.136725,2231.592775,2211.797725
2210.860625,2205.1619,2231.65215,2211.8567
2210.888425,2205.169675,2231.81845,2211.8944
2210.950525,2205.18045,2231.8697,2211.9404
2211.036225,2205.19245,2232.112475,2211.9722
2211.141875,2205.20765,2232.33975,2212.012825
2211.245725,2205.217925,2232.3592,2212.058375
2211.30845,2205.269525,2232.47825,2212.166175
2211.387425,2205.30575,2233.23645,2212.201825
2211.437825,2205.337875,2233.2789,2212.238825
2211.55805,2205.41605,2233.5717,2212.27775
2211.61265,2205.427275,2233.749325,2212.31565
2211.78115,2205.45015,2233.7694,2212.406625
2211.831975,2205.468375,2233.923075,2212.493625
2211.8967,2205.491225,2234.179625,2212.53395
2212.089675,2205.511,2234.24975,2212.5707
2212.3012,2205.569475,2234.32805,2212.62265
2212.45415,2205.584975,2234.403825,2212.642375
2212.5387,2205.6482,2234.479275,2212.6888
2212.702275,2205.6865,2234.7414,2212.729675
2212.766075,2205.769525,2234.802825,2212.763525
2212.84335,2205.7892,2234.834175,2212.795725
2212.916575,2205.809775,2235.031925,2212.835475
2212.978025,2205.815475,2235.0967,2212.8604
2213.081825,2205.823725,2235.278,2212.887875
2213.114725,2205.836625,2235.684625,2212.915625
2213.1435,2205.842725,2235.7658,2212.989325
2213.1477,2205.850975,2235.855425,2213.1229
2213.16675,2205.89775,2235.908425,2213.1574
2213.213225,2205.916825,2236.22655,2213.211575
2213.259975,2205.94595,2236.3862,2213.242725
2213.280225,2205.9622,2236.419025,2213.27185
2213.3143,2205.965775,2236.47795,2213.301675
2213.49945,2205.9724,2236.5186,2213.3388
2213.61935,2205.9791,2236.665125,2213.356575
2213.697875,2206.0789,2236.82065,2213.37745
2213.733025,2206.08775,2237.20205,2213.5029
2213.763025,2206.13535,2237.241025,2213.52875
2213.9374,2206.14495,2237.560875,2213.675575
2214.0042,2206.175425,2237.8247,2213.69755
2214.02765,2206.200425,2238.0032,2213.706875
2214.05055,2206.223725,2238.27925,2213.73425
2214.07565,2206.249225,2238.300275,2213.76125
2214.11985,2206.326625,2238.409475,2213.789625
2214.15355,2206.3752,2238.46475,2213.82315
2214.187275,2206.401225,2238.75245,2213.849175
2214.214925,2206.42585,2238.775275,2213.875075
2214.2283,2206.445875,2239.064875,2213.90955
2214.254925,2206.475,2239.2423,2213.949325
2214.272125,2206.52905,2239.2732,2214.00395
2214.295575,2206.540775,2239.318675,2214.021825
2214.3511,2206.550675,2239.433325,2214.0563
2214.377075,2206.562,2239.463625,2214.081575
2214.531675,2206.571625,2239.58715,2214.108425
2214.539575,2206.583425,2239.664425,2214.1624
2214.5514,2206.5952,2239.785375,2214.20165
2214.789125,2206.60545,2239.8559,2214.232625
2214.795425,2206.614075,2240.026375,2214.254
2214.8083,2206.6336,2240.265725,2214.282975
2214.83525,2206.6482,2240.345575,2214.3137
2214.852575,2206.6556,2240.427,2214.33525
2214.8835,2206.665,2240.4837,2214.369025
2214.89115,2206.693,2240.5349,2214.392125
2214.99885,2206.721775,2240.74825,2214.423275
2215.0457,2206.746375,2240.7636,2214.448025
2215.065275,2206.76335,2240.9811,2214.48405
2215.0761,2206.790125,2241.142725,2214.5211
2215.137125,2206.81255,2241.14435,2214.55175
2215.1757,2206.83695,2241.16565,2214.578675
2215.18335,2206.886475,2241.2191,2214.59695
2215.209675,2206.925075,2241.26365,2214.599625
2215.314475,2206.934925,2241.296175,2214.6629
2215.329225,2206.951375,2241.4971,2214.708075
2215.413525,2206.96805,2241.641425,2214.71795
2215.493125,2206.9747,2241.774425,2214.750025
2215.55195,2207.0055,2241.9089,2214.812975
2215.5723,2207.012775,2242.288075,2214.869175
2215.58405,2207.020975,2242.576625,2214.900725
2215.611225,2207.027525,2242.7275,2214.945575
2215.614825,2207.0309,2243.118175,2214.978225
2215.639675,2207.0401,2243.1875,2215.016075
2215.658775,2207.076275,2243.398225,2215.04675
2215.683275,2207.0999,2243.42205,2215.072175
2215.72765,2207.101675,2243.53605,2215.0966
2215.8928,2207.116125,2243.694925,2215.139375
2215.89425,2207.16105,2243.868575,2215.204225
2215.9349,2207.203375,2243.986175,2215.239025
2215.970775,2207.23815,2244.360925,2215.3092
2216.03555,2207.262825,2244.4073,2215.349275
2216.108975,2207.276625,2244.67875,2215.3808
2216.19985,2207.290475,2244.74325,2215.424575
2216.310025,2207.313675,2244.862025,2215.456325
2216.48285,2207.35235,2244.969725,2215.501425
2216.539625,2207.37735,2245.03995,2215.576675
2216.565225,2207.417925,2245.11055,2215.61135
2216.632875,2207.431575,2245.152425,2215.681
2216.638925,2207.44265,2245.169525,2215.750125
2216.66455,2207.4544,2245.1824,2215.78075
2216.7124,2207.46335,2245.541325,2215.8098
2216.756225,2207.47155,2245.7486,2215.949125
2216.84515,2207.479675,2246.1893,2216.08305
2216.92115,2207.4893,2246.238,2216.1152
2216.94665,2207.517725,2246.49945,2216.233725
2216.9905,2207.53595,2246.63855,2216.26845
2217.0275,2207.54025,2246.74905,2216.305025
2217.03755,2207.5595,2246.76675,2216.33095
2217.08805,2207.56945,2246.998575,2216.3609
2217.1395,2207.580125,2247.04825,2216.3927
2217.148975,2207.591225,2247.07615,2216.422175
2217.184475,2207.600325,2247.323025,2216.4487
2217.2383,2207.610525,2247.424075,2216.516625
2217.4611,2207.626625,2247.532625,2216.552675
2217.501175,2207.637875,2247.589125,2216.595625
2217.568375,2207.65345,2247.649625,2216.651975
2217.608275,2207.666925,2247.81595,2216.695725
2217.666225,2207.7065,2247.86075,2216.74085
2217.68905,2207.7283,2247.969575,2216.836575
2217.71875,2207.7444,2248.10395,2216.88935
2217.745275,2207.762275,2248.4918,2216.963425
2217.77775,2207.78995,2248.50335,2217.03205
2217.82685,2207.79815,2248.527125,2217.08355
2217.851325,2207.815775,2248.737975,2217.10385
2217.876975,2207.824125,2248.74895,2217.12995
2217.927125,2207.83215,2248.90075,2217.183175
2218.000525,2207.89845,2248.9876,2217.25125
2218.055575,2207.90045,2249.144325,2217.2808
2218.07155,2208.0636,2249.224525,2217.312875
2218.09395,2208.071225,2249.34145,2217.341425
2218.129,2208.08225,2249.713,2217.368325
2218.224225,2208.11185,2249.828425,2217.3916
