SPK_SPKC07a (inhi),SPK_SPKC10a (no opto-tagging),SPK_SPKC16a (no clear)
500.007525,500.079575,500.239125
500.024875,500.57705,500.249975
500.0495,500.67725,500.828425
500.1133,500.870975,500.91515
500.3008,500.934375,500.98305
500.316725,501.27905,501.25465
500.329025,501.42515,501.469825
500.341475,501.4479,501.7909
500.361675,501.530925,502.31175
500.3696,501.70755,502.44335
500.3918,501.993375,502.513025
500.404175,502.12595,502.841
500.41975,502.72125,503.01495
500.431175,502.7468,503.639975
500.4516,503.246825,504.25985
500.4732,503.28525,504.362925
500.49105,503.3072,504.857375
500.5102,503.460975,504.9958
500.546475,503.61635,505.091075
500.600725,503.801575,505.36845
500.633925,503.91345,505.587075
500.6572,504.013675,505.940675
500.7912,504.0424,506.752175
500.8072,504.155425,507.23945
500.831225,504.236875,507.5358
500.86055,504.366825,507.70515
500.88165,504.433975,507.721525
500.893975,504.484475,508.190875
501.212,504.6866,508.264775
501.230875,504.720675,508.2783
501.246875,504.7568,509.393975
501.27315,504.97635,509.40265
501.289425,505.1939,509.59455
501.311525,505.2556,510.063275
501.335175,505.70665,510.67145
501.3547,505.796325,511.3372
501.368575,506.06265,511.5798
501.3789,506.203275,512.028225
501.390075,506.229175,512.518425
501.40615,506.419625,512.566
501.41945,506.49915,512.89625
501.438875,506.588325,513.0348
501.47045,506.599125,514.00535
501.502,506.7764,514.180625
501.59365,506.99045,514.545375
501.70345,507.009025,515.4491
501.732125,507.040125,515.485275
501.757,507.25905,516.11065
502.617575,507.31585,517.57145
502.6247,507.330575,518.01075
502.6469,507.545875,518.41805
502.668425,507.549275,518.467525
502.686425,507.758475,519.19675
502.70085,507.843175,519.360425
502.7218,507.999075,519.486375
502.7423,508.017775,519.590675
502.7559,508.08145,520.939125
502.773075,508.11005,521.8392
502.797875,508.364075,521.9724
502.815425,508.39335,522.133925
502.9597,508.406525,522.728025
502.986175,508.5409,522.911575
503.0184,508.6286,522.922225
503.0318,508.857,523.1565
503.045625,509.0771,523.5831
503.058325,509.126725,523.653625
503.088525,509.251675,523.72785
503.1086,509.280275,523.7468
503.12335,509.409875,523.907675
503.1354,509.417425,524.0902
503.14985,509.454875,524.167875
503.18205,509.512775,524.564725
503.20115,509.607725,524.960575
503.227225,509.73705,525.027925
503.242175,509.76035,525.5093
503.264775,509.78385,525.617825
503.28135,509.83635,525.675825
503.3153,509.905875,525.7497
503.4785,509.93625,525.762825
503.488125,510.0086,526.0105
503.507075,510.0756,526.19435
503.518525,510.30025,526.3207
503.534825,510.4456,526.334825
503.57015,510.48475,526.489725
503.57895,510.55295,526.50845
503.59845,510.845125,526.65745
503.6118,511.030575,526.858775
503.640125,511.040875,526.974225
