SPK_SPKC05a (late exc?),SPK_SPKC06a (inhi),SPK_SPKC07a (inhi),SPK_SPKC15b (inhi)
300.00475,300.025475,300.006925,300.006925
300.009975,300.036625,300.01825,300.01825
300.0236,300.0464,300.0373,300.0373
300.03185,300.063375,300.080225,300.05305
300.066825,300.08385,300.102725,300.0658
300.07535,300.114,300.122925,300.08025
300.09325,300.12535,300.141825,300.0918
300.0952,300.146575,300.20035,300.1027
300.10435,300.166025,300.24945,300.1113
300.1111,300.174275,300.27,300.122925
300.125425,300.18945,300.282875,300.14185
300.127725,300.1995,300.2979,300.1579
300.13705,300.2363,300.3366,300.183675
300.1471,300.25685,300.3561,300.270025
300.167675,300.27055,300.3672,300.2979
300.17685,300.299275,300.393825,300.3366
300.180825,300.31385,300.4286,300.3561
300.187825,300.3271,300.463375,300.367225
300.198825,300.338575,300.4938,300.393825
300.207825,300.36415,300.511825,300.438875
300.222425,300.3768,300.523525,300.4491
300.2594,300.3804,300.55715,300.4634
300.27125,300.387525,300.601275,300.4938
300.304575,300.39735,300.6366,300.511825
300.324675,300.42995,300.670875,300.540725
300.335375,300.437475,300.682675,300.557175
300.366075,300.44585,300.690825,300.601275
300.375125,300.45595,300.704825,300.6366
300.41285,300.4694,300.71675,300.670875
300.425525,300.48055,300.726275,300.682675
300.427875,300.490025,300.734475,300.70485
300.444575,300.498725,300.7591,300.8346
300.4932,300.50975,300.772,300.847175
300.548375,300.519725,300.8253,300.9176
300.56095,300.531075,300.8346,300.93275
300.579125,300.54155,300.8472,300.9767
300.586475,300.5589,300.8732,300.99165
300.624325,300.576175,300.9176,301.010475
300.668775,300.5904,300.932725,301.04745
300.689775,300.606325,300.95325,301.05395
300.70225,300.622775,300.960425,301.119725
300.713525,300.6337,300.96715,301.144975
300.7326,300.644675,301.01045,301.223625
300.74075,300.65395,301.0153,301.243075
300.765725,300.6633,301.02865,301.264725
300.77815,300.6868,301.050525,301.29075
300.863975,300.709325,301.067825,301.3142
300.88075,300.72205,301.0891,301.328125
300.920775,300.748275,301.09615,301.336625
300.93025,300.7584,301.119725,301.34685
300.938425,300.791575,301.163425,301.356075
300.967,300.808675,301.223625,301.397825
300.9829,300.831375,301.2647,301.44325
300.989075,300.847425,301.29075,301.461275
301.007675,300.872775,301.314175,301.510475
301.016025,300.88045,301.328125,301.529775
301.028175,300.897675,301.336625,301.560725
301.077925,300.908725,301.346825,301.60445
301.104225,300.920925,301.35605,301.634925
301.12215,300.962,301.3694,301.64325
301.136975,300.971,301.397825,301.70295
301.14465,300.99115,301.422075,301.8297
301.176875,301.004625,301.443225,301.903575
301.19515,301.03315,301.461275,301.908625
301.24585,301.05335,301.4852,301.936575
301.2754,301.09095,301.510475,301.95635
301.346725,301.119,301.529775,302.0115
301.361925,301.122025,301.589325,302.025975
301.3655,301.128825,301.618,302.04145
301.376975,301.136525,301.6288,302.07615
301.41965,301.1439,301.6349,302.12685
301.43015,301.1722,301.6584,302.2122
301.4402,301.178475,301.667175,302.252
301.5772,301.1891,301.68075,302.272425
301.6929,301.207675,301.70295,302.315625
301.7088,301.2254,301.71575,302.338475
301.7517,301.233325,301.7322,302.3611
301.920275,301.244825,301.779925,302.40135
302.013825,301.252575,301.8297,302.432525
302.1304,301.261925,301.894725,302.456425
302.16445,301.2714,301.90355,302.5169
302.3007,301.2939,301.908625,302.5398
302.322125,301.3072,301.93655,302.547675
302.388575,301.315975,301.95635,302.573275
302.396775,301.342675,302.0115,302.5992
302.44095,301.355025,302.02595,302.72035
302.450425,301.3747,302.07615,302.760725
302.472775,301.383825,302.12685,302.769425
302.5045,301.398075,302.212175,302.795275
302.517,301.4103,302.23115,302.832175
302.5284,301.42455,302.272425,302.85525
302.536575,301.43895,302.315625,302.86965
302.538475,301.440025,302.3611,302.8855
302.544775,301.450175,302.379225,302.9151
302.550375,301.465,302.456425,302.959575
302.557975,301.478025,302.506475,302.983225
302.573725,301.494475,302.526725,302.9988
302.585175,301.504625,302.5398,303.012175
302.607225,301.527775,302.5615,303.02445
302.6122,301.55265,302.583575,303.031625
302.621675,301.585975,302.588825,303.0476
302.6322,301.601375,302.5992,303.063675
302.642425,301.614725,302.690025,303.107175
302.660375,301.61595,302.760725,303.138275
302.66985,301.625225,302.7694,303.159
302.748675,301.6344,302.79525,303.17785
302.766675,301.655375,302.81525,303.189375
302.7773,301.6654,302.85525,303.1968
302.8007,301.674025,302.86965,303.215575
302.8107,301.688625,302.8855,303.24125
302.82325,301.697175,302.915075,303.249175
302.856,301.705625,302.93525,303.280875
302.8602,301.716325,302.959575,303.290575
302.876725,301.722825,302.983225,303.297875
302.890825,301.731175,302.9988,303.311725
302.902,301.742625,303.012175,303.334975
302.9664,301.760675,303.02445,303.3538
302.976875,301.77245,303.030375,303.361775
302.990775,301.77925,303.0316,303.37435
303.018675,301.789975,303.063675,303.429925
303.03565,301.8026,303.10715,303.46985
303.04225,301.83945,303.13825,303.48365
303.052325,301.855925,303.159,303.4942
303.0794,301.87735,303.17785,303.5085
303.120525,301.883725,303.189375,303.5153
303.18135,301.89435,303.196775,303.562175
303.1957,301.927925,303.229775,303.618275
303.207775,301.936,303.261,303.679175
303.211825,301.94675,303.280875,303.836625
303.21825,301.97985,303.290575,303.84805
303.2246,301.991625,303.297875,303.9593
303.2384,302.00225,303.31175,303.9791
