SPK_SPKC02a (exc),SPK_SPKC04a (no response),SPK_SPKC10b (no response)
0.075475,0.0011,0.119625
0.119675,0.0442,0.15715
0.12135,0.107125,0.255025
0.133475,0.1216,0.294
0.366375,0.13335,0.3411
0.3988,0.149575,0.353225
0.74865,0.16705,0.36075
0.8706,0.179025,0.366275
0.9251,0.194,0.388825
0.98105,0.20425,0.398725
1.007225,0.22375,0.4143
1.066575,0.25095,0.422475
1.3146,0.26825,0.71045
1.450325,0.287575,0.7192
1.471075,0.303525,0.72645
1.52685,0.332775,0.7416
1.569275,0.342125,0.7916
1.577825,0.349975,0.85325
1.591575,0.36025,1.18665
1.616725,0.37935,1.2658
1.88225,0.388875,1.277975
1.8866,0.41555,1.28215
1.92085,0.4354,1.43265
1.99545,0.469875,1.491525
2.39275,0.4862,1.746875
2.403925,0.525575,1.7728
2.412775,0.580675,1.84125
2.423675,0.6371,1.86605
2.45365,0.668575,1.882225
2.45705,0.70825,2.059175
2.47395,0.720375,2.1644
2.587775,0.7328,2.2578
2.825725,0.741725,2.3847
2.8445,0.805325,2.4001
2.937925,0.853475,2.4702
2.9614,0.873825,2.5231
2.9668,0.893375,2.799
2.99325,0.90505,2.81365
3.270375,0.9173,2.819025
3.37585,0.9357,2.82565
3.426825,0.948525,2.899375
3.5229,0.958875,2.942625
3.78285,0.968875,3.04775
3.8071,0.97635,3.060975
3.821375,0.9865,3.1961
3.8819,1.000375,3.2367
4.1287,1.0147,3.2425
4.508225,1.029375,3.24955
4.516575,1.045675,3.26325
4.52615,1.0712,3.3386
4.711875,1.102525,3.351325
4.95165,1.1659,3.541075
4.957775,1.2016,3.65095
5.05525,1.22395,3.760175
5.0614,1.2365,3.772175
5.0961,1.2528,3.8213
5.13735,1.2621,3.84045
5.1566,1.268625,3.881875
5.42605,1.285875,3.94095
5.433725,1.30255,3.987075
5.449925,1.3183,4.0523
5.462275,1.354025,4.058225
5.743825,1.375525,4.080625
5.776775,1.3882,4.092325
5.78265,1.406975,4.09655
5.787975,1.416525,4.4931
5.7943,1.426125,4.5082
6.1315,1.43915,4.526075
6.30055,1.4479,4.7118
6.4889,1.456525,4.725725
6.502175,1.472925,4.866075
6.533975,1.48405,4.887625
6.552225,1.496825,4.906125
6.613725,1.520975,4.91845
6.61835,1.5309,4.977575
6.6912,1.539925,5.047725
6.7575,1.5504,5.089575
6.8854,1.557625,5.5188
6.94945,1.566925,5.686225
7.15765,1.59865,5.717775
7.18195,1.630175,5.75425
7.18655,1.646075,5.758225
7.201475,1.659475,5.9858
7.22975,1.686275,6.179825
7.2381,1.7202,6.24695
7.2439,1.776575,6.46295
7.388,1.820425,6.480975
7.754725,1.856,6.4958
7.933675,1.8654,6.5022
8.106675,1.879125,6.513375
8.11785,1.8828,6.613675
8.194975,1.924625,6.61835
8.431375,1.939,6.624375
8.435575,1.95815,6.728425
8.4409,1.970175,6.7574
8.700025,1.983125,6.778325
8.72505,1.993075,6.797375
8.768125,2.0009,6.8853
8.834575,2.010825,6.898075
8.84935,2.042725,6.935525
8.9754,2.069375,7.0906
8.9881,2.088675,7.117025
9.090825,2.111075,7.157575
9.32765,2.1607,7.164025
9.546375,2.1798,7.169675
9.77155,2.181475,7.1865
9.78365,2.21,7.20665
9.791375,2.2232,7.310425
9.798875,2.24645,7.524425
9.802775,2.293225,7.716675
9.8681,2.312325,7.73565
10.475925,2.337025,7.74645
10.5101,2.349725,7.754625
10.5352,2.362375,7.97595
10.98145,2.37435,8.003975
11.046,2.38515,8.036575
11.2509,2.3933,8.089975
11.25885,2.403575,8.10665
11.310075,2.4106,8.161525
11.32465,2.4273,8.218425
11.327475,2.435825,8.4313
11.3306,2.44565,8.502925
11.33355,2.451975,8.563275
11.34305,2.460775,8.734625
11.445075,2.471025,8.81375
11.51115,2.478675,8.917
11.525275,2.49015,8.92665
12.43545,2.5099,8.952125
12.485875,2.51985,8.988025
12.538325,2.5325,9.090775
12.588075,2.544025,9.192
12.830425,2.560175,9.3326
12.87525,2.57145,9.349525
12.96215,2.59175,9.38015
13.015225,2.615725,9.3847
13.0504,2.660275,9.417775
13.81775,2.698875,9.514925
13.8538,2.76565,9.706975
13.87,2.7944,9.714475
13.876525,2.831075,9.73075
13.88735,2.851625,9.771525
14.447325,2.86425,9.953675
14.459875,2.87395,10.119775
14.462875,2.8832,10.134925
14.4664,2.899075,10.1457
14.4885,2.90775,10.163725
14.4929,2.918375,10.199775
14.5014,2.930725,10.471
14.53435,2.94205,10.47585
14.5695,2.9566,10.4892
14.8607,2.9632,10.493775
15.5033,2.97115,10.510075
15.507375,2.97885,10.543175
15.52115,2.99075,10.5527
15.5493,3.0003,10.56375
15.604525,3.0494,10.9569
15.832425,3.07585,11.266825
15.8685,3.1649,11.27085
15.887575,3.212775,11.2855
15.89145,3.244575,11.2983
15.898325,3.252525,11.33055
15.915325,3.304,11.4837
15.98875,3.330775,11.5111
16.565625,3.349075,11.806575
16.919175,3.370275,11.985425
16.943775,3.38345,12.143175
16.9742,3.39425,12.2144
17.013275,3.40265,12.232725
17.0182,3.4206,12.42945
17.02305,3.4288,12.490125
17.12985,3.441475,12.499075
17.1607,3.448975,12.51755
17.18615,3.459225,12.740275
17.47585,3.482725,12.773675
17.48545,3.491575,12.9271
17.51255,3.499825,12.98835
17.5177,3.512625,13.482975
17.57,3.529725,13.810575
17.59695,3.5463,13.825575
17.8936,3.600875,13.869925
17.901325,3.668075,13.8823
17.905025,3.706925,14.2352
17.90855,3.731675,14.415675
17.926375,3.7442,14.43735
17.93295,3.756775,14.4443
17.956525,3.76445,14.45085
17.961925,3.77685,14.45985
17.994575,3.784225,14.46635
18.318975,3.795775,14.47375
18.33465,3.805475,14.48845
18.353,3.81365,14.50135
18.450225,3.8289,14.8164
18.4839,3.851125,14.86795
18.5698,3.874125,14.874125
18.58315,3.942175,14.8811
18.614525,4.004475,14.891
18.629675,4.026525,14.935875
18.938025,4.04825,15.230475
18.9902,4.064975,15.4871
19.005025,4.076925,15.50325
19.0237,4.089175,15.5073
19.05235,4.09755,15.822225
19.066725,4.1063,15.841325
19.363475,4.11175,15.868475
19.416425,4.120825,15.8839
19.4233,4.146475,15.936425
19.484675,4.15865,16.6198
19.49115,4.166075,16.865675
19.5174,4.181975,16.914075
19.541,4.1916,16.923775
19.574425,4.2093,16.978325
19.6853,4.221725,17.040575
19.72035,4.237,17.106275
19.795825,4.274525,17.4142
19.829225,4.3189,17.4289
19.9038,4.3526,17.4758
19.9349,4.421875,17.48545
20.418225,4.4685,17.4905
20.636125,4.481875,17.49775
20.6548,4.498775,17.517675
20.68235,4.510175,17.5969
20.6952,4.519325,17.67975
20.70125,4.5308,17.890275
21.4321,4.547825,17.893575
21.44215,4.55745,18.28535
21.460825,4.56905,18.3031
21.471825,4.578075,18.328825
21.49245,4.59155,18.35765
21.8037,4.617925,18.369425
21.8271,4.6546,18.388825
21.8402,4.66625,18.43825
21.8456,4.675375,18.46105
21.861125,4.696125,18.472075
21.871825,4.7068,18.5576
21.892475,4.7317,18.569725
21.928425,4.750625,18.576
21.962975,4.773775,18.6026
22.004625,4.823075,18.644625
22.329625,4.85325,18.656825
22.36135,4.87455,18.8992
22.372,4.88875,18.91135
22.382975,4.915775,18.91625
22.4146,4.92855,19.088525
22.48725,4.94015,19.2393
22.558925,4.949275,19.250275
22.727825,4.956675,19.36345
22.74335,4.965225,19.4164
22.784175,4.9862,19.441125
22.852575,4.99725,19.4775
22.871,5.022625,19.48465
23.27,5.034625,19.5133
23.32125,5.045275,19.609125
23.357025,5.059525,19.633825
23.369275,5.07215,19.675225
23.388375,5.099825,19.748075
23.441425,5.11815,19.90375
23.457225,5.14135,20.363
23.4798,5.1694,20.582875
23.546125,5.201,20.60745
23.551525,5.24245,20.62585
23.876975,5.3026,20.64215
23.90155,5.356575,20.6705
23.9274,5.382525,20.70805
23.9512,5.409875,20.71575
23.97025,5.422725,21.02255
23.986625,5.464075,21.34525
24.016775,5.47995,21.3521
24.0725,5.494325,21.3667
24.393775,5.507475,21.390575
24.400225,5.520325,21.3967
24.433175,5.5703,21.40785
24.4544,5.594775,21.432025
24.472375,5.6299,21.471775
24.5281,5.6688,21.4924
24.553075,5.708825,21.5742
24.845125,5.7174,21.787775
25.168075,5.72375,21.82705
25.20125,5.737825,21.840125
25.2163,5.745,21.84555
25.5795,5.767525,22.0403
25.593775,5.789375,22.075375
25.603,5.815925,22.2997
25.60765,5.8254,22.37195
25.627825,5.835825,22.4088
25.6438,5.84885,22.456625
25.689,5.8681,22.55885
25.7184,5.89565,22.74325
26.3297,5.907275,22.7479
26.3418,5.917425,22.789425
26.396175,5.926925,22.99185
26.581275,5.9435,23.259
26.624725,5.956325,23.294575
26.889425,5.967725,23.348425
26.90085,6.0237,23.395175
26.94945,6.03685,23.423375
26.97715,6.0461,23.504875
26.985275,6.0685,23.538275
27.285,6.077975,23.5835
27.2951,6.086425,23.793675
27.310625,6.0954,23.83225
27.32535,6.105,23.836225
27.3462,6.114625,23.8432
27.353675,6.126575,23.9577
27.38575,6.14085,24.000075
27.428825,6.149175,24.0576
27.464775,6.17835,24.09705
27.7996,6.198575,24.3334
27.91535,6.2118,24.33965
27.987125,6.22685,24.36755
28.059325,6.2605,24.369075
28.5834,6.277175,24.38815
28.59245,6.294175,24.397525
