SPK_SPKC04a (inh/exc),SPK_SPKC06a (inhi),SPK_SPKC09a (inhi)
300.026,300.039975,300.0047
300.0513,300.1098,300.026375
300.0654,300.161375,300.044375
300.0881,300.190725,300.0669
300.118825,300.199275,300.08175
300.14245,300.205675,300.097925
300.20425,300.209425,300.114025
300.21,300.21325,300.13135
300.253625,300.219075,300.14175
300.281875,300.234175,300.145575
300.295225,300.253975,300.15815
300.352975,300.2836,300.1697
300.423275,300.288475,300.18345
300.433675,300.293125,300.198875
300.465675,300.36375,300.267225
300.5035,300.44855,300.2833
300.5398,300.614875,300.2926
300.551325,300.667975,300.306625
300.560775,300.699275,300.353275
300.5886,300.72355,300.399825
300.6108,300.730225,300.425075
300.631125,300.734825,300.4466
300.66195,300.738025,300.6059
300.70065,300.753625,300.62415
300.7337,300.764225,300.6507
300.8243,300.808875,300.66155
300.840925,300.81965,300.67825
300.878,300.83735,300.69415
300.9037,301.032875,300.744425
300.908875,301.1593,300.76715
300.93595,301.17325,300.78325
300.955625,301.2513,300.807475
300.964225,301.46535,300.840375
300.969575,301.619925,300.8783
300.98335,302.151525,300.890075
301.00745,302.327375,300.92055
301.036725,302.332025,300.9414
301.046575,302.349825,300.995225
301.057425,302.38395,301.016425
301.060725,302.406525,301.029
301.0692,302.41635,301.0468
301.07345,302.4502,301.105275
301.078225,302.497275,301.1265
301.084925,302.532125,301.146825
301.087925,302.835125,301.1748
301.088975,302.882375,301.253175
301.091675,303.056375,301.3241
301.0965,303.171925,301.363325
301.107025,303.188225,301.412025
301.11105,303.199975,301.556475
301.132375,303.210375,301.57715
301.142325,303.260925,301.5944
301.1585,303.280175,301.599775
301.187675,303.310375,301.609825
301.2059,303.3271,301.62935
301.20735,303.35815,301.647075
301.22615,303.36545,301.707175
301.245,303.390625,301.742025
301.260925,303.4025,301.77225
301.291775,303.4431,301.79835
301.3061,303.4563,301.830225
301.3263,303.463475,302.0006
301.334325,303.486675,302.042275
301.340625,303.54015,302.046925
301.370625,303.830275,302.073325
301.376525,303.849175,302.09025
301.384925,303.86835,302.12375
301.3974,303.87715,302.2382
301.402125,303.885875,302.2516
301.41305,303.903975,302.2616
301.417625,303.914525,302.29405
301.4277,303.947925,302.31855
301.442775,303.977875,302.355725
301.44775,304.040425,302.379525
301.452175,304.098825,302.392575
301.46075,304.12765,302.40155
301.47725,304.13445,302.41605
301.4828,304.2479,302.447675
301.487175,304.2557,302.460775
301.4992,304.267425,302.479825
301.5059,304.39875,302.501225
301.5186,304.514325,302.5438
301.524075,304.7447,302.5874
301.52875,304.952375,302.604725
301.540125,304.966875,302.650825
301.547975,304.992425,302.66385
301.570725,305.0619,302.677825
301.633775,305.127975,302.688425
301.6616,305.141425,302.7049
301.7108,305.197,302.718875
301.728075,305.212975,302.812925
301.737175,305.249925,302.85145
301.78475,305.3251,302.90245
301.81685,305.348775,302.929575
301.8584,305.5754,302.953075
301.867725,305.631675,302.9703
301.91005,305.638675,302.98685
301.9226,305.646925,303.007425
301.9476,305.655525,303.0273
301.964225,305.702975,303.0376
301.982475,305.710325,303.04695
301.995475,305.737625,303.056475
302.00995,305.744575,303.083075
302.0172,305.75675,303.137025
302.032975,305.7696,303.145
302.040925,305.776675,303.171275
302.045325,305.793325,303.175025
302.049675,305.810725,303.19105
302.054975,305.8165,303.199675
302.06105,305.8232,303.21875
302.06805,305.8816,303.248975
302.102075,305.90325,303.28115
302.116975,305.930875,303.316525
302.12495,306.04925,303.422875
302.14065,306.172725,303.455525
302.1569,306.178925,303.477825
302.172625,306.2674,303.49905
302.20485,306.3762,303.58595
302.210225,306.406925,303.759625
302.221275,306.5959,303.7806
302.24845,306.61455,303.797625
302.25395,306.63925,303.81775
302.2921,306.646275,303.83545
302.320825,306.66975,303.85405
302.335375,306.6798,303.8561
302.36115,306.687525,303.87255
302.366725,306.691825,303.888575
302.373875,306.702675,303.913925
302.38195,306.70825,303.923875
302.394575,306.71165,303.948525
302.416725,306.7195,303.993575
302.424825,306.743675,304.0294
302.451875,306.7735,304.0526
302.489725,306.780975,304.0743
302.565425,306.788825,304.0923
302.595625,306.8004,304.104925
302.597475,306.810075,304.132725
302.638625,306.8407,304.180925
302.70405,306.8494,304.22335
302.73085,306.865125,304.258775
302.753525,306.91905,304.264
302.77055,306.944275,304.2774
302.780475,306.953425,304.3141
302.799075,306.972,304.333325
302.819125,306.9766,304.3478
302.84105,306.986575,304.382575
302.842825,307.016375,304.42075
302.8592,307.036675,304.459575
302.873525,307.06,304.482725
302.91825,307.0667,304.510125
302.951925,307.094375,304.5113
302.9777,307.137925,304.52555
302.995275,307.232075,304.546
303.04005,307.28825,304.56695
303.055375,307.307075,304.608575
303.060175,307.310675,304.6851
303.081975,307.32725,304.878025
303.093275,307.3608,304.9184
303.10145,307.4096,304.93825
303.1201,307.4371,304.95365
303.134875,307.7343,304.9703
303.166425,307.74485,304.998125
303.172875,307.7598,305.0648
303.1801,307.771875,305.0839
303.18865,307.77645,305.107725
303.197075,307.783325,305.129575
303.2083,307.853475,305.1493
303.2205,307.86015,305.20925
303.230525,307.88715,305.27305
303.24605,307.917325,305.276775
303.256325,307.92915,305.305475
303.26225,307.9887,305.3077
303.27445,308.030575,305.365275
303.307375,308.0578,305.5474
303.354075,308.06475,305.575525
303.356225,308.2356,305.621025
303.435375,308.23965,305.630625
303.4567,308.25475,305.68275
303.487925,308.266625,305.68705
303.525425,308.2814,305.705425
303.562475,308.32415,305.7544
303.580675,308.337925,305.81835
303.598875,308.414625,305.845475
303.6006,308.485025,305.862425
303.61505,308.53105,305.878275
303.647375,308.55745,305.89365
303.71165,308.577975,305.917125
303.7449,308.663575,305.93365
303.747825,308.713325,305.961
303.7685,308.757075,306.02005
303.796325,308.773875,306.044225
303.8111,308.78755,306.06995
303.84485,308.946925,306.09955
303.8531,309.14965,306.1272
303.863625,309.238075,306.15825
303.889775,309.301675,306.211
303.897325,309.31435,306.259075
303.904625,309.334625,306.354175
303.912225,309.341425,306.369225
303.92905,309.3438,306.386
303.940575,309.35475,306.401825
303.95015,309.36095,306.413175
303.968,309.424,306.42835
303.97665,309.448025,306.459225
303.980275,309.589775,306.474075
303.996025,309.6405,306.4894
304.00385,309.650625,306.55815
304.01155,309.681475,306.579475
304.024725,309.75335,306.607375
304.032775,310.0124,306.638225
304.0394,310.049425,306.648775
304.0456,310.05885,306.67725
304.050925,310.07735,306.72515
304.065825,310.18715,306.765025
304.0729,310.269525,306.771575
304.083775,310.2859,306.790075
304.09085,310.29335,306.8246
304.106775,310.35105,306.849725
304.13915,310.4285,306.861525
304.15145,310.447,306.92505
304.1716,310.53305,306.9429
304.179925,310.5692,306.993025
304.2433,310.80335,307.004975
304.252975,310.81465,307.016975
304.297625,310.846375,307.0196
304.31535,310.860075,307.036525
304.341825,310.867775,307.13455
304.34645,311.0014,307.14155
304.353925,311.021475,307.18205
304.36585,311.041775,307.194025
304.376725,311.058575,307.21175
304.389025,311.085525,307.2242
304.4,311.10825,307.260325
304.41485,311.135775,307.28145
304.4733,311.1764,307.291275
304.4829,311.2127,307.30135
304.495225,311.5535,307.3091
304.57595,311.5631,307.35635
304.595925,311.696425,307.3804
304.611175,311.7297,307.399525
304.6419,311.740075,307.416625
304.659825,311.752675,307.430525
304.67395,311.775925,307.4435
304.679425,312.052225,307.455125
304.6893,312.1072,307.49885
304.694375,312.11985,307.51885
304.699925,312.1459,307.541175
304.71305,312.167025,307.562075
304.7219,312.221925,307.58455
304.729075,312.32045,307.71175
304.7398,312.6791,307.740825
304.75975,312.74725,307.771625
304.77645,313.28155,307.78805
304.791775,313.302625,307.79945
304.798175,313.332725,307.8034
304.806025,313.3391,307.835525
304.811125,313.369175,307.858225
304.823175,313.3975,307.90135
304.82865,313.4133,307.96045
304.835725,313.4347,307.9693
304.856025,313.695075,307.978275
304.870875,313.7612,307.999325
304.877825,313.77305,308.00745
304.885925,313.782,308.059425
304.894275,313.851825,308.077475
304.8998,313.8714,308.10125
304.905275,313.8849,308.212825
304.909425,313.89335,308.22405
304.917675,313.89905,308.238775
304.92705,314.02345,308.24635
304.963325,314.047375,308.2579
304.978875,314.0609,308.28065
304.985775,314.08255,308.292475
304.996975,314.098,308.30645
305.0065,314.472825,308.320425
305.01405,314.945775,308.35105
305.021225,314.987075,308.392425
305.0261,315.051875,308.4501
305.033325,315.05795,308.473
305.044075,315.069575,308.64845
305.051325,315.0764,308.6732
305.05915,315.123175,308.691925
305.074625,315.219025,308.710775
305.0881,315.27125,308.723075
305.0947,315.324225,308.732775
305.103225,315.342625,308.753275
305.15925,315.3621,308.81285
305.163275,315.38345,308.83895
305.245975,315.392625,308.878975
305.2583,315.40915,309.092025
305.302275,315.465925,309.121675
305.3184,315.49735,309.174875
305.332625,315.511925,309.1912
305.35245,315.51685,309.214675
305.36245,315.527325,309.24955
305.384675,315.569225,309.27555
305.3994,315.9183,309.296325
305.412425,315.940975,309.3048
305.428925,315.958325,309.30815
305.4355,316.02215,309.3228
305.446425,316.027875,309.34335
305.454775,316.05545,309.34705
305.460475,316.06805,309.375625
305.48035,316.169025,309.394025
305.484125,316.31845,309.399975
305.4868,316.3667,309.40975
305.490125,316.445575,309.448325
305.496075,316.496025,309.457025
305.508225,316.50875,309.479775
305.5298,316.5498,309.5086
305.542525,316.569825,309.52
305.569675,316.61845,309.5288
305.578125,316.794175,309.541925
305.592625,316.81985,309.597425
305.601775,316.839325,309.654525
305.61485,316.883375,309.6674
305.6212,316.900325,309.677875
305.632675,316.928925,309.690475
305.640675,316.9347,309.70485
305.6678,316.947525,309.761375
305.6803,316.97235,309.77995
305.69255,317.01825,309.7947
305.703675,317.088075,309.8112
305.71595,317.134775,309.82905
305.724475,317.1485,309.97375
305.7288,317.21775,309.99165
305.730875,317.2352,310.001775
305.7367,317.2399,310.010525
305.739225,317.30535,310.0208
305.7589,317.34405,310.0323
305.76445,317.361375,310.042
305.788875,317.377975,310.049675
305.80345,317.3841,310.05825
305.82045,317.438125,310.073425
305.838125,317.4937,310.08615
305.8862,317.512825,310.12775
305.896075,317.533675,310.173125
305.9078,317.567225,310.181875
305.923875,317.57515,310.192525
305.936425,317.5966,310.20595
305.9449,317.77065,310.22795
305.956075,317.88205,310.2926
305.961775,317.887675,310.309775
305.985725,317.936575,310.323675
306.0045,317.958775,310.36475
306.03795,318.0184,310.39585
306.053225,318.07715,310.39725
306.064175,318.13475,310.414475
306.072775,318.1377,310.422425
306.082775,318.156725,310.4431
306.094375,318.192875,310.459425
306.102425,318.2193,310.4801
306.105775,318.221,310.487425
306.109575,318.250425,310.496775
306.113025,318.25765,310.50225
306.128525,318.308075,310.5236
306.144075,318.32265,310.78075
306.161925,318.469575,310.80525
306.1687,318.520725,310.8248
306.1808,318.57925,310.845675
306.195875,318.5865,310.855625
306.20335,318.6397,310.8683
306.2081,318.91435,310.878975
306.223125,318.99005,310.892225
306.23255,319.03065,310.9299
306.238675,319.0386,310.961125
306.251125,319.099675,310.975375
