SPK_SPKC04a (late exc?),SPK_SPKC04b (inhi/exc),SPK_SPKC05a (exc/inhi)
1.158625,0.001425,1.2706
1.59025,0.05705,2.4425
1.856725,0.151925,2.543625
2.0401,0.260225,3.2414
2.6215,0.281225,3.2445
2.82375,0.2951,3.522475
3.415575,0.318875,3.802025
3.670275,0.344675,4.4994
3.915775,0.46285,4.55215
4.57905,0.500075,4.65815
4.8533,0.5639,5.246825
5.270275,0.588575,5.5467
7.69775,0.610675,5.668325
8.288275,0.65845,6.275575
8.695675,0.683025,6.318025
9.1981,0.7202,6.396525
9.2341,0.82625,6.8457
9.328725,0.8607,7.055275
9.4423,0.9268,8.02685
9.779175,0.946625,8.109975
10.5612,0.9695,8.69715
10.7383,1.005625,8.818625
10.860625,1.076175,8.864525
11.320825,1.16165,10.10525
11.536925,1.219625,11.287775
11.626425,1.295,11.9789
12.02525,1.335425,12.2367
12.5075,1.36865,12.524175
12.627475,1.48025,12.839025
12.84185,1.543625,12.9197
12.9238,1.567,12.943225
13.49625,1.60735,12.94875
13.866375,1.668925,12.9553
14.268675,1.682725,12.9586
14.4688,1.696325,12.99555
14.9077,1.7189,13.053025
15.25575,1.735825,13.120175
15.474,1.8517,13.4156
15.659575,1.8811,13.542025
16.256925,1.9195,13.612125
16.3806,1.955875,13.73465
17.395925,2.00075,14.871075
17.539325,2.03525,14.949775
17.834875,2.0821,15.001025
17.94045,2.101025,15.579875
18.0775,2.12785,16.1091
18.244825,2.151025,16.412825
18.428425,2.183275,16.413875
18.53435,2.232575,17.014225
18.697,2.31685,17.24765
18.958825,2.378075,17.704025
19.2348,2.4455,17.9209
19.26215,2.461625,18.03775
19.28685,2.47685,18.29915
19.37255,2.504625,18.5329
19.592575,2.607675,18.593925
20.52215,2.630625,18.956425
21.256075,2.641375,19.033425
21.628925,2.668425,19.8681
21.69745,2.6899,20.099425
23.1629,2.712,20.945475
23.273725,2.772,21.440475
23.420175,2.87925,21.5324
23.4793,2.92885,21.89055
23.710375,2.9969,22.012025
23.80545,3.037725,22.48195
23.82645,3.08335,22.759475
23.915775,3.132625,22.8204
24.01535,3.18055,24.0978
24.41215,3.2209,24.152575
25.866225,3.24675,24.1614
26.372275,3.270725,24.243025
26.475725,3.3277,24.327025
28.003625,3.361025,24.34735
28.0747,3.39735,24.41525
29.19025,3.42855,24.59085
29.500475,3.452,24.817575
30.0237,3.476425,25.131775
30.607825,3.5127,25.221775
30.7476,3.57775,25.6644
30.807875,3.615975,26.891025
31.574975,3.673375,26.981775
31.64715,3.71095,27.1677
32.60115,3.759275,27.170675
32.645525,3.790525,27.173725
32.78405,3.8126,27.5168
33.410475,3.87485,27.6068
34.653025,3.91735,27.733175
35.034675,3.97705,28.125725
35.082725,4.028175,28.2282
35.179775,4.10195,28.3212
35.460575,4.1325,28.5016
36.115325,4.162875,28.649625
37.036175,4.18455,28.700275
37.1618,4.2081,29.059475
37.357,4.2315,29.298825
37.6279,4.2601,29.38305
37.704175,4.373125,29.73475
37.88655,4.3888,29.80905
38.1489,4.39935,29.8933
