SPK_SPKC01a (inhi),SPK_SPKC04a (inhi),"SPK_SPKC05a (sharp exc, maybe artef)",SPK_SPKC10a (inhi)
0.030225,0.29385,0.002825,0.269775
0.04155,0.637575,0.02835,0.531475
0.0643,0.6521,0.040075,0.7809
0.090125,0.694625,0.05065,1.475775
0.1057,0.703,0.065825,1.666575
0.141425,1.32535,0.078425,1.864525
0.18875,1.344225,0.100325,2.000475
0.2098,1.64725,0.1312,2.100675
0.265475,2.26715,0.21265,2.3091
0.27655,2.28465,0.221525,3.01545
0.3462,2.3005,0.227125,3.899575
0.4426,2.32735,0.23165,4.031275
0.5956,3.03415,0.23985,4.106375
0.623425,3.042925,0.25895,4.133975
0.66215,3.105275,0.27375,4.164725
0.776625,3.5262,0.352525,4.315975
0.79,4.358225,0.366275,4.3246
1.0482,4.866325,0.385775,4.635175
1.0781,4.878525,0.3946,4.930975
1.128175,4.895225,0.429,5.171475
1.1571,4.899075,0.4515,5.288175
1.1961,4.920375,0.4742,5.4409
1.22215,4.92645,0.65625,5.77515
1.2427,5.17325,0.665625,5.819425
1.26805,5.177725,0.67555,6.09555
1.289475,5.18335,0.68855,6.541475
1.309925,5.2095,0.697025,6.75555
1.3234,5.216175,0.70295,6.8914
1.4525,5.2714,0.726675,7.102025
1.56425,5.288,0.74605,7.115975
1.607575,5.607475,0.7561,7.178175
1.6352,5.63635,1.635975,7.3553
1.7487,5.65005,1.645075,7.71925
1.759625,5.659275,1.654075,7.948025
1.787225,6.021225,1.65825,8.034575
1.972975,6.0326,1.67155,8.21435
2.11205,6.064275,1.6763,8.294725
2.24125,6.09415,1.67805,8.8594
2.280125,6.46625,1.6855,9.0144
2.286475,7.313875,1.69415,9.07555
2.36805,7.966225,1.70295,9.19445
2.46745,7.974325,1.71545,9.925425
2.574375,7.9796,1.722925,10.533975
2.603975,7.986825,1.731575,10.595875
2.62895,7.9947,1.74075,10.617725
2.6583,8.003525,1.74925,11.039825
2.6763,8.007225,1.76115,11.33485
2.791725,8.016625,1.77985,12.73825
2.81135,8.03935,1.8539,13.22475
2.83005,8.21925,1.978425,13.42875
2.8502,8.285025,1.9903,13.487575
2.8916,8.309625,2.008,13.759425
2.931375,8.6281,2.328975,14.2299
2.962075,8.834275,2.34875,14.2747
3.0373,8.94225,2.364525,14.748075
3.054675,9.324525,2.38505,14.794175
3.06345,9.3966,2.4117,14.927925
3.108625,9.5393,2.446125,14.96075
3.162525,9.58735,2.96285,14.99215
3.2527,9.5894,2.980625,15.313875
3.294725,9.74565,2.9896,15.399175
3.364275,9.8607,3.007625,15.582975
3.4858,9.90005,3.02455,16.015325
3.504125,10.0574,3.03935,16.1733
3.53535,10.160325,3.0486,16.280625
3.567125,10.361575,3.058225,17.0245
3.591975,10.369875,3.067825,17.128675
3.6341,10.493175,3.0734,17.2099
3.7466,11.469175,3.0837,17.277225
3.797,11.47255,3.1025,17.53655
3.825,11.7731,3.114875,17.75975
3.845675,11.97975,3.12575,17.7799
3.870875,11.985025,3.137275,17.873675
3.875375,11.997725,3.154125,18.1984
3.928375,12.01335,3.1953,19.01925
3.933725,12.0317,3.2273,19.525925
3.9688,12.23505,3.239625,20.3636
3.9772,12.262725,3.99615,20.40265
4.141425,12.28035,4.0051,20.845225
4.16625,12.532025,4.0142,20.949075
4.207275,12.802125,4.035575,21.015
4.26695,12.8091,4.04895,21.3077
4.27535,12.835125,4.058575,21.33735
4.280325,13.276325,4.101825,21.343075
4.35605,13.298475,4.182625,21.8032
4.4086,13.31555,4.270075,21.873875
4.46475,13.743,4.31205,21.944125
4.480425,13.75455,4.32155,22.093925
4.54565,13.7753,4.330375,22.22805
4.5623,13.785875,4.338275,22.26405
4.582625,13.789725,4.345875,22.3334
4.736325,14.0901,4.3516,22.40535
4.80165,14.4239,4.3572,22.54475
4.824225,14.43505,4.369475,22.7652
4.839425,14.491075,4.379275,23.014
4.8549,14.774425,4.38485,23.028725
4.874,14.812525,4.399675,23.15865
4.963475,14.827525,4.4143,23.3065
5.030175,15.96095,4.43415,23.9694
5.0605,16.070375,4.47055,24.29245
5.0847,16.196775,4.499125,24.46585
5.0998,16.457575,4.5334,24.6442
5.138425,16.6406,4.57225,24.99895
5.151125,16.645975,4.58295,25.3084
5.16035,16.68945,4.606025,25.969125
5.20185,17.1383,4.6775,25.970625
5.2164,17.2107,4.880125,26.6877
5.338525,17.856875,4.904175,26.97795
5.4543,18.8559,4.918275,27.00525
5.6135,20.2502,4.929925,27.4359
5.66035,20.2952,4.937875,27.49585
5.677825,20.31465,4.95305,27.790775
5.74355,20.8708,4.9741,28.04995
5.7672,20.88795,5.1614,28.0938
5.809725,20.926225,5.17605,28.2076
5.868325,20.9493,5.1895,28.33695
5.879775,20.962975,5.20755,28.5875
5.91275,20.982425,5.31145,28.611375
5.9376,21.302775,5.344325,28.7863
5.965575,21.320925,5.3684,28.9967
6.0202,21.403025,5.477475,29.01915
6.032425,21.54855,5.534275,29.314875
6.10815,21.853175,5.957775,29.4266
6.14555,22.211175,5.98925,29.8763
6.160825,22.286425,6.012575,30.40195
6.2416,22.3583,6.027825,31.062125
6.389475,22.375675,6.04995,31.16105
6.393,23.3288,6.086325,31.290275
6.4155,23.380825,6.582875,31.739225
6.419225,23.920175,6.609675,31.76725
6.44355,24.443425,6.644875,32.293425
6.48485,24.451125,7.10195,32.48535
6.561225,24.51105,7.11065,32.526675
6.576075,24.538275,7.12555,32.8074
6.581575,25.467,7.1338,33.0604
6.6047,25.517125,7.143825,33.14435
6.62275,25.89925,7.154425,33.249125
6.6596,25.942725,7.175575,33.516175
6.73875,26.353125,7.187675,33.6864
6.77845,26.362975,7.196675,33.694225
6.854025,26.401475,7.2023,33.734575
7.03365,26.4444,7.216375,33.936825
7.055425,26.497925,7.2273,33.985775
7.1534,26.63405,7.2373,34.27985
7.174325,26.85395,7.246775,34.329425
7.2308,26.915075,7.2558,34.385625
7.240725,27.351675,7.261275,34.427025
7.2834,27.374475,7.27385,35.618675
7.3785,27.39895,7.28265,35.66485
7.412,27.406625,7.290225,36.245225
7.463325,27.413525,7.3125,36.267725
7.47185,27.4279,7.40045,36.273875
7.597325,27.433975,7.40685,36.325425
7.603325,27.48185,7.4283,36.345475
7.608325,27.504525,7.43645,36.611725
7.62025,27.520675,7.449025,36.8286
7.634,27.81245,7.469425,36.99865
7.750425,27.832525,7.4927,37.168975
7.8813,28.087225,7.5135,37.342425
7.991375,28.204975,7.5189,37.373125
8.0392,28.5196,7.60665,37.48575
8.072975,28.572175,7.624175,37.65615
8.207875,28.988425,7.681275,38.22125
8.21365,28.99965,7.694,38.23525
8.27235,29.009225,7.72305,38.2817
8.2964,29.019025,7.735625,38.394375
8.3199,29.618625,7.764325,38.492825
8.376825,29.656175,8.00655,38.534225
8.4116,29.8536,8.034575,38.546325
8.49675,29.885175,8.0691,38.7234
8.558025,30.245225,8.19545,38.7486
8.570775,30.258725,8.21435,39.315225
8.68265,30.288375,8.2232,39.390425
8.75675,30.745375,8.227325,39.96465
8.78855,30.756075,8.235275,40.2886
8.89375,30.774675,8.241575,40.297475
8.90505,30.781875,8.24685,40.332825
8.91475,30.81525,8.257075,40.528875
8.9845,32.431675,8.2958,40.894625
9.096275,32.85275,8.390075,40.9254
9.18405,32.912225,8.40445,41.25145
9.222425,32.9618,8.587175,41.330525
9.38265,33.34905,8.627225,41.36025
9.420075,33.419425,8.829725,41.8783
9.427775,34.66095,8.848525,42.0079
9.4315,34.666125,8.85825,42.183125
9.526075,34.727875,8.877325,42.396
9.5708,34.9222,8.8922,42.82335
9.622225,35.18315,8.901125,43.133925
9.926,36.246825,8.91605,43.357375
9.9543,36.916875,8.930725,43.42265
9.961625,37.3567,8.9916,44.410425
10.02655,37.3801,9.01515,45.0995
10.07825,38.223525,9.0755,45.516725
10.1136,38.2534,9.13455,45.941725
10.167625,38.53945,9.16965,45.97715
10.2277,38.553725,9.175475,46.3345
10.257225,38.58365,9.1944,46.383075
10.3176,38.602425,9.199075,46.4359
10.493525,38.643,9.211025,46.5888
10.5295,38.654,9.2186,46.624425
10.53455,38.74555,9.341425,47.5467
10.548875,38.82005,9.491975,47.6056
10.5868,38.83705,9.537125,48.226925
10.70395,38.905775,9.61935,48.6264
10.758225,38.9312,9.66735,48.709625
10.8085,38.969725,9.68735,48.8828
10.866375,39.1489,9.7672,48.961
10.962775,39.16615,9.808075,49.025025
10.98045,39.1962,9.828975,49.214625
11.11035,39.213,9.841975,49.989775
11.18515,39.232175,9.950275,50.112375
11.253925,39.326,10.047125,50.149675
11.27665,39.3846,10.093575,50.4839
11.3061,39.404375,10.167825,50.50875
11.397025,40.15045,10.28715,50.58505
11.51375,40.158525,10.433625,50.919225
11.543875,40.191975,10.456825,51.80625
11.78225,40.2324,10.482775,52.0764
11.824825,40.25205,10.50145,52.17615
11.828525,40.2836,10.524025,52.28865
11.848425,40.3226,10.8814,52.304
11.88145,40.360275,10.98235,52.589725
12.0081,40.630125,11.140025,52.912675
12.067,40.65155,11.298825,52.944075
12.0847,40.908575,11.339825,53.04485
