SPK_SPKC04a (inhi),SPK_SPKC06a (inhi),SPK_SPKC09a (late exc),SPK_SPKC10a (exc),SPK_SPKC11a (inhi),SPK_SPKC11b (inhi),SPK_SPKC15a (inhi)
40.0399,40.020025,40.034325,40.041775,40.01735,40.0082,40.13615
40.0892,40.0738,40.048625,40.105275,40.063125,40.0315,40.206125
40.157925,40.138375,40.0682,40.137275,40.0952,40.04975,40.3304
40.197975,40.188875,40.09125,40.1668,40.140775,40.062075,40.523525
40.218225,40.2034,40.126175,40.400125,40.1462,40.0845,40.59145
40.232475,40.21165,40.147775,40.42845,40.156125,40.0904,40.735075
40.243925,40.2185,40.19545,40.601225,40.197625,40.127975,40.8042
40.261325,40.227275,40.199925,40.627275,40.237075,40.21525,40.86275
40.30295,40.241975,40.211075,40.698175,40.25675,40.247975,41.008325
40.335575,40.243575,40.217875,40.84305,40.2797,40.26845,41.076925
40.4452,40.252775,40.239475,40.8756,40.3174,40.276875,41.214125
40.4639,40.265375,40.250125,40.9707,40.365775,40.285475,41.2766
40.494525,40.2822,40.264825,41.025925,40.376375,40.3131,41.348975
40.5278,40.301475,40.279625,41.08855,40.40225,40.324825,41.410325
40.579525,40.3094,40.30405,41.348675,40.4437,40.347475,41.4869
40.608125,40.32415,40.32115,41.41035,40.492025,40.354025,41.6021
40.63035,40.33595,40.337525,41.551225,40.5189,40.369425,41.687125
40.65965,40.344225,40.362675,41.64625,40.59425,40.3868,41.758625
40.69555,40.353375,40.38515,41.827775,40.6277,40.4091,41.88055
40.741975,40.36875,40.400875,41.838525,40.64215,40.42625,41.9321
40.791525,40.3821,40.406525,41.968325,40.672375,40.445025,41.95745
40.817775,40.3893,40.41905,42.0742,40.691075,40.46645,42.02955
40.8668,40.404475,40.431,42.0965,40.780625,40.482725,42.091325
40.89075,40.43635,40.444025,42.423175,40.9826,40.51135,42.14955
40.932475,40.4596,40.469675,42.592925,40.990025,40.5254,42.233725
40.974475,40.4799,40.478475,42.638,41.070075,40.548225,42.29825
41.020425,40.49975,40.486,42.68725,41.1001,40.561275,42.37005
41.044,40.51475,40.561225,42.716525,41.113825,40.576375,42.434475
41.09015,40.535775,40.580425,42.767975,41.159925,40.592875,42.6291
41.15005,40.545,40.59425,43.148675,41.211975,40.599625,42.700975
41.201375,40.558725,40.621225,43.238275,41.265275,40.637225,42.758875
41.2525,40.567625,40.635525,43.241525,41.33905,40.649175,42.8165
41.305275,40.57845,40.659375,43.31045,41.3528,40.665175,42.89905
41.36535,40.596425,40.676175,43.347475,41.378525,40.67745,42.981
41.414325,40.6026,40.692375,43.600525,41.385525,40.681875,43.0939
41.50425,40.613725,40.707225,43.6682,41.400375,40.68795,43.1535
41.5231,40.660075,40.734525,43.9537,41.41685,40.698525,43.221575
41.591025,40.67225,40.749875,43.9828,41.43605,40.724525,43.282975
41.62825,40.6833,40.774825,44.223325,41.466775,40.7372,43.34195
41.669775,40.70325,40.792825,44.248,41.57675,40.760875,43.412175
41.7464,40.71965,40.80195,44.27855,41.600775,40.8046,43.532225
41.7944,40.74505,40.809275,44.323575,41.626675,40.851725,43.589725
41.82245,40.76015,40.815,44.32895,41.67375,40.871575,43.649825
41.856225,40.78565,40.83495,44.37925,41.700625,40.904325,43.7742
41.8939,40.8021,40.8524,44.656025,41.85665,40.914225,43.826475
41.931875,40.81965,40.877325,44.69965,41.90575,40.9278,43.88675
41.959075,40.83385,40.91155,44.7468,41.959625,40.938225,44.004375
42.007275,40.868575,40.950425,44.804775,42.000175,40.9493,44.05735
42.03515,40.8822,40.9774,45.05395,42.023225,40.962075,44.13055
42.109225,40.8986,40.99575,45.153275,42.08855,40.9768,44.257725
42.170725,40.9141,41.04725,45.419825,42.222725,40.986225,44.388875
42.203925,40.939375,41.053975,45.47295,42.266975,40.99545,44.45045
42.2241,40.9528,41.07485,45.4952,42.276375,41.006275,44.5195
42.2405,40.966225,41.094775,45.756275,42.29095,41.016225,44.576775
42.2582,40.98095,41.104175,45.799425,42.300125,41.034675,44.68545
42.290375,41.018525,41.124675,45.822475,42.32755,41.043175,44.753625
42.308325,41.0355,41.14255,46.14765,42.34905,41.0584,44.820775
42.335675,41.05095,41.16575,46.171675,42.356875,41.077625,44.883275
42.362075,41.06645,41.175725,46.201575,42.373,41.095625,44.951175
42.38795,41.0825,41.19495,46.434425,42.39985,41.10695,45.004175
42.413725,41.09915,41.2182,46.542675,42.407675,41.123725,45.0519
42.4367,41.108625,41.232825,46.597925,42.49365,41.1385,45.060825
42.465375,41.1209,41.269975,46.8607,42.5316,41.148725,45.14045
42.532,41.135125,41.303225,47.033275,42.554425,41.163375,45.22465
42.554675,41.156875,41.343925,47.116925,42.6014,41.1827,45.3478
42.561725,41.17995,41.358675,47.38445,42.704075,41.20655,45.410775
42.586375,41.192825,41.3781,47.429775,42.76885,41.2189,45.465225
42.613775,41.21025,41.39985,47.6659,42.858675,41.2453,45.534725
42.6564,41.223175,41.416175,47.847425,42.9024,41.254975,45.60285
42.7816,41.251075,41.44145,47.909,42.9885,41.268975,45.664875
42.8146,41.264475,41.45735,47.94205,43.00945,41.278375,45.722675
42.841375,41.28995,41.469225,47.961,43.069775,41.298975,45.786725
42.85715,41.302425,41.4961,48.020425,43.086475,41.30855,45.858725
42.884175,41.3143,41.5117,48.086525,43.101875,41.316475,45.918675
42.935,41.335475,41.54725,48.348075,43.146375,41.3252,45.977675
42.98055,41.363925,41.587625,48.400475,43.16025,41.33805,46.0452
43.01265,41.371125,41.60985,48.46635,43.17265,41.358225,46.1318
43.0428,41.380075,41.636125,48.531475,43.20235,41.380675,46.338075
43.088375,41.3905,41.646875,48.56455,43.22225,41.39895,46.4933
43.148675,41.40475,41.6665,48.848325,43.240925,41.4198,46.5723
43.190975,41.423175,41.6787,48.875325,43.2585,41.430925,46.647
43.231175,41.435625,41.6952,48.892575,43.304625,41.47325,46.724325
43.2558,41.449325,41.709625,49.370125,43.3429,41.48355,46.784425
43.339375,41.468125,41.731225,49.399375,43.347225,41.504575,46.8559
43.38415,41.485275,41.7509,49.420325,43.359025,41.51965,46.9319
43.4656,41.509675,41.76495,49.50615,43.399825,41.53835,47.0036
43.508775,41.5303,41.789325,49.565025,43.41385,41.552175,47.1457
43.543,41.543275,41.808375,49.9105,43.434975,41.5606,47.21375
43.649075,41.5595,41.827825,49.997775,43.452525,41.59675,47.271525
43.7369,41.57545,41.84065,50.0135,43.5023,41.6184,47.33345
43.76095,41.600025,41.852525,50.079,43.5222,41.698675,47.417725
43.795775,41.628725,41.85705,50.116875,43.5421,41.729025,47.4885
43.813725,41.6713,41.878225,50.165325,43.555475,41.84835,47.547225
43.826,41.708275,41.960925,50.3896,43.5945,41.8657,47.6966
43.84975,41.733575,41.985825,50.44685,43.629525,41.875025,47.7633
43.86735,41.78775,41.997775,50.46345,43.647625,41.883825,47.8291
43.89435,41.8195,42.008225,50.509275,43.671875,41.893425,47.901475
43.926875,41.86235,42.025425,50.551475,43.7071,41.90475,47.970625
43.969675,41.8778,42.058225,50.8127,43.726025,41.911425,47.991
43.993325,41.89855,42.076825,50.817475,43.754775,41.94485,48.03695
44.016175,41.912825,42.099825,50.8745,43.7721,41.95245,48.1085
44.0441,41.93035,42.112025,50.902925,43.782175,41.96645,48.12965
44.118925,41.943725,42.11405,50.944675,43.789475,41.975925,48.172975
44.151975,41.957425,42.135875,51.198475,43.848775,41.9832,48.3229
44.1925,41.968525,42.160025,51.2806,43.860275,42.00875,48.382225
44.243325,41.98445,42.17955,51.306375,43.9321,42.016725,48.44265
44.2881,42.000225,42.19155,51.627175,43.97115,42.031525,48.515875
44.380975,42.01055,42.205325,51.68345,43.9843,42.04865,48.571075
44.435,42.0249,42.22475,51.709075,44.001775,42.0738,48.628325
44.46295,42.044475,42.254775,51.79965,44.01995,42.09115,48.695825
44.4938,42.07665,42.279575,52.0485,44.04515,42.1592,48.7459
44.51885,42.093225,42.29115,52.1017,44.0769,42.171575,48.964125
44.5528,42.119175,42.31375,52.52595,44.107075,42.21535,49.019225
44.59325,42.140175,42.329325,52.560225,44.1633,42.22835,49.081375
44.634225,42.15875,42.34795,52.95995,44.17825,42.23925,49.14605
44.66375,42.1933,42.381025,53.03735,44.187875,42.247625,49.2085
44.7126,42.2246,42.3889,53.132975,44.196125,42.2557,49.27255
44.77715,42.239825,42.407575,53.16435,44.21445,42.263525,49.381525
44.86615,42.257275,42.44015,53.200675,44.226825,42.273025,49.434075
44.91865,42.2752,42.45465,53.296125,44.25255,42.278875,49.49245
44.9422,42.287075,42.4631,53.640725,44.2698,42.2892,49.551025
45.0135,42.30965,42.501125,53.7068,44.300325,42.29725,49.600375
45.047475,42.325625,42.522275,53.75825,44.3408,42.306125,49.653325
45.0898,42.340575,42.541175,53.809475,44.34965,42.311175,49.830025
45.1248,42.35725,42.581925,54.054925,44.397575,42.319325,49.89245
45.1703,42.370875,42.6032,54.085275,44.411625,42.33145,49.955275
45.20255,42.384325,42.6246,54.113475,44.423725,42.33905,50.029325
45.2308,42.40145,42.661625,54.1991,44.4787,42.361825,50.08655
45.2636,42.435075,42.68035,54.5497,44.49965,42.382425,50.1501
45.2804,42.4521,42.7149,54.672175,44.5128,42.428425,50.26955
45.302425,42.4687,42.728475,54.711125,44.527275,42.442325,50.3279
45.39665,42.4884,42.7624,54.754075,44.563025,42.458325,50.395
45.4284,42.521275,42.7848,55.117025,44.60405,42.4707,50.510575
45.4734,42.551125,42.82045,55.222975,44.65035,42.481,50.568525
45.508175,42.56895,42.839675,55.2491,44.67715,42.486225,50.6232
45.53745,42.589825,42.85445,55.460025,44.686425,42.502925,50.678175
45.560425,42.60455,42.891525,55.4838,44.716525,42.51225,50.754675
45.5904,42.6192,42.9284,55.772725,44.724725,42.524975,50.820725
45.62375,42.6373,42.94205,55.9202,44.7634,42.5362,50.879275
45.6986,42.676475,42.964925,55.961375,44.805575,42.545225,50.949675
45.796025,42.8076,42.999825,56.002325,44.819875,42.552625,51.02405
45.8408,42.8438,43.016,56.0327,44.8488,42.569075,51.0887
45.875825,42.86755,43.021075,56.3042,44.8784,42.591325,51.1542
45.90675,42.900475,43.0389,56.359225,44.883875,42.600225,51.216075
45.92845,42.919625,43.047625,56.72165,44.893025,42.611525,51.2748
45.96395,42.93345,43.056125,56.7799,44.9208,42.624775,51.3402
45.9746,42.951475,43.0841,56.850675,44.9379,42.6429,51.39185
46.007525,42.97795,43.1081,56.90025,44.977475,42.65765,51.4645
46.034925,42.9933,43.132025,57.1141,44.9918,42.73615,51.5303
46.0895,43.011025,43.138625,57.153225,45.012975,42.7495,51.59565
46.12775,43.02165,43.162225,57.190625,45.0323,42.85045,51.667725
46.169325,43.047225,43.183175,57.236575,45.05415,42.864225,51.7355
46.2497,43.061375,43.198525,57.302025,45.077225,42.874325,51.802725
46.26565,43.08035,43.215975,57.665425,45.1075,42.880625,51.867675
46.280825,43.09625,43.224575,57.8727,45.129625,42.894325,51.9743
46.297925,43.138275,43.250475,58.137125,45.197025,42.911075,52.045275
46.336375,43.208675,43.27065,58.2318,45.205025,42.922375,52.1008
46.3526,43.22995,43.278475,58.347675,45.22035,42.9402,52.214975
46.37,43.2466,43.296375,58.405725,45.239275,42.947925,52.270375
46.383725,43.2693,43.314325,58.468375,45.2721,42.96065,52.32945
46.401175,43.2848,43.3345,58.49325,45.29525,42.9719,52.390925
46.434275,43.29925,43.354075,58.516625,45.301325,42.97795,52.457975
46.45155,43.31605,43.366325,58.63875,45.337375,42.994,52.527825
46.473,43.331925,43.377775,58.823675,45.353725,43.00625,52.646325
46.494975,43.3478,43.40885,58.95895,45.3631,43.0193,52.70065
46.5224,43.36485,43.436,59.08385,45.374675,43.032825,52.754
46.5469,43.3756,43.4561,59.27465,45.391175,43.05565,52.822825
46.592825,43.392925,43.48675,59.308825,45.421475,43.06305,52.9496
46.61615,43.416425,43.504525,59.337075,45.4439,43.08415,53.0117
46.643075,43.459525,43.542575,59.3973,45.4848,43.09725,53.068975
46.679775,43.480875,43.5611,59.60675,45.5302,43.111825,53.120475
46.7521,43.497075,43.644725,59.74965,45.540375,43.1233,53.1774
46.79015,43.511875,43.6669,59.797975,45.580475,43.134,53.3668
46.82835,43.52985,43.693975,59.8297,45.592225,43.15185,53.42125
46.88185,43.551025,43.707625,59.851575,45.605025,43.15605,53.49685
46.91715,43.566075,43.723075,59.88745,45.62335,43.166575,53.565475
46.9339,43.5818,43.725075,60.194425,45.647925,43.1815,53.614375
46.952275,43.60295,43.73435,60.2168,45.67225,43.18695,53.66815
46.967075,43.651375,43.74575,60.28325,45.703075,43.201075,53.73275
47.0059,43.68125,43.7565,60.313225,45.74685,43.2121,53.788375
