SPK_SPKC01a (no clear),SPK_SPKC02b (exc),SPK_SPKC07a (exc),SPK_SPKC09c (inhi),SPK_SPKC12b (exc),SPK_SPKC14a (exc),SPK_SPKC15a (inhi/exc),SPK_SPKC16a (inhi/exc?)
350.02755,350.090325,350.00085,350.00455,350.0473,350.0575,350.05915,350.12455
350.05345,350.3983,350.09405,350.02805,350.16975,350.0871,350.2114,350.136175
350.0607,350.578575,350.515075,350.043575,350.257275,350.093775,350.28455,350.307725
350.082325,350.625375,350.591225,350.060725,350.29775,350.100575,350.35805,350.343375
350.105825,351.156875,350.6653,350.0811,350.396775,350.171575,350.420875,350.5529
350.139325,351.355175,350.7065,350.100225,350.5882,350.2174,350.48705,350.585475
350.171025,351.437975,351.170925,350.13085,350.72035,350.236625,350.557075,350.765325
350.21075,351.5605,351.79975,350.148625,350.81915,350.26515,350.686325,350.857075
350.34935,351.5923,352.172375,350.187425,350.855975,350.306825,350.75695,351.228075
350.380575,351.71435,352.1963,350.20955,350.924375,350.35055,350.8114,351.345
350.43985,352.198075,352.26305,350.2262,351.026225,350.385,350.867175,351.534675
350.50205,352.264975,352.63385,350.2534,351.0606,350.408625,350.932,351.615075
350.536425,352.327975,352.818675,350.279575,351.193575,350.4456,351.073175,352.03125
350.568725,352.592475,352.833475,350.299825,351.246925,350.481725,351.1343,352.0354
350.594025,352.794125,352.8526,350.325425,351.37565,350.5039,351.193425,352.2541
350.60995,352.85025,352.85805,350.34935,351.54225,350.557375,351.3292,352.302475
350.61935,352.947625,352.873425,350.363025,351.935925,350.576,351.39465,352.3369
350.641,353.0404,352.87585,350.38275,352.08465,350.624525,351.46935,352.3587
350.67185,353.238325,352.902925,350.4041,352.225275,350.683025,351.561625,352.741775
350.681275,353.3091,352.937725,350.43415,352.228325,350.696075,351.62315,352.824875
350.6832,353.360125,352.945375,350.45895,352.274425,350.79105,351.68915,352.893425
350.694625,353.4217,352.98845,350.4781,352.30225,350.8141,351.76525,353.013025
350.723125,353.579075,353.305675,350.49955,352.34185,350.847725,351.84165,353.0483
350.845175,353.831925,353.350325,350.5318,352.371,350.898225,351.908175,353.13905
350.872125,354.053225,353.65875,350.56695,352.56655,350.954125,351.96875,353.157725
350.9245,354.092975,353.81785,350.568725,352.7239,350.990525,352.107025,353.235425
350.95895,354.158625,354.02995,350.577775,352.74945,351.0293,352.174925,353.39985
351.019475,354.177975,354.06075,350.609925,352.9986,351.05355,352.24635,353.703775
351.0589,354.237725,354.12495,350.6255,353.237875,351.11805,352.3249,354.038675
351.09685,354.289525,354.14635,350.630525,353.356675,351.14975,352.3823,354.09655
351.13845,354.331675,354.1608,350.64855,353.41325,351.2131,352.464775,354.1138
351.18465,354.379075,354.169625,350.671825,353.7095,351.23995,352.55045,354.124575
351.20915,354.417375,354.180725,350.687425,353.782675,351.27905,352.636425,354.1491
351.24755,354.456025,354.218225,350.713675,353.918575,351.331375,352.709025,354.293375
351.2822,354.53655,354.291475,350.737525,353.9628,351.357075,352.930275,354.303975
351.32665,354.612275,354.337225,350.755275,354.2535,351.3797,352.998725,354.31045
351.365175,354.830975,354.39055,350.7687,354.316675,351.40945,353.0763,354.5711
351.4056,354.97075,354.392225,350.79025,354.57675,351.430125,353.144425,354.66375
351.474925,355.029375,354.42395,350.81165,354.621875,351.46945,353.215775,354.962375
351.4971,355.066975,354.450175,350.8372,354.7053,351.513175,353.285425,354.99325
