SPK_SPKC08a (inh/exc),SPK_SPKC08b (inhi/exc),SPK_SPKC10a (inhi),SPK_SPKC14a (inhi)
60.141375,61.849075,64.070225,64.07095
60.2635,63.813225,64.6581,64.2323
60.485975,64.731475,67.94945,64.6657
60.575925,65.408725,69.726125,71.212725
60.724125,66.011,70.2467,76.709125
60.7809,66.98575,70.96285,77.160425
61.1141,68.44495,71.70565,79.29585
61.320175,68.5929,71.9173,82.42105
61.42855,69.8637,72.410125,88.362625
61.744825,69.914225,72.531025,89.92505
61.7619,69.9732,76.15425,91.4663
61.838925,70.175475,76.268375,94.260625
61.86085,70.243575,76.91535,94.7457
61.943075,71.258525,77.157125,97.504325
61.980625,71.29745,77.28395,97.8001
62.0161,71.61205,77.498875,97.837775
62.0863,71.7319,77.682525,97.8813
62.10355,72.823025,77.69195,98.118425
62.380075,73.4736,77.774725,98.302775
62.52765,73.98515,77.797475,98.726025
62.545625,74.504975,77.9264,98.823325
62.5636,74.543475,79.759675,99.221
62.854725,75.30035,80.238625,99.321075
63.089375,75.80525,80.3031,100.17575
63.6679,75.9348,80.377375,100.3436
63.85505,76.03325,82.254375,100.583175
63.9955,76.0922,83.02095,100.796925
64.073425,76.215175,83.038425,101.27695
64.097425,76.384075,83.24355,101.472425
64.1275,76.898625,83.6638,102.2932
64.2487,77.181725,84.5454,103.350275
64.258425,77.2392,84.8771,103.585475
64.66555,77.2911,85.4474,103.795875
64.834975,77.428225,85.4823,105.0934
64.869825,79.3179,85.930725,105.57495
64.912675,79.6162,86.26265,106.050675
64.9403,79.6965,86.34405,106.367425
64.952125,80.322475,86.45995,107.681275
65.015625,80.595925,86.535175,108.236775
65.017675,80.9629,86.599125,108.2858
65.061375,81.325775,86.836225,108.749525
65.1442,81.363475,86.869225,108.898075
65.16145,81.74795,87.111425,108.98875
65.182325,81.80745,87.304775,109.005875
65.23345,81.909525,87.793275,109.477675
65.45925,82.06125,88.155975,110.145725
65.74195,82.3126,88.399325,110.1848
65.839575,82.411425,88.8595,110.616675
65.931525,82.435625,89.05015,110.699125
66.2468,82.539425,89.2094,110.847075
67.0721,82.59065,89.2337,110.978775
67.078525,82.771725,89.338225,111.232775
67.115675,83.256925,89.627875,111.891625
67.99645,83.460875,89.6983,112.2739
68.049975,83.49845,90.964925,112.505175
68.2171,83.7603,91.29485,113.59945
68.87115,84.214075,91.365125,113.62995
69.15205,84.274775,91.4516,113.6827
69.4691,84.788275,91.884025,114.33765
69.846275,84.823225,92.107525,114.53315
69.99365,85.02435,92.297025,114.683125
70.057575,85.1952,92.635725,114.98715
70.0635,85.532475,93.293275,115.0083
70.1389,85.817225,93.48675,115.5899
70.161025,86.122825,93.601525,115.88995
70.1926,86.3438,94.0302,116.037325
70.223075,86.510575,94.169825,116.76445
70.236925,86.629775,94.511875,117.159
70.25145,86.74695,94.63985,117.26295
70.304675,86.7959,94.775125,117.3693
70.36615,86.99955,94.833825,118.043175
70.435725,87.062075,94.861075,118.27205
70.48315,87.10725,95.51755,118.7965
70.52285,87.163875,95.57825,118.94215
70.63465,87.22735,95.728875,119.0175
70.7275,87.346725,96.1032,119.10865
70.742675,87.55665,96.2966,119.1755
70.77765,87.6118,96.4769,119.5004
70.799675,87.807175,96.507,119.70925
70.957525,88.330175,96.548325,119.79955
71.147775,88.433775,96.60265,119.924075
71.167375,88.528725,96.632925,120.3349
71.269775,88.659175,96.6781,120.37205
71.4038,88.753875,96.70945,120.414175
71.87705,88.901625,96.75105,120.50085
72.506975,89.109575,96.778425,120.66005
72.703375,89.412725,96.8087,120.9595
