SPK_SPKC05c (inhi),SPK_SPKC08a (no opto-tagging),SPK_SPKC09a (no response),SPK_SPKC13a (exc)
250.02935,250.012975,250.00285,250.0338
250.17735,250.062225,250.012875,250.052225
250.259625,250.0912,250.02415,250.066225
250.4133,250.10855,250.07305,250.081075
250.428725,250.149025,250.09715,250.0976
250.645225,250.2331,250.10565,250.122725
250.7052,250.259325,250.13975,250.13635
250.728225,250.299975,250.1856,250.18215
250.834125,250.334575,250.189675,250.215475
250.877325,250.34275,250.208475,250.24185
250.9712,250.352925,250.21955,250.251125
250.9986,250.3669,250.300725,250.2693
251.020125,250.4491,250.374725,250.46085
251.37485,250.48235,250.3766,250.584575
251.3901,250.521125,250.38355,250.6582
251.409225,250.55705,250.408825,250.6766
251.420175,250.5829,250.53065,250.69635
251.43075,250.654725,250.57465,250.70645
251.4728,250.7031,250.673425,250.71565
251.49955,250.815975,250.85875,250.80615
251.505625,250.842225,250.868125,250.890225
251.6999,250.860525,250.894525,250.966675
251.8311,251.0611,251.0966,251.0231
251.882625,251.255875,251.150125,251.037525
251.9864,251.2736,251.2125,251.132325
252.1865,251.40345,251.232425,251.155025
252.51325,251.434375,251.23825,251.2265
252.56995,251.5099,251.2851,251.249325
252.691975,251.533475,251.3111,251.2713
252.767375,251.614225,251.392625,251.324025
252.8808,251.672025,251.5767,251.343475
253.057225,251.8332,251.7,251.38875
253.17405,251.876475,251.737475,251.4131
253.26415,251.919075,251.779125,251.440375
253.330075,252.025225,251.908975,251.44325
253.343575,252.037325,252.041075,251.478
253.49095,252.040575,252.15695,251.516725
253.51485,252.10495,252.211825,251.565475
253.5499,252.14945,252.31715,251.58225
253.586275,252.16155,252.380675,251.589225
253.60815,252.19845,252.45965,251.66575
253.70895,252.270625,252.490625,251.7121
253.82365,252.301075,252.740475,251.740575
253.89005,252.32095,252.79025,251.762725
253.899025,252.3872,252.82725,251.82085
254.0413,252.39035,252.9289,251.86375
254.215575,252.418275,252.935725,251.888275
254.26075,252.5777,252.940325,252.0433
254.390925,252.652625,252.9513,252.076825
254.51375,252.722025,252.96045,252.102925
254.641575,252.723275,253.03075,252.193875
254.777025,252.75935,253.0636,252.247825
254.915325,252.805275,253.134375,252.24895
254.966825,252.816875,253.219125,252.301425
255.092425,252.993525,253.26275,252.334975
255.113675,253.028625,253.418325,252.4187
255.187925,253.064825,253.434075,252.460825
255.263675,253.06855,253.459825,252.562175
255.268375,253.12595,253.4707,252.61695
255.2872,253.1599,253.48345,252.78835
255.288375,253.25405,253.512675,252.7949
255.420025,253.351825,253.5274,252.8106
255.562775,253.3804,253.5407,252.819625
255.647775,253.408,253.56575,252.9204
255.763025,253.4444,253.587325,252.945875
255.793275,253.56055,253.634,253.03635
255.84475,253.588075,253.6636,253.11605
256.373325,253.592025,253.703,253.1248
256.406525,253.619925,253.7355,253.21575
256.57455,253.641175,253.75805,253.277625
256.627675,253.676325,253.823775,253.309
256.653725,253.69415,253.841325,253.3963
256.680875,253.72155,253.9186,253.399625
256.832675,253.735675,253.9335,253.402925
256.875525,253.760125,253.962025,253.470025
257.238575,253.7997,254.052275,253.48015
257.689775,253.8453,254.229675,253.495575
257.719925,253.9035,254.402275,253.5584
257.86175,253.91705,254.6873,253.561825
258.00475,254.04235,254.8145,253.575375
258.019475,254.145575,254.852625,253.650175
258.04025,254.19675,254.8813,253.683775
258.051375,254.220475,254.894275,253.70795
258.1498,254.221875,254.9019,253.793425
258.23625,254.22785,254.91015,253.908325
258.27415,254.2769,254.948775,254.11335
258.328925,254.29775,254.981675,254.172725
258.356925,254.3239,255.06845,254.23335
258.3983,254.3519,255.125825,254.244625
258.456675,254.3733,255.1633,254.2879
258.46425,254.3938,255.251875,254.294975
258.484175,254.47105,255.2727,254.418525
258.58975,254.49465,255.284275,254.52855
258.598825,254.53435,255.299525,254.531725
258.7579,254.5643,255.31635,254.55325
258.861975,254.6237,255.3445,254.63395
258.981825,254.721375,255.373525,254.666275
259.039875,254.745575,255.45505,254.7022
259.0599,254.8833,255.625275,254.74385
259.128525,254.956125,255.7177,254.85355
259.14375,254.9858,255.8363,254.88735
259.203,255.1548,255.8992,254.9407
259.377275,255.166775,255.918975,255.07645
259.40275,255.2128,255.954075,255.1037
259.485775,255.2435,255.97435,255.1465
259.57055,255.2449,256.118975,255.171325
259.5892,255.27385,256.235425,255.172725
259.615025,255.368725,256.309275,255.2236
259.7129,255.4034,256.711675,255.3292
259.723325,255.421925,256.74465,255.3845
259.755525,255.541375,256.82235,255.397825
259.7973,255.57,256.965825,255.498175
259.854975,255.61465,257.010825,255.620725
259.934875,255.68,257.083425,255.62245
259.960575,255.71545,257.21,255.65615
260.171825,255.738525,257.2317,255.7004
260.201875,255.771725,257.2388,255.7243
260.2261,255.812375,257.2492,255.75675
260.34955,255.82235,257.254275,255.779125
260.374675,255.848975,257.275925,255.7982
260.6245,255.8985,257.28455,255.801125
