SPK_SPKC02a,SPK_SPKC05a
2500.09835,2500.053025
2500.126625,2500.098325
2500.2165,2500.126575
2500.251325,2500.143625
2500.2734,2500.18335
2500.31975,2500.2513
2500.3373,2500.319725
2500.374775,2500.355275
2500.386125,2500.374725
2500.4116,2500.41155
2500.4459,2500.445875
2500.473225,2500.473175
2500.5791,2500.503
2500.6082,2500.555075
2500.631275,2500.63125
2500.65185,2500.6518
2500.712725,2500.712675
2500.775375,2500.775325
2500.823475,2500.823425
2500.834875,2500.834825
2500.875075,2500.8557
2500.90265,2500.875025
2500.936175,2500.9026
2500.9567,2500.936125
2500.986075,2500.956625
2501.04365,2501.006075
2501.078625,2501.043625
2501.127425,2501.078575
2501.15855,2501.1274
2501.228725,2501.1585
2501.248525,2501.266825
2501.266875,2501.340825
2501.340875,2501.3757
2501.375725,2501.405925
2501.405975,2501.421125
2501.45335,2501.4533
2501.486175,2501.486125
2501.517,2501.51695
2501.54115,2501.5411
2501.56365,2501.5636
2501.611125,2501.65495
2501.655,2501.681375
2501.681425,2501.749525
2501.717175,2501.777325
2501.749525,2501.8331
2501.77735,2501.87695
2501.7959,2501.945075
2501.83315,2501.994225
2501.876975,2502.034675
2501.945125,2502.060525
2501.99425,2502.15835
2502.034725,2502.17915
2502.09505,2502.202925
2502.1584,2502.24385
2502.179175,2502.3915
2502.202975,2502.461375
2502.243875,2502.493
2502.2822,2502.51
2502.33325,2502.523425
2502.37025,2502.5911
2502.39155,2502.632325
2502.461425,2502.66795
2502.49305,2502.68955
2502.510075,2502.711175
2502.523475,2502.74745
2502.591125,2502.77545
2502.63235,2502.8337
2502.64035,2502.855775
2502.668,2502.8712
2502.6896,2502.913975
2502.7112,2502.947425
2502.747475,2503.07735
2502.775475,2503.105125
2502.83375,2503.1437
2502.87125,2503.1721
2502.914025,2503.204175
2502.94745,2503.231175
2502.9675,2503.26975
2503.0045,2503.3232
2503.058025,2503.379425
2503.077375,2503.4089
2503.105175,2503.448425
2503.143725,2503.46275
2503.2042,2503.498
2503.2312,2503.51295
2503.2698,2503.541925
2503.2851,2503.56205
2503.323225,2503.590925
2503.356725,2503.61305
2503.379475,2503.634325
2503.40895,2503.716225
2503.4339,2503.7311
2503.448475,2503.775225
2503.4628,2503.81125
2503.49805,2503.8294
2503.512975,2503.85715
2503.54195,2503.876975
2503.562075,2503.9315
2503.590975,2503.9669
2503.613075,2503.9985
2503.651525,2504.03895
2503.716275,2504.07965
2503.775275,2504.142325
2503.8113,2504.195275
2503.857175,2504.228675
2503.877025,2504.2885
2503.898875,2504.34965
2503.93155,2504.379525
2503.96695,2504.445725
2503.99855,2504.487375
2504.0797,2504.51195
2504.10525,2504.546125
2504.14235,2504.575025
2504.195325,2504.617925
2504.2287,2504.661375
2504.25685,2504.716825
2504.288525,2504.78375
2504.349675,2504.801875
2504.37955,2504.856075
2504.404525,2504.890375
2504.44575,2504.927725
2504.4874,2504.959625
2504.511975,2504.968875
2504.546175,2504.98295
2504.57505,2505.0197
2504.617975,2505.0569
2504.64095,2505.08085
2504.661425,2505.100575
2504.71685,2505.152775
2504.7838,2505.185175
2504.801925,2505.244225
2504.92775,2505.27035
2504.959675,2505.292825
2504.983,2505.378025
2505.01975,2505.429025
2505.080925,2505.486375
2505.100625,2505.515825
2505.1528,2505.5687
2505.185225,2505.5985
2505.2,2505.63395
2505.244275,2505.66255
2505.2704,2505.7123
2505.292875,2505.77525
2505.3227,2505.8161
2505.340275,2505.845
2505.378075,2505.932625
2505.406525,2505.971325
2505.42905,2505.99485
2505.515875,2506.036775
2505.56875,2506.056175
2505.59855,2506.1066
2505.633975,2506.1569
2505.662575,2506.177025
2505.71235,2506.23025
2505.74735,2506.3097
2505.775275,2506.327325
2505.81615,2506.39195
2505.84505,2506.4325
2505.8666,2506.469
2505.883225,2506.4938
2505.932675,2506.5361
2505.97135,2506.616
2505.9949,2506.643675
2506.036825,2506.7104
2506.056225,2506.7388
2506.0632,2506.8008
2506.106625,2506.831975
2506.156925,2506.94155
2506.177075,2506.988
2506.210575,2507.0364
2506.30975,2507.10725
2506.327375,2507.13965
2506.392,2507.19855
2506.43255,2507.234625
2506.46905,2507.259525
2506.536125,2507.273375
2506.594725,2507.31835
2506.616025,2507.3425
2506.643725,2507.38305
2506.71045,2507.461675
2506.73885,2507.51075
2506.80085,2507.53395
2506.832025,2507.6106
2506.867725,2507.6384
2506.941575,2507.69465
2506.98805,2507.730275
2507.067225,2507.796625
2507.1073,2507.8519
2507.139675,2507.87625
2507.198575,2507.92225
2507.23465,2507.965025
2507.25955,2508.0186
2507.273425,2508.06125
2507.34255,2508.07935
2507.3831,2508.107775
2507.4251,2508.20115
2507.4617,2508.233225
2507.5108,2508.237175
2507.534,2508.276125
2507.566875,2508.29245
2507.6947,2508.37935
2507.763275,2508.410275
2507.796675,2508.43325
2507.85195,2508.4593
2507.8763,2508.47595
2507.9223,2508.49215
2507.9961,2508.564175
2508.01865,2508.577125
2508.0613,2508.595875
2508.0794,2508.632425
2508.1078,2508.728575
2508.1495,2508.75815
2508.2012,2508.796625
2508.233275,2508.847575
2508.2477,2508.8635
2508.27615,2508.87975
2508.2925,2508.931675
2508.343075,2508.96905
2508.379425,2508.990025
2508.410325,2509.033225
2508.459375,2509.084125
2508.476,2509.1312
2508.492175,2509.1465
2508.54905,2509.2179
2508.564225,2509.25735
2508.63245,2509.274325
2508.673125,2509.316225
2508.796675,2509.341325
2508.847625,2509.361875
2508.8798,2509.380875
2508.91285,2509.41155
2508.931725,2509.451575
2508.99005,2509.49125
2509.006175,2509.50465
2509.033275,2509.55985
2509.084175,2509.60975
2509.13125,2509.63195
2509.14655,2509.64345
2509.1638,2509.66865
2509.21795,2509.69795
2509.220425,2509.775775
2509.2574,2509.803225
2509.27435,2509.83135
2509.31625,2509.9361
2509.341375,2509.970225
2509.361925,2510.01255
2509.380925,2510.0304
2509.4116,2510.0662
2509.451625,2510.09595
2509.5486,2510.12405
2509.559875,2510.13885
2509.631975,2510.162975
2509.6435,2510.215125
2509.6687,2510.26595
2509.697975,2510.2877
2509.752325,2510.345525
2509.775825,2510.412275
2509.80325,2510.43005
2509.8314,2510.453475
2509.93615,2510.472525
2509.970275,2510.50815
2510.012575,2510.54865
2510.030425,2510.579875
2510.066225,2510.6138
2510.1241,2510.63465
2510.163025,2510.67455
2510.215175,2510.694925
2510.266,2510.747625
2510.28775,2510.787625
2510.313825,2510.80195
2510.345575,2510.834325
2510.367125,2510.8445
2510.4123,2510.855375
2510.4535,2510.9241
2510.472575,2510.9312
2510.486525,2510.934275
2510.5487,2511.0049
2510.579925,2511.041775
2510.61385,2511.1067
2510.634675,2511.11825
