SPK_SPKC09c (exc),SPK_SPKC11a (exc),SPK_SPKC13a (exc),SPK_SPKC13b (inhib)
800.001175,800.001225,800.00585,800.219075
800.0459,800.01655,800.0261,800.4909
800.134475,800.045925,800.05055,800.84625
800.158625,800.07345,800.057375,800.8855
800.3111,800.0936,800.0922,800.98605
800.322675,800.107575,800.10405,801.379125
800.3544,800.120225,800.12035,801.4132
800.4364,800.153675,800.13175,801.4344
800.503775,800.17015,800.13785,801.4983
800.5048,800.187225,800.16165,801.670775
800.517225,800.254675,800.1911,801.691775
800.664825,800.27395,800.210025,801.708025
800.691025,800.354425,800.227275,801.736525
800.730525,800.376375,800.235925,801.754825
800.757525,800.4622,800.24255,801.77545
800.891,800.491625,800.25735,801.799525
801.06095,800.5038,800.27655,801.81995
801.191625,800.507375,800.287425,801.84125
801.203325,800.51725,800.325675,801.857525
801.503125,800.5299,800.347325,801.875625
802.07085,800.546675,800.3564,801.89535
802.2716,800.56095,800.3623,801.9108
802.774675,800.58205,800.3912,801.9553
802.8209,800.638175,800.4111,801.970875
802.896725,800.66315,800.439425,802.026075
803.160325,800.67225,800.45285,802.040525
803.43275,800.689475,800.47655,802.061025
803.7307,800.79005,800.493,802.07375
804.105925,800.83205,800.50635,802.09815
804.1255,800.85175,800.532425,802.127625
804.25935,800.891025,800.5509,802.1406
804.42015,800.9151,800.5653,802.166075
804.59415,800.967575,800.57735,802.2079
804.65915,801.002075,800.583125,802.231725
804.73305,801.03015,800.610675,802.2432
804.76835,801.0529,800.643775,802.253425
804.9486,801.06285,800.656275,802.33975
805.106,801.090975,800.673925,802.371825
805.3409,801.1058,800.703925,802.387575
805.543325,801.1265,800.74215,802.406225
805.7007,801.1626,800.7554,802.423425
805.974,801.1894,800.785325,802.4449
806.0358,801.2092,800.807625,802.46005
806.236675,801.24015,800.83145,802.48275
806.512175,801.2581,800.855475,802.5049
806.834225,801.270325,800.8696,802.53435
806.843025,801.306325,800.892525,802.546075
806.90885,801.34885,800.8959,802.58665
806.964925,801.40765,800.94665,802.60815
807.272825,801.46525,800.961375,802.6319
807.31655,801.50315,800.99685,802.654075
807.32985,801.52865,801.024825,802.68115
807.685,801.680925,801.0329,802.704375
807.844175,801.8983,801.0419,802.7255
807.855575,801.952575,801.055325,802.741775
807.956875,801.9721,801.072625,802.775425
808.039775,802.021325,801.0818,802.808875
808.11125,802.101575,801.111775,802.8597
808.1615,802.222625,801.17655,802.9007
808.310475,802.2531,801.208225,802.933925
808.379125,802.271625,801.218625,802.987875
808.674625,802.3025,801.23285,803.00465
808.7934,802.350925,801.263475,803.02645
809.005175,802.4215,801.267975,803.051775
809.023125,802.4576,801.29935,803.071875
809.0594,802.5571,801.320275,803.111975
809.149875,802.67235,801.333075,803.1381
809.168825,802.8611,801.366,803.15585
809.171425,803.036825,801.38105,803.16925
809.272275,803.054675,801.3972,803.233525
809.306425,803.120075,801.429875,803.2649
809.4977,803.13585,801.43785,803.295625
809.717175,803.160325,801.45885,803.32215
809.76525,803.196625,801.461125,803.3377
809.96825,803.22715,801.4679,803.352025
