SPK_SPKC04a (artefact),SPK_SPKC13a (artefact)
0.56,0.028675
1.964775,0.07395
2.874175,0.1468
3.51885,0.33035
3.778925,0.4641
4.027925,0.527475
4.773925,0.56
5.331075,0.60945
5.624875,0.6681
5.786775,0.679225
6.29875,0.70835
7.14115,0.7875
7.437425,0.8653
7.89045,1.1266
8.964875,1.252525
10.531625,1.329425
10.6655,1.391375
10.7471,1.6064
10.80545,1.644975
10.955075,1.7514
11.535175,1.883175
12.39905,1.964775
13.32345,2.0527
13.636725,2.166125
14.367325,2.189425
14.616025,2.347625
14.93125,2.407425
15.289125,2.4715
15.8034,2.62845
15.86115,2.708025
16.0003,2.77885
16.0328,2.8348
16.9829,2.874175
19.0536,3.00635
19.16005,3.044475
19.368325,3.09935
19.50665,3.222
19.78175,3.29935
21.171825,3.343075
21.781825,3.41695
21.884575,3.459025
22.26315,3.51885
22.503275,3.58265
22.6805,3.675675
23.197175,3.778925
23.44915,3.82215
23.564375,3.964225
23.602025,4.02795
24.56745,4.104025
24.7729,4.233825
24.83835,4.3303
25.034275,4.420625
25.0633,4.444575
25.1171,4.50785
25.17705,4.555075
25.30725,4.58535
25.386375,4.670725
25.46835,4.773925
25.639575,4.8561
25.806025,4.982
25.83235,5.176275
26.0435,5.331075
26.075725,5.430475
26.12135,5.513525
26.16415,5.5398
26.30685,5.5884
26.336425,5.624875
26.57675,5.672725
26.642625,5.73565
26.73365,5.786775
26.7952,5.84515
26.852425,6.005575
26.87745,6.105825
26.9144,6.29875
27.1144,6.3479
27.151425,6.428625
27.2141,6.465675
27.3335,6.597425
27.42265,6.672975
27.454775,6.7123
27.5119,6.881325
27.581675,7.0389
27.6725,7.14115
27.71395,7.20725
27.791225,7.261325
27.95885,7.3306
28.007025,7.43745
28.06155,7.481775
28.3258,7.55175
28.362925,7.68445
28.449175,7.8128
28.586325,7.890475
28.640575,8.0788
28.68425,8.1648
28.75615,8.387325
28.78935,8.53705
28.884475,8.642275
29.035325,8.72445
29.092575,8.854325
29.198375,8.964875
29.227,9.0506
29.313575,9.26345
29.407225,9.416
29.4857,9.491025
29.551625,9.579075
29.6033,9.6126
29.6616,9.689125
29.72615,9.867675
29.851375,9.96985
29.940175,10.04365
29.9647,10.111525
30.023625,10.20725
30.084925,10.2971
30.12995,10.531625
30.340675,10.665525
30.414225,10.747125
30.479125,10.769575
30.52675,10.80545
30.698675,10.880575
30.750575,10.9551
31.04845,11.07695
31.133325,11.145275
31.183075,11.31135
31.23655,11.353825
31.29335,11.45055
31.3539,11.5352
31.509525,11.713175
31.61925,11.760525
31.70825,11.811225
31.7904,11.860875
31.83715,12.05655
31.903925,12.1425
31.976225,12.206725
32.04515,12.284275
32.15415,12.399075
32.1967,12.59435
32.3143,12.667775
32.3842,12.791425
32.47515,12.92425
32.524075,12.98295
32.71665,13.040375
32.8093,13.32345
32.8733,13.357025
33.04365,13.38255
33.1193,13.470575
33.1892,13.636725
33.274725,13.722325
33.3299,13.8893
33.4603,14.056475
33.649875,14.148125
33.74265,14.326375
33.79545,14.36735
33.81995,14.45555
33.85705,14.61605
33.97915,14.78395
34.10515,14.93125
34.16065,14.973825
34.243425,15.024525
34.307925,15.152025
34.3357,15.28915
34.372975,15.50915
34.413925,15.639975
34.46,15.75735
34.514075,15.803425
34.557575,15.861175
34.7799,15.924
34.968375,16.000325
35.0154,16.0201
35.176575,16.0328
35.31665,16.2545
35.368475,16.35475
35.445825,16.73725
35.50435,16.780925
35.56745,16.8358
35.926575,16.863125
36.211225,16.907775
36.326325,16.936525
36.378575,16.9829
36.543675,17.3889
36.684975,17.561175
37.3377,17.6327
37.482325,17.6638
37.676475,17.744575
37.795225,17.989975
37.9491,18.14515
38.021825,18.209025
38.074275,18.24535
38.12625,18.555
38.2016,18.644
38.218825,18.6983
38.4081,19.053625
38.4992,19.11405
38.5784,19.160075
38.627725,19.276175
38.7795,19.3355
38.99185,19.368325
39.161825,19.50665
39.30035,19.721425
39.38115,19.78175
39.460675,19.805125
39.5284,19.8303
39.58685,19.895225
39.633175,20.06965
39.7112,20.245325
39.81555,20.37155
40.078675,20.450125
40.132225,20.531825
40.213925,20.7133
40.24155,21.038725
40.289425,21.088675
40.322075,21.138475
40.360325,21.17185
40.419575,21.3512
40.5284,21.473575
40.70515,21.781825
40.797325,21.8846
40.907675,22.038475
40.9478,22.125325
40.97535,22.169575
41.04505,22.26315
41.1092,22.341575
41.149,22.5033
41.19355,22.680525
41.2466,22.793075
41.408225,22.89205
41.562425,23.0985
41.758725,23.197175
41.857075,23.296275
41.93425,23.410075
41.970475,23.449175
42.04575,23.498
42.211175,23.531575
42.483275,23.5644
42.639325,23.602025
42.7211,23.665875
42.8056,23.80225
42.838725,23.8219
42.895775,23.868525
42.945775,23.945275
43.018475,23.99445
43.1358,24.023875
43.328475,24.079225
43.42405,24.091825
43.4956,24.15125
43.546525,24.1645
43.606225,24.21515
43.668625,24.2691
43.818075,24.2919
44.292075,24.339225
44.381575,24.3582
44.434075,24.4141
44.505825,24.481175
44.5556,24.531475
44.6699,24.56745
44.70775,24.5977
44.7459,24.62745
45.135525,24.6805
45.2263,24.705575
45.33345,24.7457
45.36405,24.772925
45.427225,24.811075
45.4831,24.838375
45.53,24.953725
45.945825,25.034325
46.04605,25.063325
46.079375,25.11715
46.105775,25.1771
46.1308,25.3073
46.31725,25.38645
46.485375,25.468425
46.5467,25.63965
46.565275,25.80605
46.6355,25.8324
46.704675,26.043525
46.88505,26.07575
46.987125,26.1214
47.009525,26.164175
47.0707,26.3069
47.124275,26.33645
47.18215,26.576775
47.245525,26.64265
47.4596,26.7337
47.7654,26.795225
47.902325,26.852475
