SPK_SPKC02a (inhi),SPK_SPKC09a (no opto-tagging),SPK_SPKC10a (no opto-tagging)
0.114325,0.172625,0.0092
0.1726,0.257275,0.106025
0.220925,0.3176,0.241225
0.257275,0.368075,0.273325
0.317575,0.605075,0.301
0.368025,0.68355,0.351375
0.432775,0.77615,0.3892
0.60505,0.844275,0.43055
0.683525,0.916925,0.499375
0.7761,0.9724,0.553525
0.84425,1.156225,0.6402
0.9169,1.214575,0.74555
0.972375,1.249075,0.77855
1.1562,1.34505,0.82115
1.21455,1.4951,0.8621
1.24905,1.546925,0.90045
1.345025,1.631525,0.93895
1.495075,1.73735,0.96995
1.5469,1.843275,1.011175
1.631475,1.973675,1.02725
1.73735,2.029075,1.070625
1.843275,2.066025,1.23575
1.9241,2.101175,1.365775
1.97365,2.170275,1.37235
2.02905,2.3354,1.453725
2.066,2.36395,1.611475
2.10115,2.378275,1.685675
2.17025,2.4591,1.709775
2.228325,2.503775,1.7733
2.33535,2.57355,1.822025
2.3639,2.67245,1.874475
2.37825,2.8765,1.98045
2.41345,2.92605,2.05485
2.459075,3.140875,2.086325
2.50375,3.273125,2.173425
2.573525,3.387125,2.175175
2.672425,3.44175,2.199825
2.8765,3.52045,2.2454
2.92605,3.689025,2.462575
3.14085,3.814225,2.530375
3.2731,3.845075,2.57795
3.441725,3.876175,2.61395
3.5204,3.959075,2.6964
3.689,4.221075,2.716325
3.8142,4.269175,2.7363
3.84505,5.25165,2.793725
3.87615,5.362625,2.82055
3.95905,5.57555,2.8299
4.22105,5.5879,2.8696
4.269175,5.60665,2.885575
4.415,5.698925,2.920175
5.3626,5.9511,2.945425
5.5755,6.083775,3.025575
5.6066,6.13235,3.047375
5.66515,6.174025,3.108325
5.6989,6.229125,3.126275
5.7535,6.280875,3.138375
5.951075,6.420675,3.1615
6.08375,6.452825,3.194625
6.13755,6.515575,3.21745
6.2291,6.588775,3.2297
6.28085,6.655725,3.256725
6.3158,6.751525,3.286225
6.36145,6.832975,3.3102
6.420675,7.003925,3.3511
6.4528,7.04585,3.382925
6.51555,7.3868,3.407475
6.543175,7.734325,3.41735
6.588725,8.29555,3.453075
6.655675,8.8221,3.50805
6.751475,9.29935,3.525225
6.83295,9.828225,3.573675
7.0039,9.93145,3.591675
7.045825,10.234175,3.6149
7.33745,10.291525,3.6576
7.386775,10.8295,3.674025
7.7343,10.955375,3.761175
8.2955,11.296575,3.790875
8.8221,11.335875,3.84505
9.299325,11.577225,3.908575
9.75725,11.656675,3.92835
9.8282,11.796975,3.951075
9.931425,12.098075,4.1113
10.23415,12.290825,4.20075
10.2915,12.4888,4.202125
10.546775,12.714825,4.224175
10.829475,13.055375,4.2831
10.95535,13.160475,4.31025
11.29655,13.198325,4.3331
11.33585,13.246525,4.35325
11.577175,13.337775,4.3847
11.656625,13.724975,4.414975
11.79695,13.76825,4.447675
12.098025,13.934375,4.48305
12.2908,14.01635,4.526225
12.488775,14.247475,4.55725
12.7148,14.372525,4.578925
13.05535,14.698175,4.610075
13.16045,14.92415,4.63125
13.1983,15.079425,4.666525
13.2465,15.0999,4.70195
13.33775,15.9186,4.777775
13.724925,15.99895,4.823225
13.768225,16.0712,4.868925
13.837775,16.769525,4.88595
13.878725,16.8432,4.918625
13.934325,16.997725,4.925725
14.016325,17.3647,4.9418
14.24745,17.91065,4.958425
14.272975,18.4009,4.978925
14.372475,18.8264,5.004575
14.69815,18.98075,5.025275
15.079375,19.00515,5.044925
15.91855,19.188825,5.1549
15.998925,19.28045,5.2509
16.296925,19.3719,5.26295
16.493,19.5201,5.288125
16.769475,19.657175,5.334975
16.84315,19.829325,5.3994
16.9977,19.94305,5.545675
17.364675,19.967875,5.649925
17.910625,20.0654,5.69045
18.826375,20.15235,5.884175
18.980725,20.189375,5.895775
19.005125,20.31305,6.04565
19.1888,20.453475,6.2291
19.280425,20.710625,6.24475
19.371875,20.786775,6.287675
19.520075,21.18375,6.3285
19.65715,21.36725,6.40755
19.8293,21.5039,6.447175
19.943025,22.08295,6.480475
20.065375,22.33465,6.6579
20.1523,22.546975,6.7092
20.313025,22.80305,6.739375
20.4534,22.8537,6.75755
20.7106,22.900825,6.775425
20.78675,23.06755,6.852325
21.105,23.0947,7.041925
21.18375,23.13935,7.09
21.367225,23.3906,7.1132
21.503875,23.635825,7.158425
22.082925,23.83825,7.16655
22.334625,23.964925,7.182675
22.54695,24.19305,7.243225
22.853675,24.307125,7.267275
22.9008,24.565125,7.33955
23.067525,24.793175,7.35465
23.0947,25.0593,7.38475
23.139325,26.0844,7.4017
23.390575,26.385375,7.42675
23.635775,26.645675,7.4495
23.8382,26.70955,7.477125
23.9649,27.381125,7.505125
24.193,27.63225,7.5308
24.3071,27.847425,7.592325
24.565075,27.963075,7.77035
24.793125,28.132125,7.799475
25.059275,28.227925,7.827525
25.32515,28.9187,7.872725
25.751525,28.96825,7.877025
26.084375,29.07935,7.914625
26.38535,29.366475,7.9523
26.7878,29.42535,7.985825
27.381075,29.670325,8.0106
27.63225,29.778125,8.063125
27.8474,29.88055,8.0839
27.96305,29.90095,8.1232
28.1321,29.906475,8.157725
28.227875,29.97805,8.169875
28.296025,29.998125,8.212625
28.91865,30.192,8.304425
28.968225,30.358475,8.3414
29.079325,31.069475,8.368825
29.221925,31.138725,8.411075
29.36645,31.258825,8.43295
29.425325,31.704175,8.471925
29.6703,31.940125,8.5232
29.778075,32.51185,8.620475
29.880525,32.529025,8.6622
29.900925,32.531275,8.701625
29.9981,32.61095,8.7035
30.19195,32.67275,8.73245
30.35845,33.4617,8.780125
31.2588,33.60085,8.826025
31.4772,33.624825,8.87475
31.70415,33.75095,8.91315
32.5118,34.127375,8.9764
32.528975,34.20555,9.003825
32.5491,34.40835,9.150425
32.610925,34.434,9.193725
32.6727,34.4719,9.32715
33.144425,34.5919,9.6579
33.461675,35.033975,9.94335
33.6248,35.464975,9.981275
33.75095,35.50075,10.02455
33.9277,35.651425,10.07985
34.079325,35.76215,10.174425
34.205525,35.943425,10.2247
34.408325,36.0495,10.255025
34.471875,36.11735,10.275625
34.5919,36.23395,10.304525
34.7235,36.257875,10.326475
34.93445,36.2754,10.385175
35.03395,36.286425,10.4232
35.14385,36.308125,10.452075
35.464925,36.625475,10.485825
35.6514,36.863375,10.539875
35.762125,36.975925,10.604325
35.9434,37.344625,10.622375
36.04945,37.54735,10.692725
36.117325,37.627475,10.721475
36.233925,37.941225,10.770925
36.25785,37.97355,10.8004
36.275375,38.0349,10.835775
36.286375,38.1659,10.897425
36.3081,38.2024,10.926275
36.625425,38.27895,10.9483
36.86335,38.553525,10.9656
36.975925,38.628575,11.0046
37.072825,38.9451,11.03515
37.25465,39.041275,11.052575
37.3446,39.0479,11.0632
37.586125,39.14515,11.090775
37.62745,39.235275,11.109125
37.941175,39.663425,11.148125
37.973525,39.8695,11.219725
38.14965,39.9028,11.25805
38.202375,39.93525,11.38225
38.2789,40.63305,11.40115
38.553475,40.732375,11.431375
38.62855,40.73915,11.498575
38.827125,40.80235,11.512525
38.945075,41.482075,11.5579
39.04125,41.619325,11.571175
39.08535,41.888275,11.77545
39.145125,42.62115,11.80455
39.23525,42.896425,11.8418
39.292,43.3537,11.930275
39.47375,43.6269,12.096975
39.6634,43.7811,12.132375
39.869475,43.833075,12.1786
39.935225,44.061675,12.208025
40.170925,45.116,12.2195
40.504875,45.230925,12.2769
40.633025,45.50905,12.36885
40.739125,45.563375,12.4727
40.802325,45.567125,12.510375
41.2972,45.636975,12.52775
41.409075,45.657125,12.550625
41.48205,45.93895,12.5684
41.765575,46.094775,12.600475
41.888225,46.1478,12.63035
42.2647,46.206175,12.6539
42.6211,46.756225,12.6912
42.785625,46.940575,12.713525
43.626875,47.068675,12.736975
43.78105,47.167,12.76065
44.06165,47.574175,12.762675
44.397325,48.01585,12.7759
44.607075,48.2376,12.811025
45.11595,48.562875,12.833875
45.50905,48.738575,12.86595
45.5671,49.061725,13.062575
45.63695,50.59715,13.141925
45.938925,50.82075,13.160425
46.094725,51.011325,13.16565
46.147775,51.038725,13.256775
46.753475,51.125425,13.553
46.940525,51.278025,13.60045
47.06865,51.288325,13.636675
47.16695,51.348875,13.6743
47.293425,51.3524,13.7642
47.57415,51.479875,13.91825
47.872775,51.625275,13.927675
48.015825,51.797875,14.0054
48.237575,51.94205,14.03985
48.562825,51.944375,14.115675
48.738525,52.0596,14.1358
49.0617,52.097625,14.2504
49.33105,52.1001,14.272975
49.994825,52.257375,14.288625
50.597125,52.319125,14.305
50.82075,52.368175,14.3299
51.0113,52.476125,14.34965
51.03355,52.5623,14.366225
51.038175,52.63225,14.39415
51.22395,52.796175,14.4119
51.2444,52.90825,14.4613
51.2883,53.11305,14.502075
51.31925,53.138225,14.57045
51.348825,53.196275,14.627475
51.352425,53.264475,14.676225
51.47985,53.416825,14.739925
51.79785,53.4981,14.78635
51.8614,53.64955,14.8192
51.94435,53.654225,14.83885
52.059575,53.960025,14.88005
52.10005,54.49535,14.898675
52.135875,54.53955,14.91025
52.176275,54.56165,15.01505
52.257325,54.6081,15.053975
52.3191,54.733025,15.277425
52.56225,54.93085,15.362125
52.6322,54.99135,15.3881
52.67625,55.030575,15.41905
52.79615,56.08735,15.4452
53.0333,56.132325,15.467375
53.077825,56.5607,15.488025
53.19625,57.153,15.527575
53.26445,57.226275,15.55705
53.6542,57.30315,15.589575
53.83815,57.409525,15.62665
54.495325,57.439575,15.671125
54.5395,57.6917,15.696
54.608075,57.77805,15.75055
54.84365,57.9596,15.7846
54.991325,58.025625,15.817175
55.122875,58.101375,16.070175
55.8142,58.199375,16.141975
56.560675,58.41515,16.366275
56.897175,58.7155,16.39545
57.152975,58.81575,16.456225
57.245875,58.8679,16.468025
57.303075,59.117425,16.5193
57.4095,59.21605,16.639925
57.666725,59.612725,16.6712
57.778,59.75005,16.727525
57.86595,59.8486,16.75345
57.959575,61.14125,16.76675
58.025575,61.346375,16.79415
58.10135,61.92935,16.8279
58.16175,62.081475,16.865975
58.199375,62.338875,16.89465
58.297825,62.8796,16.952225
58.4151,63.056075,16.9847
58.51245,63.10425,17.04235
58.71545,63.4456,17.05315
58.815725,63.628425,17.07695
58.867875,64.708075,17.09715
59.006525,64.842275,17.175575
59.117375,65.1611,17.243275
59.216025,65.45625,17.265925
59.345675,65.896925,17.3889
59.6127,66.38315,17.4001
59.75,66.677825,17.4104
59.84855,67.024125,17.440525
59.9379,67.150875,17.46645
60.471275,67.67895,17.51215
60.970475,67.786225,17.55385
61.239225,67.92395,17.62245
61.810775,68.16595,17.6557
61.929325,68.765525,17.674725
61.985075,69.224825,17.697525
62.08145,69.783775,17.720475
62.33885,70.094125,17.733275
62.3783,70.20225,17.751225
62.61825,70.370575,17.7748
62.815125,70.542325,17.797375
62.879575,70.6056,17.8394
62.9768,71.03995,17.863425
63.05605,71.707325,17.969825
63.104225,71.8692,18.05835
63.445575,72.004025,18.142
63.522325,72.14375,18.17425
63.6284,72.19655,18.197975
64.407425,72.47695,18.22515
64.70805,72.58105,18.2474
64.842225,72.949825,18.25815
65.16105,73.3158,18.266475
65.4562,73.507625,18.279525
66.383125,73.7483,18.2979
66.6778,73.8752,18.3226
66.822375,73.939925,18.37875
67.0241,74.106475,18.434225
67.15085,74.40485,18.474625
67.39475,74.5016,18.524225
67.6789,74.5463,18.5566
67.870575,74.563925,18.576775
67.9723,74.597875,18.62405
68.165925,74.672375,18.738425
68.7655,74.6985,18.77825
69.2248,74.773625,18.827475
69.3216,74.8281,18.8995
69.49115,74.855,18.938775
69.656325,74.889275,18.965875
69.783725,74.902625,18.9912
69.914475,74.912925,19.01155
70.0941,74.9289,19.022075
70.202225,74.955325,19.047175
70.2438,75.480025,19.0647
70.37055,76.225075,19.09305
70.3984,76.3821,19.12585
70.542275,76.84305,19.154525
70.605575,77.1195,19.221075
71.0399,77.32685,19.25415
71.176075,77.370025,19.362025
71.26575,77.445075,19.39815
71.421575,77.54605,19.494
71.628025,77.663175,19.54155
71.7073,77.7917,19.575425
71.781075,77.97435,19.6164
71.9233,78.10815,19.6811
72.004,78.2022,19.83195
72.143725,78.2202,19.876275
72.1965,78.498125,19.930425
72.3055,78.51845,19.96205
72.476925,78.605025,20.013875
72.581025,78.67955,20.068075
72.823075,78.894725,20.1322
72.949775,78.98925,20.261
73.041075,79.141675,20.280175
73.17075,79.345225,20.302025
73.315775,79.419,20.320925
73.42385,79.510775,20.374175
73.507575,79.540075,20.511925
73.74825,79.61505,20.534825
73.875175,79.972075,20.6689
73.960325,80.174025,20.7215
74.106425,80.224425,20.89495
74.50155,80.45185,20.928675
74.546275,80.570375,20.94795
74.5639,80.624275,20.961675
74.59785,80.6847,20.982925
74.6116,80.76095,20.9916
74.62065,80.8381,21.009875
74.6367,80.87135,21.046475
74.65385,80.955475,21.058975
74.67235,80.981025,21.080525
74.698475,81.2341,21.093625
74.773575,81.387775,21.116125
74.809825,81.422975,21.12815
74.82805,81.441525,21.145925
74.838175,81.55635,21.17905
74.854975,81.717625,21.195875
74.87155,81.773475,21.2258
74.889225,81.928625,21.2395
74.9026,82.0732,21.267675
74.9129,82.10075,21.2922
74.92885,82.13215,21.565375
74.955275,82.214425,21.635375
74.99175,82.279175,21.68185
75.267425,82.34265,21.707525
75.319325,82.437875,21.720075
75.479975,82.514275,21.74415
76.382075,82.6298,21.760075
76.51335,82.694075,21.822175
76.587125,82.75465,21.958175
76.843,82.949925,22.022475
77.025525,82.98065,22.0288
77.11945,83.20255,22.0555
77.243375,83.248575,22.240925
77.3268,83.299475,22.36815
77.37,83.31775,22.3895
77.398875,83.3899,22.4294
77.445025,83.50435,22.462075
77.546025,83.5401,22.484225
77.66315,83.573075,22.4907
77.781225,83.6423,22.50165
77.88425,83.65345,22.521475
77.974325,83.847675,22.544125
78.113475,83.9356,22.5582
78.202175,83.956975,22.6108
78.26935,84.015575,22.655075
78.344875,84.064775,22.84455
78.518425,84.0834,23.035075
78.605025,84.1268,23.088175
78.6299,84.2066,23.117975
78.6489,84.26575,23.1405
