SPK_SPKC05a (inhi),SPK_SPKC09b (exc),SPK_SPKC09c (inhi)
400.0264,400.19445,400.0009
400.045475,400.32175,400.0135
400.071975,400.3644,400.0382
400.0971,400.433,400.063525
400.12845,400.4666,400.082175
400.17855,400.4842,400.101575
400.235925,400.58335,400.129825
400.276675,400.61435,400.15745
400.2847,400.6591,400.189625
400.32295,400.756425,400.2081
400.3495,400.787325,400.263275
400.39185,400.834825,400.28915
400.4275,401.03435,400.31725
400.443825,401.0728,400.351625
400.477725,401.084575,400.424725
400.502225,401.24675,400.4415
400.539425,401.29515,400.46005
400.609925,401.328675,400.49495
400.636825,401.332175,400.5125
400.690575,401.367525,400.5348
400.709325,401.51155,400.565075
400.718775,401.569475,400.6112
400.749875,401.5867,400.63595
400.780025,401.677075,400.652675
400.8049,401.72405,400.6734
400.853375,401.769825,400.684775
400.913375,401.845825,400.70275
400.989,402.004725,400.723825
401.03955,402.0542,400.74065
401.0581,402.1109,400.757625
401.0825,402.203475,400.780925
401.099725,402.226425,400.814
401.119125,402.26305,400.849625
401.1422,402.299225,400.924475
401.22255,402.300425,400.97155
401.2533,402.380375,401.013525
401.30425,402.47975,401.041425
401.353225,402.63475,401.0579
401.39755,402.642775,401.07605
401.4467,402.709875,401.097175
401.47775,402.7519,401.11815
401.516525,402.7902,401.143075
401.550475,402.8591,401.161375
401.566075,402.908075,401.167075
401.60055,403.00545,401.19675
401.627025,403.107875,401.225375
401.64585,403.189225,401.2832
401.674025,403.2597,401.312525
401.6944,403.28815,401.388775
401.74415,403.325725,401.4206
401.78645,403.37025,401.515275
401.835425,403.4956,401.54995
401.87395,403.52945,401.566975
401.936475,403.5663,401.589275
401.9725,403.684975,401.60835
402.01495,403.74345,401.625975
402.03485,403.795675,401.6491
402.0519,403.872,401.671975
402.11955,403.957675,401.7022
402.1507,404.0064,401.7065
402.199075,404.04465,401.738325
402.26545,404.089925,401.763625
402.28205,404.12595,401.8101
402.30905,404.157275,401.869475
402.343175,404.198275,401.9115
402.366425,404.314225,401.965375
402.396225,404.3217,401.9833
402.4166,404.3873,401.994575
402.43735,404.467925,402.021025
402.468375,404.6091,402.042875
402.50155,404.643325,402.060125
402.524925,404.737875,402.103375
402.5686,404.85515,402.164175
402.5954,404.9438,402.214625
402.643225,405.070875,402.2449
402.6908,405.132125,402.268025
402.70555,405.1544,402.287725
402.729175,405.191525,402.3187
402.77585,405.255725,402.33985
402.798675,405.287625,402.359225
402.821075,405.339025,402.374625
402.84275,405.390225,402.39345
402.861575,405.480525,402.4173
402.89545,405.52395,402.496725
402.939725,405.6568,402.520475
402.9683,405.715225,402.54985
402.9863,405.76095,402.577875
403.03365,405.7668,402.6103
403.06425,405.81065,402.652925
403.085,405.868775,402.702375
403.092975,405.894675,402.760225
403.1014,405.9452,402.78735
403.163525,406.055075,402.82645
403.19985,406.106125,402.850375
403.22495,406.15235,402.8715
403.257125,406.220325,402.905825
403.317575,406.4054,402.943125
403.336125,406.489225,402.968525
403.358775,406.5969,402.993375
403.419725,406.665575,403.0164
403.4445,406.74505,403.030825
403.49065,406.793975,403.0608
403.549475,406.89775,403.082725
403.5736,406.922575,403.1013
403.626475,406.954325,403.124825
403.665675,407.25225,403.165575
403.70785,407.384375,403.195775
403.736725,407.508725,403.224125
403.771825,407.590875,403.26685
403.820225,407.6677,403.31665
403.893675,407.78445,403.34785
403.951175,407.886925,403.36715
403.984575,407.944425,403.3838
404.061225,407.999875,403.39395
404.0917,408.003075,403.4052
404.12575,408.077525,403.419875
404.15175,408.16025,403.43755
404.1731,408.1942,403.46115
404.1941,408.261125,403.4721
404.2441,408.44075,403.491175
404.29405,408.52855,403.510675
404.326375,408.58445,403.5565
404.36195,408.660425,403.5901
404.4063,408.70155,403.6206
404.4585,408.755625,403.649025
404.518425,408.7951,403.66805
404.548175,408.956825,403.695925
404.585825,408.99395,403.7181
404.612975,409.029825,403.7369
404.65,409.0647,403.7641
404.6984,409.094775,403.82625
404.72455,409.1367,403.8566
404.7795,409.177,403.890625
404.8134,409.2278,403.948625
404.85095,409.2712,403.970125
404.877725,409.3143,404.057825
404.895775,409.368325,404.088275
404.9227,409.421,404.11185
404.9407,409.422725,404.1236
404.967775,409.4253,404.142775
404.994325,409.536925,404.165025
405.02335,409.6269,404.1793
405.04745,409.670725,404.216575
405.0952,409.7186,404.240625
405.1283,409.726275,404.2667
405.184025,409.751675,404.288725
405.21055,409.80705,404.31975
405.23235,409.918775,404.37445
405.2414,409.972325,404.405275
405.256575,410.061225,404.42935
405.27655,410.1437,404.497575
405.295175,410.1844,404.5323
405.31505,410.2144,404.55385
405.335775,410.238075,404.613275
405.3679,410.2826,404.634075
405.414575,410.3809,404.65825
405.4382,410.494975,404.707525
405.455025,410.628275,404.7411
405.486875,410.839425,404.7618
405.5081,410.89555,404.7881
405.538025,411.009575,404.8189
405.565825,411.071325,404.84445
405.6,411.1483,404.866275
405.6266,411.1962,404.905325
405.679925,411.254675,404.9195
405.710125,411.268125,404.94795
405.733075,411.277675,404.973575
405.766025,411.3508,404.996575
405.78965,411.3759,405.04495
405.803225,411.3776,405.07635
405.832325,411.405225,405.17335
405.850225,411.462,405.18465
405.876175,411.4888,405.19745
405.932825,411.58565,405.2138
405.960475,411.609325,405.24745
405.9815,411.6698,405.261875
406.01155,411.757375,405.267125
406.047325,411.792375,405.28265
406.063075,411.85685,405.30195
406.095675,411.872275,405.318375
406.1074,411.963075,405.34305
406.14275,411.967375,405.3974
406.171075,412.0007,405.4372
406.196675,412.041425,405.462425
406.223325,412.085025,405.479275
406.245775,412.123475,405.50285
406.264175,412.18615,405.530075
406.287375,412.2941,405.554975
406.3127,412.311,405.580075
