SPK_SPKC04a (exc/inhi),SPK_SPKC07a (inhi)
0.0033,0.407825
0.01865,0.97335
0.0407,1.071275
0.053325,1.19525
0.065775,1.2568
0.083625,1.5949
0.115675,1.7739
0.128925,1.806425
0.14195,2.314225
0.16435,2.633425
0.2002,2.777325
0.23005,2.814225
0.260525,2.97405
0.28315,3.043925
0.312075,3.136875
0.347575,3.282875
0.376075,3.348275
0.40025,3.41415
0.43475,3.69
0.451425,3.837475
0.55155,4.208225
0.60395,4.5783
0.63345,4.6932
0.76105,5.197675
0.791525,6.1887
0.83725,6.2934
0.860825,6.5387
0.888025,6.59985
0.913025,6.80135
0.956425,7.0195
0.99125,7.121
1.01775,7.231225
1.041325,7.300625
1.056875,7.6626
1.06365,7.712775
1.08015,7.8636
1.090725,7.914625
1.107325,8.01045
1.11455,8.100275
1.12345,9.139525
1.138725,9.205475
1.1547,10.530775
1.1707,10.686975
1.179525,10.885825
1.18585,10.9212
1.19805,10.92475
1.2151,10.938725
1.233075,10.990625
1.2407,11.14225
1.2522,11.41695
1.270925,11.532525
1.28105,11.895275
1.287175,11.993175
1.2974,12.14475
1.31025,12.228825
1.321825,12.250575
1.3279,12.384
1.341,12.831825
1.349975,12.967575
1.3559,13.015075
1.360525,13.47565
1.3728,13.56105
1.380775,13.649525
1.39045,13.695375
1.39715,14.12895
1.403275,14.28625
1.4125,14.579075
1.420175,14.639625
1.430525,14.67355
1.4387,15.575925
1.451225,15.67895
1.457625,15.8546
1.467825,16.044425
1.47375,16.2609
1.4829,16.32835
1.493425,16.4957
1.50265,16.63445
1.51815,16.700475
1.5276,16.747775
1.54085,16.824425
1.553925,16.938
1.567475,17.1685
1.581025,17.269925
1.5961,17.377775
1.611475,17.616625
1.627875,17.727075
1.65275,18.8458
1.67185,19.1977
1.69025,19.637925
1.7074,19.941825
1.716725,20.0082
1.738625,20.304775
1.75195,20.9318
1.76625,20.998625
1.781625,21.055475
1.794525,21.669675
1.826,21.90455
1.844025,22.164175
1.8684,22.325675
1.88305,22.811975
1.91485,22.99435
1.937975,23.1652
1.959675,23.29485
1.9772,23.484375
2.004025,23.710125
2.045075,23.797975
2.05885,24.18895
2.071275,24.221425
2.0954,24.65395
2.11715,24.75315
2.13335,25.210925
2.169625,25.261175
2.196675,25.331275
2.214625,25.389275
2.241,25.699725
2.25455,25.776
2.2735,25.940625
2.2894,26.46825
2.334025,26.8204
2.3662,27.115525
2.389275,27.225825
2.4195,27.338725
2.445325,27.4253
2.460825,28.064075
2.4876,28.42255
