SPK_SPKC03a (late inhi),SPK_SPKC11a (inhi)
340.0101,340.0236
340.02525,340.048875
340.04105,340.0879
340.055025,340.11085
340.06785,340.14225
340.076125,340.1953
340.0932,340.24265
340.10375,340.27285
340.116525,340.2997
340.1275,340.32585
340.141325,340.351
340.1503,340.4256
340.1602,340.455
340.1734,340.484825
340.1845,340.515
340.1978,340.55235
340.2091,340.56935
340.2248,340.592175
340.237325,340.6208
340.248225,340.645425
340.26315,340.663725
340.275475,340.686525
340.294425,340.714175
340.304625,340.770175
340.31775,340.79935
340.3287,340.824525
340.343675,340.8393
340.3496,340.883775
340.359725,340.972375
340.366925,341.007025
340.383175,341.0202
340.395075,341.05865
340.404225,341.083
340.42385,341.104925
340.441725,341.153025
340.459575,341.1953
340.471675,341.23735
340.502375,341.2691
340.519325,341.292125
340.54395,341.32305
340.570925,341.34795
340.585875,341.369
340.61215,341.396325
340.629125,341.40975
340.638475,341.52235
340.655,341.56485
340.663775,341.595425
340.685025,341.621125
340.696575,341.648
340.7295,341.686475
340.74465,341.693125
340.758825,341.78405
340.7673,341.829975
340.78005,341.8997
340.7881,341.9483
340.799425,342.000025
340.8126,342.15115
340.824525,342.2422
340.834425,342.2717
340.8429,342.31515
340.855925,342.362675
340.877425,342.3882
340.894975,342.41035
340.907975,342.452225
340.9132,342.47985
340.9384,342.5047
340.961775,342.53905
340.986825,342.57055
340.99695,342.598825
341.020775,342.6221
341.033275,342.65045
341.055525,342.6656
341.079025,342.698225
341.08855,342.704875
341.10975,342.72865
341.1176,342.77295
341.129875,342.799575
341.14315,342.819025
341.1542,342.83405
341.16255,342.862825
341.177675,342.949975
341.186275,342.9711
341.1991,343.0008
341.2177,343.03025
341.2253,343.052075
341.234775,343.063775
341.2435,343.10075
341.2554,343.1255
341.270375,343.151125
341.2951,343.1694
341.3439,343.19185
341.3788,343.2373
341.41635,343.30345
341.441275,343.319025
341.46325,343.3838
341.48855,343.40435
341.51005,343.42505
341.524475,343.471475
341.5322,343.5145
341.544525,343.54555
341.559825,343.5808
341.57515,343.65575
341.5972,343.686675
341.6769,343.727975
341.702775,343.7571
341.732875,343.830475
341.741475,343.835675
341.75165,343.88075
341.781325,343.917
341.79085,343.9632
341.806675,343.995175
341.821225,344.068775
341.83445,344.11065
341.848375,344.165175
341.877,344.279425
341.931825,344.29695
341.944225,344.3244
341.953075,344.363475
341.972475,344.400725
341.98775,344.42585
342.005375,344.510725
342.015425,344.56195
342.02705,344.60065
342.035075,344.6591
342.0494,344.765725
342.06095,344.851975
342.07,344.89145
342.086325,344.935575
342.09605,344.972625
342.11455,344.995675
342.126775,345.028725
342.136625,345.0681
342.153625,345.14915
342.198475,345.2053
342.207175,345.230175
342.21565,345.259075
342.22245,345.279725
342.246475,345.3363
342.3007,345.376075
342.312,345.41395
342.321925,345.4457
342.35865,345.4717
342.3675,345.4906
342.37505,345.544475
342.3922,345.5835
342.404875,345.629575
342.42,345.68015
342.4315,345.729625
342.445475,345.784025
342.456025,345.8221
342.46435,345.835325
342.472125,345.85755
342.47895,345.975225
342.495175,346.005875
342.5069,346.024225
342.52565,346.11305
342.5393,346.166375
342.5539,346.22935
342.566825,346.253275
342.57675,346.275075
342.58565,346.352275
342.5964,346.40675
342.609475,346.56985
342.6273,346.61515
342.63885,346.669225
342.655475,346.728825
342.669575,346.79515
342.69,346.839575
342.708575,346.883875
342.7248,346.915725
342.73685,346.944125
342.764625,346.960175
342.777025,347.004225
342.79185,347.063375
342.8046,347.11315
342.82635,347.1494
342.8393,347.16995
342.8495,347.21855
342.861125,347.3211
342.87485,347.373225
342.890125,347.429
342.90045,347.47785
342.916475,347.54335
