SPK_SPKC04b (inhib),SPK_SPKC07a (inhi),SPK_SPKC12a (inh),SPK_SPKC15b (inh)
0.383875,5.860925,0.383875,0.0845
1.16125,6.0849,1.161275,0.159
1.6682,10.863375,1.668225,0.258925
3.22065,12.743425,3.22065,0.2918
3.30865,13.43035,3.30865,0.339025
3.3935,25.529775,3.393525,0.35535
3.5111,25.58685,3.5111,0.432175
4.442275,26.27525,4.442275,0.494975
4.791675,28.693775,4.791675,0.55775
4.817675,28.8128,4.817675,0.7116
6.038025,28.97715,6.038025,0.91555
6.084875,29.2753,6.084875,0.98145
6.1327,29.402575,6.1327,1.02645
6.556725,29.741175,6.556725,1.1034
7.579925,30.834025,7.579925,1.14765
7.6179,30.989625,7.6179,1.1644
8.6771,31.025425,8.6771,1.18245
8.720125,32.60145,8.720125,1.2344
8.7407,33.254325,8.7407,1.3605
8.908375,33.408625,8.908375,1.5236
9.211425,33.5128,9.211425,1.728125
9.249925,33.539475,9.249925,1.793425
9.279125,34.1631,9.279125,1.8889
9.3169,34.250975,9.3169,1.9209
9.3701,34.682325,9.370125,1.953325
9.707325,34.835575,9.7073,2.079675
9.73965,36.27005,9.79135,2.112325
9.79135,36.3401,9.8301,2.1459
9.8301,37.895575,9.87335,2.214425
9.87335,37.926625,11.021325,2.37895
11.021325,37.9492,11.091,2.416475
11.090975,37.999125,11.48565,2.439775
11.485625,39.293675,11.797575,2.46425
11.79755,39.5126,12.71785,2.50085
12.71785,39.6346,12.7434,2.5443
12.7434,39.783375,13.42615,2.5878
13.42615,41.287475,13.4299,2.620825
13.429875,41.580475,13.45665,2.678925
13.45665,42.0718,13.5426,2.859675
13.5426,42.085475,13.889975,2.90305
13.88995,44.008375,13.9065,3.064425
13.9065,45.32985,13.9652,3.134775
13.965175,46.056575,15.22995,3.165975
15.22995,46.6835,16.172775,3.197425
16.172775,46.727475,16.689025,3.265425
16.689025,46.820675,16.835725,3.306125
16.835725,46.880725,17.16445,3.320875
17.16445,47.18925,18.01725,3.3532
18.01725,48.002725,18.045175,3.435475
18.045175,48.259075,18.0701,3.52135
18.0701,48.3809,18.2177,3.79225
18.217675,48.416075,18.353225,3.83005
18.353225,48.447775,18.79525,3.85315
18.79525,48.857925,18.814725,3.89475
18.814725,49.1949,19.1812,3.94815
19.1812,50.73795,19.273425,4.0109
19.273425,51.7468,20.33925,4.2923
20.339225,51.8885,20.37035,4.401875
20.370325,51.91655,20.390975,4.48385
20.390975,51.95685,20.520325,4.541575
20.520325,51.976775,20.808525,4.60315
20.8085,52.040225,20.8467,4.759425
20.8467,52.112,20.8928,4.789075
20.8928,52.4846,20.9259,4.80235
20.9259,52.9112,20.94785,4.84115
20.94785,53.27785,20.994275,4.93065
20.994275,53.32635,21.074925,4.968975
21.074925,53.3436,21.136975,5.03585
21.136975,54.1011,21.3754,5.14605
21.3754,54.16775,21.523925,5.26325
21.523925,54.247525,21.5785,5.4083
21.5785,54.423775,21.617525,5.4424
21.6175,54.537875,22.061825,5.5076
22.061825,54.578225,22.105775,5.5303
22.105775,54.6398,22.22445,5.6072
22.22445,54.65235,22.60325,5.666675
22.60325,54.8726,22.67445,5.68835
22.67445,55.020975,22.75555,5.820625
22.75555,55.201675,22.851825,5.860925
22.851825,55.2284,22.948275,5.94715
22.94825,55.613825,23.41025,5.981075
23.410225,55.670925,23.5427,6.028775
23.5427,56.6389,23.849275,6.265325
23.849275,56.85855,23.94075,6.319825
23.940725,56.941,25.33865,6.395175
25.338625,57.12845,25.354025,6.4975
25.354,60.39275,25.366175,6.523475
25.366175,60.75965,25.38635,6.553025
25.38635,61.922575,25.42335,6.5732
25.42335,62.4872,25.455825,6.618975
25.455825,63.10975,25.4911,6.646575
25.491075,63.186025,25.51235,6.681475
25.51235,63.215425,25.529725,6.83975
25.529725,63.33235,25.55935,7.0004
25.559375,64.20875,25.586825,7.06295
25.586825,64.358325,25.624125,7.090075
25.6241,64.6473,25.6652,7.1463
25.6652,64.78675,25.68675,7.1837
25.68675,65.1549,25.728575,7.32035
25.7014,65.206725,25.745,7.412275
25.72855,65.27965,25.772175,7.4562
25.744975,65.341725,25.8858,7.5021
25.77215,65.39195,26.158825,7.558725
25.8858,65.54885,26.181925,7.58375
26.1588,65.62825,26.25275,7.615875
26.181925,65.753775,26.30755,7.68015
26.25275,65.804825,26.4432,7.756775
26.30755,65.99295,26.53575,7.81605
26.443175,66.029025,26.61895,7.877925
26.53575,66.113125,26.673275,7.920775
26.573475,66.248275,26.7136,7.999325
26.61895,66.29805,26.767125,8.0505
26.673275,66.4317,26.811425,8.07165
26.7136,66.524475,26.825975,8.094
26.767125,66.7779,26.8692,8.138025
26.8114,67.1734,26.955775,8.18415
26.82595,67.223675,27.003225,8.222
26.8692,67.31135,27.04445,8.2823
26.95575,67.344425,27.122675,8.484525
27.0032,67.38755,27.16665,8.5459
27.04445,67.654875,27.217725,8.614175
27.122675,67.72465,27.264025,8.632925
27.16665,67.7483,27.29135,8.654225
27.217725,67.8565,27.3293,8.67745
27.264025,67.97,27.38025,8.691475
27.29135,68.573575,27.492025,8.704175
27.3293,68.921575,27.60105,8.718975
27.38025,68.978775,27.634525,8.752625
27.437175,69.0933,27.7305,8.896725
27.492,69.1471,27.78035,9.107775
27.566775,69.2025,27.805275,9.188575
27.60105,69.25305,27.82745,9.2551
27.6345,69.326075,27.8451,9.28175
27.7305,69.638725,27.859975,9.319075
27.780325,69.973375,27.86685,9.37885
27.805275,70.1183,27.8805,9.4486
27.82745,70.470375,27.888625,9.495875
27.8451,70.64005,27.91165,9.542425
27.859975,70.923825,27.929175,9.638875
27.86685,70.982875,27.982275,9.717325
27.8805,71.227525,28.019,9.7231
27.888625,71.582825,28.05715,9.79655
27.91165,71.9947,28.103825,9.867025
27.929175,72.045525,28.132375,9.915725
27.98225,72.1443,28.38385,10.4096
28.019,72.4908,28.423125,10.53045
28.05715,73.135575,28.457275,10.5697
28.07575,73.193175,28.4953,10.607225
28.103825,73.261725,28.66545,10.641275
28.132375,73.39285,28.69375,10.6718
28.38385,73.441525,28.729025,10.7432
28.423125,73.74065,28.76145,10.81215
28.457275,73.959725,28.803875,10.8634
28.495275,74.08065,28.812775,10.96995
28.66545,74.2054,28.8614,11.01125
28.69375,74.461575,28.884125,11.181875
