SPK_SPKC01a (no response),SPK_SPKC05a (exc/inh),SPK_SPKC06a (no response),SPK_SPKC07a (no response),SPK_SPKC11a (no opto-tagging)
1100.008825,1100.019675,1100.08605,1100.0817,1100.095525
1100.0153,1100.076875,1100.6797,1100.299525,1100.171875
1100.0208,1100.135425,1100.7134,1100.340725,1100.186275
1100.028675,1100.247975,1101.7671,1100.374975,1100.3724
1100.047,1100.323775,1102.401,1100.52765,1101.028825
1100.0524,1100.66315,1102.89465,1100.640125,1101.110875
1100.05825,1100.810825,1103.17705,1101.554025,1101.17915
1100.07465,1100.93725,1103.551725,1101.738775,1101.209825
1100.08545,1101.081125,1103.664075,1101.80615,1101.3784
1100.096025,1101.16995,1103.741925,1102.239025,1101.50705
1100.1115,1101.378125,1105.424175,1102.424,1101.53825
1100.117,1101.434725,1106.0374,1102.735825,1101.631575
1100.1287,1101.47755,1106.100725,1102.89495,1101.808075
1100.138025,1101.598675,1106.732825,1103.069375,1101.82645
1100.153025,1101.622,1107.132425,1103.88015,1101.848425
1100.1597,1101.657025,1107.193825,1103.92135,1101.94215
1100.166575,1101.672775,1107.2363,1104.1142,1102.06265
1100.171525,1101.7276,1107.281325,1104.153,1102.0755
1100.193675,1101.76625,1107.298625,1104.354375,1102.08235
1100.2004,1101.921675,1107.330825,1104.71055,1102.15485
1100.216725,1101.950725,1107.4266,1104.75325,1102.308675
1100.232925,1102.11365,1107.4734,1105.545225,1102.3751
1100.247325,1102.1443,1107.831475,1105.6104,1102.519075
1100.259975,1102.4702,1107.995275,1105.636725,1102.560625
1100.26675,1102.5989,1108.04325,1105.997175,1102.62225
1100.2745,1102.68495,1108.308775,1106.447625,1102.8848
1100.292075,1102.8201,1108.346425,1106.5904,1102.902875
1100.307825,1102.929875,1108.415725,1107.0125,1102.97865
1100.324425,1102.9483,1108.455975,1107.235975,1103.129225
1100.330575,1102.9824,1108.889975,1107.55645,1103.2125
1100.352925,1103.0781,1109.04955,1107.721175,1103.521675
1100.37965,1103.176625,1109.3075,1108.07055,1103.5559
1100.3833,1103.194875,1109.5856,1108.339625,1103.60335
1100.39055,1103.327675,1109.679375,1108.370425,1103.75045
1100.4043,1103.4616,1109.7649,1108.542675,1103.834225
1100.42695,1103.5534,1109.822725,1108.674425,1103.9895
1100.458025,1103.577375,1109.91325,1109.16195,1104.182175
1100.474675,1103.7421,1110.0466,1110.28385,1104.28835
1100.481975,1103.787775,1110.2205,1110.75455,1104.309575
1100.491725,1103.81445,1110.280725,1111.496125,1104.31615
1100.511625,1103.84345,1110.331625,1111.883025,1104.419775
1100.52565,1103.92675,1110.432225,1112.08385,1104.513225
1100.540575,1103.999675,1110.493775,1112.3397,1104.59215
1100.5683,1104.2938,1110.618725,1112.502325,1104.60885
1100.642575,1104.40365,1110.69015,1112.826225,1104.664225
1100.73745,1104.45065,1110.74005,1113.1566,1104.702275
1100.755925,1104.722825,1110.8451,1113.580675,1104.781875
1100.78235,1104.7383,1110.96675,1113.65875,1104.795125
1100.7888,1104.754,1111.10465,1115.449725,1104.85895
1100.797775,1105.234525,1111.185425,1115.667075,1104.981275
1100.817075,1105.24565,1111.249225,1115.76265,1105.034825
