SPK_SPKC08a (no response),SPK_SPKC09a (no response)
200.01815,200.135
200.031725,200.2928
200.0757,200.34605
200.090825,200.5386
200.1217,200.578975
200.148225,200.652075
200.199375,200.688675
200.239575,200.747325
200.2441,200.812325
200.255625,200.8448
200.266425,200.914925
200.3248,200.93865
200.40145,200.9556
200.427825,201.00765
200.58025,201.0485
200.612975,201.168575
200.719775,201.181125
200.738475,201.418025
200.766575,201.5668
200.83115,201.59315
200.9457,201.6113
201.004575,201.7122
201.070575,201.72395
201.15675,201.7295
201.215925,201.857525
201.26305,201.86105
201.30695,202.004575
201.3522,202.0505
201.353575,202.15635
201.382125,202.19435
201.4458,202.22035
201.447425,202.38935
201.50725,202.406575
201.536375,202.4201
201.5644,202.45865
201.58735,202.61385
201.65515,202.662275
201.697175,202.70705
201.716,202.884725
201.78385,202.949975
201.857025,202.976525
201.933725,202.9965
201.989825,203.019
202.0593,203.087725
202.075475,203.17075
202.18225,203.21995
202.239775,203.276725
202.3838,203.4349
202.522075,203.508
202.56695,203.5371
202.66485,203.57425
202.754575,203.593175
202.82655,203.635525
202.8864,203.655525
202.98445,203.6671
203.052575,203.8459
203.1066,203.990625
203.22585,204.035975
203.246,204.09145
203.276275,204.099575
203.322775,204.14545
203.353125,204.151075
203.53645,204.164725
203.6022,204.253025
203.666275,204.2766
203.847575,204.30305
203.85125,204.39365
203.867225,204.588525
203.88765,204.617925
203.896725,204.686225
203.9169,204.70425
203.947825,204.7358
203.94985,205.396425
203.971375,205.4107
204.035375,205.423625
204.10705,205.5773
204.146375,205.655375
204.16585,205.78685
204.2317,205.923725
204.294275,205.95245
204.35635,206.02465
204.3975,206.048525
204.4344,206.061875
204.52765,206.13375
204.57795,206.148925
204.671575,206.16385
204.716125,206.259275
204.88365,206.27375
204.95745,206.295475
205.002825,206.376425
205.0041,206.490975
205.0237,206.502475
205.0549,206.6372
205.05685,206.736825
205.0902,206.748175
205.12735,206.8326
205.129025,206.995875
205.1529,207.06045
205.1979,207.173225
205.276375,207.3896
205.31555,207.398325
205.3284,207.444525
205.38405,207.529675
205.425225,207.568125
205.460425,207.60275
205.49325,207.6241
205.494575,207.64855
205.547625,207.82685
205.590175,207.9843
205.61305,208.043425
205.644175,208.060375
205.735425,208.063075
205.7981,208.0839
205.823725,208.103925
205.83645,208.1645
205.8751,208.19895
205.88275,208.234375
205.9311,208.3692
205.96095,208.582525
205.99665,208.7289
206.048175,208.763625
206.096075,208.780675
206.16895,208.7991
206.199575,208.819975
206.282575,209.11155
206.316725,209.38615
206.393275,209.407675
206.4626,209.534325
206.607975,209.91625
206.6562,209.942975
206.69675,209.99185
206.821425,210.023075
206.88715,210.048875
206.906675,210.068225
206.99555,210.08025
207.07825,210.12595
207.0901,210.360675
207.1093,210.44335
207.140125,210.524525
207.3183,210.608325
207.387775,210.69935
207.3924,210.851875
207.410175,210.938225
207.426325,210.9595
207.49735,210.9747
207.593475,211.02505
207.626625,211.04055
207.79455,211.174775
207.834275,211.31035
207.914025,211.36765
207.98455,211.41845
208.038,211.459725
208.06895,211.569825
208.1126,211.637975
208.1747,211.840875
208.2319,211.90025
208.334675,212.1897
208.378125,212.2589
208.410525,212.297875
208.5299,212.33225
208.62485,212.359275
208.669975,212.455175
208.7026,212.47675
208.732025,212.499725
208.780775,212.6309
208.829825,212.641875
208.853725,212.662275
208.8955,212.6982
208.94595,212.791575
209.004075,212.8029
209.08385,212.8205
209.1514,212.887425
209.27215,212.943525
209.343625,212.980475
209.41735,213.162175
209.46775,213.246625
209.49055,213.2926
