SPK_SPKC01a,SPK_SPKC03a,SPK_SPKC07a,SPK_SPKC09b,SPK_SPKC10a,SPK_SPKC15a
3800.04215,3800.193275,3800.272425,3800.2689,3800.81065,3800.1337
3800.224,3800.2767,3800.616975,3800.53635,3804.6577,3800.272425
3800.2898,3800.405075,3802.08325,3800.612875,3804.736875,3800.375425
3800.523775,3800.99075,3802.69485,3800.7711,3805.86525,3800.616975
3800.59145,3801.688175,3803.0074,3800.963575,3806.47035,3800.78185
3800.704,3803.35935,3803.437975,3801.695,3807.5087,3800.985575
3800.8891,3803.416175,3805.3884,3801.8374,3808.200075,3801.251225
3801.037825,3803.918425,3805.5926,3802.05855,3808.71675,3801.403225
3801.0558,3804.033225,3806.66665,3802.122425,3808.925875,3802.074225
3801.12095,3805.42625,3807.021275,3802.3725,3809.163675,3802.08325
3801.274375,3805.963375,3807.518775,3802.669925,3809.183075,3802.190075
3801.355675,3806.499625,3807.954825,3803.019325,3809.52225,3802.21565
3801.43765,3807.213475,3808.314075,3803.187225,3809.626075,3802.69485
3801.551625,3807.350175,3808.86895,3803.95635,3809.63515,3802.96515
3801.8736,3808.0202,3809.103625,3804.127275,3809.993125,3803.025575
3802.317875,3808.15865,3809.2324,3804.2389,3810.369025,3803.17195
3802.391025,3808.910825,3809.914125,3804.6034,3810.82425,3803.25535
3802.57205,3809.13995,3809.9421,3805.865175,3810.829725,3803.43795
3803.010425,3810.084825,3810.1656,3806.564525,3811.1184,3804.142375
3803.41615,3810.83015,3810.423375,3806.670875,3811.468875,3804.29215
3803.437375,3810.9292,3811.038025,3809.183075,3813.30775,3804.4433
3803.568675,3811.0003,3811.203825,3809.1947,3813.3675,3804.597525
3803.672775,3811.068275,3811.613125,3810.159675,3813.905225,3805.388375
3803.955425,3811.9302,3812.8779,3811.53595,3814.21755,3805.866225
3804.07265,3812.12725,3813.114175,3811.9665,3814.274525,3805.881225
3804.15865,3812.41985,3813.36035,3812.510375,3815.788925,3806.649975
3804.28445,3812.5552,3814.189,3812.719425,3816.325875,3806.666625
3804.547175,3812.71355,3814.275575,3813.591225,3819.2183,3806.8715
3804.6287,3813.36315,3814.94915,3814.438575,3820.79865,3807.08665
3804.70285,3813.93465,3815.423075,3814.4675,3822.782475,3807.181225
3804.7369,3816.60805,3815.704575,3816.701,3825.4325,3807.32345
3804.800325,3817.85915,3816.459475,3817.64835,3825.6265,3807.3939
3805.123225,3818.717625,3817.063825,3817.8117,3827.09555,3807.47835
3805.37125,3818.873375,3817.30995,3818.384,3830.07255,3807.51875
3805.44705,3818.9823,3818.180525,3818.8638,3834.8221,3807.59575
3805.567775,3820.370175,3818.210825,3820.699625,3834.845175,3807.721925
3805.661225,3820.995775,3818.902125,3822.077125,3838.461775,3807.7847
3805.6768,3821.70305,3819.38115,3822.68575,3839.130025,3807.8844
3805.778925,3821.9074,3819.4474,3822.786175,3840.31565,3807.9548
3805.78365,3822.01795,3819.65875,3823.450925,3843.874775,3808.014125
3805.872275,3823.23395,3820.835525,3824.475975,3845.0624,3808.246425
3805.9716,3823.690025,3821.541025,3825.286375,3845.84235,3808.283925
3806.1744,3824.6988,3821.888525,3825.73885,3846.518625,3808.31405
3806.297625,3825.726175,3822.16935,3825.9679,3848.130275,3808.33565
3806.30065,3826.362425,3822.8788,3826.577575,3848.242,3808.4066
3806.444825,3827.807225,3823.327,3826.934175,3849.419125,3808.442825
3806.7219,3829.231775,3823.7492,3827.51135,3849.627475,3808.4806
3806.827325,3830.9494,3824.755875,3827.85135,3849.65575,3808.530175
3806.94805,3831.180675,3825.28825,3828.9425,3849.777325,3808.581275
3807.019275,3833.37115,3825.997575,3829.145925,3851.313275,3808.73135
3807.17115,3833.820675,3828.34855,3829.323275,3851.36235,3808.789925
3807.188,3833.987225,3829.15405,3829.515225,3851.729625,3808.868975
3807.363325,3834.446525,3830.407275,3829.750925,3852.816575,3808.909025
3807.429225,3834.73715,3830.84955,3830.5996,3855.0957,3808.959725
