SPK_SPKC05a (inh),SPK_SPKC09a (inhi),SPK_SPKC14a (no response or late inhi),SPK_SPKC15a (inhi)
0.29245,0.046625,0.604875,0.06
0.682525,0.30705,0.82455,0.280425
0.883125,0.5296,1.0949,0.514325
0.966575,0.5983,1.1079,0.6931
1.166175,0.82315,1.2454,0.7721
1.223825,0.968625,1.314775,0.858975
1.3603,1.094825,1.4243,0.9403
1.5822,1.161725,1.554175,1.06915
2.026275,1.248425,1.6292,1.16825
2.7081,1.369525,1.65685,1.29235
3.04325,1.529875,1.66705,1.459975
3.09315,1.596375,1.6801,1.67515
3.362925,1.6724,1.99915,1.7178
3.689675,1.8528,2.186125,1.8952
3.87095,1.978125,2.3684,2.16645
4.3979,2.242225,2.4775,2.2799
4.6307,2.379225,2.613325,2.330875
4.73345,2.437625,2.715975,2.599625
5.123725,2.564025,2.912425,2.892
5.596525,2.6616,3.100825,3.016625
5.860675,2.779275,3.502675,3.0679
6.490375,2.85095,3.545325,3.532425
6.965625,2.946425,3.5538,3.872375
7.1575,3.0592,3.5549,3.9579
7.312175,3.517825,3.8207,4.1403
7.706075,3.5461,3.863325,4.459725
7.97405,3.797675,3.87255,4.667225
8.27595,3.866275,3.897475,4.7763
8.390325,3.87725,4.182925,5.10845
8.648375,4.1663,4.296775,5.22245
8.74515,4.280325,4.4232,5.2872
9.0139,4.5081,4.653425,5.38725
9.77155,4.557575,4.74155,5.499825
9.81,4.6451,4.849925,5.584875
9.937425,4.732275,4.91315,5.704375
10.3483,4.822625,4.98725,5.83365
10.686825,5.059325,5.067,5.965725
11.064575,5.478025,5.50715,6.080025
11.306475,5.607625,5.63645,6.255025
11.426525,5.685325,5.843475,6.477975
11.514625,5.860675,6.12135,6.57475
11.617525,6.116825,6.209025,6.6858
12.989025,6.155025,6.28105,6.767675
13.112825,6.22945,6.636775,6.867675
13.425225,6.316,6.757525,7.112725
13.529475,6.461925,6.907275,7.243575
13.727075,6.632325,7.868525,7.36575
13.80435,6.85365,8.057525,7.52055
13.809325,6.97865,8.2167,7.64035
13.98205,7.2746,8.47,7.72555
13.9914,7.42525,8.584,7.835425
14.7514,7.736025,8.643475,7.92855
15.30465,7.838875,8.675,8.317725
15.451725,8.027875,8.79815,8.404075
15.51485,8.2363,8.9016,8.546125
15.5377,8.434925,9.09015,8.6409
15.6133,8.625875,9.173725,8.769725
15.836525,8.69115,9.3314,9.11695
16.2102,8.85005,9.660075,9.227325
16.225075,9.008075,10.063325,9.4524
16.45755,9.10835,10.256875,9.582225
16.801325,9.393,10.285275,9.689175
16.87455,9.598,10.460775,9.78625
16.945925,9.679025,10.552375,10.124175
17.0349,10.2317,10.623875,10.257575
17.076075,10.319125,10.69285,10.36655
17.213975,10.4676,10.75325,10.4258
17.307175,10.612825,10.938725,10.597925
17.3329,10.763825,11.138225,10.69205
17.33445,10.8664,11.20805,10.860725
17.3948,10.945725,11.232125,11.0393
17.51865,11.097725,11.242675,11.33455
17.659525,11.19175,11.291,11.35405
17.684925,11.315725,11.39205,11.441925
17.7922,11.368425,11.487375,11.59045
17.8521,11.49415,11.559225,11.700925
17.931875,11.55515,11.6255,11.993725
18.03305,11.617925,11.678425,12.1149
18.2245,11.6958,11.74695,12.229775
18.703825,11.73815,11.79065,12.236725
18.984375,11.801475,11.82195,12.546475
19.259675,11.903375,11.900225,12.9165
19.291025,12.048475,11.956825,13.0273
19.4588,12.192075,11.971075,13.149025
19.897125,12.2352,12.1621,13.760825
19.956125,12.409925,12.304525,13.914275
19.958275,12.508675,12.40565,14.1157
20.360325,12.589975,12.408025,14.77295
20.5814,12.676875,12.5924,15.01295
20.66565,12.816175,12.60235,15.129675
20.80375,13.15555,12.843425,15.2638
20.918275,13.6983,13.062175,15.801875
21.22735,13.804225,13.193325,16.18455
21.546775,13.882625,13.19985,16.322575
21.695775,14.021875,13.678275,16.351875
21.768125,14.239225,13.835575,16.5208
21.843025,14.300625,13.92655,16.7194
22.06365,14.3666,14.016525,16.8695
22.2315,14.427275,14.16955,16.975325
22.435125,14.52215,14.17965,17.10415
22.5833,14.610475,14.1818,17.285825
22.736375,14.767875,14.350975,17.412125
22.9746,14.83325,14.3647,17.50205
23.229775,14.948375,14.4265,17.7682
23.32145,15.045925,14.5357,17.794425
23.466225,15.16135,14.55505,17.88705
23.506725,15.26335,14.62135,18.119175
23.9728,15.348775,14.703575,18.536825
24.0927,15.507025,14.765175,18.8195
24.2575,15.6147,14.793325,19.0182
24.27435,15.706175,14.798175,19.15055
24.692925,15.915525,14.810875,19.2643
24.708675,15.97005,15.07645,19.335275
24.894925,16.120475,15.0849,19.4806
25.01285,16.201275,15.23195,19.797475
25.45205,16.270025,15.2504,19.976775
25.597575,16.4259,15.2818,20.088075
26.10935,16.5047,15.341775,20.27605
26.295375,16.8257,15.4289,20.3619
26.543,16.90335,15.44015,20.640125
26.7342,16.9861,15.45635,20.752
26.968375,17.0775,15.45775,21.043425
26.989425,17.202425,15.594475,21.2298
27.16385,17.3108,15.877475,21.36935
27.250775,17.382775,15.88035,21.526325
27.457825,17.39835,15.940475,21.66395
27.692675,17.619175,16.193625,21.869175
27.908625,17.745775,16.274525,22.01945
27.931325,17.789125,16.331775,22.1168
28.119375,17.803125,16.3729,22.13045
28.1365,17.90995,16.64625,22.4864
28.30095,18.079725,16.791225,22.5894
28.47825,18.166675,16.86435,22.69945
28.5738,18.30905,16.950825,22.836825
28.708775,18.4238,17.1871,23.025625
28.77845,18.641975,17.237575,23.0965
29.160225,18.701175,17.320525,23.18385
29.2106,18.840275,17.4572,23.438425
29.36525,19.160725,17.6638,23.611625
29.5053,19.4706,17.798875,23.866775
30.01255,19.6201,17.8077,23.96455
30.21935,19.794375,18.0206,24.205425
30.500075,19.8572,18.076425,24.39125
30.57045,20.1192,18.3187,24.60375
30.780275,20.29005,18.486925,24.847725
30.9546,20.798675,18.66395,24.978
31.2532,21.034425,18.7026,25.106225
31.4984,21.141675,18.966275,25.212575
31.595,21.28305,19.12725,25.33195
31.7077,21.36665,19.2521,25.56055
31.742825,21.49255,19.485175,25.69905
31.939225,21.632475,19.6629,25.927125
32.214625,21.916925,19.8557,26.30925
32.242025,22.01965,20.4822,26.49355
32.660925,22.1471,20.9566,26.581575
32.90565,22.315525,21.14925,26.7313
32.981925,22.38795,21.152675,26.838275
33.097925,22.7184,21.331375,26.9953
33.29925,22.843425,21.482425,27.039575
33.365125,23.08555,21.709475,27.170875
33.540075,23.098875,21.935,27.2922
33.749325,23.246825,22.0342,27.400625
33.947025,23.428125,22.135525,27.673925
33.971825,23.481625,22.284375,27.913925
34.805175,23.600475,22.3321,27.965125
35.081475,23.753,22.4811,28.016125
35.600275,23.832275,22.7162,28.167125
35.741875,23.921875,22.8123,28.266675
36.1917,23.99115,22.9936,28.39415
36.26625,24.131825,23.095325,28.683725
