SPK_SPKC01a (inhi),SPK_SPKC05a (inhi),SPK_SPKC07a (exc),SPK_SPKC13a (inhi)
220.303075,220.18265,220.1857,220.285075
220.68035,220.3228,220.224575,220.372875
220.6922,220.4264,220.26725,220.50635
221.0419,220.50635,220.2917,221.018825
222.134625,220.584625,220.4303,221.077525
224.184025,220.63655,220.63375,221.429625
224.218625,220.674625,220.652125,221.4731
224.310375,220.6775,220.7321,222.347875
224.75815,220.81175,220.822125,222.409525
224.771575,220.8909,221.01905,222.80645
224.844675,221.018825,221.4876,222.92175
225.58215,221.1514,222.3082,222.998475
225.793175,221.429625,222.36265,223.099475
225.945175,221.4731,222.443325,223.2936
226.653475,221.5421,222.825875,223.35185
228.188,221.735775,223.152125,223.421775
228.75395,221.80665,223.2107,223.696875
228.7581,222.0086,223.419025,223.742525
228.938,222.180675,223.698575,223.918625
228.947625,222.298325,223.911875,223.9441
228.982075,222.409525,223.939525,224.039275
229.0702,222.458775,223.9786,224.20875
229.22465,222.57495,224.082125,224.339675
229.54575,222.6972,224.24045,224.537275
229.580475,222.80645,224.294475,224.609125
229.772925,222.921725,224.36245,224.724975
229.7922,223.0995,224.4577,224.74595
229.95215,223.388075,224.7378,224.80525
229.994975,223.587425,224.7485,224.80745
230.018625,223.64905,224.769325,224.87815
230.163175,223.6969,224.950875,225.133175
230.169475,223.742525,225.084575,225.245975
230.1941,223.8052,225.171975,225.477425
230.202425,223.944075,225.469375,225.823075
230.2176,223.99185,225.852775,226.2247
230.332775,224.039275,226.049975,226.4145
230.693675,224.2088,226.378775,226.6708
230.984675,224.303025,226.573225,226.758575
231.002075,224.33965,226.659925,226.841025
231.121225,224.3642,226.79005,227.06095
231.47945,224.537325,227.237425,227.118725
233.359425,224.609125,227.379825,227.18335
234.168775,224.725,227.482825,227.2718
236.729325,224.745975,227.68705,227.31275
238.8591,224.80525,228.035575,227.45205
239.733425,224.807425,228.161725,227.56835
239.8573,224.835725,228.181125,227.725375
240.566,224.87815,228.194025,227.80555
241.0664,224.91715,228.270825,227.964775
241.586125,224.9554,228.2808,228.262075
243.155,225.014625,228.3869,228.314975
243.5763,225.20185,228.406175,228.422175
243.6198,225.370975,228.448425,228.458075
244.094775,225.650925,228.47095,228.484675
244.67795,225.704225,228.545725,228.5827
244.900575,225.786175,228.636075,228.6184
245.5655,225.8921,228.671,228.64045
245.960225,225.9379,228.673975,228.735325
246.6415,226.06055,228.716825,228.752025
246.813975,226.13395,228.8124,228.8582
246.96785,226.224725,228.814375,228.873625
247.120325,226.414525,228.890925,228.92475
247.450675,226.608375,228.9151,228.948625
249.0072,226.670875,228.9423,228.982325
249.25,226.75855,228.98695,229.1374
250.247525,226.84105,229.059425,229.263275
250.58355,227.060975,229.065025,229.306025
251.607475,227.118725,229.155525,229.4052
252.734275,227.15205,229.24085,229.464925
252.833525,227.183425,229.26375,229.501625
253.798025,227.2718,229.330575,229.60615
253.902625,227.31275,229.39335,229.698725
254.644125,227.366475,229.4032,229.7022
255.128425,227.4061,229.4515,229.74675
255.14695,227.452075,229.534975,229.815775
255.9601,227.513375,229.6027,229.9206
257.079725,227.568375,229.640925,229.9571
257.380975,227.7254,229.67145,229.986875
257.47,227.805575,229.692925,230.06205
259.292725,227.902,229.7724,230.1121
260.3641,227.96475,229.791225,230.14065
260.4535,228.179575,229.82435,230.162225
260.5789,228.19425,229.855075,230.274425
261.481575,228.293825,229.871075,230.465675
262.3103,228.422175,229.924525,230.510875
262.6574,228.537625,229.955725,230.567125
264.36725,228.5827,230.07605,230.740375
264.626975,228.668425,230.086075,230.804125
265.0589,228.6842,230.128775,231.031175
265.716825,228.7024,230.1718,231.133625
266.158625,228.75205,230.1981,231.25835
267.130475,228.8582,230.22935,231.4313
267.59015,228.907075,230.26835,231.50145
267.880175,228.924775,230.327175,231.653025
268.1073,228.94865,230.335725,231.732275
268.19145,228.98235,230.3832,231.787875
268.24025,229.010125,230.445575,231.962025
270.211825,229.031675,230.4617,232.07615
270.611725,229.05905,230.50325,232.151325
271.6372,229.0839,230.53595,232.215825
272.5982,229.164375,230.608225,232.360525
272.6995,229.263325,230.63335,232.395025
272.765125,229.285525,230.709825,232.498
272.8108,229.306075,230.7154,232.61305
272.90875,229.382825,230.833725,233.009775
273.5961,229.405225,231.107825,233.165925
274.028175,229.423575,231.274675,233.3924
274.4334,229.60615,231.361375,233.686675
274.558975,229.672175,231.43795,233.740525
274.7144,229.69875,231.494175,233.874925
275.308775,229.868425,231.553925,234.625425
275.396725,229.98685,231.603825,234.9231
275.41135,230.115775,231.66805,235.011625
275.547825,230.162225,231.772525,235.263025
275.6157,230.2202,231.85875,235.453475
275.71875,230.274475,231.926275,235.64065
275.7415,230.33465,232.162375,235.9967
275.806425,230.465675,232.309425,236.3826
275.9745,230.640975,232.3651,236.77945
276.1017,230.69135,232.465025,237.013975
276.107975,230.9556,232.526075,237.331775
276.148525,231.2324,232.60335,237.5163
276.212325,231.553375,232.845,237.605
276.242025,231.653025,233.34295,237.8124
276.308175,231.7323,233.370725,237.853
276.3727,231.7879,233.489775,237.876775
276.473375,231.855575,233.597325,237.92735
276.497025,231.912575,233.7051,238.327225
276.5467,231.96205,233.81305,238.546925
276.721425,232.151325,233.90405,238.8113
276.787375,232.21585,235.65735,238.8916
277.07255,232.30085,236.746525,239.063675
277.13795,232.36055,237.345475,239.15185
