SPK_SPKC02a (no response),SPK_SPKC09a (no response)
0.115725,0.189725
1.434,1.433975
1.462675,1.462675
1.477775,1.47775
1.501975,1.501925
1.5256,1.52825
1.528275,1.535825
1.544725,1.56255
1.562575,1.684425
1.684475,1.7081
1.76035,1.73635
1.777875,1.896075
1.8961,2.066825
1.99025,2.122875
2.066875,2.133625
2.1229,2.16805
2.1294,2.2562
2.133625,2.267275
2.168075,2.34075
2.256225,2.384525
2.267325,2.3941
2.2763,2.459475
2.340775,2.55725
2.38455,2.697125
2.459525,2.75705
2.757075,2.76365
2.76365,2.857875
2.796425,2.877475
2.857875,2.94985
2.8775,3.087275
2.949925,3.1814
3.181425,3.207625
3.20765,3.245675
3.245675,3.327275
3.3273,3.372725
3.390225,3.3902
3.4328,3.432775
3.438225,3.438275
3.444925,3.444875
3.4592,3.45385
3.46675,3.459175
3.5596,3.46665
3.880125,3.55955
3.91195,3.880125
4.032275,3.911925
4.03845,3.941575
4.069325,3.99345
4.1467,4.03225
4.1606,4.038375
4.166875,4.064175
4.180175,4.0693
4.234725,4.1467
4.459175,4.160575
4.828725,4.16685
4.836325,4.228375
4.900175,4.2347
5.26945,4.259725
5.27755,4.45915
5.292025,4.6704
5.5715,4.8287
5.6912,4.8363
5.778475,4.90015
5.802975,5.269425
5.82235,5.2775
6.4725,5.292
6.575775,5.571475
6.61335,5.778425
6.854075,5.802925
6.871125,5.822325
6.89915,6.472475
6.958775,6.575725
7.055075,6.613325
7.094375,6.85405
7.165,6.8711
8.19755,6.8862
8.2452,6.89905
8.27775,6.905875
8.367025,6.92255
8.65185,6.958775
8.962,7.05505
8.98545,7.09435
9.1406,7.165
10.287825,8.197525
10.98835,8.245175
11.0077,8.277725
12.746475,8.651825
14.147325,8.96195
14.477425,8.985425
14.82895,9.140575
14.88745,9.52735
15.119975,9.841825
15.156825,10.287775
16.4156,10.988325
18.61235,11.007675
18.67255,11.09715
19.734125,12.3222
20.603225,12.74645
21.730275,13.87515
21.749825,14.0488
21.82765,14.147275
21.847925,14.828925
21.850875,14.88745
22.372175,15.11995
22.42325,15.1568
22.44685,15.4046
22.44865,16.415575
22.463125,16.42935
22.5111,16.866
22.533925,17.434775
22.581725,18.165625
22.59245,18.612325
22.602475,18.71925
22.639125,19.734075
22.78615,20.423575
22.8072,20.556825
22.8191,20.603225
22.822725,21.73025
22.83825,21.7498
22.8634,21.7876
22.865825,21.82765
22.868925,21.847925
22.876,22.3722
22.91105,22.42325
22.917325,22.44865
23.0841,22.463125
23.128875,22.533875
23.157675,22.581725
23.40285,22.645975
23.440875,22.786075
23.593825,22.807175
23.6178,22.81905
23.66745,22.8291
23.70135,22.83625
23.7455,22.863325
23.887675,22.911025
24.130425,22.9173
24.2509,22.95055
24.328075,23.042725
24.391475,23.083
24.4301,23.08405
24.503675,23.128825
24.59605,23.157625
24.7096,23.40375
24.71345,23.4408
24.72445,23.575075
24.73305,23.593775
25.10135,23.667425
25.533425,23.691775
25.654125,23.701375
25.691275,23.7455
25.705625,23.88765
25.838775,23.890675
25.94615,24.07185
26.15795,24.130425
26.187525,24.250875
26.282,24.328025
26.7579,24.39145
26.7612,24.430075
26.92815,24.4954
27.001275,24.503625
27.216775,24.513075
27.225075,24.596
27.252975,24.7096
28.16335,24.7244
28.215025,24.733025
28.465,24.9802
28.5076,24.99585
28.534225,25.101325
28.5762,25.533375
28.621975,25.6541
29.778975,25.691225
29.79705,25.838775
29.8538,25.946125
30.034,26.187525
30.041025,26.281975
30.051075,26.7579
30.0615,26.76115
30.067425,26.928125
30.07375,27.0012
30.07885,27.21675
30.205625,27.225075
30.210225,27.25295
31.00825,28.163325
31.01845,28.215
31.025125,28.5076
31.0522,28.534175
31.135875,28.576175
31.149975,28.621975
31.212525,29.40765
31.217625,29.77895
31.356425,29.797025
31.363275,29.85365
31.368625,29.93555
31.372025,30.033975
31.378375,30.05105
31.432775,30.0615
31.4562,30.078825
31.7865,30.095975
31.797975,30.20555
31.80115,31.008225
32.1117,31.018425
32.138825,31.13585
32.3434,31.146825
32.376925,31.2125
32.388775,31.3564
32.39545,31.363225
32.433075,31.368575
32.437,31.372
32.448275,31.432775
32.45255,31.4561
32.57705,31.770875
32.604025,31.786475
32.652675,31.79795
33.763275,31.801125
33.842675,32.111675
34.80135,32.1388
34.8374,32.343375
34.915075,32.3769
34.9255,32.38875
34.930175,32.405075
34.9437,32.436975
35.0252,32.44825
35.216475,32.4525
35.363625,32.65265
35.4708,33.76325
36.461925,33.842625
37.64615,34.76485
38.953675,34.837375
39.24015,34.91505
39.244675,34.925475
39.2879,34.9301
39.29375,34.9332
39.979225,35.2165
39.989525,35.363625
40.008275,35.470775
41.311425,36.32185
41.33165,36.4568
41.372325,36.460525
41.737975,36.4619
42.25095,37.646125
42.252425,38.63945
42.279075,38.65505
42.5231,38.95365
42.530975,39.2402
44.33825,39.2447
44.511725,39.256975
45.456825,39.986875
46.938025,39.9895
47.2834,41.3114
47.3241,41.331625
