SPK_SPKC01a (no response),SPK_SPKC03a (late inhi?),SPK_SPKC10a (inhi),SPK_SPKC12a (inhi)
400.01165,400.007075,400.012225,400.0206
400.097475,400.03975,400.05345,400.2878
400.14205,400.081525,400.0997,400.42995
400.148075,400.124975,400.134975,400.521775
400.15625,400.1685,400.181125,400.7272
400.165225,400.198875,400.237025,400.813025
400.196125,400.23355,400.297675,400.8395
400.222875,400.2677,400.329975,400.96485
400.269825,400.302025,400.37175,401.0601
400.28125,400.338525,400.4065,401.14285
400.373325,400.371175,400.5084,401.175925
401.0815,400.4046,400.55665,401.2603
401.09845,400.4278,400.5903,401.440975
401.1136,400.462125,400.62655,401.764325
401.29955,400.498425,400.68535,402.02425
401.329925,400.5408,400.735825,402.09965
401.97995,400.57305,400.798025,402.1446
402.44835,400.62885,400.809025,402.199875
402.499775,400.6524,400.871125,402.3242
402.514375,400.67495,400.915325,402.354225
402.581375,400.717875,400.966825,402.633825
402.636475,400.743475,401.00795,402.70005
402.745625,400.7862,401.051275,402.800375
403.265275,400.827625,401.184475,402.85035
403.446175,400.8872,401.2391,402.95435
403.88365,400.9353,401.248775,403.177075
404.645475,400.987925,401.288675,403.271075
404.688425,401.036825,401.33375,403.35315
404.70015,401.0924,401.4281,403.582925
404.721025,401.13285,401.470275,403.65055
404.728525,401.172,401.5251,403.67465
404.7416,401.203425,401.584825,403.8169
404.7804,401.262775,401.67645,403.857775
404.79595,401.311725,401.716025,404.14995
404.8083,401.3469,401.755075,404.1895
404.82325,401.367675,401.77785,404.3683
404.833775,401.39795,401.85305,404.430425
404.85185,401.456,401.90645,404.48355
404.91475,401.519725,401.9631,404.563875
404.933275,401.553225,402.012075,404.66325
404.962025,401.57685,402.0652,404.783525
405.00175,401.604725,402.1075,405.00485
405.023325,401.6292,402.13615,405.07635
405.2248,401.645725,402.199225,405.1692
405.247375,401.681275,402.248575,405.326525
405.2598,401.717975,402.304725,405.406975
405.26295,401.754025,402.33205,405.4716
405.2703,401.7901,402.3884,405.572175
405.28625,401.837425,402.426025,405.6818
405.2969,401.882375,402.469425,405.73375
405.69085,401.923025,402.507875,405.834875
407.131175,401.9649,402.555825,405.926675
407.45755,402.01605,402.647575,406.008325
407.485225,402.05365,402.6919,406.063075
407.7272,402.099125,402.7448,406.10385
407.869,402.156975,402.7864,406.1346
407.926675,402.168625,402.82935,406.172375
407.941125,402.184375,402.868225,406.249425
407.9646,402.210825,402.94195,406.29535
408.257,402.2422,402.97935,406.3576
408.277875,402.269725,403.10655,406.45765
408.295425,402.310475,403.133775,406.483925
408.39675,402.367825,403.173025,406.53265
408.6686,402.41165,403.22755,406.60065
408.981475,402.4433,403.252725,406.755725
409.299275,402.468925,403.259825,406.786275
409.367375,402.50475,403.3101,406.9445
409.4348,402.5459,403.35355,406.975225
409.44385,402.57375,403.389875,407.048725
409.453525,402.620725,403.544975,407.081375
409.483125,402.656875,403.59,407.251075
409.90845,402.681075,403.63465,407.314325
410.162225,402.70615,403.6727,407.387375
410.21815,402.74145,403.702925,407.598125
410.272675,402.781425,403.73425,407.636775
410.689925,402.81555,403.77075,407.65675
410.885975,402.8533,403.84325,407.683525
410.910125,402.87665,403.8776,407.837525
411.178975,402.913575,403.929175,407.919925
411.2142,402.94925,404.1154,407.940425
411.25,402.975025,404.1766,407.988725
411.267825,403.015225,404.206375,408.051025
411.301075,403.03445,404.2439,408.105675
411.3102,403.092375,404.278375,408.1925
411.317425,403.127975,404.336875,408.23855
411.3248,403.160375,404.41185,408.3322
411.3322,403.1768,404.4581,408.40785
411.343775,403.1923,404.487525,408.4683
411.3944,403.219425,404.526325,408.527775
411.65055,403.246575,404.5991,408.56185
412.6745,403.285375,404.6389,408.722675
412.7255,403.3361,404.66795,408.812925
412.74505,403.375475,404.75195,409.004875
412.7582,403.42455,404.8334,409.192025
412.778425,403.45475,404.868225,409.27165
412.784075,403.480475,404.908175,409.354525
412.8032,403.508275,404.942725,409.407875
412.900725,403.549475,404.969825,409.49655
412.938075,403.586325,405.037025,409.528675
412.9732,403.627225,405.07665,409.587875
412.98565,403.6581,405.105025,409.612925
413.15025,403.7094,405.1931,409.65595
413.17525,403.79985,405.23675,409.7813
413.230875,403.83815,405.276075,409.967125
413.777525,403.87005,405.33135,410.032225
413.837975,403.8825,405.3834,410.0958
414.14235,403.9048,405.4243,410.181475
414.175025,403.925525,405.469525,410.453525
414.482775,403.956125,405.559275,410.501875
414.50075,404.0075,405.60995,410.65355
415.078475,404.0435,405.791975,411.19485
415.509725,404.07875,405.837625,411.261825
415.527825,404.119625,405.88455,411.327775
415.631575,404.152475,405.923925,411.422875
415.6501,404.20265,405.959675,411.53135
415.65865,404.221125,406.009525,411.67895
415.683025,404.257875,406.07715,411.7117
415.72135,404.287625,406.1445,411.815625
415.7332,404.3061,406.178625,411.83415
415.75195,404.333875,406.2519,412.045325
415.766275,404.3652,406.301025,412.1217
415.78465,404.390975,406.32545,412.1452
415.8211,404.414675,406.356325,412.25085
415.827725,404.452175,406.43425,412.5076
415.838775,404.47745,406.46125,412.58395
415.85745,404.5126,406.545,412.60095
415.8869,404.5476,406.5763,412.63315
415.898975,404.5734,406.607525,412.702975
415.91405,404.6051,406.754375,412.72805
415.937275,404.642525,406.829075,412.931975
415.973475,404.68065,406.862175,412.95875
415.9763,404.729425,406.90755,413.151375
416.009025,404.758125,406.9616,413.411925
416.02825,404.8065,406.995125,413.444975
416.069875,404.843875,407.246775,413.57155
416.0799,404.89345,407.263075,413.618525
416.4658,404.937125,407.27935,413.810375
416.65225,404.97375,407.314225,413.867275
417.03585,405.0163,407.3742,413.933625
417.0978,405.04525,407.481625,414.101775
417.113825,405.057,407.544625,414.137925
417.275925,405.076725,407.58525,414.195625
417.851375,405.108175,407.703225,414.26035
418.066575,405.153575,407.86455,414.369925
418.127375,405.18645,407.902,414.398375
418.130675,405.230275,407.955075,414.41985
418.159075,405.263,407.9848,414.490525
418.191975,405.315675,408.068575,414.572925
418.21045,405.36685,408.106175,414.693625
418.223,405.42345,408.141175,414.771925
418.231825,405.49185,408.183775,415.037075
418.24425,405.53405,408.2514,415.32425
418.2538,405.589025,408.266825,415.4492
418.289375,405.63745,408.466425,415.5292
418.3704,405.677375,408.510725,415.69415
418.399125,405.713625,408.648425,415.74485
418.611975,405.74075,408.6879,415.789375
418.935025,405.777075,408.739925,415.8572
419.028225,405.818325,408.879575,415.888175
419.470675,405.86675,408.9203,415.97795
419.5394,405.909225,408.955775,416.023525
419.55785,405.9541,409.012,416.198025
419.575225,405.990575,409.0428,416.2744
420.10655,406.048,409.078325,416.4386
420.626775,406.118,409.1791,416.526025
420.7966,406.148,409.2301,416.637
420.872375,406.172675,409.267,416.669425
420.9035,406.2103,409.34495,416.723825
420.953375,406.23265,409.3894,416.756525
420.99365,406.2636,409.433925,416.834
421.02565,406.28885,409.4747,416.915525
421.046025,406.3059,409.559125,416.9882
421.0557,406.331975,409.6019,417.041375
421.065175,406.351925,409.646675,417.1282
421.11145,406.365925,409.693475,417.18105
421.151325,406.391125,409.735875,417.23625
421.161325,406.421325,409.7608,417.29585
421.192125,406.444775,409.795525,417.325725
421.2044,406.465875,409.8885,417.41455
421.215975,406.480975,409.9115,417.667175
421.240375,406.4977,409.981875,417.698725
421.2764,406.52615,410.118275,417.951475
421.333725,406.55175,410.138925,418.079625
421.3537,406.5818,410.1851,418.104675
421.4873,406.607825,410.219125,418.2746
421.9973,406.625825,410.264175,418.351975
422.1234,406.639125,410.299625,418.403075
422.1272,406.6489,410.35465,418.473525
422.19045,406.6583,410.389,418.533175
422.222225,406.6665,410.419125,418.57605
422.238425,406.676225,410.465075,418.589775
422.256575,406.687575,410.494725,418.623125
422.289275,406.7058,410.52355,418.691225
422.2995,406.717975,410.56135,418.745275
422.3104,406.73235,410.5823,418.779225
422.33285,406.7476,410.640125,418.92885
422.68695,406.7668,410.662675,418.972875
423.242575,406.791725,410.69025,419.36015
423.2867,406.8151,410.773625,419.40275
423.345025,406.833575,410.807525,419.524025
423.353,406.8507,410.857525,419.6496
423.3732,406.863025,410.89485,419.765575
423.3797,406.885425,410.9202,419.9829
423.38975,406.9124,410.952375,420.02575
423.398475,406.9295,411.058025,420.103975
423.411325,406.9488,411.0785,420.145325
423.8807,406.96475,411.106425,420.162125
424.098425,406.9882,411.14765,420.3184
424.19825,407.0066,411.271125,420.41525
424.25825,407.019625,411.319475,420.4411
424.28995,407.04525,411.393775,420.5274
424.329375,407.0598,411.427275,420.79485
424.36135,407.079625,411.489775,420.946025
424.37335,407.0996,411.530875,421.016175
424.381925,407.118125,411.571275,421.141275
424.40295,407.131025,411.59815,421.19205
424.414325,407.151925,411.6284,421.365025
424.4227,407.160475,411.6668,421.451025
424.429,407.17445,411.70105,421.4813
424.453775,407.18815,411.757325,421.51165
424.46375,407.20305,411.802625,421.553275
424.481675,407.224875,411.843275,421.597075
424.646725,407.240975,411.95105,421.65605
424.6551,407.254,411.983925,421.7173
424.6724,407.264,412.055825,421.76645
424.874925,407.273875,412.101225,421.8525
424.89145,407.287975,412.18155,421.8819
424.903,407.306475,412.230575,422.0268
424.97015,407.3293,412.248375,422.19395
425.34025,407.34685,412.2821,422.22525
425.354525,407.362425,412.314175,422.31755
425.362175,407.377425,412.355175,422.371625
425.4089,407.39375,412.429475,422.4
425.4501,407.415375,412.4786,422.545575
425.45955,407.434325,412.54025,422.586375
425.48125,407.45785,412.571175,422.6401
425.50135,407.47115,412.6483,422.6937
425.512725,407.48605,412.694875,422.803175
426.49095,407.501625,412.72605,422.90725
426.54165,407.52135,412.803275,422.966075
426.5509,407.555075,412.86855,422.98655
426.61025,407.591125,412.911025,423.154425
426.62075,407.616225,412.988725,423.33545
426.691875,407.6461,413.0397,423.521025
426.7204,407.674075,413.097175,423.569
426.744025,407.69465,413.17825,423.5897
426.813225,407.724475,413.269975,423.713425
426.8156,407.7623,413.317,423.72
426.839975,407.7948,413.356125,423.915125
426.858875,407.818975,413.402925,423.985225
427.55845,407.859,413.483525,424.006525
428.2489,407.898725,413.5193,424.16285
429.0375,407.924925,413.5609,424.364425
429.285475,407.95855,413.63575,424.4313
429.28695,407.980825,413.720025,424.459825
429.373775,408.0026,413.76345,424.48045
429.4208,408.03975,413.808675,424.496375
429.4377,408.086475,413.8448,424.533375
429.7158,408.12845,413.9544,424.8306
429.7894,408.17045,413.99015,424.923775
429.79935,408.227,414.01295,424.96725
429.811725,408.2626,414.054675,425.175675
429.83325,408.292425,414.09245,425.188675
430.399425,408.31495,414.1222,425.228325
430.418,408.327,414.151875,425.406625
430.427475,408.345975,414.1873,425.54745
430.463375,408.3701,414.273525,425.580275
430.48525,408.4052,414.356825,425.624525
430.551525,408.50945,414.434,425.659625
430.587475,408.55675,414.47325,425.743725
430.694625,408.586975,414.51525,425.8069
430.91335,408.643375,414.57985,425.930675
430.930325,408.67645,414.6071,426.014675
430.94895,408.704825,414.6665,426.223775
431.000275,408.7412,414.7094,426.23285
431.0155,408.77975,414.756375,426.398375
431.04535,408.81195,414.783575,426.472125
431.099025,408.840125,414.8457,426.72825
431.434025,408.87225,414.885775,426.7749
431.480125,408.900675,414.916175,426.796925
431.886925,408.92815,414.94635,426.817275
431.91815,408.9615,414.97495,426.868425
431.9944,408.99935,414.990325,426.89885
432.009325,409.0344,415.033175,426.929075
432.127525,409.075275,415.05665,427.0134
432.2568,409.089975,415.0802,427.057625
432.299,409.10825,415.11305,427.114025
432.316925,409.13355,415.24895,427.347825
432.342625,409.16555,415.2716,427.397725
432.36955,409.21475,415.353125,427.4191
432.387075,409.259475,415.452825,427.466625
432.66035,409.3072,415.47865,427.48415
432.9654,409.339425,415.5109,427.558975
433.296,409.371,415.54845,427.5923
433.325725,409.4294,415.601825,427.7043
433.351425,409.480375,415.664575,427.877525
433.35955,409.51975,415.725975,428.038825
433.4709,409.55105,415.7637,428.144975
433.486075,409.600575,415.794025,428.2367
433.50005,409.650575,415.826,428.255375
433.974,409.6922,415.861775,428.43825
433.999225,409.715275,415.939825,428.466925
434.199925,409.7482,415.974825,428.808425
434.2544,409.8137,416.010575,429.275875
434.2887,409.863975,416.057425,429.380925
434.30675,409.9204,416.133875,429.54705
434.316975,409.95735,416.189,429.5884
434.327775,410.002625,416.23485,429.8059
434.477325,410.04635,416.2681,429.82945
434.5302,410.110725,416.313025,429.87185
434.5507,410.15475,416.38085,429.97
434.58605,410.20565,416.4655,430.04
434.602525,410.248225,416.476325,430.180825
434.61335,410.284775,416.492525,430.26885
434.62325,410.309775,416.55175,430.589725
434.632175,410.3354,416.6457,430.696075
434.63815,410.356825,416.705525,430.821325
434.756875,410.3953,416.746875,430.9418
434.95575,410.4238,416.8375,431.07225
435.43925,410.4523,416.88415,431.32345
435.47625,410.480825,416.9135,431.3765
435.518225,410.505625,416.95455,431.437475
435.551475,410.54225,417.019275,431.497825
435.611775,410.586075,417.062525,431.6149
436.249325,410.620375,417.0858,431.7237
436.29475,410.673875,417.12715,432.04675
436.331825,410.694225,417.178675,432.083325
436.365975,410.7341,417.2984,432.176675
436.379325,410.767975,417.34365,432.254875
436.390675,410.8283,417.3869,432.2624
436.428925,410.874975,417.410525,432.370675
436.454375,410.92805,417.43255,432.78385
436.466475,410.952275,417.505575,432.860575
436.48305,410.9663,417.54105,432.87865
436.55935,410.999475,417.578475,433.0868
436.63565,411.04825,417.628575,433.32845
436.7268,411.112575,417.642675,433.39855
436.748425,411.169975,417.68195,433.7177
436.99425,411.21125,417.710775,433.82605
437.06,411.25575,417.740175,434.107975
437.09315,411.304475,417.7506,434.438925
437.1491,411.34025,417.781175,434.505125
437.180175,411.3818,417.916575,434.632925
