SPK_SPKC03a (no response),SPK_SPKC06a (no response),SPK_SPKC12a (no response)
0.0617,0.130375,0.051725
0.465425,0.156,0.204825
0.701125,0.2588,0.236425
1.030175,0.6559,0.320175
1.484775,0.667125,0.36275
1.729225,1.293575,0.4117
1.765675,1.324075,0.67745
2.036825,1.887025,0.701525
2.351175,1.948975,0.726675
2.365875,1.970275,0.864625
2.398175,2.07945,0.949375
2.5583,2.16325,0.974425
2.7191,2.2847,1.014275
2.781475,2.433775,1.076
2.94745,2.576875,1.093275
3.30215,2.61815,1.1173
3.472125,2.753225,1.137175
3.545225,2.8535,1.16745
3.662975,3.066125,1.436175
4.180625,3.230825,1.52055
4.444025,3.367025,1.576725
4.512125,3.445175,1.599225
4.629975,3.62905,1.76485
4.9129,3.812625,1.811375
4.992875,3.995475,1.91005
5.23545,4.24255,1.9978
5.4421,4.260725,2.111025
5.5951,4.416725,2.23815
5.6527,4.5973,2.3463
5.70025,4.639675,2.3699
5.7942,5.16425,2.462675
5.926525,5.702575,2.550675
6.095275,5.86475,2.5857
6.402325,6.03495,2.694175
6.5768,6.491625,2.703475
6.82085,6.6362,2.725125
6.897425,6.806725,2.7806
6.998625,7.0311,2.814125
7.37565,7.068575,2.9481
7.48545,7.294575,3.106825
7.503925,7.8197,3.114425
7.6324,7.974875,3.145875
7.81975,8.009975,3.288125
7.9426,8.27905,3.35365
8.47405,8.39305,3.564525
8.511525,8.5277,3.591225
8.58365,8.588925,3.6209
8.705925,8.767525,3.65055
8.74085,8.83765,3.693075
8.74965,8.85585,4.020575
8.877525,8.86285,4.05695
8.999325,9.0464,4.11565
9.15085,9.18055,4.186425
9.3292,9.8198,4.208125
9.659475,9.968625,4.294925
9.6752,10.1453,4.30765
9.68125,10.19335,4.33815
10.173525,10.222475,4.350925
10.270375,10.233025,4.612525
10.41015,10.29225,4.674025
10.55105,10.3161,4.721925
10.768125,10.353,4.7439
10.918025,10.37355,4.970275
10.991675,10.48375,5.137875
11.191425,10.608875,5.3829
11.375175,10.709225,5.5594
11.460175,11.08555,5.626975
11.677875,11.1476,5.752125
11.7123,11.219275,5.78
11.81295,11.2774,5.856225
12.096525,11.426625,6.032875
12.139825,11.646125,6.0785
12.39595,11.681625,6.09645
12.4369,11.776825,6.167
12.458725,12.21095,6.2545
12.573475,12.23555,6.2859
12.734,12.334075,6.468675
12.806425,12.790025,6.655
12.919725,12.94375,6.70075
12.9218,12.99305,6.746525
12.942575,13.03015,6.96975
13.04105,13.04965,7.000575
13.309925,13.12825,7.025975
13.4748,13.4042,7.13725
13.4974,13.4469,7.150975
13.641375,13.693175,7.169625
13.793225,13.838625,7.40325
14.1344,13.98915,7.483825
14.2969,14.046775,7.5524
14.524675,14.109775,7.73545
14.546525,14.17805,7.813625
14.556975,14.40495,7.90535
14.67555,14.5,7.9753
14.733375,14.5269,8.00225
14.897375,14.551825,8.361075
