SPK_SPKC04a (inhi),SPK_SPKC08a (sharp exc?),SPK_SPKC09a (no opto-tagging)
0.007125,7.043125,0.003425
0.029325,7.05535,0.0274
0.061625,7.481,0.039
0.08345,9.056025,0.05935
0.1171,9.474375,0.068675
0.1469,9.67595,0.08555
0.173175,11.3264,0.099825
0.2016,11.38745,0.1112
0.23605,11.471225,0.13985
0.266125,12.61785,0.18085
0.3127,13.912675,0.201775
0.34675,13.957025,0.215225
0.418,14.745375,0.22515
0.477575,14.79635,0.260075
0.5389,15.851725,0.2749
0.5936,15.918325,0.349625
0.64465,17.798575,0.3667
0.74605,19.315325,0.384875
0.816775,19.364875,0.409575
0.877275,20.026925,0.444175
0.9559,21.0077,0.46945
1.020125,21.264525,0.5057
1.0955,21.36635,0.52435
1.155525,22.077,0.538625
1.282225,22.1151,0.564275
1.341125,22.158,0.59955
1.39535,22.7071,0.621525
1.483075,22.976625,0.67245
1.586775,23.084275,0.695125
1.69695,23.70355,0.75425
1.760825,24.5623,0.779925
1.8277,24.726875,0.8041
1.912875,25.074475,0.85
1.96195,25.2352,0.889525
2.008625,25.456925,0.937225
2.056925,25.63195,0.96875
2.127825,25.6863,0.9963
2.1969,25.88015,1.01805
2.286925,26.03475,1.03885
2.37605,26.1615,1.058625
2.4421,26.188725,1.07375
2.49245,26.487525,1.088125
2.53835,26.6984,1.107525
2.6083,27.0194,1.13875
2.67275,27.91005,1.1531
2.7339,28.5874,1.19555
2.784675,28.75195,1.2108
2.840775,29.81095,1.233425
2.88645,31.411125,1.2652
2.9566,32.10515,1.286775
3.00855,32.1279,1.312775
3.048325,32.3158,1.410475
3.12705,32.9385,1.44645
3.186775,33.2954,1.4894
3.23635,33.478125,1.502675
3.2852,33.733225,1.53745
3.367925,35.367675,1.5617
3.432675,35.616025,1.5816
3.498875,35.697975,1.5886
3.552725,35.93015,1.60595
3.60935,36.0039,1.62355
3.67075,36.115875,1.647625
3.746,36.603325,1.685025
3.875925,36.63365,1.70195
3.954225,36.74885,1.74045
4.041825,37.27875,1.78205
4.1028,37.616925,1.850875
4.155225,38.91865,1.899725
4.2349,39.471675,1.928125
4.2887,39.498075,1.935475
4.319725,39.895775,1.957625
4.366375,41.10905,1.97195
4.416675,42.122525,2.00435
4.473325,47.104325,2.013925
4.597775,48.040575,2.070075
4.6521,48.36215,2.101525
4.699425,48.771475,2.130975
4.76675,48.866275,2.162875
4.8416,48.923675,2.2162
4.907175,49.086175,2.27455
4.98065,49.17235,2.302525
5.03435,49.198675,2.357475
5.094575,49.292825,2.379775
5.1536,49.3525,2.39975
5.22165,49.3774,2.4296
5.271575,49.48485,2.4478
5.31995,49.6428,2.464375
5.368825,50.17185,2.479275
5.43845,50.211375,2.5028
5.492925,50.618,2.531575
5.551225,51.167725,2.550075
5.59875,56.092075,2.5892
5.6311,56.28305,2.6224
5.687375,57.151925,2.658775
5.72795,60.650275,2.68745
5.79335,61.029775,2.737075
5.864125,61.535625,2.815875
5.9304,61.585025,2.8558
5.990575,61.749425,2.891975
6.018,63.5192,2.90695
6.05475,63.655325,2.92385
6.120475,64.77375,2.951975
6.175025,65.941225,2.97585
6.2267,66.627425,2.988625
6.27225,67.321525,3.0054
6.3372,67.4378,3.019775
6.3682,68.189775,3.05275
6.409875,69.97115,3.0745
6.438,71.067125,3.12245
6.478325,73.92,3.164
6.497525,75.04075,3.18845
6.556475,75.74265,3.21235
6.67355,75.87845,3.237075
6.74045,76.12615,3.273625
6.76415,76.9108,3.29345
6.77865,77.476875,3.303175
6.801425,77.6418,3.32765
6.817975,78.8924,3.340225
6.83085,79.169975,3.354975
6.860275,79.30435,3.383725
6.8889,79.3734,3.414775
6.913525,79.437575,3.4438
6.930025,79.51815,3.484825
6.954875,79.6395,3.507
6.9888,79.819575,3.5297
7.00835,79.952325,3.5611
7.051225,80.3786,3.5944
7.085625,80.44145,3.628125
7.117925,80.845875,3.67405
7.170025,80.91255,3.7068
7.20125,81.29685,3.73345
7.238025,81.367625,3.854825
7.2621,81.6201,3.884925
7.317475,81.992375,3.9084
7.348125,82.271525,3.94315
7.394075,82.542925,3.970225
7.4323,82.872575,3.9903
7.457425,83.23065,4.0277
7.482175,83.396175,4.05625
7.528275,83.47275,4.066625
7.57095,83.848975,4.090475
7.612925,84.181375,4.102275
7.680175,84.37845,4.127575
7.723425,84.497425,4.14865
7.790425,84.75815,4.190375
7.890775,84.953175,4.219975
7.957275,85.11385,4.24385
8.04865,85.277975,4.2658
8.1219,85.5751,4.286975
8.1746,85.679175,4.3131
8.19205,85.930125,4.335675
8.208175,86.048475,4.3496
8.226225,86.30575,4.36885
8.249225,86.41415,4.390425
8.2625,86.885775,4.41455
8.281575,87.315025,4.464175
