SPK_SPKC03a (inhi),SPK_SPKC04a (no response),SPK_SPKC16a (no opto-tagging)
300.233575,300.008775,300.2224
300.268625,300.075425,300.368625
300.365325,300.089825,300.565225
300.6268,300.1035,300.582425
300.824425,300.157025,300.7813
300.855425,300.183475,301.177325
300.961,300.206825,301.199475
301.022275,300.234425,301.2852
301.08395,300.29515,301.31335
301.2095,300.37695,301.42065
301.232975,300.39255,301.468175
301.301425,300.442625,301.474375
301.3359,300.46835,301.511175
301.41095,300.486175,301.52245
301.426175,300.51515,301.536925
301.442925,300.541175,301.670075
301.518325,300.590025,301.76185
301.600925,300.709,301.79965
301.620925,300.71885,301.912325
301.817975,300.743425,301.927275
301.836725,300.776275,302.0126
301.854925,300.80725,302.2814
301.92665,300.873,302.396825
301.992975,300.91185,302.62695
302.133375,300.933225,302.687375
302.326075,300.981175,302.805575
302.66635,301.025525,302.8161
302.720725,301.05255,303.023825
302.730275,301.085225,303.12745
302.8298,301.134125,303.2886
302.99555,301.200125,303.399575
303.04195,301.285825,303.4871
303.106175,301.3254,303.615925
303.195925,301.365425,303.65025
303.2563,301.389425,303.676625
303.3589,301.411325,303.72465
303.432525,301.43875,303.830425
303.497075,301.491175,303.93795
303.510975,301.5168,304.07445
303.59855,301.55385,304.211325
304.017925,301.612775,304.450875
304.099475,301.6441,304.4584
304.25905,301.7133,304.5306
304.30745,301.7388,304.585725
304.320425,301.752375,304.642175
304.3422,301.80965,304.875725
304.40425,301.821525,305.018925
304.447825,301.85055,305.157475
304.55045,301.88845,305.20735
304.641575,301.914725,305.5556
304.703125,301.9606,305.561125
304.733575,301.9918,305.7331
304.77835,302.008775,305.82155
305.110175,302.027675,305.83485
305.18035,302.079325,305.990925
305.746825,302.13255,306.152875
305.87085,302.19225,306.23295
305.9272,302.21745,306.240725
306.08755,302.256775,306.244575
306.1156,302.292775,306.248625
306.14295,302.320075,306.256125
306.28975,302.378025,306.278675
306.584025,302.427475,306.316525
306.62255,302.455675,306.349125
306.662975,302.507875,306.47035
306.74455,302.577325,306.559525
306.75485,302.6558,306.573425
306.794725,302.70625,306.613725
306.844475,302.74195,306.6499
306.960975,302.761025,306.8606
307.073075,302.7943,306.906675
307.10365,302.822775,306.9919
307.222875,302.87675,307.15995
307.31805,302.902575,307.208925
307.34095,302.96145,307.411625
307.37495,303.010975,307.6043
307.476,303.052075,307.635925
307.52865,303.089475,307.7036
307.5516,303.12965,307.757075
307.5925,303.177975,307.84295
307.64965,303.242525,308.05055
307.7559,303.35425,308.079325
307.7931,303.40905,308.0938
307.904125,303.47515,308.235125
307.93875,303.53775,308.37325
308.0491,303.56395,308.39005
308.073375,303.598975,308.4716
308.2766,303.671475,308.504575
308.30925,303.70155,308.635175
308.37465,303.756325,308.7312
308.51975,303.80825,308.9974
308.612875,303.84205,309.032175
308.701725,303.9154,309.213725
308.787575,303.9664,309.22005
308.853325,303.97805,309.30095
308.924325,304.056575,309.38785
309.0032,304.09625,309.4042
309.051275,304.2691,309.426175
309.12395,304.284275,309.5882
309.170225,304.34095,309.601225
309.296225,304.41855,310.152575
309.320475,304.4696,310.265825
