SPK_SPKC06a (inhi),SPK_SPKC10a (no response),SPK_SPKC15a (no response)
0.004575,0.021525,1.0948
0.03345,0.0384,1.63635
0.0632,0.0456,1.6596
0.0874,0.070075,1.665425
0.100075,0.071225,1.670075
0.133225,0.1142,1.673975
0.152025,0.12915,1.67755
0.1749,0.1542,1.68325
0.205825,0.1768,1.793275
0.238975,0.226725,1.855275
0.254525,0.2583,3.35975
0.3008,0.3035,3.372525
0.344125,0.349525,3.445475
0.400125,0.36705,3.661825
0.438725,0.427375,3.66455
0.5157,0.45445,6.861525
0.57375,0.5229,9.9551
0.62955,0.544775,12.492625
0.6824,0.580625,14.341475
0.723525,0.63765,15.416375
0.769725,0.6724,17.28485
0.8008,0.708275,18.85985
0.845525,0.714525,19.400575
0.880925,0.758225,19.664875
0.91455,0.7864,19.78255
0.950775,0.814575,20.154275
0.99795,0.85775,20.482175
1.0672,0.87915,20.64005
1.12415,0.9291,20.976875
1.182725,0.9583,20.99795
1.2162,1.264,21.017025
1.24775,1.280825,21.1042
1.2805,1.32685,21.208575
1.34525,1.34535,21.235775
1.459425,1.378625,21.285225
1.519025,1.389075,21.4791
1.5522,1.46305,21.7045
1.599025,1.483125,21.785425
1.6157,1.522625,21.8046
1.630575,1.546075,21.844
1.64015,1.54845,21.886725
1.660775,1.554225,21.99705
1.6791,1.624125,22.15255
1.702025,1.67035,22.36125
1.722175,1.6727,22.5588
1.742825,1.68515,22.6605
1.762175,1.7046,22.687975
1.77495,1.737675,22.876075
1.794475,1.78475,22.89175
1.810225,1.8088,22.898225
1.82965,1.822125,22.9058
1.858225,1.8662,23.12555
1.8848,1.868675,23.160875
1.899925,1.891525,23.563325
1.914325,1.9457,23.5837
1.924375,1.985375,23.753225
1.937725,2.0211,24.00605
1.9482,2.0391,24.080425
1.95985,2.04175,24.1904
1.97555,2.057775,24.31755
1.993425,2.083325,24.3257
2.01255,2.137925,24.454
2.050425,2.1756,24.55635
2.07895,2.20235,24.560975
2.089575,2.21755,24.902475
2.1143,2.223175,24.926875
2.14405,2.2478,24.9333
2.1675,2.249175,25.18545
2.17605,2.2618,25.24585
2.193675,2.263175,25.277875
2.223675,2.3126,25.4135
2.24005,2.347075,25.621925
2.2538,2.352825,25.628875
2.271725,2.36675,25.724
2.2865,2.37535,25.8066
2.314025,2.406725,25.81325
2.32185,2.4142,26.243375
2.33785,2.42855,26.249725
2.34975,2.4393,26.3739
2.36525,2.45185,26.401975
2.38515,2.49545,26.58725
2.40175,2.510725,26.61325
2.412125,2.55415,26.651575
2.453475,2.580625,26.74445
2.463275,2.584825,26.876375
2.4859,2.6008,27.0779
2.499175,2.6098,27.096125
2.5109,2.657325,27.269925
2.526425,2.6607,27.3444
2.54035,2.672525,27.3623
2.548525,2.6816,27.365775
2.558225,2.69635,27.413425
2.578775,2.712575,27.453825
2.5897,2.720375,27.49285
2.617225,2.731025,27.511575
2.630925,2.743625,27.645
2.6576,2.745825,27.657825
2.665075,2.749425,27.960775
2.678825,2.7945,28.0639
2.70195,2.83185,28.155
2.7165,2.86255,28.160525
2.72535,2.868575,28.1727
2.78585,2.8809,28.1906
2.79265,2.89305,28.378625
2.801125,2.896675,28.3884
2.806625,2.942625,28.4937
2.845825,2.949925,28.551625
2.86635,2.95745,28.75135
2.8726,2.96805,28.8242
2.896,3.00915,29.193225
2.912,3.067675,29.214125
2.9257,3.09545,29.279525
2.936,3.1282,29.388425
2.946,3.1438,29.519725
2.955125,3.17385,29.57815
2.975625,3.199175,29.6194
2.98585,3.215975,29.79535
2.9991,3.22245,29.809325
3.0252,3.22685,29.961575
3.05115,3.240825,29.9817
3.06935,3.24415,29.99985
3.1008,3.253475,30.008025
3.131925,3.2671,30.0153
3.1453,3.27195,30.1576
3.196975,3.296675,30.188425
3.2464,3.3021,30.253675
3.254475,3.32425,30.2831
3.271275,3.35975,30.31295
3.285675,3.3773,30.4894
3.30975,3.3856,30.6782
3.316,3.405975,30.79055
3.331575,3.4231,30.833525
3.34315,3.440825,31.0112
3.376925,3.4451,31.0856
3.39665,3.48795,31.093425
3.4219,3.493675,31.13265
3.4354,3.5087,31.14275
3.445825,3.541,31.27125
3.468875,3.63485,31.346875
3.480175,3.64185,31.372775
3.49075,3.669325,31.4411
3.502325,3.7009,31.49795
3.508075,3.7433,31.7328
3.517275,3.75965,31.7367
3.5412,3.79155,32.03225
3.5616,3.79525,32.1656
3.573425,3.830875,32.256175
3.616325,3.86795,32.271275
3.64135,3.92075,32.4327
3.658625,3.93395,32.531375
3.6808,3.995925,32.67725
3.69105,4.016575,32.735925
3.707775,4.091,32.937875
3.721625,4.1127,32.96295
3.740975,4.120325,33.196625
3.756275,4.1333,33.215225
3.764475,4.152875,33.66395
3.7777,4.162725,33.708625
3.793475,4.1776,33.840225
3.822925,4.255925,33.902625
3.83155,4.2744,34.00025
3.846625,4.309,34.126225
3.861225,4.3172,34.232825
3.87345,4.343275,34.730075
3.887525,4.38995,34.80385
3.92185,4.4212,34.878225
3.947275,4.45315,34.9802
3.96775,4.468375,35.00515
4.001975,4.485225,35.396775
4.029875,4.522525,35.47705
4.0526,4.53275,35.526975
4.081175,4.53635,35.560875
4.11035,4.5441,35.66605
4.1312,4.5496,36.010325
4.156925,4.56845,36.016725
4.22485,4.6019,36.16755
4.283775,4.6034,36.30045
4.2938,4.627075,36.315375
4.304525,4.6297,36.46415
4.34005,4.642075,36.6312
4.35225,4.654875,36.645675
4.3789,4.660075,36.71505
4.3951,4.67785,36.86
4.40605,4.695025,37.0698
4.429075,4.71995,37.0762
4.4429,4.723175,37.352425
4.474225,4.732725,37.58315
4.4899,4.75065,37.610075
4.502875,4.767225,37.848325
4.51315,4.77445,37.87105
4.53955,4.783125,37.920025
4.5575,4.787,38.0745
4.576675,4.802725,38.203525
4.590675,4.818375,38.385025
4.62425,4.837625,38.535475
4.634275,4.846775,38.65955
4.651775,4.853125,38.672075
4.671975,4.88685,38.850725
4.687325,4.902275,39.028275
4.701,4.92705,39.124225
4.714825,4.967275,39.243725
4.728225,4.97075,39.365475
4.739325,5.00925,39.44285
4.74895,5.10255,39.630775
4.759325,5.11315,39.794575
4.772025,5.1496,39.8221
4.7835,5.191425,39.869275
4.79355,5.209875,39.93225
4.84935,5.2209,40.065875
4.870525,5.2219,40.07465
4.883975,5.228775,40.31015
4.8937,5.258025,40.334375
4.9073,5.28565,40.67195
4.928,5.30705,40.96015
4.9518,5.31295,41.088225
4.9632,5.337175,41.218075
4.98365,5.341225,41.364175
5.002575,5.3881,41.3704
5.01325,5.39235,41.571
5.028925,5.42925,41.659425
5.037575,5.46005,41.69415
5.063325,5.4891,42.00175
5.072375,5.545825,42.016475
5.0893,5.580525,42.196125
5.101425,5.5979,42.3548
5.129,5.60245,42.4635
5.138175,5.62555,42.483725
5.1483,5.639775,42.57635
5.155325,5.64285,42.71235
5.16485,5.678175,42.7247
5.1763,5.69225,42.77275
5.1993,5.705025,42.905125
5.20755,5.72615,42.943125
5.2303,5.753875,43.30295
5.2657,5.7984,43.334275
5.27995,5.807725,43.355775
5.298725,5.83435,43.47725
5.33775,5.847375,43.56195
5.3572,5.859075,43.78635
5.370225,5.8657,43.917275
5.39175,5.8857,44.0107
5.40845,5.89625,44.05145
5.422875,5.91215,44.315125
5.4608,5.9565,44.3237
5.487775,5.964525,44.3325
5.499325,6.035075,44.63835
5.521425,6.04615,44.7383
5.55225,6.08755,44.842825
5.559475,6.129175,44.91035
5.571925,6.137475,44.9192
5.587375,6.183725,45.329925
5.59525,6.19395,45.3365
5.624325,6.2373,45.5399
5.632725,6.25335,45.583225
5.646175,6.26115,45.886875
5.70035,6.26305,45.893875
5.71525,6.278075,45.916125
5.7285,6.280825,46.038475
5.746775,6.315775,46.145875
5.774825,6.329625,46.2532
5.7962,6.37525,46.417725
5.806425,6.3783,46.447175
5.818825,6.380875,46.589925
5.8298,6.41125,46.677875
5.878375,6.43255,46.944725
5.88535,6.47745,47.0829
5.89485,6.481225,47.370575
5.90545,6.50045,47.381575
5.92405,6.5146,47.6188
5.940725,6.6335,47.81455
5.958425,6.66285,47.951225
5.9661,6.670875,48.08715
5.97965,6.70415,48.134625
5.992325,6.7215,48.215825
6.0012,6.80735,48.260925
6.0247,6.839975,48.48285
6.035725,6.862175,48.508025
6.049175,6.90335,48.890175
6.0645,6.9066,48.899825
6.095925,6.925225,49.017025
6.1257,6.95305,49.027275
6.147675,6.9589,49.231675
6.16385,6.967,49.243475
6.1984,6.991875,49.7498
6.237375,7.0131,49.836325
6.2533,7.04075,49.8475
6.2645,7.06255,50.03135
6.310975,7.094375,50.065525
6.336575,7.141525,50.210725
